‘장애인표준사업장	‘/SL+장애인표준사업장/NNG
사후관리	사후관리/NNG
감시단’	감시단/NNG+’/SL
발족	발족/NNG

한국장애인고용공단	한국/NNP+장애인고용공단/NNG
인천지사(지사장	인천/NNP+지사/NNG+(/SS+지사장/NNG
황보익)에	황보익/NNP+)/SS+에/JKB
장애인표준사업장	장애인표준사업장/NNG
사후관리	사후관리/NNG
강화를	강화/NNG+를/JKO
위한	위하/VV+ㄴ/ETM
‘사후관리	‘/SL+사후관리/NNG
감시단’이	감시단/NNG+’/SL+이/JKS
발족된다	발족되/VV+ㄴ다/EF

감시단은	감시단/NNG+은/JX
인천지사	인천/NNP+지사/NNG
심창우	심창우/NNP
취업지원부장을	취업지원부/NNG+장/XSN+을/JKO
비롯해	비롯하/VV+여/EC
정천용	정천용/NNP
인천장애인단체총연합회장,	인천장애인단체총연합회장/NNG+,/SP
조병호	조병호/NNP
장애인생활신문	장애인생활신문/NNG
대표,	대표/NNG+,/SP
이동기	이동기/NNP
한국경영기술컨설턴트협회	한국경영기술컨설턴트협회/NNP
인천지회장	인천/NNP+지회장/NNG
등	등/NNB
총	총/MM
4명의	4/SN+명/NNB+의/JKG
내·외부	내/NNG+·/SP+외부/NNG
위원으로	위원/NNG+으로/JKB
구성된다	구성되/VV+ㄴ다/EC

활동기간은	활동기간/NNG+은/JX
위촉장을	위촉장/NNG+을/JKO
수여	수여/NNG
받은	받/VV+은/ETM
뒤부터	뒤/NNG+부터/JX
1년이다	1/SN+년/NNB+이/VCP+다/EC

이들은	이/NP+들/XSN+은/JX
비정기적이고	비정기적/NNG+이/VCP+고/EC
주기적인	주기적/NNG+이/VCP+ㄴ/ETM
감찰활동을	감찰활동/NNG+을/JKO
벌여	벌이/VV+어/EC
사업체와	사업체/NNG+와/JC
담당직원	담당직원/NNG
간의	간/NNB+의/JKG
유착관계	유착관계/NNG
예방	예방/NNG
및	및/MAG
근절에	근절/NNG+에/JKB
주력한다	주력하/VV+ㄴ다/EF

또한	또한/MAG
장애인표준사업장에	장애인표준사업장/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
경영	경영/NNG
상태와	상태/NNG+와/JC
장애인고용에	장애인고/NNG+용/XSN+에/JKB
대한	대하/VV+ㄴ/ETM
관심을	관심/NNG+을/JKO
지속적으로	지속적/NNG+으로/JKB
독려하고,	독려하/VV+고/EC+,/SP
문제	문제/NNG
발견	발견/NNG
시	시/NNG
지사장에게	지사장/NNG+에게/JKB
직접	직접/MAG
보고한다	보고하/VV+ㄴ다/EF

현재	현재/MAG
인천	인천/NNP
지역에는	지역/NNG+에/JKB+는/JX
장애인표준사업장	장애인표준사업장/NNG
8개	8/SN+개/NNB
업체,	업체/NNG+,/SP
자회사형	자회사형/NNG
장애인	장애인/NNG
표준사업장	표준사업/NNG+장/XSN
2개	2/SN+개/NNB
업체가	업체/NNG+가/JKS
있다	있/VA+다/EC

장애인표준사업장은	장애인표준사업장/NNG+은/JX
근로자의	근로자/NNG+의/JKG
30%이상을	30/SN+%/SW+이상/NNG+을/JKO
장애인으로	장애인/NNG+으로/JKB
고용하고,	고용하/VV+고/EC+,/SP
그	그/MM
중	중/NNB
50%이상을	50/SN+%/SW+이상/NNG+을/JKO
중증장애인으로	중증장애인/NNG+으로/JKB
고용하는	고용하/VV+는/ETM
등의	등/NNB+의/JKG
기준을	기준/NNG+을/JKO
충족한	충족하/VA+ㄴ/ETM
사업장을	사업장/NNG+을/JKO
말한다	말하/VV+ㄴ다/EF

자회사형	자회사형/NNG
장애인	장애인/NNG
표준사업장은	표준사업장/NNG+은/JX
장애인	장애인/NNG
의무고용	의무고용/NNG
사업주인	사업주/NNG+이/VCP+ㄴ/ETM
모회사가	모회사/NNG+가/JKS
장애인	장애인/NNG
고용을	고용/NNG+을/JKO
목적으로	목적/NNG+으로/JKB
일정	일정/NNG
요건을	요건/NNG+을/JKO
갖춘	갖추/VV+ㄴ/ETM
자회사를	자회사/NNG+를/JKO
설립하는	설립하/VV+는/ETM
경우	경우/NNG
자회사에	자회사/NNG+에/JKB
고용된	고용되/VV+ㄴ/ETM
장애인을	장애인/NNG+을/JKO
모회사가	모회사/NNG+가/JKS
고용한	고용하/VV+ㄴ/ETM
것으로	것/NNB+으로/JKB
간주해	간주하/VV+여/EC
지원하는	지원하/VV+는/ETM
제도다	제도/NNG+이/VCP+다/EC

한편	한편/MAG
인천지사는	인천/NNP+지사/NNG+는/JX
오는	오/VV+는/ETM
12일	12/SN+일/NNB
지사장실에서	지사장실/NNG+에서/JKB
감시단	감시단/NNG
내·외부	내/NNG+·/SP+외부/NNG
위원	위원/NNG
4명에게	4/SN+명/NNB+에게/JKB
위촉장을	위촉장/NNG+을/JKO
수여할	수여하/VV+ㄹ/ETM
예정이다	예정/NNG+이/VCP+다/EC
