‘장애인고용패널	‘/SL+장애인고용패널/NNG
학술대회	학술대회/NNG
데이터	데이터/NNG
설명회’	설명회’/NNG
19일	19/SN+일/NNB
열려	열리/VV+어/EC

한국장애인고용공단	한국/NNP+장애인고용공단/NNG
고용개발원(원장	고용개발/NNG+원/XSN+(/SS+원장/NNG
김광용)이	김광용/NNP+)/SS+이/JKS
오는	오/VV+는/ETM
19일	19/SN+일/NNB
오후	오후/NNG
2시	2/SN+시/NNB
개발원에서	개발/NNG+원/XSN+에서/JKB
‘제4회	‘/SN+제/XPN+4/SN+회/NNB
장애인고용패널	장애인고용패널/NNG
학술대회를	학술대회/NNG+를/JKO
위한	위하/VV+ㄴ/ETM
데이터	데이터/NNG
설명회’를	설명회’/NNG+를/JKO
개최한다	개최하/VV+ㄴ다/EF

이번	이번/NNG
설명회는	설명/NNG+회/XSN+는/JX
학술대회	학술대회/NNG
연구계획서	연구계획서/NNG
제출자,	제출자/NNG+,/SP
평소	평소/NNG
장애인	장애인/NNG
고용	고용/NNG
관련	관련/NNG
연구에	연구/NNG+에/JKB
관심	관심/NNG
있는	있/VA+는/ETM
교수·대학원생을	교수/NNG+·/SP+대학원생/NNG+을/JKO
대상으로	대상/NNG+으로/JKB
진행된다	진행되/VV+ㄴ다/EC

설명회에서는	설명/NNG+회/XSN+에서/JKB+는/JX
현재까지	현재/NNG+까지/JX
구축된	구축되/VV+ㄴ/ETM
장애인고용패널	장애인고용패널/NNG
1∼4차년도	1/SN+∼/SO+4/SN+차년/NNB+도/JX
자료와	자료/NNG+와/JC
2008·2010년	2008/SN+·/SP+2010/SN+년/NNB
기업체	기업체/NNG
장애인고용	장애인고/NNG+용/XSN
실태조사,	실태조사/NNG+,/SP
2010년	2010/SN+년/NNB
장애인	장애인/NNG
경제활동	경제활동/NNG
실태조사에	실태조사/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
조사개요	조사개요/NNG
및	및/MAG
데이터	데이터/NNG
특성	특성/NNG
설명이	설명/NNG+이/JKS
이뤄진다	이루어지/VV+ㄴ다/EC

또한	또한/MAG
데이터	데이터/NNG
가공사례	가공사례/NNG
등의	등/NNB+의/JKG
시연도	시연/NNG+도/JX
병행된다	병행되/VV+ㄴ다/EF

장애인고용패널조사는	장애인고용패널조사/NNG+는/JX
지난	지나/VV+ㄴ/ETM
2008년부터	2008/SN+년/NNB+부터/JX
장애인	장애인/NNG
경제활동	경제활동/NNG
상태와	상태/NNG+와/JKB
관련된	관련되/VV+ㄴ/ETM
요인을	요인/NNG+을/JKO
동태적으로	동태적/NNG+으로/JKB
파악하기	파악하/VV+기/ETN
위해	위하/VV+여/EC
전국	전국/NNG
등록장애인	등록장애인/NNG
5092명을	5092/SN+명/NNB+을/JKO
대상으로	대상/NNG+으로/JKB
매년	매년/MAG
추적	추적/NNG
조사로	조사/NNG+로/JKB
진행된다	진행되/VV+ㄴ다/EC

기업체	기업체/NNG
장애인고용	장애인고/NNG+용/XSN
실태조사는	실태조사/NNG+는/JX
장애인고용	장애인고용/NNG
현황과	현황/NNG+과/JC
고용관련	고용관련/NNG
요인을	요인/NNG+을/JKO
조사해	조사하/VV+여/EC
장애인	장애인/NNG
노동시장의	노동시장/NNG+의/JKG
수요자인	수요자/NNG+이/VCP+ㄴ/ETM
사업체의	사업체/NNG+의/JKG
장애인	장애인/NNG
고용	고용/NNG
여건을	여건/NNG+을/JKO
파악하는	파악하/VV+는/ETM
것으로	것/NNB+으로/JKB
2008년부터	2008/SN+년/NNB+부터/JX
2년마다	2/SN+년/NNB+마다/JX
실시된다	실시되/VV+ㄴ다/EF

한편	한편/MAG
‘제4회	‘/SN+제/XPN+4/SN+회/NNB
장애인고용패널	장애인고용패널/NNG
학술대회’는	학술대회/NNG+’/SL+는/JX
오는	오/VV+는/ETM
11월	11/SN+월/NNB
2일	2/SN+일/NNB
서울	서울/NNP
대한상공회의소에서	대한/NNP+상공회의소/NNG+에서/JKB
개최될	개최되/VV+ㄹ/ETM
예정이다	예정/NNG+이/VCP+다/EC
