‘텅	‘/SN+텅/MAG
빈	비/VV+ㄴ/ETM
껍데기’로	껍데기’/NNG+로/JKB
전락한	전락하/VV+ㄴ/ETM
근로지원서비스	근로지원서비스/NNG

중증장애인	중증장애인/NNG
고용안정을	고용안정/NNG+을/JKO
위해	위하/VV+여/EC
시작한	시작하/VV+ㄴ/ETM
근로지원서비스가	근로지원서비스/NNG+가/JKS
한국장애인고용공단(이하	한국/NNP+장애인고용공단/NNG+(/SS+이하/NNG
공단)	공단/NNG+)/SS
스스로	스스로/MAG
만든	만들/VV+ㄴ/ETM
갖가지	갖가지/NNG
단서	단서/NNG
조항으로	조항/NNG+으로/JKB
인해	인하/VV+여/EC
실효성	실효성/NNG
없는	없/VA+는/ETM
겉치레	겉치레/NNG
사업으로	사업/NNG+으로/JKB
전락한	전락하/VV+ㄴ/ETM
것으로	것/NNB+으로/JKB
드러났다	드러나/VV+았/EP+다/EC

18일	18/SN+일/NNB
국회	국회/NNG
환경노동위원회	환경노동위원회/NNG
소속	소속/NNG
장하나	장/NNG+하나/NR
의원(민주통합당)은	의원/NNG+(/SS+민주통합당/NNP+)/SS+은/JX
근로지원서비스가	근로지원서비스/NNG+가/JKS
월	월/NNG
100시간으로	100/SN+시간/NNB+으로/JKB
한정된	한정되/VV+ㄴ/ETM
것은	것/NNB+은/JX
현실을	현실/NNG+을/JKO
전혀	전혀/MAG
고려하지	고려하/VV+지/EC
않은	않/VX+은/ETM
‘탁상공론’에	‘탁상공론/NNG+’/SL+에/JKB
불과하다고	불과하/VA+다고/EC
지적했다	지적하/VV+였/EP+다/EF

근로지원서비스란,	근로지원서비스/NNG+란/JX+,/SP
중증장애인근로자의	중증장애인근로자/NNG+의/JKG
업무수행을	업무수행/NNG+을/JKO
돕는	돕/VV+는/ETM
근로지원인을	근로지원인/NNG+을/JKO
파견해	파견하/VV+여/EC
지원하는	지원하/VV+는/ETM
서비스로,	서비스/NNG+로/JKB+,/SP
중증장애인은	중증장애인/NNG+은/JX
월	월/NNG
100시간	100/SN+시간/NNB
이내에서	이내/NNG+에서/JKB
제공받을	제공/NNG+받/VV+을/ETM
수	수/NNB
있다	있/VA+다/EF

