장애인	장애인/NNG
안전운행	안전운행/NNG
위한	위하/VV+ㄴ/ETM
무료차량	무료차량/NNG
점검	점검/NNG

한국장애인고용공단과	한국/NNP+장애인고용공단/NNG+과/JC
한국폴리텍1대학	한국/NNP+폴리텍/NNG+1/SN+대학/NNG
서울정수캠퍼스가	서울정수/NNP+캠퍼스/NNG+가/JKS
사회공헌활동의	사회공헌활동/NNG+의/JKG
일환으로	일환/NNG+으로/JKB
지난	지나/VV+ㄴ/ETM
1일	1/SN+일/NNB
‘장애인차량	‘/SN+장애인차량/NNG
무료점검’을	무료점검/NNG+’/SL+을/JKO
실시했다	실시하/VV+였/EP+다/EC

폴리텍1대학	폴리텍/NNG+1/SN+대학/NNG
정수캠퍼스	정수캠퍼스/NNG
자동차학과	자동차학과/NNG
교수와	교수/NNG+와/JC
학생들은	학생/NNG+들/XSN+은/JX
지난	지나/VV+ㄴ/ETM
1998년부터	1998/SN+년/NNB+부터/JX
매년	매년/MAG
지역사회	지역사회/NNG
장애인을	장애인/NNG+을/JKO
위해	위하/VV+여/EC
차량	차량/NNG
무료점검을	무료점검/NNG+을/JKO
실시해	실시하/VV+여/EC
오고	오/VX+고/EC
있으며,	있/VX+으며/EC+,/SP
올해는	올해/NNG+는/JX
사회공헌활동의	사회공헌활동/NNG+의/JKG
의미와	의미/NNG+와/JC
규모를	규모/NNG+를/JKO
확대하기	확대하/VV+기/ETN
위해	위하/VV+여/EC
공단과	공단/NNG+과/JKB
함께	함께/MAG
행사를	행사/NNG+를/JKO
추진했다	추진하/VV+였/EP+다/EF

차량	차량/NNG
점검은	점검/NNG+은/JX
폴리텍1대학	폴리텍/NNG+1/SN+대학/NNG
정수캠퍼스(서울	정수캠퍼스/NNG+(/SS+서울/NNP
용산구	용산구/NNP
보광로	보광/NNP+로/JKB
73)에서	73/SN+)/SS+에서/JKB
이날	이날/NNG
오전	오전/NNG
9시부터	9/SN+시/NNB+부터/JX
진행됐으며,	진행되/VV+었/EP+으며/EC+,/SP
지역	지역/NNG
장애인과	장애인/NNG+과/JC
공단을	공단/NNG+을/JKO
통해	통하/VV+여/EC
취업한	취업하/VV+ㄴ/ETM
장애인근로자	장애인근로자/NNG
등	등/NNB
50여명이	50/SN+여/XSN+명/NNB+이/JKS
서비스를	서비스/NNG+를/JKO
제공받았다	제공/NNG+받/VV+았/EP+다/EF

공단	공단/NNG
이성규	이성규/NNP
이사장은	이사장/NNG+은/JX
“장애인	“/SN+장애인/NNG
근로자들의	근로자/NNG+들/XSN+의/JKG
안전한	안전하/VA+ㄴ/ETM
출퇴근	출퇴근/NNG
운행을	운행/NNG+을/JKO
위해	위하/VV+여/EC
이번	이번/NNG
행사를	행사/NNG+를/JKO
폴리텍1대학과	폴리텍/NNG+1/SN+대학/NNG+과/JKB
공동으로	공동/NNG+으로/JKB
진행했다"며	진행하/VV+였/EP+다/EF+"/SS+며/EC
"장애인의	"/SS+장애인/NNG+의/JKG
삶의	삶/NNG+의/JKG
질을	질/NNG+을/JKO
높이기	높이/VV+기/ETN
위한	위하/VV+ㄴ/ETM
다양한	다양하/VA+ㄴ/ETM
사회공헌활동이	사회공헌활동/NNG+이/JKS
사회적으로	사회적/NNG+으로/JKB
확산되길	확산되/VV+기/ETN+ㄹ/JKO
바란다”며	바란다”/VV+며/EC
소감을	소감/NNG+을/JKO
밝혔다	밝히/VV+었/EP+다/EC
