“유아특수교사	“/SL+유아특수교사/NNG
증원	증원/NNG
요구에	요구/NNG+에/JKB
응답하라”	응답하/VV+라/EC+”/SN

장애인	장애인/NNG
교육권	교육권/NNG
및	및/MAG
특수교사	특수교사/NNG
법정정원	법정정원/NNG
확보를	확보/NNG+를/JKO
위한	위하/VV+ㄴ/ETM
연대회의(이하	연대회의/NNG+(/SS+이하/NNG
연대회의)는	연대회의/NNG+)/SS+는/JX
6일	6/SN+일/NNB
오후	오후/NNG
정부중앙청사	정부중앙청사/NNG
후문에서	후문/NNG+에서/JKB
결의대회를	결의대회/NNG+를/JKO
갖고,	갖/VV+고/EC+,/SP
장애영유아	장애영유아/NNP
무상·의무교육	무상/NNG+·/SP+의무교육/NNG
실현을	실현/NNG+을/JKO
위해	위하/VV+여/EC
유아특수교사를	유아특수교사/NNG+를/JKO
대폭	대폭/MAG
증원	증원/NNG
할	하/VV+ㄹ/ETM
것을	것/NNB+을/JKO
강력히	강력히/MAG
촉구했다	촉구하/VV+였/EP+다/EC

이날	이날/NNG
결의대회에는	결의대회/NNG+에/JKB+는/JX
유아특수학과	유아특수학과/NNG
교수,	교수/NNG+,/SP
학생	학생/NNG
등	등/NNB
500여명이	500/SN+여/XSN+명/NNB+이/JKS
참석해	참석하/VV+여/EC
최근	최근/NNG
각	각/MM
시도교육청에서	시도교육청/NNG+에서/JKB
발표한	발표하/VV+ㄴ/ETM
‘2013년도	‘/SL+2013/SN+년/NNB+도/JX
공립	공립/NNG
특수학교	특수학교/NNG
유치원	유치원/NNG
교원(유아특수교사)’	교원/NNG+(/SS+유아특수교사/NNG+)/SS+’/SL
4명	4/SN+명/NNB
선발	선발/NNG
예정	예정/NNG
인원에	인원/NNG+에/JKB
대해	대하/VV+여/EC
비판의	비판/NNG+의/JKG
목소리를	목소리/NNG+를/JKO
냈다	내/VV+었/EP+다/EF

앞서	앞서/MAG
전국	전국/NNG
8개의	8/SN+개/NNB+의/JKG
유아특수교육학과	유아특수교육학과/NNG
교수와	교수/NNG+와/JC
학생들은	학생/NNG+들/XSN+은/JX
2013년도	2013/SN+년/NNB+도/JX
특수교사	특수교사/NNG
임용시험	임용시험/NNG
출제를	출제/NNG+를/JKO
거부하고,	거부하/VV+고/EC+,/SP
유아특수교육과	유아특수교육/NNG+과/JC
학생은	학생/NNG+은/JX
수업	수업/NNG
포기를	포기/NNG+를/JKO
선언한	선언하/VV+ㄴ/ETM
바	바/NNB
있다	있/VA+다/EC

현재	현재/MAG
유아특수교사를	유아특수교사/NNG+를/JKO
비롯해	비롯하/VV+여/EC
특수교사가	특수교사/NNG+가/JKS
법정정원에	법정정원/NNG+에/JKB
비해	비하/VV+여/EC
부족한	부족하/VA+ㄴ/ETM
상황에서	상황/NNG+에서/JKB
유아특수교사	유아특수교사/NNG
선발	선발/NNG
인원까지	인원/NNG+까지/JX
줄어들고	줄어들/VV+고/EC
있어	있/VX+어/EC
장애	장애/NNG
영유아	영유아/NNG
교육의	교육/NNG+의/JKG
현실은	현실/NNG+은/JX
더	더/MAG
후퇴되고	후퇴되/VV+고/EC
있다는	있/VX+다는/ETM
것	것/NNB

전국유아특수교육학과연대회의	전/MM+국유아특수교육학과연대회/NNG+의/JKG
박재희	박재희/NNP
의장은	의장/NNG+은/JX
“얼마	“/SL+얼마/NNG
전에	전/NNG+에/JKB
경북도교육청에서	경북도/NNP+교육청/NNG+에서/JKB
장애영유아	장애영유아/NNP
무상·의무교육을	무상/NNG+·/SP+의무교육/NNG+을/JKO
근거로	근거/NNG+로/JKB
들며	들/VV+며/EC
유아특수교사	유아특수교사/NNG
증원을	증원/NNG+을/JKO
요청	요청/NNG
했더니	하/VV+였/EP+더니/EC
수요(원아)가	수요/NNG+(/SS+원아/NNG+)/SS+가/JKS
없다,	없/VA+다/EC+,/SP
부모들의	부모/NNG+들/XSN+의/JKG
요구가	요구/NNG+가/JKS
없는데	없/VA+는데/EC
어떻게	어떻/VA+게/EC
하냐’는	하/VV+냐/EC+’/SL+는/JX
식의	식/NNB+의/JKG
얘기를	얘기/NNG+를/JKO
들었다”며	듣/VV+었/EP+다/EC+”/VV+며/EC
“통계	“통계/NNG
상	상/NNG
노출되지	노출되/VV+지/EC
않은	않/VX+은/ETM
영유아들이	영유아/NNG+들/XSN+이/JKS
넘쳐나는데도,	넘치/VV+어/EC+나/VX+는데/EC+도/JX+,/SP
부모들이	부모/NNG+들/XSN+이/JKS
요구하지	요구하/VV+지/EC
않는다는	않/VX+는다는/ETM
이유로	이유/NNG+로/JKB
외면하고	외면하/VV+고/EC
있다”고	있/VX+다/EC+”/VV+고/EC
지적했다	지적하/VV+였/EP+다/EF

박	박/NNP
의장은	의장/NNG+은/JX
“일반학급에	“/SN+일반학급/NNG+에/JKB
물리적으로	물리적/NNG+으로/JKB
통합되어	통합되/VV+어/EC
있는	있/VX+는/ETM
원아도	원아/NNG+도/JX
있을	있/VA+을/ETM
것이고,	것/NNB+이/VCP+고/EC+,/SP
어린이집과	어린이집/NNG+과/JC
치료실을	치료실/NNG+을/JKO
전전해가고	전전하/VV+여/EC+가/VX+고/EC
있는	있/VX+는/ETM
아이도	아이/NNG+도/JX
있을	있/VA+을/ETM
것이다	것/NNB+이/VCP+다/EC

이	이/NP
같은	같/VA+은/ETM
이유로	이유/NNG+로/JKB
의무교육을	의무교육/NNG+을/JKO
받지	받/VV+지/EC
못하는	못하/VX+는/ETM
장애	장애/NNG
영유아가	영유아/NNG+가/JKS
많은데도	많/VA+은데/EC+도/JX
발굴해서	발굴하/VV+여서/EC
의무교육을	의무교육/NNG+을/JKO
받게	받/VV+게/EC
해야	하/VX+여야/EC
되는	되/VV+는/ETM
것이	것/NNB+이/JKS
본인들의	본인/NNG+들/XSN+의/JKG
일”이라면서	일/NR+”/SL+이/VCP+라면서/EC
“부모들에게	“/SL+부모/NNG+들/XSN+에게/JKB
책임을	책임/NNG+을/JKO
전가하는	전가하/VV+는/ETM
이상한	이상하/VA+ㄴ/ETM
논리를	논리/NNG+를/JKO
펼쳤다	펼치/VV+었/EP+다/EC

더	더/MAG
이상	이상/NNG
자신의	자신/NNG+의/JKG
잘못을	잘못/NNG+을/JKO
남에게	남/NNG+에게/JKB
떠넘기지	떠넘기/VV+지/EC
말고	말/VX+고/EC
장애	장애/NNG
영유아가	영유아/NNG+가/JKS
의무교육을	의무교육/NNG+을/JKO
받을	받/VV+을/ETM
수	수/NNB
없는	없/VA+는/ETM
현실을	현실/NNG+을/JKO
바라봐	바라보/VV+아/EC
달라”고	달라”/VV+고/EC
호소했다	호소하/VV+었/EP+다/EC

결의대회에	결의대회/NNG+에/JKB
참가한	참가하/VV+ㄴ/ETM
유아특수교육과	유아특수교육/NNG+과/JC
학생들은	학생/NNG+들/XSN+은/JX
하고	하/VV+고/EC
싶은	싶/VX+은/ETM
말을	말/NNG+을/JKO
적은	적/VV+은/ETM
하얀	하얗/VA+ㄴ/ETM
천을	천/NNG+을/JKO
중앙정부청사	중앙정부청사/NNG
문에	문/NNG+에/JKB
매다는	매달/VV+는/ETM
퍼포먼스를	퍼포먼스/NNG+를/JKO
통해	통하/VV+여/EC
‘유아특수교사	‘/SL+유아특수교사/NNG
증원’의	증원/NNG+’/SL+의/JKG
목소리를	목소리/NNG+를/JKO
보탰다	보태/VV+었/EP+다/EC

유아특수학과	유아특수학과/NNG
교수	교수/NNG
등	등/NNB
연대회의	연대회의/NNG
대표단은	대표단/NNG+은/JX
결의대회	결의대회/NNG
도중	도중/NNG
3시경부터	3/SN+시/NNB+경/XSN+부터/JX
1시간동안	1/SN+시간/NNB+동안/NNG
교과부	교과부/NNG
관계자와	관계자/NNG+와/JC
면담을	면담/NNG+을/JKO
가졌지만,	가지/VV+었/EP+지만/EC+,/SP
증원에	증원/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
확답은	확답/NNG+은/JX
듣지	듣/VV+지/EC
못했다	못하/VX+였/EP+다/EC

하지만	하지만/MAJ
연대회의는	연대회의/NNG+는/JX
현재	현재/MAG
행안부	행안부/NNG
내에서	내/NNB+에서/JKB
특수교사	특수교사/NNG
증원을	증원/NNG+을/JKO
위해	위하/VV+여/EC
논의에	논의/NNG+에/JKB
들어간	들어가/VV+ㄴ/ETM
만큼	만큼/NNB
유아특수교사	유아특수교사/NNG
증원이	증원/NNG+이/JKS
이뤄질	이루어지/VV+ㄹ/ETM
것이라고	것/NNB+이/VCP+라고/EC
기대하고	기대하/VV+고/EC
있다	있/VX+다/EC

면담에	면담/NNG+에/JKB
참석했던	참석하/VV+였/EP+던/ETM
연대회의	연대회의/NNG
관계자는	관계자/NNG+는/JX
“이미	“/SL+이미/MAG
교과부	교과부/NNG
장관이	장관/NNG+이/JKS
증원해달라고	증원하/VA+여/EC+달/VX+라고/EC
요구했고,	요구하/VV+였/EP+고/EC+,/SP
(유아특수교사	(/SS+유아특수교사/NNG
증원에	증원/NNG+에/JKB
대해)	대하/VV+여/EC+)/SS
실질적으로	실질적/NNG+으로/JKB
행안부	행안부/NNG
장관의	장관/NNG+의/JKG
의견이	의견/NNG+이/JKS
매우	매우/MAG
중요하다	중요하/VA+다/EC

‘증원이	‘/SL+증원/NNG+이/JKC
될	되/VV+ㄹ/ETM
것	것/NNB
같다’는	같/VA+다/EC+’/SL+는/JX
뉘앙스의	뉘앙스/NNG+의/JKG
말은	말/NNG+은/JX
했지만	하/VV+였/EP+지만/EC
그	그/MM
외	외/NNB
다른	다른/MM
말은	말/NNG+은/JX
없었다”면서도	없/VA+었/EP+다/EC+”/VV+면서/EC+도/JX
“저번에	“/SN+저번/NNG+에/JKB
교과부	교과부/NNG
측에서	측/NNB+에서/JKB
1500명을	1500/SN+명/NNB+을/JKO
요구해서	요구하/VV+여서/EC
그만큼(특수교사	그만큼/MAG+(/SS+특수교사/NNG
정원	정원/NNG
202명)	202/SN+명/NNB+)/SS
된	되/VV+ㄴ/ETM
만큼	만큼/NNB
아마	아마/MAG
다	다/MAG
되진	되/VV+지/EC+ㄴ/JX
않아도	않/VX+아도/EC
어느	어느/MM
선으로	선/NNG+으로/JKB
증원	증원/NNG
될	되/VV+ㄹ/ETM
것이라고	것/NNB+이/VCP+라고/EC
보고	보/VV+고/EC
있다”고	있/VX+다/EC+”/VV+고/EC
희망을	희망/NNG+을/JKO
내비쳤다	내비치/VV+었/EP+다/EF

매서운	매섭/VA+ㄴ/ETM
바람이	바람/NNG+이/JKS
불었던	불/VV+었/EP+던/ETM
6일	6/SN+일/NNB
결의대회에	결의대회/NNG+에/JKB
참석한	참석하/VV+ㄴ/ETM
유아특수교육학과	유아특수교육학과/NNG
학생들이	학생/NNG+들/XSN+이/JKS
유아특수교사	유아특수교사/NNG
증원을	증원/NNG+을/JKO
요구하는	요구하/VV+는/ETM
손	손/NNG
피켓을	피켓/NNG+을/JKO
들고	들/VV+고/EC
있다	있/VX+다/EC

유아특수교육학과	유아특수교육학과/NNG
학생들이	학생/NNG+들/XSN+이/JKS
유아특수교사	유아특수교사/NNG
대폭	대폭/MAG
증원을	증원/NNG+을/JKO
촉구하고	촉구하/VV+고/EC
있다	있/VX+다/EC
