학생들의	학생/NNG+들/XSN+의/JKG
차디찬	차디차/VA+ㄴ/ETM
시멘트	시멘트/NNG
바닥에서의	바닥/NNG+에서/JKB+의/JKG
‘외침’	‘/SN+외침/NNG+’/SN

해마다	해마다/MAG
특수교사	특수교사/NNG
부족으로	부족/NNG+으로/JKB
인해	인하/VV+여/EC
대폭	대폭/MAG
충원의	충원/NNG+의/JKG
목소리는	목소리/NNG+는/JX
꾸준히	꾸준히/MAG
나왔다	나오/VV+았/EP+다/EF

특수교사	특수교사/NNG
부족은	부족/NNG+은/JX
특수교육	특수교육/NNG
현장을	현장/NNG+을/JKO
더욱	더욱/MAG
열악하게	열악하/VA+게/EC
만드는	만들/VV+는/ETM
요인이라는	요인/NNG+이/VCP+라는/ETM
이유	이유/NNG
때문으로	때문/NNB+으로/JKB
올해	올해/NNG
장애인단체를	장애인단체/NNG+를/JKO
비롯한	비롯하/VV+ㄴ/ETM
특수교육	특수교육/NNG
학계까지	학계/NNG+까지/JX
거리로	거리/NNG+로/JKB
나왔다	나오/VV+았/EP+다/EF

6일	6/SN+일/NNB
오후	오후/NNG
중앙정부청사	중앙정부청사/NNG
후문	후문/NNG

‘장애인	‘/SL+장애인/NNG
교육권	교육권/NNG
및	및/MAG
특수교사	특수교사/NNG
법정정원	법정정원/NNG
확보를	확보/NNG+를/JKO
위한	위하/VV+ㄴ/ETM
연대회의(이하	연대회의/NNG+(/SS+이하/NNG
연대회의)’가	연대회의/NNG+)/SS+’/SL+가/JKS
개최한	개최하/VV+ㄴ/ETM
결의대회에는	결의대회/NNG+에/JKB+는/JX
유아특수학과	유아특수학과/NNG
교수,	교수/NNG+,/SP
학생	학생/NNG
등	등/NNB
500여명이	500/SN+여/XSN+명/NNB+이/JKS
참석해	참석하/VV+여/EC
유아특수교사	유아특수교사/NNG
선발	선발/NNG
인원에	인원/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
불만의	불만/NNG+의/JKG
목소리를	목소리/NNG+를/JKO
높였다	높이/VV+었/EP+다/EF

장애영유아의	장애영유아/NNP+의/JKG
경우	경우/NNG
무상·의무교육	무상/NNG+·/SP+의무교육/NNG
대상자이기	대상자/NNG+이/VCP+기/ETN
때문에	때문/NNB+에/JKB
유아특수교사는	유아특수교사/NNG+는/JX
더욱	더욱/MAG
필요하지만	필요하/VA+지만/EC
선발	선발/NNG
인원은	인원/NNG+은/JX
제자리걸음	제자리걸음/NNG
상태로	상태/NNG+로/JKB
