서울시교육청,	서울시/NNP+교육청/NNG+,/SP
‘통합교육	‘/SL+통합교육/NNG
종합지원	종합지원/NNG
계획’	계획/NNG+’/SN
추진	추진/NNG

서울특별시교육청(교육감	서울/NNP+특별시교육청/NNG+(/SS+교육감/NNG
곽노현)은	곽노현/NNP+)/SS+은/JX
4일	4/SN+일/NNB
일반학교에	일반학교/NNG+에/JKB
재학하는	재학하/VV+는/ETM
특수교육대상	특수교육대상/NNG
학생을	학생/NNG+을/JKO
위한	위하/VV+ㄴ/ETM
‘통합교육	‘/SL+통합교육/NNG
종합지원	종합지원/NNG
계획’을	계획/NNG+’/SL+을/JKO
추진한다고	추진하/VV+ㄴ다고/EC
밝혔다	밝히/VV+었/EP+다/EC

이번	이번/NNG
‘통합교육	‘/SL+통합교육/NNG
종합지원	종합지원/NNG
계획’은	계획/NNG+’/SL+은/JX
장애학생의	장애학생/NNG+의/JKG
교육권	교육권/NNG
확보를	확보/NNG+를/JKO
위한	위하/VV+ㄴ/ETM
교육청의	교육청/NNG+의/JKG
행정지원과	행정지원/NNG+과/JC
일반학교의	일반학교/NNG+의/JKG
변화에	변화/NNG+에/JKB
초점을	초점/NNG+을/JKO
맞추고	맞추/VV+고/EC
있다	있/VX+다/EC

시교육청은	시교육청/NNG+은/JX
먼저	먼저/MAG
협력수업	협력수업/NNG
교사,	교사/NNG+,/SP
보조인력,	보조인력/NNG+,/SP
학습보조기기	학습보조기기/NNG
지원	지원/NNG
등의	등/NNB+의/JKG
예산을	예산/NNG+을/JKO
별도로	별도/NNG+로/JKB
지원하는	지원하/VV+는/ETM
‘통합교육	‘/SL+통합교육/NNG
중점학교	중점학교/NNG
6개교’를	6/SN+개/NNB+교/NNG+’/SL+를/JKO
운영한다	운영하/VV+ㄴ다/EF

또한	또한/MAG
통합교육	통합교육/NNG
전문가로	전문가/NNG+로/JKB
구성된	구성되/VV+ㄴ/ETM
‘통합교육	‘통합교육/NNG
컨설팅지원단’을	컨설팅지원/NNG+단/XSN+’/SL+을/JKO
운영,	운영/NNG+,/SP
통합교육	통합교육/NNG
중점학교	중점학교/NNG
및	및/MAG
지역교육청	지역교육청/NNG
통합교육	통합교육/NNG
컨설팅을	컨설팅/NNG+을/JKO
실시한다	실시하/VV+ㄴ다/EF

아울러	아울러/MAG
‘통합교육	‘/SL+통합교육/NNG
담당	담당/NNG
순회교사’를	순/MM+회교사’/NNG+를/JKO
지정해	지정하/VV+여/EC
특수학급	특수학급/NNG
미설치학교	미설치학교/NNG
특수교육대상	특수교육대상/NNG
학생의	학생/NNG+의/JKG
통합교육	통합교육/NNG
및	및/MAG
특수교육	특수교육/NNG
관련	관련/NNG
업무를	업무/NNG+를/JKO
지원하고	지원하/VV+고/EC
신규	신규/NNG
임용	임용/NNG
교장·교감	교장/NNG+·/SP+교감/NNG
등	등/NNB
관리자에	관리자/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
통합교육	통합교육/NNG
직무연수를	직무연수/NNG+를/JKO
실시한다	실시하/VV+ㄴ다/EF

시교육청	시교육청/NNG
관계자는	관계자/NNG+는/JX
“그동안	“/SN+그동안/NNG
학생수	학생수/NNG
과다,	과다/NNG+,/SP
협력교사	협력교사/NNG
및	및/MAG
보조인력	보조인력/NNG
부족	부족/NNG
등으로	등/NNB+으로/JKB
통합교육이	통합교육/NNG+이/JKS
정착되는데	정착되/VV+는/ETM+데/NNB
어려움이	어려움/NNG+이/JKS
있어	있/VA+어/EC
왔다”며	오/VX+았/EP+다/EC+”/VV+며/EC
“이번	“/SL+이번/NNG
‘통합교육	‘/SL+통합교육/NNG
종합지원	종합지원/NNG
계획’을	계획/NNG+’/XSN+을/JKO
통해	통하/VV+여/EC
통합교육	통합교육/NNG
여건을	여건/NNG+을/JKO
개선하고	개선하/VV+고/EC
일반학교	일반학교/NNG
내에서의	내/NNB+에서/JKB+의/JKG
안정적	안정적/NNG
통합교육이	통합교육/NNG+이/JKS
실현돼	실현되/VV+어/EC
특수교육의	특수교육/NNG+의/JKG
만족도가	만족도/NNG+가/JKS
제고될	제고되/VV+ㄹ/ETM
것으로	것/NNB+으로/JKB
기대된다”고	기대되/VV+ㄴ다/EC+”/VV+고/EC
밝혔다	밝히/VV+었/EP+다/EC
