뒤늦게	뒤늦/VA+게/EC
공부	공부/NNG
시작,	시작/NNG+,/SP
목표	목표/NNG
이룬	이루/VV+ㄴ/ETM
중증장애인	중증장애인/NNG

“공부를	“/SL+공부/NNG+를/JKO
너무나	너무나/MAG
하고	하/VV+고/EC
싶었지만,	싶/VX+었/EP+지만/EC+,/SP
여건이	여건/NNG+이/JKS
안돼서	안되/VV+어서/EC
포기한	포기하/VV+ㄴ/ETM
이후	이후/NNG
15년	15/SN+년/NNB
만에	만/NNB+에/JKB
책을	책/NNG+을/JKO
폈어요	펴/VV+었/EP+어요/EC

앞으로	앞/NNG+으로/JKB
대학에도	대학/NNG+에/JKB+도/JX
꼭	꼭/MAG
진학할	진학하/VV+ㄹ/ETM
거예요	것/NNB+이/VCP+에요/EC

”지난	”/SL+지나/VV+ㄴ/ETM
15일	15/SN+일/NNB
고입·대입	고입/NNG+·/SP+대입/NNG
검정고시	검정고시/NNG
합격	합격/NNG
발표날	발표날/NNG

떨리는	떨리/VV+는/ETM
마음에	마음/NNG+에/JKB
마우스를	마우스/NNG+를/JKO
클릭해본	클릭하/VV+여/EC+보/VX+ㄴ/ETM
김율만(31세·뇌병변1급)씨의	김율만/NNP+(/SS+31/SN+세/NNB+·/SP+뇌병변/NNP+1/SN+급/NNG+)/SS+씨/NNB+의/JKG
얼굴에	얼굴/NNG+에/JKB
미소가	미소/NNG+가/JKS
번졌다	번지/VV+었/EP+다/EC

결과는	결과/NNG+는/JX
‘합격’	‘/SN+합격/NNG+’/SN

60점의	60/SN+점/NNB+의/JKG
커트라인	커트라인/NNG
점수를	점수/NNG+를/JKO
뛰어넘는	뛰어넘/VV+는/ETM
82	82/SN

33점이었다	33/SN+점/NNB+이/VCP+었/EP+다/EF

김씨는	김/NNP+씨/NNB+는/JX
전신을	전신/NNG+을/JKO
전혀	전혀/MAG
사용하지	사용하/VV+지/EC
못하는	못하/VX+는/ETM
중증장애인이다	중증장애인/NNG+이/VCP+다/EC

집에서만	집/NNG+에서/JKB+만/JX
생활할	생활하/VV+ㄹ/ETM
수밖에	수/NNB+밖에/JX
없는	없/VA+는/ETM
그는	그/NP+는/JX
어렸을	어리/VA+었/EP+을/ETM
적	적/NNB
놓을	놓/VV+을/ETM
수밖에	수/NNB+밖에/JX
없었던	없/VA+었/EP+던/ETM
공부에	공부/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
열망이	열망/NNG+이/JKS
가득했다	가득하/VA+었/EP+다/EC

김씨는	김/NNP+씨/NNB+는/JX
삼육재활원에서	삼육재활원/NNP+에서/JKB
중학교	중학교/NNG
2학년	2/SN+학년/NNG
때까지	때/NNG+까지/JX
생활해	생활하/VV+여/EC
왔다	오/VX+았/EP+다/EF

하지만	하지만/MAJ
그	그/MM
뒤	뒤/NNG
