세계적	세계적/NNG
관심	관심/NNG
끄는	끌/VV+는/ETM
장애	장애/NNG
방과	방/NNG+과/JC
후	후/NNG
학교	학교/NNG
‘VIP’	‘VIP’/SL

장애	장애/NNG
고등학생은	고등학생/NNG+은/JX
사회가	사회/NNG+가/JKS
완벽하게	완벽하/VA+게/EC
장애	장애/NNG
문제를	문제/NNG+를/JKO
해결하지	해결하/VV+지/EC
않는	않/VX+는/ETM
한	한/NNG
장애로	장애/NNG+로/JKB
인해	인하/VV+여/EC
부딪치게	부딪치/VV+게/EC
될	되/VV+ㄹ/ETM
문제를	문제/NNG+를/JKO
미연에	미연/NNG+에/JKB
방지하거나	방지하/VV+거나/EC
차별없는	차별/NNG+없/VA+는/ETM
사회	사회/NNG
생활을	생활/NNG+을/JKO
하게	하/VV+게/EC
하기	하/VX+기/ETN
위해	위하/VV+여/EC
별도의	별도/NNG+의/JKG
교육이	교육/NNG+이/JKS
필요하다	필요하/VA+다/EC

그러나	그러나/MAJ
대부분은	대부분/NNG+은/JX
장애	장애/NNG
특유의	특유/NNG+의/JKG
차이를	차이/NNG+를/JKO
무시한	무시하/VV+ㄴ/ETM
채	채/NNB
비장애인	비/XPN+장애인/NNG
위주로	위주/NNG+로/JKB
형성되어있는	형성되/VV+어/EC+있/VX+는/ETM
교육기관에서	교육기관/NNG+에서/JKB
일반화된	일반화되/VV+ㄴ/ETM
교육을	교육/NNG+을/JKO
받고	받/VV+고/EC
졸업하게	졸업하/VV+게/EC
된다	되/VV+ㄴ다/EF

장애의	장애/NNG+의/JKG
특성이	특성/NNG+이/JKS
고려되지	고려되/VV+지/EC
않은	않/VX+은/ETM
일반화된	일반화되/VV+ㄴ/ETM
교육은	교육/NNG+은/JX
장애	장애/NNG
청소년이	청소년/NNG+이/JKS
성인이	성인/NNG+이/JKC
되었을	되/VV+었/EP+을/ETM
때	때/NNG
직업	직업/NNG
선택에서	선택/NNG+에서/JKB
편의시설,	편의시설/NNG+,/SP
사회적응	사회적응/NNG
등	등/NNB
많은	많/VA+은/ETM
부분에서	부분/NNG+에서/JKB
어려움을	어려움/NNG+을/JKO
겪게될	겪/VV+게/EC+되/VV+ㄹ/ETM
소지를	소지/NNG+를/JKO
품고	품/VV+고/EC
있다	있/VX+다/EC

문제의	문제/NNG+의/JKG
심각성을	심각성/NNG+을/JKO
파악한	파악하/VV+ㄴ/ETM
플로리다	플로리다/NNP
소재	소재/NNG
장애기관	장애기관/NNG
‘이스터	‘/SL+이스터/NNG
실’에서	실’/NNG+에서/JKB
2000년대	2000/SN+년대/NNB
말에	말/NNB+에/JKB
청소년	청소년/NNG
방과	방/NNG+과/JC
후	후/NNG
학교	학교/NNG
VIP(Vocational	VIP/SL+(/SS+Vocational/SL
Introduction	Introduction/SL
and	and/SL
Preparation)아카데미를	Preparation/SL+)/SS+아카데미/NNG+를/JKO
만들었다	만들/VV+었/EP+다/EC

주로	주로/MAG
장애	장애/NNG
전문	전문/NNG
직업	직업/NNG
교육을	교육/NNG+을/JKO
실시하는	실시하/VV+는/ETM
이	이/MM
프로그램에서는	프로그램/NNG+에서/JKB+는/JX
각기	각기/MAG
다른	다르/VA+ㄴ/ETM
장애	장애/NNG
첫소년들의	첫소년/NNG+들/XSN+의/JKG
상태와	상태/NNG+와/JC
희망	희망/NNG
등을	등/NNB+을/JKO
섬세하게	섬세하/VA+게/EC
살핀	살피/VV+ㄴ/ETM
후	후/NNG
그에	그/NP+에/JKB
맞는	맞/VV+는/ETM
직업	직업/NNG
교육과	교육/NNG+과/JC
다양한	다양하/VA+ㄴ/ETM
형태의	형태/NNG+의/JKG
사회	사회/NNG
적응	적응/NNG
훈련을	훈련/NNG+을/JKO
받게	받/VV+게/EC
된다	되/VV+ㄴ다/EF

VIP아카데미는	VIP/SL+아카데미/NNG+는/JX
단순히	단순히/MAG
