장애아	장애아/NNG
부모	부모/NNG
특수학교에	특수학교/NNG+에/JKB
감시카메라	감시카메라/NNG
설치	설치/NNG
요구	요구/NNG

미국	미국/NNP
장애	장애/NNG
학교에서	학교/NNG+에서/JKB
교사들이	교사/NNG+들/XSN+이/JKS
학생들에게	학생/NNG+들/XSN+에게/JKB
폭언과	폭언/NNG+과/JC
체벌을	체벌/NNG+을/JKO
하는	하/VV+는/ETM
사례들이	사례/NNG+들/XSN+이/JKS
발생하면서	발생하/VV+면서/EC
부모들이	부모/NNG+들/XSN+이/JKS
교실에	교실/NNG+에/JKB
비밀	비밀/NNG
카메라를	카메라/NNG+를/JKO
설치할	설치하/VV+ㄹ/ETM
것을	것/NNB+을/JKO
요구하고	요구하/VV+고/EC
나섰다	나서/VV+었/EP+다/EF

지난	지나/VV+ㄴ/ETM
9월	9/SN+월/NNB
5일	5/SN+일/NNB
방영된	방영되/VV+ㄴ/ETM
ABC	ABC/SL
뉴스에	뉴스/NNG+에/JKB
따르면	따르/VV+면/EC
장애	장애/NNG
아동들이	아동/NNG+들/XSN+이/JKS
특수학교에서	특수학교/NNG+에서/JKB
학대를	학대/NNG+를/JKO
받고	받/VV+고/EC
있다며	있/VX+다며/EC
이에	이/NP+에/JKB
항의해	항의하/VV+여/EC
학교에	학교/NNG+에/JKB
감시카메라	감시카메라/NNG
설치를	설치/NNG+를/JKO
요구하는	요구하/VV+는/ETM
풀뿌리	풀뿌리/NNG
운동이	운동/NNG+이/JKS
미전역으로	미/XPN+전역/NNG+으로/JKB
번지고	번지/VV+고/EC
있다고	있/VX+다고/EC
말했다	말하/VV+였/EP+다/EC

이	이/MM
운동은	운동/NNG+은/JX
테라	테라/NNB
헤이딩거에	헤이딩거/NNG+에/JKB
의해	의하/VV+여/EC
촉발됐다	촉발되/VV+었/EP+다/EF

오하이오에	오하이오/NNP+에/JKB
거주하는	거주하/VV+는/ETM
그녀는	그녀/NP+는/JX
8살짜리	8/SN+살/NNB+짜리/XSN
아들	아들/NNG
코레이가	코레이/NNP+가/JKS
학교에서	학교/NNG+에서/JKB
돌아와	돌아오/VV+아/EC
보니	보/VX+니/EC
팔에	팔/NNG+에/JKB
멍이	멍/NNG+이/JKS
있었고	있/VA+었/EP+고/EC
왜	왜/MAG
그랬느냐는	그러/VV+었/EP+느냐는/ETM
엄마의	엄마/NNG+의/JKG
질문에	질문/NNG+에/JKB
'교사가	'/SS+교사/NNG+가/JKC
자기를	자기/NP+를/JKO
나쁘게	나쁘/VA+게/EC
대했다'고만	대하/VV+였/EP+다/EF+'/SS+고/JKQ+만/JX
말했다	말하/VV+였/EP+다/EC

학교	학교/NNG
친구들은	친구/NNG+들/XSN+은/JX
코레이가	코레이/NNP+가/JKS
화가	화/NNG+가/JKS
나	나/VV+아/EC
있는	있/VX+는/ETM
상태에서	상태/NNG+에서/JKB
교사는	교사/NNG+는/JX
그의	그/NP+의/JKG
팔을	팔/NNG+을/JKO
거칠게	거칠/VA+게/EC
잡고	잡/VV+고/EC
얼굴에	얼굴/NNG+에/JKB
폭언을	폭언/NNG+을/JKO
해	하/VV+여/EC
댔다고	대/VX+었/EP+다고/EC
말했다	말하/VV+였/EP+다/EC

테라는	테라/NNG+는/JX
곧	곧/MAG
페이스	페이스/NNG
북을	북/NNG+을/JKO
통해	통하/VV+여/EC
비슷한	비슷하/VA+ㄴ/ETM
경우를	경우/NNG+를/JKO
당한	당하/VV+ㄴ/ETM
학부모들과	학부모/NNG+들/XSN+과/JKB
담합해	담합하/VV+여/EC
지속적으로	지속적/NNG+으로/JKB
학교	학교/NNG
교실에	교실/NNG+에/JKB
감시	감시/NNG
카메라	카메라/NNG
설치를	설치/NNG+를/JKO
요구하고	요구하/VV+고/EC
있다	있/VX+다/EC

학교	학교/NNG
측은	측/NNB+은/JX
아직	아직/MAG
충분한	충분하/VA+ㄴ/ETM
자료가	자료/NNG+가/JKS
없어서	없/VA+어서/EC
학부모의	학부모/NNG+의/JKG
말을	말/NNG+을/JKO
믿지	믿/VV+지/EC
못하겠다며	못하/VX+겠/EP+다며/EC
자체	자체/NNG
조사	조사/NNG
중이라고	중/NNB+이/VCP+라고/EC
밝혔다	밝히/VV+었/EP+다/EC

장애	장애/NNG
교육	교육/NNG
관계자들은	관계자/NNG+들/XSN+은/JX
학생들의	학생/NNG+들/XSN+의/JKG
인권을	인권/NNG+을/JKO
위해서	위하/VV+여서/EC
교실내	교실/NNG+내/NNB
감시	감시/NNG
카메라	카메라/NNG
설치는	설치/NNG+는/JX
꼭	꼭/MAG
있어야	있/VA+어야/EC
된다고	되/VV+ㄴ다고/EC
입을	입/NNG+을/JKO
모았다	모으/VV+았/EP+다/EC

*	*/SW
샘	샘/NNG
기자는	기자/NNG+는/JX
에이블뉴스	에이블뉴스/NNP
객원기자로	객원기자/NNG+로/JKB
캘리포니아	캘리포니아/NNP
버클리대학	버클리대학/NNP
사회학과를	사회학과/NNG+를/JKO
졸업하고,	졸업하/VV+고/EC+,/SP
전	전/MM
미상원	미/NNP+상원/NNG
장애인국	장애인국/NNG
인턴을	인턴/NNG+을/JKO
지냈다	지내/VV+었/EP+다/EC

현재	현재/MAG
TEC	TEC/SL
대표를	대표/NNG+를/JKO
맡고	맡/VV+고/EC
있다	있/VX+다/EC
