하얀	하얗/VA+ㄴ/ETM
천속에	천속/NNG+에/JKB
새겨진	새기/VV+어/EC+지/VX+ㄴ/ETM
학생들의	학생/NNG+들/XSN+의/JKG
절박한	절박하/VA+ㄴ/ETM
‘마음’	‘/SL+마음/NNG+’/SN

장애인	장애인/NNG
교육권	교육권/NNG
및	및/MAG
특수교사	특수교사/NNG
법정정원	법정정원/NNG
확보를	확보/NNG+를/JKO
위한	위하/VV+ㄴ/ETM
연대회의(이하	연대회의/NNG+(/SS+이하/NNG
연대회의)는	연대회의/NNG+)/SS+는/JX
6일	6/SN+일/NNB
오후	오후/NNG
2시	2/SN+시/NNB
보신각에서	보신각/NNP+에서/JKB
약	약/MM
1000명의	1000/SN+명/NNB+의/JKG
특수교육과	특수교육/NNG+과/JC
학생	학생/NNG
및	및/MAG
교수,	교수/NNG+,/SP
장애인	장애인/NNG
부모	부모/NNG
등이	등/NNB+이/JKS
참석한	참석하/VV+ㄴ/ETM
가운데	가운데/NNG
'장애인	'/SS+장애인/NNG
교육권	교육권/NNG
확보	확보/NNG
및	및/MAG
특수교사	특수교사/NNG
법정정원	법정정원/NNG
확보를	확보/NNG+를/JKO
위한	위하/VV+ㄴ/ETM
결의대회'	결의대회/NNG+'/SS
개최했다	개최하/VV+였/EP+다/EC

이날	이날/NNG
연대회의는	연대회의/NNG+는/JX
'장애인교육	'/SS+장애인교육/NNG
차별'이라고	차별/NNG+'/SS+이라고/JKQ
적힌	적히/VV+ㄴ/ETM
빨간	빨갛/VA+ㄴ/ETM
공을	공/NNG+을/JKO
무대	무대/NNG
앞으로	앞/NNG+으로/JKB
가지고	가지/VV+고/EC
나와	나오/VV+아/EC
찢는	찢/VV+는/ETM
퍼포먼스와	퍼포먼스/NNG+와/JC
손	손/NNG
피켓	피켓/NNG
파도타기를	파도타기/NNG+를/JKO
선보였다	선보이/VV+었/EP+다/EF

또한	또한/MAG
'장애학생을	'/SS+장애학생/NNG+을/JKO
위한	위하/VV+ㄴ/ETM
선생님이	선생님/NNG+이/JKS
필요해요'라고	필요하/VA+여요/EF+'/SS+라고/JKQ
적힌	적히/VV+ㄴ/ETM
손	손/NNG
피켓을	피켓/NNG+을/JKO
찍어	찍/VV+어/EC
SNS에	SNS/SL+에/JKB
올리기	올리/VV+기/ETN
행사와	행사/NNG+와/JC
강남대학교·경동대학교	강남대학교/NNP+·/SP+경동대학교/NNP
특수교육과	특수교육/NNG+과/JC
학생들이	학생/NNG+들/XSN+이/JKS
준비한	준비하/VV+ㄴ/ETM
수화공연,	수화공연/NNG+,/SP
대구대학교	대구대학교/NNP
중등특수교육과	중등특수교육/NNG+과/JC
학생들의	학생/NNG+들/XSN+의/JKG
몸짓공연까지	몸짓공연/NNG+까지/JX
다채로웠다	다채롭/VA+었/EP+다/EC

특수교사	특수교사/NNG
법정정원	법정정원/NNG
확보를	확보/NNG+를/JKO
위한	위하/VV+ㄴ/ETM
그들의	그/NP+들/XSN+의/JKG
뜨거운	뜨겁/VA+ㄴ/ETM
목소리를	목소리/NNG+를/JKO
카메라에	카메라/NNG+에/JKB
담아본다	담아보/VV+ㄴ다/EF

결의대회에	결의대회/NNG+에/JKB
참석한	참석하/VV+ㄴ/ETM
특수교육과	특수교육/NNG+과/JC
학생들이	학생/NNG+들/XSN+이/JKS
손피켓을	손피켓/NNG+을/JKO
펴고	펴/VV+고/EC
특수교사	특수교사/NNG
법정정원	법정정원/NNG
확보에	확보/NNG+에/JKB
목소리를	목소리/NNG+를/JKO
강력하게	강력하/VA+게/EC
내고	내/VV+고/EC
있다	있/VX+다/EC

이날	이날/NNG
결의대회에서	결의대회/NNG+에서/JKB
학생들은	학생/NNG+들/XSN+은/JX
'장애인교육	'/SS+장애인교육/NNG
차별'이라고	차별/NNG+'/SS+이라고/JKQ
적힌	적히/VV+ㄴ/ETM
빨간	빨갛/VA+ㄴ/ETM
공을	공/NNG+을/JKO
무대	무대/NNG
앞으로	앞/NNG+으로/JKB
갖고	갖/VV+고/EC
나와	나오/VV+아/EC
공을	공/NNG+을/JKO
찢는	찢/VV+는/ETM
퍼포먼스를	퍼포먼스/NNG+를/JKO
선보였다	선보이/VV+었/EP+다/EF

결의대회에	결의대회/NNG+에/JKB
참석한	참석하/VV+ㄴ/ETM
특수교육과	특수교육/NNG+과/JC
학생들의	학생/NNG+들/XSN+의/JKG
수화공연	수화공연/NNG
모습	모습/NNG

결의대회에	결의대회/NNG+에/JKB
참석한	참석하/VV+ㄴ/ETM
특수교육과	특수교육/NNG+과/JC
학생들의	학생/NNG+들/XSN+의/JKG
수화공연	수화공연/NNG
모습	모습/NNG

손피켓을	손피켓/NNG+을/JKO
찍어	찍/VV+어/EC
SNS에	SNS/SL+에/JKB
올리는	올리/VV+는/ETM
행사가	행사/NNG+가/JKS
진행되고	진행되/VV+고/EC
있다	있/VX+다/EC

특수교사	특수교사/NNG
법정정원	법정정원/NNG
확보를	확보/NNG+를/JKO
위한	위하/VV+ㄴ/ETM
침묵시위는	침묵시위/NNG+는/JX
3분간	3/SN+분/NNB+간/XSN
진행됐다	진행되/VV+었/EP+다/EF

학생들은	학생/NNG+들/XSN+은/JX
손피켓을	손피켓/NNG+을/JKO
들고	들/VV+고/EC
'특수교사를	'/SS+특수교사/NNG+를/JKO
충원하라'고	충원하/VV+라/EF+'/SS+고/JKQ
강력하게	강력하/VA+게/EC
요구하고	요구하/VV+고/EC
있다	있/VX+다/EC
