"특수학교	"/SS+특수학교/NNG
직원	직원/NNG
공금횡령	공금횡령/NNG
철저히	철저히/MAG
수사해야"	수사하/VV+여야/EF+"/SS

전국장애인교육권연대(이하	전/MM+국장애인교육권연대/NNG+(/SS+이하/NNG
교육권연대)가	교육권연대/NNG+)/SS+가/JKS
31일	31/SN+일/NNB
성명서를	성명서/NNG+를/JKO
통해	통하/VV+여/EC
70여차례	70/SN+여/XSN+차례/NNG
인건비를	인건비/NNG+를/JKO
부풀려	부풀리/VV+어/EC
매달	매달/MAG
4~500만원을	4/SN+~/SO+500/SN+만/NR+원/NNB+을/JKO
횡령한	횡령하/VV+ㄴ/ETM
경북영광학교(특수학교)	경북영광학교/NNP+(/SS+특수학교/NNG+)/SS
회계직원에	회계직원/NNG+에/JKB
대해	대하/VV+여/EC
철저한	철저하/VA+ㄴ/ETM
수사와	수사/NNG+와/JC
재발방지	재발방지/NNG
대책을	대책/NNG+을/JKO
수립할	수립하/VV+ㄹ/ETM
것을	것/NNB+을/JKO
촉구했다	촉구하/VV+였/EP+다/EC

경북영광학교의	경북/NNP+영광학교/NNG+의/JKG
행정실	행정/NNG+실/XSN
직원이	직원/NNG+이/JKS
지난	지나/VV+ㄴ/ETM
2009년	2009/SN+년/NNB
12월부터	12/SN+월/NNB+부터/JX
지난	지나/VV+ㄴ/ETM
7월까지	7/SN+월/NNB+까지/JX
교직원의	교직원/NNG+의/JKG
급여를	급여/NNG+를/JKO
실제보다	실제/NNG+보다/JKB
부풀려	부풀리/VV+어/EC
지급하는	지급하/VV+는/ETM
식으로	식/NNB+으로/JKB
서류를	서류/NNG+를/JKO
위조해	위조하/VV+여/EC
3년동안	3/SN+년/NNB+동안/NNG
1억	1/SN+억/NR
8천만원의	8/SN+천만/NR+원/NNB+의/JKG
공금을	공금/NNG+을/JKO
횡령한	횡령하/VV+ㄴ/ETM
사실이	사실/NNG+이/JKS
드러났다	드러나/VV+았/EP+다/EC

이번	이번/NNG
공금	공금/NNG
횡령사실은	횡령사실/NNG+은/JX
경북도교육청이	경북도/NNP+교육청/NNG+이/JKS
경북영광학교를	경북영광/NNP+학교/NNG+를/JKO
대상으로	대상/NNG+으로/JKB
정기감사	정기감사/NNG
도중	도중/NNG
학교법인	학교법인/NNG
카드대금이	카드대금/NNG+이/JKS
결제일이	결제/NNG+일/XSN+이/JKS
아닌	아니/VCN+ㄴ/ETM
날에도	날/NNG+에/JKB+도/JX
수시로	수시로/MAG
빠져	빠지/VV+어/EC
나간	나가/VV+ㄴ/ETM
사실	사실/NNG
등을	등/NNB+을/JKO
확인하며,	확인하/VV+며/EC+,/SP
적발됐다	적발되/VV+었/EP+다/EF

이와	이/NP+와/JKB
관련	관련/NNG
교육권연대는	교육권연대/NNG+는/JX
“70여	“/SL+70/SN+여/XSN
차례	차례/NNG
인건비를	인건비/NNG+를/JKO
부풀리는	부풀리/VV+는/ETM
수법으로	수법/NNG+으로/JKB
매달	매달/MAG
4~500만원을	4/SN+~/SO+500/SN+만/NR+원/NNB+을/JKO
횡령한	횡령하/VV+ㄴ/ETM
경북영광학교	경북영광학교/NNP
직원에	직원/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
언론	언론/NNG
보도를	보도/NNG+를/JKO
보고	보/VV+고/EC
아직도	아직/MAG+도/JX
특수학교에서	특수학교/NNG+에서/JKB
이러한	이러하/VA+ㄴ/ETM
사건이	사건/NNG+이/JKS
발생했다는	발생하/VV+였/EP+다는/ETM
사실에	사실/NNG+에/JKB
분노를	분노/NNG+를/JKO
금할	금하/VV+ㄹ/ETM
수	수/NNB
없다”고	없/VA+다”고/EC
꼬집었다	꼬집/VV+었/EP+다/EF

교육권연대는	교육권연대/NNG+는/JX
“지난	“/SL+지나/VV+ㄴ/ETM
2010년	2010/SN+년/NNB
경북영광학교	경북영광학교/NNP
학부모회는	학부모회/NNG+는/JX
기자회견을	기자회견/NNG+을/JKO
통해	통하/VV+여/EC
교육환경	교육환경/NNG
개선과	개선/NNG+과/JC
투명한	투명하/VA+ㄴ/ETM
학교	학교/NNG
운영을	운영/NNG+을/JKO
요구하며,	요구하/VV+며/EC+,/SP
경북도교육청의	경북도/NNP+교육청/NNG+의/JKG
감사를	감사/NNG+를/JKO
요구	요구/NNG
한	하/VV+ㄴ/ETM
적	적/NNB
있다	있/VA+다/EC

그	그/MM
때에도	때/NNG+에/JKB+도/JX
이런	이런/MM
비리가	비리/NNG+가/JKS
존재하고	존재하/VV+고/EC
있었지만	있/VX+었/EP+지만/EC
법인	법인/NNG
감사,	감사/NNG+,/SP
교육청	교육청/NNG
감사를	감사/NNG+를/JKO
무사히	무사히/MAG
통과했었다”면서	통과하/VV+였었/EP+다/EC+”/VX+면서/EC
“우리	“/SL+우리/NP
아이들의	아이/NNG+들/XSN+의/JKG
교육을	교육/NNG+을/JKO
위해	위하/VV+여/EC
사용되어야	사용되/VV+어야/EC
할	하/VX+ㄹ/ETM
경비들이	경비/NNG+들/XSN+이/JKS
엉뚱한	엉뚱하/VA+ㄴ/ETM
곳에	곳/NNG+에/JKB
사용되고	사용되/VV+고/EC
있었는데도	있/VX+었/EP+는데/EC+도/JX
학교를	학교/NNG+를/JKO
감독하는	감독하/VV+는/ETM
교육당국은	교육당국/NNG+은/JX
그때	그때/NNG
무엇을	무엇/NP+을/JKO
하고	하/VV+고/EC
있었는지	있/VX+었/EP+는지/EC
책임을	책임/NNG+을/JKO
묻지	묻/VV+지/EC
않을	않/VX+을/ETM
수	수/NNB
없다”고	없/VA+다”고/EC
질타했다	질타하/VA+었/EP+다/EC

교육권연대는	교육권연대/NNG+는/JX
또한	또한/MAG
“늦은	“/SL+늦/VA+은/ETM
감이	감/NNG+이/JKS
있지만	있/VA+지만/EC
지금이라도	지금/NNG+이라도/JX
이러한	이러하/VA+ㄴ/ETM
비리를	비리/NNG+를/JKO
적발할	적발하/VV+ㄹ/ETM
수	수/NNB
있음을	있/VA+음/ETN+을/JKO
다행으로	다행/NNG+으로/JKB
생각하고,	생각하/VV+고/EC+,/SP
수사당국과	수사당국/NNG+과/JC
경북도교육청에서는	경북도/NNP+교육청/NNG+에서/JKB+는/JX
철저한	철저하/VA+ㄴ/ETM
수사와	수사/NNG+와/JC
재발방지	재발방지/NNG
대책을	대책/NNG+을/JKO
수립하길	수립하/VV+기/ETN+ㄹ/JKO
바란다”면서	바란다”/VV+면서/EC
“학교	“/SL+학교/NNG
법인과	법인/NNG+과/JC
학교	학교/NNG
관리자에	관리자/NNG+에/JKB
대해서도	대하/VV+여서/EC+도/JX
그	그/MM
책임을	책임/NNG+을/JKO
철저히	철저히/MAG
물어야	묻/VV+어야/EC
할	하/VX+ㄹ/ETM
것”이라고	것/NNB+”/SL+이/VCP+라고/EC
비판했다	비판하/VV+였/EP+다/EF

더불어	더불/VV+어/EC
“횡령한	“/SW+횡령하/VV+ㄴ/ETM
공금의	공금/NNG+의/JKG
사용처와	사용/NNG+처/XSN+와/JC
공범의	공범/NNG+의/JKG
유무,	유무/NNG+,/SP
또	또/MAG
다른	다른/MM
횡령	횡령/NNG
금액이	금액/NNG+이/JKS
있었는지에	있/VA+었/EP+는지/EC+에/JKB
대한	대하/VV+ㄴ/ETM
사실과	사실/NNG+과/JC
경북영광학교	경북/NNP+영광학교/NNG
학부모회에서	학부모회/NNG+에서/JKB
지속적으로	지속적/NNG+으로/JKB
요구하고	요구하/VV+고/EC
있는	있/VX+는/ETM
기숙사비	기숙사비/NNG
사용,	사용/NNG+,/SP
학교	학교/NNG
증개축과	증개축/NNG+과/JKB
관련한	관련하/VV+ㄴ/ETM
집행내역,	집행내역/NNG+,/SP
각종	각종/NNG
후원금,	후원금/NNG+,/SP
