"선생님이	"/SS+선생님/NNG+이/JKS
없어	없/VA+어/EC
공부를	공부/NNG+를/JKO
할	하/VV+ㄹ/ETM
수	수/NNB
없어요"	없/VA+어요/EF+"/SS

“장애학생들이	“/SL+장애학생/NNG+들/XSN+이/JKS
특수교사	특수교사/NNG
선생님이	선생님/NNG+이/JKS
없어서	없/VA+어서/EC
공부를	공부/NNG+를/JKO
할	하/VV+ㄹ/ETM
수가	수/NNB+가/JKS
없어요!”장애인	없/VA+어요/EF+!/SF+”/SL+장애인/NNG
교육권	교육권/NNG
및	및/MAG
특수교사	특수교사/NNG
법정정원	법정정원/NNG
확보를	확보/NNG+를/JKO
위한	위하/VV+ㄴ/ETM
연대회의를	연대회의/NNG+를/JKO
비롯해	비롯하/VV+여/EC
한국장애인부모회,	한국/NNP+장애인부모회/NNG+,/SP
전국장애인야학협의회	전/MM+국장애인야학협의회/NNG
등	등/NNB
총	총/MM
6개	6/SN+개/NNB
단체는	단체/NNG+는/JX
29일	29/SN+일/NNB
오전	오전/NNG
11시	11/SN+시/NNB
전국	전국/NNG
9개	9/SN+개/NNB
시·도의	시/NNG+·/SP+도/NNG+의/JKG
교육청	교육청/NNG
앞에서	앞/NNG+에서/JKB
장애인	장애인/NNG
교육권	교육권/NNG
확보	확보/NNG
및	및/MAG
특수교사	특수교사/NNG
증원	증원/NNG
촉구	촉구/NNG
동시다발	동시다발/NNG
기자회견을	기자회견/NNG+을/JKO
열었다	열/VV+었/EP+다/EC

이날	이날/NNG
9개	9/SN+개/NNB
지역의	지역/NNG+의/JKG
장애부모,	장애부모/NNG+,/SP
특수교육과	특수교육/NNG+과/JC
학생	학생/NNG
및	및/MAG
교수,	교수/NNG+,/SP
현장	현장/NNG
특수교사,	특수교사/NNG+,/SP
장애학생들	장애학생/NNG+들/XSN
까지	까지/JX
모두	모두/MAG
거리로	거리/NNG+로/JKB
나와	나오/VV+아/EC
현재	현재/MAG
전국	전국/NNG
국·공·사립학교의	국/NNG+·/SP+공/NNG+·/SP+사립학교/NNG+의/JKG
특수교사	특수교사/NNG
법정정원	법정정원/NNG
확보율을	확보/NNG+율/XSN+을/JKO
설명하며	설명하/VV+며/EC
특수교사	특수교사/NNG
증원과	증원/NNG+과/JC
장애학생의	장애학생/NNG+의/JKG
교육권을	교육권/NNG+을/JKO
확보해	확보하/VV+여/EC
줄	주/VX+ㄹ/ETM
것을	것/NNB+을/JKO
강력히	강력히/MAG
촉구했다	촉구하/VV+였/EP+다/EC

전국	전국/NNG
국·공·사립학교의	국/NNG+·/SP+공/NNG+·/SP+사립학교/NNG+의/JKG
특수교사는	특수교사/NNG+는/JX
13,447명으로	13,447/SN+명/NNB+으로/JKB
법정정원	법정정원/NNG
수	수/NNG
19,701명에	19,701/SN+명/NNB+에/JKB
비해	비하/VV+여/EC
68	68/SN

5%만	5/SN+%/SW+만/JX
확보된	확보되/VV+ㄴ/ETM
상황이다	상황/NNG+이/VCP+다/EC

특수교사	특수교사/NNG
법정정원	법정정원/NNG
미	미/NNP
확보는	확보/NNG+는/JX
단순히	단순히/MAG
