미국	미국/NNP
특수교육	특수교육/NNG
온라인클래스	온라인클래스/NNG
조사	조사/NNG
착수	착수/NNG

미국에서는	미국/NNP+에서/JKB+는/JX
온라인	온라인/NNG
클래스가	클래스/NNG+가/JKS
폭발적으로	폭발적/NNG+으로/JKB
늘고	늘/VV+고/EC
있는	있/VX+는/ETM
추세다	추세/NNG+이/VCP+다/EF

온라인	온라인/NNG
수업은	수업/NNG+은/JX
지역에	지역/NNG+에/JKB
국한되지	국한되/VV+지/EC
않을뿐더러	않/VX+을뿐더러/EC
수업료도	수업료/NNG+도/JX
저렴하고	저렴하/VA+고/EC
챙길	챙기/VV+ㄹ/ETM
것	것/NNB
없이	없이/MAG
편안하게	편안하/VA+게/EC
집에서	집/NNG+에서/JKB
공부할	공부하/VV+ㄹ/ETM
수	수/NNB
있다는	있/VA+다는/ETM
점에서	점/NNG+에서/JKB
크게	크/VA+게/EC
각광을	각광/NNG+을/JKO
받고	받/VV+고/EC
있다	있/VX+다/EC

그러나	그러나/MAJ
일부	일부/NNG
클래스는	클래스/NNG+는/JX
온라인으로	온라인/NNG+으로/JKB
받기에는	받/VV+기/ETN+에/JKB+는/JX
무리가	무리/NNG+가/JKS
따른다	따르/VV+ㄴ다/EF

특수교육이	특수교육/NNG+이/JKS
대표적인	대표적/NNG+이/VCP+ㄴ/ETM
예다	예/VV+다/EF

온라인	온라인/NNG
클래스의	클래스/NNG+의/JKG
특징은	특징/NNG+은/JX
실험과	실험/NNG+과/JC
실행이	실행/NNG+이/JKS
여의치	여의하/VA+지/EC
않다는	않/VX+다는/ETM
단점을	단점/NNG+을/JKO
가지고	가지/VV+고/EC
있다	있/VX+다/EC

미국에서	미국/NNP+에서/JKB
미	미/NNP
연방정부로부터	연방정부/NNG+로부터/JKB
자금을	자금/NNG+을/JKO
보조받고	보조/NNG+받/VV+고/EC
있는	있/VX+는/ETM
단체와	단체/NNG+와/JC
장애	장애/NNG
학생들이	학생/NNG+들/XSN+이/JKS
온라인	온라인/NNG
특수교육에	특수교육/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
문제점을	문제점/NNG+을/JKO
제시하고	제시하/VV+고/EC
조사에	조사/NNG+에/JKB
착수했다	착수하/VV+였/EP+다/EC

온라인	온라인/NNG
특수교육	특수교육/NNG
클래스에서	클래스/NNG+에서/JKB
사용되는	사용되/VV+는/ETM
수많은	수많/VA+은/ETM
