'117'	'/SS+117/SN+'/SS
학교폭력	학교폭력/NNG
신고센터,	신고센터/NNG+,/SP
전국으로	전국/NNG+으로/JKB
확대	확대/NNG

‘117’	‘/SL+117/SN+’/SW
학교폭력	학교폭력/NNG
신고	신고/NNG
센터가	센터/NNG+가/JKS
전국으로	전국/NNG+으로/JKB
확대된다	확대되/VV+ㄴ다/EF

정부는	정부/NNG+는/JX
‘117’을	‘/SL+117/SN+’/SL+을/JKO
통한	통하/VV+ㄴ/ETM
학교폭력	학교폭력/NNG
신고가	신고/NNG+가/JKS
활성화됨에	활성화되/VV+ㅁ/ETN+에/JKB
따라	따르/VV+아/EC
보다	보다/MAG
신속하고	신속하/VA+고/EC
제대로	제대로/MAG
된	되/VV+ㄴ/ETM
처리를	처리/NNG+를/JKO
위해	위하/VV+여/EC
117	117/SN
중앙센터를	중앙센터/NNG+를/JKO
18일부터	18/SN+일/NNB+부터/JX
전국	전국/NNG
시·도로	시/NNG+·/SP+도로/NNG
확대,	확대/NNG+,/SP
17개	17/SN+개/NNB
광역센터를	광역센터/NNG+를/JKO
운영한다고	운영하/VV+ㄴ다고/EC
18일	18/SN+일/NNB
밝혔다	밝히/VV+었/EP+다/EC

동	동/NNG
센터에서는	센터/NNG+에서/JKB+는/JX
각	각/MM
지방	지방/NNG
경찰관과	경찰관/NNG+과/JC
교과부,	교과부/NNG+,/SP
여가부에서	여가부/NNG+에서/JKB
파견한	파견하/VV+ㄴ/ETM
전문상담사가	전문상담사/NNG+가/JKS
합동으로	합동/NNG+으로/JKB
근무하며	근무하/VV+며/EC
학교폭력	학교폭력/NNG
신고접수,	신고접수/NNG+,/SP
상담	상담/NNG
및	및/MAG
수사·지원까지	수사/NNG+·/SP+지원/NNG+까지/JX
원스톱	원스톱/NNG
서비스를	서비스/NNG+를/JKO
제공하다	제공하/VV+다/EC

이날	이날/NNG
오후	오후/NNG
2시	2/SN+시/NNB
열린	열리/VV+ㄴ/ETM
강원지방청	강원/NNP+지방청/NNG
개소식에는	개소식/NNG+에/JKB+는/JX
김황식	김황식/NNP
국무총리를	국무총리/NNG+를/JKO
비롯해	비롯하/VV+여/EC
교육과학기술부	교육과학기술부/NNG
장관,	장관/NNG+,/SP
여성가족부	여성가족부/NNG
차관,	차관/NNG+,/SP
강원도	강원도/NNP
행정부지사	행정부지사/NNG
및	및/MAG
강원도	강원도/NNP
교육감	교육감/NNG
등이	등/NNB+이/JKS
참석해	참석하/VV+여/EC
학교폭력	학교폭력/NNG
근절을	근절/NNG+을/JKO
위한	위하/VV+ㄴ/ETM
개소식의	개소식/NNG+의/JKG
의미를	의미/NNG+를/JKO
더했다	더하/VV+였/EP+다/EF

이	이/MM
자리에서	자리/NNG+에서/JKB
김황식	김황식/NNP
국무총리는	국무총리/NNG+는/JX
"학교폭력	"/SS+학교폭력/NNG
문제는	문제/NNG+는/JX
학생들에게	학생/NNG+들/XSN+에게/JKB
‘신고하면	‘/SN+신고하/VV+면/EC
해결된다’라는	해결되/VV+ㄴ다/EC+’/VV+라는/ETM
신뢰감을	신뢰감/NNG+을/JKO
주어	주/VV+어/EC
신고가	신고/NNG+가/JKS
활성화되는	활성화되/VV+는/ETM
것이	것/NNB+이/JKS
무엇보다	무엇/NP+보다/JKB
중요하고,	중요하/VA+고/EC+,/SP
금일	금일/NNG
‘117’	‘/SL+117/SN+’/SL
신고센터	신고센터/NNG
개소가	개소/NNG+가/JKS
문제해결의	문제해결/NNG+의/JKG
시작"이라며	시작/NNG+"/SS+이/VCP+라며/EC
학교폭력	학교폭력/NNG
근절을	근절/NNG+을/JKO
위해	위하/VV+여/EC
정부차원의	정부차원/NNG+의/JKG
지속적인	지속적/NNG+이/VCP+ㄴ/ETM
노력을	노력/NNG+을/JKO
약속했다	약속하/VV+었/EP+다/EC

지방청별로	지방청/NNG+별/XSN+로/JKB
운영되는	운영되/VV+는/ETM
117센터(17개소)는	117/SN+센터/NNG+(/SS+17/SN+개소/NNB+)/SS+는/JX
24시간	24/SN+시간/NNB
연중	연중/NNG
쉬는	쉬/VV+는/ETM
날	날/NNG
없이	없이/MAG
24시간	24/SN+시간/NNB
운영된다	운영되/VV+ㄴ다/EF

또한	또한/MAG
경찰청·교육과학기술부·여성가족부	경찰청/NNG+·/SP+교육과학기술부/NNG+·/SP+여성가족부/NNG
합동으로	합동/NNG+으로/JKB
팀을	팀/NNG+을/JKO
편성해	편성하/VV+여/EC
학교폭력과	학교폭력/NNG+과/JKB
관련된	관련되/VV+ㄴ/ETM
상담·수사·지원	상담/NNG+·/SP+수사/NNG+·/SP+지원/NNG
등의	등/NNB+의/JKG
통합	통합/NNG
서비스를	서비스/NNG+를/JKO
제공하게	제공하/VV+게/EC
된다	되/VV+ㄴ다/EF

학생·학부모	학생/NNG+·/SP+학부모/NNG
누구나	누구/NP+나/JX
전국	전국/NNG
어디에서나	어디/NP+에서/JKB+나/JX
국번	국번/NNG
없이	없이/MAG
‘117’을	‘/SL+117/SN+’/SW+을/JKO
누르면	누르/VV+면/EC
바로	바로/MAG
신고자가	신고자/NNG+가/JKS
거주하는	거주하/VV+는/ETM
지역	지역/NNG
‘117’	‘117/SN+’/SL
센터로	센터/NNG+로/JKB
연결돼	연결되/VV+어/EC
신고접수·상담	신고접수/NNG+·/SP+상담/NNG
등	등/NNB
서비스를	서비스/NNG+를/JKO
받을	받/VV+을/ETM
수	수/NNB
있다	있/VA+다/EC

필요한	필요하/VA+ㄴ/ETM
경우	경우/NNG
신고자가	신고자/NNG+가/JKS
원하는	원하/VV+는/ETM
지역을	지역/NNG+을/JKO
직접	직접/MAG
진출해	진출하/VV+여/EC
상담	상담/NNG
및	및/MAG
조사	조사/NNG
등을	등/NNB+을/JKO
통해	통하/VV+여/EC
기존	기존/NNG
신고	신고/NNG
전화와는	전화/NNG+와/JKB+는/JX
다른	다르/VA+ㄴ/ETM
현장감	현장감/NNG
있는	있/VA+는/ETM
대처로	대처/NNG+로/JKB
