포항시민	포항/NNP+시민/NNG
힘	힘/NNG
모여	모이/VV+어/EC
'평생교육	'/SS+평생교육/NNG
조례'	조례/NNG+'/SS
제정	제정/NNG
되나	되/VV+나/EF

포항시중증장애인평생교육원설립추진위원회(이하	포항시/NNP+중증장애인평생교육원설립추진위원회/NNG+(/SS+이하/NNG
추진위)가	추진위/NNG+)/SS+가/JKS
16일	16/SN+일/NNB
포항시에	포항시/NNP+에/JKB
‘포항시	‘/SL+포항시/NNP
성인	성인/NNG
중증장애인	중증장애인/NNG
평생교육	평생교육/NNG
지원에	지원/NNG+에/JKB
관한	관하/VV+ㄴ/ETM
조례(이하	조례/NNG+(/SS+이하/NNG
평생교육	평생교육/NNG
지원	지원/NNG
조례)’	조례/NNG+)/SS+’/SL
제정을	제정/NNG+을/JKO
위한	위하/VV+ㄴ/ETM
주민발의를	주민발의/NNG+를/JKO
청구했다	청구하/VV+였/EP+다/EF

추진위는	추진위/NNG+는/JX
이에	이/NP+에/JKB
앞서	앞서/VV+어/EC
포항시청	포항시청/NNP
앞	앞/NNG
광장에서	광장/NNG+에서/JKB
기자회견을	기자회견/NNG+을/JKO
열어	열/VV+어/EC
포항시와	포항시/NNP+와/JC
포항시의회에	포항시의회/NNP+에/JKB
'평생교육	'/SS+평생교육/NNG
지원	지원/NNG
조례'	조례/NNG+'/SS
제정을	제정/NNG+을/JKO
위해	위하/VV+여/EC
적극적인	적극적/NNG+이/VCP+ㄴ/ETM
자세를	자세/NNG+를/JKO
가질	가지/VV+ㄹ/ETM
것을	것/NNB+을/JKO
요구했다	요구하/VV+었/EP+다/EC

추진위는	추진위/NNG+는/JX
지난	지나/VV+ㄴ/ETM
3월	3/SN+월/NNB
성인	성인/NNG
중증	중증/NNG
장애인도	장애인/NNG+도/JX
비장애인과	비장애인/NNG+과/JC
대등한	대등하/VA+ㄴ/ETM
지위에서	지위/NNG+에서/JKB
교육	교육/NNG
기회를	기회/NNG+를/JKO
확보하기	확보하/VV+기/ETN
위해	위하/VV+여/EC
‘평생교육	‘/SL+평생교육/NNG
지원	지원/NNG
조례’	조례/NNG+’/SL
제정의	제정/NNG+의/JKG
필요성에	필요성/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
목소리를	목소리/NNG+를/JKO
내고자	내/VV+고자/EC
구성됐다	구성되/VV+었/EP+다/EF

이후	이후/NNG
성인	성인/NNG
중증장애인	중증장애인/NNG
평생교육	평생교육/NNG
실태조사	실태조사/NNG
및	및/MAG
계획	계획/NNG
수립	수립/NNG
성인	성인/NNG
중증장애인	중증장애인/NNG
평생교육위원회	평생교육위원회/NNG
설치	설치/NNG
평생교육과	평생교육/NNG+과/JC
재활훈련	재활훈련/NNG
실시	실시/NNG
등이	등/NNB+이/JKS
담긴	담기/VV+ㄴ/ETM
'평생교육	'/SS+평생교육/NNG
지원	지원/NNG
조례(안)'을	조례/NNG+(/SS+안/NNG+)'/SS+을/JKO
마련했다	마련하/VV+였/EP+다/EC

특히	특히/MAG
포항시	포항시/NNP
유권자	유권자/NNG
1/50에	1/SN+//SP+50/SN+에/JKB
해당하는	해당하/VV+는/ETM
인원의	인원/NNG+의/JKG
서명을	서명/NNG+을/JKO
받아	받/VV+아/EC
'평생교육	'/SS+평생교육/NNG
지원	지원/NNG
조례안'의	조례안/NNG+'/SS+의/JKG
주민발의	주민발의/NNG
청구를	청구/NNG+를/JKO
목표로	목표/NNG+로/JKB
지난	지나/VV+ㄴ/ETM
5월부터	5/SN+월/NNB+부터/JX
3개월	3/SN+개월/NNB
동안	동안/NNG
서명운동을	서명운동/NNG+을/JKO
벌였고,	벌이/VV+었/EP+고/EC+,/SP
8,427명의	8,427/SN+명/NNB+의/JKG
서명을	서명/NNG+을/JKO
받아냈다	받/VV+아/EC+내/VX+었/EP+다/EF

이는	이/NP+는/JX
포항시에서	포항시/NNP+에서/JKB
요구한	요구하/VV+ㄴ/ETM
4,078(유권자의	4,078/SN+(/SS+유권자/NNG+의/JKG
1/50)명을	1/SN+//SP+50/SN+)/SS+명/NNB+을/JKO
200%초과	200/SN+%/SW+초/NNB+과/JKB
달성한	달성하/VV+ㄴ/ETM
것으로	것/NNB+으로/JKB
장애	장애/NNG
자녀들	자녀/NNG+들/XSN
둔	두/VV+ㄴ/ETM
부모님들의	부모님/NNG+들/XSN+의/JKG
열정과	열정/NNG+과/JC
성인	성인/NNG
중증장애인	중증장애인/NNG
교육에	교육/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
간절한	간절하/VA+ㄴ/ETM
열망이	열망/NNG+이/JKS
서명지	서명/NNG+지/XSN
한장	한/MM+장/NNB
한장에	한/MM+장/NNB+에/JKB
녹아	녹/VV+아/EC
있다고	있/VX+다고/EC
추진위는	추진위/NNG+는/JX
의미를	의미/NNG+를/JKO
부여하고	부여하/VV+고/EC
있다	있/VX+다/EC

추진위는	추진위/NNG+는/JX
기자회견	기자회견/NNG
뒤	뒤/NNG
포항시청	포항시청/NNP
민원실에	민원실/NNG+에/JKB
주민발의를	주민발의/NNG+를/JKO
위한	위하/VV+ㄴ/ETM
서명지와	서명/NNG+지/XSN+와/JKB
함께	함께/MAG
'평생교육	'/SS+평생교육/NNG
지원	지원/NNG
조례(안)'을	조례/NNG+(/SS+안/NNG+)'/SS+을/JKO
제출했다	제출하/VV+였/EP+다/EF

'평생교육	'/SS+평생교육/NNG
지원	지원/NNG
조례(안)'이	조례/NNG+(/SS+안/NNG+)'/SS+이/JKS
제정	제정/NNG
되려면	되/VV+려면/EC
포항시가	포항시/NNP+가/JKS
서명지의	서명/NNG+지/XSN+의/JKG
유효여부	유효여부/NNP
확인	확인/NNG
및	및/MAG
공표,	공표/NNG+,/SP
조례안	조례안/NNG
검토를	검토/NNG+를/JKO
거쳐	거치/VV+어/EC
시의회	시의회/NNG
안건으로	안건/NNG+으로/JKB
올려	올리/VV+어/EC
시	시/NNG
의회에서	의회/NNG+에서/JKB
의결해야	의결하/VV+여야/EC
된다	되/VV+ㄴ다/EF

