사라지는	사라지/VV+는/ETM
재능	재능/NNG
있는	있/VA+는/ETM
지적장애인의	지적장애인/NNG+의/JKG
‘꿈’	‘/SL+꿈/NNG+’/SN

내	나/NP+의/JKG
아이에게	아이/NNG+에게/JKB
‘장애’가	‘/SN+장애/NNB+’/SL+가/JKS
있다고	있/VA+다고/EC
해도	하/VV+여도/EC
남들과	남/NNG+들/XSN+과/JKB
똑같이	똑같이/MAG
자라주길	자/VV+아라/EC+주/VX+기/ETN+ㄹ/JKO
바라는	바라/VV+는/ETM
간절함은	간절하/VA+ㅁ/ETN+은/JX
모든	모든/MM
부모가	부모/NNG+가/JKS
똑같다	똑같/VA+다/EF

지적장애를	지적장애/NNG+를/JKO
가진	가지/VV+ㄴ/ETM
고등학생	고등학생/NNG
딸을	딸/NNG+을/JKO
둔	두/VV+ㄴ/ETM
어머니	어머니/NNG
조순옥(49세)	조순옥/NNP+(/SS+49/SN+세/NNB+)/SS
씨의	씨/NNB+의/JKG
마음	마음/NNG
역시	역시/MAG
마찬가지다	마찬가지/NNG+이/VCP+다/EC

그녀는	그녀/NP+는/JX
어릴	어리/VA+ㄹ/ETM
적부터	적/NNB+부터/JX
미술에	미술/NNG+에/JKB
남	나/VV+ㅁ/ETN
다른	다른/MM
재능을	재능/NNG+을/JKO
보였던	보이/VV+었/EP+던/ETM
딸	딸/NNG
김은지(가명,	김은지/NNP+(/SS+가명/NNG+,/SP
18세,	18/SN+세/NNB+,/SP
지적장애	지적장애/NNG
3급)양을	3/SN+급/NNG+)/SS+양/NNB+을/JKO
키우며	키우/VV+며/EC
말로	말/NNG+로/JKB
표현	표현/NNG
할	하/VV+ㄹ/ETM
수	수/NNB
없을	없/VA+을/ETM
정도로	정도/NNG+로/JKB
많은	많/VA+은/ETM
어려움이	어려움/NNG+이/JKS
있었다	있/VA+었/EP+다/EF

또	또/MAG
남	남/VA
다른	다른/MM
재능을	재능/NNG+을/JKO
보인	보이/VV+ㄴ/ETM
탓에	탓/NNG+에/JKB
‘아이를	‘/SN+아이/NNG+를/JKO
어떻게	어떻/VA+게/EC
키워야	키우/VV+어야/EC
할까’	하/VX+ㄹ까/EF+’/SN
라는	이/VCP+라는/ETM
고민을	고민/NNG+을/JKO
달고	달/VV+고/EC
살았다	살/VV+았/EP+다/EC

뿐만	뿐/NNB+만/JX
아니라	아니/VCN+라/EC
‘엄마의	‘/SL+엄마/NNG+의/JKG
욕심	욕심/NNG
때문에	때문/NNB+에/JKB
아이가	아이/NNG+가/JKS
