“활동지원	“/SN+활동지원/NNG
인정조사표	인정조사표/NNG
재검토”	재검토/NNG+”/SL
주문	주문/NNG

국회	국회/NNG
보건복지위원회	보건복지위원회/NNG
소속	소속/NNG
최동익	최동익/NNP
의원(민주통합당)은	의원/NNG+(/SS+민주통합당/NNP+)/SS+은/JX
22일	22/SN+일/NNB
국민연금공단	국민연금공단/NNP
국정감사에서	국정감사/NNG+에서/JKB
장애인활동지원을	장애인활동지원/NNG+을/JKO
위한	위하/VV+ㄴ/ETM
인정조사표에	인정조사표/NNG+에/JKB
‘사회활동’	‘/SN+사회활동/NNG+’/SL
영역은	영역/NNG+은/JX
빠져	빠지/VV+어/EC
있다며	있/VX+다며/EC
인정조사표	인정조사표/NNG
재검토를	재검토/NNG+를/JKO
주문했다	주문하/VV+였/EP+다/EF

장애인활동지원이	장애인활동지원/NNG+이/JKS
일상생활	일상생활/NNG
및	및/MAG
사회활동을	사회활동/NNG+을/JKO
지원하기	지원하/VV+기/ETN
위한	위하/VV+ㄴ/ETM
제도임에도	제도/NNG+이/VCP+ㅁ에도/EC
불구하고	불구하/VV+고/EC
장애인의	장애인/NNG+의/JKG
사회활동	사회활동/NNG
가능	가능/NNG
여부를	여부/NNG+를/JKO
판단하기	판단하/VV+기/ETN
위한	위하/VV+ㄴ/ETM
사회활동	사회활동/NNG
영역은	영역/NNG+은/JX
빠져있다는	빠지/VV+어/EC+있/VX+다는/ETM
것	것/NNB

현재	현재/MAG
인정조사표는	인정조사표/NNG+는/JX
장애인활동지원	장애인활동지원/NNG
수급자격	수급자격/NNG
여부와	여부/NNG+와/JC
지원	지원/NNG
정도를	정도/NNG+를/JKO
평가하는	평가하/VV+는/ETM
도구를	도구/NNG+를/JKO
말한다	말하/VV+ㄴ다/EF

최	최/NNP
의원은	의원/NNG+은/JX
“노인장기요양제도는	“/SL+노인장기요양제도/NNG+는/JX
영역별로	영역/NNG+별/XSN+로/JKB
일상생활,	일상생활/NNG+,/SP
간호조치	간호조치/NNG
등을	등/NNB+을/JKO
담고	담/VV+고/EC
있지만	있/VX+지만/EC
장애인활동지원은	장애인활동지원/NNG+은/JX
장애특성과	장애특성/NNG+과/JC
일상생활	일상생활/NNG
영역만	영역/NNG+만/JX
있고	있/VA+고/EC
사회생활	사회생활/NNG
영역은	영역/NNG+은/JX
없다”며	없/VA+다/EC+”/VX+며/EC
“재검토가	“/SL+재검토/NNG+가/JKS
필요하다”고	필요하/VA+다”고/EC
지적했다	지적하/VV+였/EP+다/EF

이에	이/NP+에/JKB
대해	대하/VV+여/EC
국민연금공단	국민연금공단/NNP
전광우	전광우/NNP
이사장은	이사장/NNG+은/JX
“검토해	“/SL+검토하/VV+여/EC
보겠다”고	보/VX+겠/EP+다/EC+”/VV+고/EC
밝혔다	밝히/VV+었/EP+다/EC
