복지부,	복지부/NNG+,/SP
취약지	취약/NNG+지/XSN
닥터헬기	닥터헬기/NNG
도입	도입/NNG
공모	공모/NNG

보건복지부(이하	보건복지부/NNG+(/SS+이하/NNG
복지부)는	복지부/NNG+)/SS+는/JX
도서	도서/NNG
및	및/MAG
산간지역	산간지역/NNG
취약지	취약/NNG+지/XSN
응급환자의	응급환자/NNG+의/JKG
신속한	신속하/VA+ㄴ/ETM
이송을	이송/NNG+을/JKO
위한	위하/VV+ㄴ/ETM
‘응급의료	‘/SL+응급의료/NNG
전용헬기(닥터헬기)	전용헬기/NNG+(/SS+닥터헬기/NNG+)/SS
도입사업’	도입사업/NNG+’/SL
공모를	공모/NNG+를/JKO
시행한다고	시행하/VV+ㄴ다고/EC
23일	23/SN+일/NNB
밝혔다	밝히/VV+었/EP+다/EC

닥터헬기는	닥터헬기/NNG+는/JX
지난해	지난해/NNG
2개	2/SN+개/NNB
지자체(인천,	지자체/NNG+(/SS+인천/NNP+,/SP
전라남도)에	전라남도/NNP+)/SS+에/JKB
처음	처음/NNG
도입했고,	도입하/VV+였/EP+고/EC+,/SP
올해도	올해/NNG+도/JX
2개	2/SN+개/NNB
지자체에	지자체/NNG+에/JKB
신규도입	신규도입/NNG
예정으로	예정/NNG+으로/JKB
대상지역이	대상지역/NNG+이/JKS
도서지역에서	도서지역/NNG+에서/JKB
도서?산간	도서/NNG+?/SF+산간/NNG
지역으로	지역/NNG+으로/JKB
확대된	확대되/VV+ㄴ/ETM
것이	것/NNB+이/JKS
2011년과	2011/SN+년/NNB+과/JKB
다른	다르/VA+ㄴ/ETM
점이다	점/NNG+이/VCP+다/EC

공모는	공모/NNG+는/JX
지방자치단체와	지방자치단체/NNG+와/JC
헬기사업자를	헬기사업자/NNG+를/JKO
분리해	분리하/VV+여/EC
시행되며,	시행되/VV+며/EC+,/SP
지자체	지자체/NNG
공모는	공모/NNG+는/JX
복지부에서	복지부/NNG+에서/JKB
직접	직접/MAG
시행하고,	시행하/VV+고/EC+,/SP
헬기사업자	헬기사업자/NNG
공모는	공모/NNG+는/JX
국립중앙의료원에	국립중앙의료원/NNP+에/JKB
위탁해	위탁하/VV+여/EC
시행하게	시행하/VV+게/EC
된다	되/VV+ㄴ다/EF

지자체	지자체/NNG
공모는	공모/NNG+는/JX
관할	관할/NNG
지역내	지역/NNG+내/NNB
헬기배치	헬기배치/NNG
의료기관	의료기관/NNG
1개소를	1/SN+개소/NNB+를/JKO
복지부의	복지부/NNG+의/JKG
공모?평가	공모/NNG+?/SF+평가/NNG
지침에	지침/NNG+에/JKB
따라	따르/VV+아/EC
자체	자체/NNG
선정한	선정하/VV+ㄴ/ETM
후	후/NNG
사업계획을	사업계획/NNG+을/JKO
수립해	수립하/VV+여/EC
응모하며	응모하/VV+며/EC

의료기관은	의료기관/NNG+은/JX
항공법상	항공법/NNG+상/XSN
헬기	헬기/NNG
이착륙이	이착륙/NNG+이/JKS
가능해야	가능하/VA+여야/EC
하고	하/VX+고/EC
자체	자체/NNG
헬기	헬기/NNG
착륙장을	착륙장/NNG+을/JKO
보유,	보유/NNG+,/SP
닥터헬기	닥터헬기/NNG
운용을	운용/NNG+을/JKO
위한	위하/VV+ㄴ/ETM
별도의	별도/NNG+의/JKG
전문인력(응급의학	전문인력/NNG+(/SS+응급의학/NNG
전문의,	전문의/NNG+,/SP
응급구조사	응급구조사/NNG
등)을	등/NNB+)/SS+을/JKO
보유해야	보유하/VV+여야/EC
한다	하/VX+ㄴ다/EF

헬기사업자	헬기사업자/NNG
공모는	공모/NNG+는/JX
국립중앙의료원에서	국립중앙의료원/NNP+에서/JKB
복지부	복지부/NNG
승인	승인/NNG
후	후/NNG
별도	별도/NNG
공모절차에	공모절차/NNG+에/JKB
따라	따르/VV+아/EC
소형항공운송사업	소형항공운송사업/NNG
자격보유	자격보유/NNG
사업자	사업자/NNG
중에서	중/NNB+에서/JKB
선정한다	선정하/VV+ㄴ다/EF

복지부는	복지부/NNG+는/JX
이번	이번/NNG
공모에서	공모/NNG+에서/JKB
취약지	취약/NNG+지/XSN
주민인구,	주민인구/NNG+,/SP
지형?교통	지형/NNG+?/SF+교통/NNG
취약성,	취약성/NNG+,/SP
헬기도입	헬기도입/NNG
후	후/NNG
개선효과	개선효과/NNG
등을	등/NNB+을/JKO
평가에	평가/NNG+에/JKB
반영하여	반영하/VV+여/EC
닥터헬기	닥터헬기/NNG
도입효과가	도입효과/NNG+가/JKS
가장	가장/MAG
높은	높/VA+은/ETM
취약지역을	취약지역/NNG+을/JKO
선정할	선정하/VV+ㄹ/ETM
예정이다	예정/NNG+이/VCP+다/EC
