카페인,	카페인/NNG+,/SP
파킨슨병	파킨슨병/NNG
치료에	치료/NNG+에/JKB
효과	효과/NNG

(서울=연합뉴스)	(/SS+서울/NNP+=/SW+연합뉴스/NNP+)/SS
카페인이	카페인/NNG+이/JKS
퇴행성	퇴행/NNG+성/XSN
뇌질환인	뇌질환/NNG+이/VCP+ㄴ/ETM
파킨슨병의	파킨슨병/NNG+의/JKG
예방만이	예방/NNG+만/JX+이/JKC
아니라	아니/VCN+라/EC
치료에도	치료/NNG+에/JKB+도/JX
효과가	효과/NNG+가/JKS
있다는	있/VA+다는/ETM
연구결과가	연구결과/NNG+가/JKS
나왔다	나오/VV+았/EP+다/EF

캐나다	캐나다/NNP
맥길	맥길/NNP
대학	대학/NNG
의과대학	의과대학/NNG
신경과전문의	신경과전문/NNG+의/JKG
로널드	로널드/NNP
포스투마(Ronald	포스투마/NNP+(/SS+Ronald/SL
Postuma)	Postuma/SL+)/SS
박사는	박사/NNG+는/JX
파킨슨병	파킨슨병/NNG
환자가	환자/NNG+가/JKS
하루	하루/NNG
커피	커피/NNG
3잔	3/SN+잔/NNG
정도에	정도/NNG+에/JKB
해당하는	해당하/VV+는/ETM
카페인을	카페인/NNG+을/JKO
섭취하면	섭취하/VV+면/EC
느린	느리/VA+ㄴ/ETM
동작,	동작/NNG+,/SP
근육강직	근육강직/NNG
같은	같/VA+은/ETM
운동장애	운동장애/NNG
증세가	증세/NNG+가/JKS
개선된다는	개선되/VV+ㄴ다는/ETM
연구결과를	연구결과/NNG+를/JKO
발표했다고	발표하/VV+였/EP+다고/EC
영국의	영국/NNP+의/JKG
일간	일간/NNG
데일리	데일리/NNG
메일	메일/NNG
인터넷판과	인터넷판/NNG+과/JC
헬스데이	헬스데이/NNP
뉴스가	뉴스/NNP+가/JKS
1일	1/SN+일/NNB
보도했다	보도하/VV+였/EP+다/EC

포스투마	포스투마/NNP
박사는	박사/NNG+는/JX
파킨슨병	파킨슨병/NNG
환자	환자/NNG
61명(평균연령	61/SN+명/NNB+(/SS+평균연령/NNG
60대	60/SN+대/NNB
중반)을	중반/NNG+)/SS+을/JKO
대상으로	대상/NNG+으로/JKB
실시한	실시하/VV+ㄴ/ETM
임상시험	임상시험/NNG
결과	결과/NNG
이	이/NP
같은	같/VA+은/ETM
사실이	사실/NNG+이/JKS
밝혀졌다고	밝혀지/VV+었/EP+다고/EC
말했다	말하/VV+였/EP+다/EC

그의	그/NP+의/JKG
연구팀은	연구팀/NNG+은/JX
이들을	이/NP+들/XSN+을/JKO
두	두/MM
그룹으로	그룹/NNG+으로/JKB
나누어	나누/VV+어/EC
한	한/MM
그룹에게만	그룹/NNG+에게/JKB+만/JX
첫	첫/MM
3주	3/SN+주/NNB
동안은	동안/NNG+은/JX
100mg짜리(원두커피	100/SN+mg/SL+짜리/XSN+(/SS+원두커피/NNG
1잔에	1/SN+잔/NNG+에/JKB
해당),	해당/NNG+)/SS+,/SP
그	그/MM
다음	다음/NNG
3주	3/SN+주/NNB
동안은	동안/NNG+은/JX
200mg짜리	200/SN+mg/SL+짜리/XSN
카페인	카페인/NNG
캡슐을	캡슐/NNG+을/JKO
아침과	아침/NNG+과/JC
점심	점심/NNG
두	두/MM
차례	차례/NNG
먹게	먹/VV+게/EC
하고	하/VX+고/EC
나머지	나머지/NNG
그룹엔	그룹/NNG+에/JKB+ㄴ/JX
가짜	가짜/NNG
캡슐을	캡슐/NNG+을/JKO
주었다	주/VV+었/EP+다/EF

그	그/MM
결과	결과/NNG
카페인	카페인/NNG
그룹은	그룹/NNG+은/JX
근육강직이	근육강직/NNG+이/JKS
줄어들고	줄어들/VV+고/EC
운동기능이	운동기능/NNG+이/JKS
개선되었다	개선되/VV+었/EP+다/EC

이와	이/NP+와/JKB
함께	함께/MAG
종합파킨슨병평가척도(UPDRS)도	종합파킨슨병평가척도/NNP+(/SS+UPDRS/SL+)/SS+도/JX
평균	평균/NNG
5점	5/SN+점/NNB
개선됐다	개선되/VV+었/EP+다/EF

파킨슨병을	파킨슨병/NNG+을/JKO
2-3년	2/SN+-/SO+3/SN+년/NNB
앓고	앓/VV+고/EC
있는	있/VX+는/ETM
환자는	환자/NNG+는/JX
UPDRS가	UPDRS/SL+가/JKS
30-40점이다	30/SN+-/SO+40/SN+점/NNB+이/VCP+다/EF

카페인이	카페인/NNG+이/JKS
어떤	어떤/MM
메커니즘에	메커니즘/NNG+에/JKB
의해	의하/VV+여/EC
파킨슨병에	파킨슨병/NNG+에/JKB
이러한	이러하/VA+ㄴ/ETM
효과를	효과/NNG+를/JKO
미치는지는	미치/VV+는지/EC+는/JX
정확히	정확히/MAG
알	알/VV+ㄹ/ETM
수	수/NNB
없으나	없/VA+으나/EC
일부	일부/NNG
파킨슨병	파킨슨병/NNG
증세를	증세/NNG+를/JKO
일으키는	일으키/VV+는/ETM
것으로	것/NNB+으로/JKB
알려진	알려지/VV+ㄴ/ETM
A2A	A/SL+2/SN+A/SL
아데노신	아데노신/NNG
수용체를	수용체/NNG+를/JKO
차단하는	차단하/VV+는/ETM
것으로	것/NNB+으로/JKB
믿어진다고	믿/VV+어/EC+지/VX+ㄴ다고/EC
포스투마	포스투마/NNP
박사는	박사/NNG+는/JX
말했다	말하/VV+였/EP+다/EC

하루	하루/NNG
커피를	커피/NNG+를/JKO
2-3잔	2/SN+-/SO+3/SN+잔/NNG
마시는	마시/VV+는/ETM
사람은	사람/NNG+은/JX
파킨슨병	파킨슨병/NNG
발병	발병/NNG
위험이	위험/NNG+이/JKS
평균	평균/NNG
25%	25/SN+%/SW
낮다는	낮/VA+다는/ETM
연구결과가	연구결과/NNG+가/JKS
앞서	앞서/MAG
발표된	발표되/VV+ㄴ/ETM
적이	적/NNB+이/JKS
있다	있/VA+다/EC

파킨슨병은	파킨슨병/NNG+은/JX
운동(motor)을	운동/NNG+(/SS+motor/SL+)/SS+을/JKO
조절하는	조절하/VV+는/ETM
뇌	뇌/NNG
부위에서	부위/NNG+에서/JKB
분비되는	분비되/VV+는/ETM
신경전달물질인	신경전달물질/NNG+이/VCP+ㄴ/ETM
도파민	도파민/NNG
생산	생산/NNG
세포가	세포/NNG+가/JKS
파괴돼	파괴되/VV+어/EC
나타나는	나타나/VV+는/ETM
중추신경계	중추신경계/NNG
질환으로	질환/NNG+으로/JKB
근육강직,	근육강직/NNG+,/SP
진전(몸	진전/NNG+(/SS+몸/NNG
떨림),	떨리/VV+ㅁ/ETN+)/SS+,/SP
느린	느리/VA+ㄴ/ETM
동작	동작/NNG
등의	등/NNB+의/JKG
증세가	증세/NNG+가/JKS
나타난다	나타나/VV+ㄴ다/EF

현재	현재/MAG
완치방법은	완치방법/NNG+은/JX
없다	없/VA+다/EC

이	이/MM
연구결과는	연구결과/NNG+는/JX
의학전문지	의학전문지/NNG
'신경학(Neurology)'	'/SS+신경학/NNG+(/SS+Neurology/SL+)'/SS
온라인판(8월1일자)에	온라인판/NNP+(/SS+8/SN+월/NNB+1/SN+일자/NNG+)/SS+에/JKB
실렸다	실리/VV+었/EP+다/EF

skhan@yna	skhan/SL+@/SW+yna/SL

co	co/SL

kr<저	kr/SL+</SS+저/MM
작	작/NNG
권	권/NNP
자(c)연	자/NP+(/SS+c/SL+)/SS+연/NNG
합	합/NNG
뉴	뉴/NNG
스	스/NNG

무	무/NNG
단	단/MM
전	전/NNG
재-재	재/NNG+-/SO+재/NNG
배	배/NNG
포	포/NNG
금	금/VV
지	짓/VV

>	>/SS
