장애인과	장애인/NNG+과/JC
활동보조인의	활동보조인/NNG+의/JKG
아름다운	아름답/VA+ㄴ/ETM
동행	동행/NNG

보건복지부는	보건복지부/NNG+는/JX
‘사회서비스	‘/SN+사회서비스/NNG
스토리텔링	스토리텔링/NNG
공모전’의	공모전/NNG+’/SL+의/JKG
수상자로	수상자/NNG+로/JKB
손영희	손영희/NNP
씨,	씨/NNB+,/SP
이윤정	이윤정/NNP
씨,	씨/NNB+,/SP
함께웃는가족지원센터	함께/MAG+웃/VV+는/ETM+가족지원센터/NNG
등	등/NNB
총	총/MM
24팀을	24/SN+팀/NNG+을/JKO
선정했다고	선정하/VV+였/EP+다고/EC
25일	25/SN+일/NNB
밝혔다	밝히/VV+었/EP+다/EC

사회서비스	사회서비스/NNG
이용자·종사자의	이용자/NNG+·/SP+종사자/NNG+의/JKG
사회서비스	사회서비스/NNG
관련	관련/NNG
특별하고	특별하/VA+고/EC
감동적인	감동적/NNG+이/VCP+ㄴ/ETM
이야기의	이야기/NNG+의/JKG
발굴을	발굴/NNG+을/JKO
위한	위하/VV+ㄴ/ETM
이번	이번/NNG
공모전에는	공모전/NNG+에/JKB+는/JX
총	총/MM
377건이	377/SN+건/NNB+이/JKS
접수,	접수/NNG+,/SP
전문가의	전문가/NNG+의/JKG
심사를	심사/NNG+를/JKO
통해	통하/VV+여/EC
최종	최종/NNG
수상작이	수상작/NNG+이/JKS
선발됐다	선발되/VV+었/EP+다/EF

선발	선발/NNG
결과,	결과/NNG+,/SP
에세이	에세이/NNG
부문에는	부문/NNG+에/JKB+는/JX
친정과	친정/NNG+과/JC
연을	연/NNG+을/JKO
끊은	끊/VV+은/ETM
싱글맘으로서	싱글맘/NNG+으로서/JKB
임신	임신/NNG
과정에	과정/NNG+에/JKB
어려움을	어려움/NNG+을/JKO
겪고	겪/VV+고/EC
산후우울증을	산후우울증/NNG+을/JKO
앓았으나	앓/VV+았/EP+으나/EC
산모도우미의	산모도우미/NNP+의/JKG
헌신적	헌신적/NNG
돌봄	돌보/VV+ㅁ/ETN
속에	속/NNG+에/JKB
산후조리를	산후조리/NNG+를/JKO
마치고	마치/VV+고/EC
가족과도	가족/NNG+과/JKB+도/JX
해후하게	해후하/VV+게/EC
된	되/VV+ㄴ/ETM
손영희씨(최우수상)의	손영희/NNP+씨/NNB+(/SS+최우수상/NNG+)/SS+의/JKG
에세이	에세이/NNG
등	등/NNB
총	총/MM
8편이	8/SN+편/NNB+이/JKS
선정됐다	선정되/VV+었/EP+다/EF

사진	사진/NNG
부문에는	부문/NNG+에/JKB+는/JX
장애인	장애인/NNG
활동지원제도를	활동지원제도/NNG+를/JKO
통해	통하/VV+여/EC
사회와	사회/NNG+와/JKB
만난	만나/VV+ㄴ/ETM
정아현(6세,	정아현/NNP+(/SS+6/SN+세/NNB+,/SP
뇌병변	뇌병변/NNG
1급	1/SN+급/NNG
장애)	장애/NNG+)/SS
어린이와	어린이/NNG+와/JC
가족,	가족/NNG+,/SP
활동보조인이	활동보조인/NNG+이/JKS
함께	함께/MAG
한	하/VV+ㄴ/ETM
나들이	나들이/NNG
장면을	장면/NNG+을/JKO
담은	담/VV+은/ETM
이윤정	이윤정/NNP
씨(정아현의	씨/NNB+(/SS+정아현/NNP+의/JKG
母)의	母/SL+)/SS+의/JKG
사진	사진/NNG
등	등/NNB
총	총/MM
8편이	8/SN+편/NNB+이/JKS
선정됐다	선정되/VV+었/EP+다/EF

UCC	UCC/SL
부문에는	부문/NNG+에/JKB+는/JX
학부모와	학부모/NNG+와/JC
아동이	아동/NNG+이/JKS
처음	처음/NNG
문제행동아동조기개입서비스,	문제행동아동조기개입서비스/NNG+,/SP
장애아동	장애아동/NNG
재활치료	재활치료/NNG
등	등/NNB
사회서비스를	사회서비스/NNG+를/JKO
접하는	접하/VV+는/ETM
사례를	사례/NNG+를/JKO
재구성해	재구성하/VV+여/EC
영상으로	영상/NNG+으로/JKB
제작한	제작하/VV+ㄴ/ETM
함께웃는가족지원센터의	함께/MAG+웃/VV+는/ETM+가족지원센터/NNG+의/JKG
UCC	UCC/SL
등	등/NNB
총	총/MM
8편이	8/SN+편/NNB+이/JKS
선정됐다	선정되/VV+었/EP+다/EF

에세이와	에세이/NNG+와/JKB
사진	사진/NNG
부문에는	부문/NNG+에/JKB+는/JX
장관상과	장관상/NNG+과/JKB
함께	함께/MAG
최우수상	최우수상/NNG
50만원,	50/SN+만/NR+원/NNB+,/SP
우수상	우수상/NNG
30만원,	30/SN+만/NR+원/NNB+,/SP
장려상	장려상/NNG
10만원	10/SN+만/NR+원/NNB
상당의	상당/NNG+의/JKG
부상이	부상/NNG+이/JKS
수여되며	수여되/VV+며/EC
UCC	UCC/SL
부문에는	부문/NNG+에/JKB+는/JX
장관상과	장관상/NNG+과/JKB
함께	함께/MAG
최우수상	최우수상/NNG
100만원,	100/SN+만/NR+원/NNB+,/SP
우수상	우수상/NNG
50만원,	50/SN+만/NR+원/NNB+,/SP
장려상	장려상/NNG
10만원	10/SN+만/NR+원/NNB
상당의	상당/NNG+의/JKG
부상이	부상/NNG+이/JKS
수여된다	수여되/VV+ㄴ다/EF

시상식은	시상식/NNG+은/JX
11월	11/SN+월/NNB
중	중/NNB
개최될	개최되/VV+ㄹ/ETM
예정이며,	예정/NNG+이/VCP+며/EC+,/SP
수상작은	수상/NNG+작/XSN+은/JX
향후	향후/NNG
사례집	사례/NNG+집/XSN
발간,	발간/NNG+,/SP
전시회	전시회/NNG
개최	개최/NNG
등	등/NNB
각종	각종/NNG
홍보	홍보/NNG
자료로	자료/NNG+로/JKB
활용된다	활용되/VV+ㄴ다/EF
