전국	전국/NNG
장애인부모	장애인부모/NNG
'발달장애인법	'/SS+발달장애인법/NNG
제정'	제정/NNG+'/SS
염원	염원/NNG

전국의	전국/NNG+의/JKG
장애인부모들이	장애인부모/NNG+들/XSN+이/JKS
조속한	조속하/VA+ㄴ/ETM
발달장애인법	발달장애인법/NNG
제정을	제정/NNG+을/JKO
염원했다	염원하/VV+였/EP+다/EF

한국장애인부모회(회장	한국장애인부모회/NNP+(/SS+회장/NNG
노익상)는	노익상/NNP+)/SS+는/JX
27일	27/SN+일/NNB
오전	오전/NNG
올림픽공원	올림픽공원/NNG
올림픽홀에서	올림픽홀/NNG+에서/JKB
‘장애인가족복지국가를	‘/SN+장애인가족복지국가/NNG+를/JKO
향하여	향하/VV+여/EC
발달장애인법	발달장애인법/NNG
제정’을	제정’/NNG+을/JKO
주제로	주제/NNG+로/JKB
‘제28회	‘/SN+제/XPN+28/SN+회/NNB
전국장애인부모대회’를	전/MM+국장애인부모대회/NNG+’/SL+를/JKO
개최했다	개최하/VV+였/EP+다/EC

이날	이날/NNG
노익상	노익상/NNP
회장은	회장/NNG+은/JX
대회사를	대/XPN+회사/NNG+를/JKO
통해	통하/VV+여/EC
“발달장애인	“/SN+발달장애/NNG+이/VCP+ㄴ/ETM
수는	수/NNG+는/JX
매년	매년/MAG
5~6%씩	5/SN+~/SO+6/SN+%/SW+씩/XSN
증가하고	증가하/VV+고/EC
있는데도	있/VX+는데/EC+도/JX
우리나라	우리나라/NNG
장애인복지법에는	장애인복지법/NNG+에/JKB+는/JX
발달장애인	발달장애인/NNG
권익과	권익/NNG+과/JC
권리를	권리/NNG+를/JKO
보호하기	보호하/VV+기/ETN
위한	위하/VV+ㄴ/ETM
의무조항은	의무조항/NNG+은/JX
없다”며	없/VA+다/EC+”/VX+며/EC
발달장애인법의	발달장애인법/NNG+의/JKG
필요성을	필요성/NNG+을/JKO
강조했다	강조하/VV+였/EP+다/EC

노	노/NNP
회장에	회장/NNG+에/JKB
따르면	따르/VV+면/EC
30세	30/SN+세/NNB
미만의	미만/NNG+의/JKG
장애인	장애인/NNG
중	중/NNB
발달장애인은	발달장애인/NNG+은/JX
55%,	55/SN+%/SW+,/SP
20세	20/SN+세/NNB
미만은	미만/NNG+은/JX
전체	전체/NNG
장애인의	장애인/NNG+의/JKG
65%를	65/SN+%/SW+를/JKO
차지하고	차지하/VV+고/EC
있다	있/VX+다/EC

우리나라	우리나라/NNG
발달장애인	발달장애인/NNG
가정이	가정/NNG+이/JKS
전체	전체/NNG
과반이상을	과반이상/NNG+을/JKO
차지하고	차지하/VV+고/EC
있는	있/VX+는/ETM
셈이다	셈/NNB+이/VCP+다/EC

특히	특히/MAG
노	노/NNP
회장은	회장/NNG+은/JX
발달장애인법	발달장애인법/NNG
4가지	4/SN+가지/NNB
핵심사항으로	핵심사항/NNG+으로/JKB
의시소통	의시소통/NNG
도구개발을	도구개발/NNG+을/JKO
위한	위하/VV+ㄴ/ETM
국립연구원	국립연구원/NNG
설립	설립/NNG
발달장애인이	발달장애인/NNG+이/JKS
안전한	안전하/VA+ㄴ/ETM
사회	사회/NNG
여건	여건/NNG
조성	조성/NNG
정부차원의	정부차원/NNG+의/JKG
발달장애인지원센터	발달장애인지원센터/NNG
설립	설립/NNG
발달장애인	발달장애인/NNG
전문	전문/NNG
복지사	복지/NNG+사/XSN
발굴	발굴/NNG
및	및/MAG
배치가	배치/NNG+가/JKS
절실함을	절실하/VA+ㅁ/ETN+을/JKO
피력했다	피력하/VV+었/EP+다/EC

노	노/NNP
회장은	회장/NNG+은/JX
예산과	예산/NNG+과/JKB
