서울시,	서울시/NNP+,/SP
장애인콜택시용	장애인콜택시용/NNG
전기차	전기차/NNG
10대	10/SN+대/NNB
보급	보급/NNG

서울시가	서울시/NNP+가/JKS
전국	전국/NNG
최초로	최초/NNG+로/JKB
전기를	전기/NNG+를/JKO
동력으로	동력/NNG+으로/JKB
움직이는	움직이/VV+는/ETM
장애인콜택시를	장애인콜택시/NNG+를/JKO
보급한다	보급하/VV+ㄴ다/EF

시는	시/NNG+는/JX
휠체어를	휠체어/NNG+를/JKO
이용하지	이용하/VV+지/EC
않는	않/VX+는/ETM
지체	지체/NNG
및	및/MAG
뇌병변	뇌병변/NNG
1·2급	1/SN+·/SP+2/SN+급/NNG
장애인을	장애인/NNG+을/JKO
대상으로	대상/NNG+으로/JKB
10대의	10/SN+대/NNB+의/JKG
장애인콜택시용	장애인콜택시용/NNG
전기차를	전기차/NNG+를/JKO
10월부터	10/SN+월/NNB+부터/JX
강북지역에서	강북지역/NNG+에서/JKB
시범	시범/NNG
보급한다고	보급하/VV+ㄴ다고/EC
30일	30/SN+일/NNB
밝혔다	밝히/VV+었/EP+다/EC

전기차는	전기차/NNG+는/JX
시중에	시중/NNG+에/JKB
유일하게	유일하/VA+게/EC
보급된	보급되/VV+ㄴ/ETM
것이	것/NNB+이/JKS
소형차	소형차/NNG
레이(RAY)이기	레이/NNG+(/SS+RAY/SL+)/SS+이/VCP+기/ETN
때문에	때문/NNB+에/JKB
장애인콜택시용	장애인콜택시용/NNG
전기차	전기차/NNG
역시	역시/MAG
이	이/MM
차종으로	차종/NNG+으로/JKB
공급된다	공급되/VV+ㄴ다/EF

즉,	즉/MAG+,/SP
휠체어	휠체어/NNG
탑승설비는	탑승설비/NNG+는/JX
장착이	장착/NNG+이/JKS
불가능하다	불가능하/VA+다/EC

시는	시/NNG+는/JX
소형	소형/NNG
전기차를	전기차/NNG+를/JKO
장애인콜택시로	장애인콜택시/NNG+로/JKB
보급함으로써	보급하/VV+ㅁ/ETN+으로써/JKB
휠체어를	휠체어/NNG+를/JKO
이용하지	이용하/VV+지/EC
않는	않/VX+는/ETM
장애인들에게	장애인/NNG+들/XSN+에게/JKB
보다	보다/MAG
편리한	편리하/VA+ㄴ/ETM
서비스를	서비스/NNG+를/JKO
제공함은	제공하/VV+ㅁ/ETN+은/JX
물론	물론/MAG
연료비	연료비/NNG
절감이나	절감/NNG+이나/JC
대기환경	대기환경/NNG
개선	개선/NNG
등의	등/NNB+의/JKG
다양한	다양하/VA+ㄴ/ETM
효과를	효과/NNG+를/JKO
거둘	거두/VV+ㄹ/ETM
것으로	것/NNB+으로/JKB
기대하고	기대하/VV+고/EC
있다	있/VX+다/EC

우선	우선/MAG
전기차	전기차/NNG
연료비는	연료비/NNG+는/JX
경유차	경유차/NNG
장애인콜택시의	장애인콜택시/NNG+의/JKG
약	약/MM
1/10	1/SN+//SP+10/SN
밖에	밖/NNG+에/JKB
안	안/MAG
돼연간	돼연간/NNG
804만원	804/SN+만/NR+원/NNB
이상의	이상/NNG+의/JKG
연료비를	연료비/NNG+를/JKO
절약할	절약하/VV+ㄹ/ETM
수	수/NNB
있다	있/VA+다/EC

또한	또한/MAG
장애인콜택시	장애인콜택시/NNG
수요가	수요/NNG+가/JKS
많은	많/VA+은/ETM
강북지역에	강북지역/NNG+에/JKB
우선	우선/MAG
도입되면	도입되/VV+면/EC
그간	그간/NNG
가장	가장/MAG
문제점으로	문제점/NNG+으로/JKB
지적되어	지적되/VV+어/EC
온	오/VX+ㄴ/ETM
대기시간	대기시간/NNG
단축에	단축/NNG+에/JKB
다소나마	다소/NNG+나마/JX
기여할	기여하/VV+ㄹ/ETM
것으로	것/NNB+으로/JKB
기대하고	기대하/VV+고/EC
있다	있/VX+다/EC

시범운영	시범운영/NNG
지역은	지역/NNG+은/JX
병원,	병원/NNG+,/SP
학교	학교/NNG
등이	등/NNB+이/JKS
몰려있어	몰리/VV+어/EC+있/VX+어/EC
평상시	평상시/NNG
장애인콜택시	장애인콜택시/NNG
수요가	수요/NNG+가/JKS
많은	많/VA+은/ETM
도봉구,	도봉구/NNP+,/SP
강북구,	강북구/NNP+,/SP
노원구,	노원구/NNP+,/SP
중랑구,	중랑구/NNP+,/SP
성북구	성북구/NNP
등	등/NNB
강북지역	강북지역/NNG
5곳이다	5/SN+곳/NNG+이/VCP+다/EC

시는	시/NNG+는/JX
전기차를	전기차/NNG+를/JKO
한	한/MM
번	번/NNB
충전하면	충전하/VV+면/EC
최고	최고/NNG
주행	주행/NNG
가능거리가	가능거리/NNG+가/JKS
일반	일반/NNG
승용차에	승용차/NNG+에/JKB
비해	비하/VV+여/EC
작기	작/VA+기/ETN
때문에	때문/NNB+에/JKB
우선	우선/MAG
수요가	수요/NNG+가/JKS
많은	많/VA+은/ETM
5개	5/SN+개/NNB
지역으로	지역/NNG+으로/JKB
제한했다	제한하/VV+였/EP+다/EF

장애인콜택시	장애인콜택시/NNG
전기차는	전기차/NNG+는/JX
이용대상만	이용대상/NNG+만/JX
휠체어	휠체어/NNG
미이용	미/XPN+이용/NNG
장애인으로	장애인/NNG+으로/JKB
지정될	지정되/VV+ㄹ/ETM
뿐	뿐/NNB
나머지는	나머지/NNG+는/JX
기존	기존/NNG
장애인콜택시	장애인콜택시/NNG
이용	이용/NNG
방법과	방법/NNG+과/JKB
동일하다	동일하/VA+다/EC

예컨대	예컨데/MAG
이용을	이용/NNG+을/JKO
위해	위하/VV+여/EC
전화	전화/NNG
1588-4388로	1588/SN+-/SO+4388/SN+로/JKB
전화를	전화/NNG+를/JKO
하면	하/VV+면/EC
상담원이	상담원/NNG+이/JKS
이용자의	이용자/NNG+의/JKG
휠체어	휠체어/NNG
사용	사용/NNG
여부를	여부/NNG+를/JKO
묻고	묻/VV+고/EC
전기차	전기차/NNG
이용을	이용/NNG+을/JKO
원할	원하/VV+ㄹ/ETM
경우에	경우/NNG+에/JKB
배차를	배차/NNG+를/JKO
하는	하/VV+는/ETM
방식이다	방식/NNG+이/VCP+다/EC

인터넷	인터넷/NNG
접수를	접수/NNG+를/JKO
통해서도	통하/VV+여서/EC+도/JX
이용가능하며	이용/NNG+가능하/VA+며/EC
요금은	요금/NNG+은/JX
기존과	기존/NNG+과/JKB
동일하게	동일하/VA+게/EC
적용된다	적용되/VV+ㄴ다/EC

시는	시/NNG+는/JX
5개	5/SN+개/NNB
운행지역	운행지역/NNG
내에	내/NNB+에/JKB
급·완속	급/NNG+·/SP+완속/NNG
충전시설을	충전시설/NNG+을/JKO
충분히	충분히/MAG
설치해	설치하/VV+여/EC
운전자의	운전자/NNG+의/JKG
충전	충전/NNG
편의성을	편의성/NNG+을/JKO
제고할	제고하/VV+ㄹ/ETM
계획이다	계획/NNG+이/VCP+다/EC

심야전력을	심야전력/NNG+을/JKO
이용해	이용하/VV+여/EC
충전할	충전하/VV+ㄹ/ETM
수	수/NNB
있도록	있/VA+도록/EC
차고지에	차고지/NNG+에/JKB
차량	차량/NNG
1대당	1/SN+대/NNB+당/XSN
완속	완속/NNG
충전기	충전기/NNG
1대를	1/SN+대/NNB+를/JKO
설치하고,	설치하/VV+고/EC+,/SP
운행지역	운행지역/NNG
내	내/NNB
이미	이미/MAG
설치된	설치되/VV+ㄴ/ETM
2대의	2/SN+대/NNB+의/JKG
급속충전기	급속충전기/NNG
이외에	이외/NNG+에/JKB
강북구,	강북구/NNP+,/SP
성북구,	성북구/NNP+,/SP
중랑구	중랑구/NNP
등에	등/NNB+에/JKB
4대를	4/SN+대/NNB+를/JKO
추가	추가/NNG
설치해	설치하/VV+여/EC
운전자의	운전자/NNG+의/JKG
긴급충전을	긴급충전/NNG+을/JKO
지원할	지원하/VV+ㄹ/ETM
예정이다	예정/NNG+이/VCP+다/EC

시는	시/NNG+는/JX
오는	오/VV+는/ETM
12월까지	12/SN+월/NNB+까지/JX
시범운행	시범운행/NNG
기간	기간/NNG
동안	동안/NNG
전기차	전기차/NNG
및	및/MAG
충전시설	충전시설/NNG
성능,	성능/NNG+,/SP
운행패턴,	운행패턴/NNG+,/SP
운전자	운전자/NNG
및	및/MAG
이용자	이용자/NNG
만족도	만족도/NNG
등에	등/NNB+에/JKB
대한	대하/VV+ㄴ/ETM
결과를	결과/NNG+를/JKO
모니터링할	모니터링/NNG+하/XSV+ㄹ/ETM
예정이며,	예정/NNG+이/VCP+며/EC+,/SP
이를	이/NP+를/JKO
통해	통하/VV+여/EC
최적	최적/NNG
운영방안을	운영방안/NNG+을/JKO
도출해	도출하/VV+여/EC
향후에	향후/NNG+에/JKB
장애인콜택시용	장애인콜택시용/NNG
전기차	전기차/NNG
확대	확대/NNG
보급을	보급/NNG+을/JKO
검토할	검토하/VV+ㄹ/ETM
계획이다	계획/NNG+이/VCP+다/EC
