'독해진'	'/SS+독하/VA+여/EC+지/VX+ㄴ/ETM+'/SS
금연정책,	금연정책/NNG+,/SP
어떻게	어떻/VA+게/EC
달라졌나	달라지/VV+었/EP+나/EC

앞으로	앞/NNG+으로/JKB
공중이용시설을	공중이용시설/NNG+을/JKO
흡연이	흡연/NNG+이/JKS
금지되는	금지되/VV+는/ETM
구역(區域,	구역/NNG+(/SS+區域/SL+,/SP
zone)과	zone/SL+)/SS+과/JC
가능한	가능하/VA+ㄴ/ETM
구역으로	구역/NNG+으로/JKB
구분해서	구분하/VV+여서/EC
운영하는	운영하/VV+는/ETM
현행	현행/NNG
금연구역은	금연구역/NNG+은/JX
폐지되고,	폐지되/VV+고/EC+,/SP
공중이용시설은	공중이용시설/NNG+은/JX
옥내	옥내/NNG
또는	또는/MAG
옥외까지	옥외/NNG+까지/JX
포함해	포함하/VV+여/EC
흡연이	흡연/NNG+이/JKS
전면	전면/NNG
금지된다	금지되/VV+ㄴ다/EF

또한	또한/MAG
청소년,	청소년/NNG+,/SP
초기	초기/NNG
흡연자	흡연자/NNG
대상	대상/NNG
호기심을	호기심/NNG+을/JKO
유발하고,	유발하/VV+고/EC+,/SP
제품을	제품/NNG+을/JKO
매력적으로	매력적/NNG+으로/JKB
보이기	보이/VV+기/ETN
위한	위하/VV+ㄴ/ETM
‘과일향’,	‘/SL+과일향/NNG+’/SL+,/SP
‘칵테일향’	‘/SN+칵테일향/NNG+’/SL
등	등/NNB
가향(加香)	가향/NNG+(/SS+加香/SL+)/SS
물질이	물질/NNG+이/JKS
첨가된	첨가되/VV+ㄴ/ETM
경우,	경우/NNG+,/SP
이를	이/NP+를/JKO
제품	제품/NNG
포장	포장/NNG
및	및/MAG
광고에	광고/NNG+에/JKB
표시할	표시하/VV+ㄹ/ETM
수	수/NNB
없게	없/VA+게/EC
된다	되/VV+ㄴ다/EF

보건복지부는	보건복지부/NNG+는/JX
4일	4/SN+일/NNB
이	이/NP
같은	같/VA+은/ETM
내용으로	내용/NNG+으로/JKB
개정된	개정되/VV+ㄴ/ETM
‘국민건강증진법’이	‘/SN+국민건강증진법’/NNG+이/JKS
오는	오/VV+는/ETM
8일부터	8/SN+일/NNB+부터/JX
시행된다고	시행되/VV+ㄴ다고/EC
발표했다	발표하/VV+였/EP+다/EC

■‘공중이용시설’	■/SW+‘/SN+공중이용시설/NNG+’/SN
흡연	흡연/NNG
전면	전면/NNG
금지=	금지/NNG+=/SW
대형	대형/NNG
건축물,	건축물/NNG+,/SP
대규모	대규모/NNG
상가,	상가/NNG+,/SP
대규모	대규모/NNG
체육시설	체육시설/NNG
등	등/NNB
현행	현행/NNG
금연구역을	금연구역/NNG+을/JKO
포함해서	포함하/VV+여서/EC
국회,	국회/NNG+,/SP
법원	법원/NNG
등	등/NNB
관공서	관공서/NNG
청사,	청사/NNG+,/SP
청소년수련원	청소년수련/NNG+원/XSN
등	등/NNB
어린이·청소년이용시설을	어린이/NNG+·/SP+청소년이용시설/NNG+을/JKO
이용하는	이용하/VV+는/ETM
경우,	경우/NNG+,/SP
해당	해당/NNG
시설에	시설/NNG+에/JKB
흡연실이	흡연실/NNG+이/JKS
설치된	설치되/VV+ㄴ/ETM
경우를	경우/NNG+를/JKO
제외하고	제외하/VV+고/EC
담배를	담배/NNG+를/JKO
피울수	피울/VV+ㄹ/ETM+수/NNB
없게	없/VA+게/EC
된다	되/VV+ㄴ다/EF

법	법/NNG
시행으로,	시행/NNG+으로/JKB+,/SP
옥내	옥내/NNG
뿐만	뿐/NNB+만/JX
아니라	아니/VCN+라/EC
주차장,	주차장/NNG+,/SP
화단,	화단/NNG+,/SP
학교운동장	학교운동장/NNG
등을	등/NNB+을/JKO
포함한	포함하/VV+ㄴ/ETM
시설에	시설/NNG+에/JKB
속하는	속하/VV+는/ETM
울타리에서	울타리/NNG+에서/JKB
흡연이	흡연/NNG+이/JKS
금지되고,	금지되/VV+고/EC+,/SP
다만	다만/MAG
옥외	옥외/NNG
특히	특히/MAG
건물	건물/NNG
출입구로부터	출입구/NNG+로부터/JKB
10미터	10/SN+미터/NNB
이상	이상/NNG
거리를	거리/NNG+를/JKO
두고	두/VV+고/EC
설치되는	설치되/VV+는/ETM
흡연실에서만	흡연실/NNG+에서/JKB+만/JX
담배를	담배/NNG+를/JKO
피울수	피울/VV+ㄹ/ETM+수/NNB
있게	있/VA+게/EC
된다	되/VV+ㄴ다/EF

또한	또한/MAG
정부	정부/NNG
및	및/MAG
지자체의	지자체/NNG+의/JKG
청사에	청사/NNG+에/JKB
이어	잇/VV+어/EC
국회?법원?공공기관·지방공기업의	국회/NNG+?/SF+법원/NNG+?/SF+공공기관/NNG+·/SP+지방공기업/NNG+의/JKG
청사가	청사/NNG+가/JKS
법상	법/NNG+상/XSN
‘공중이용시설’에	‘/SN+공중이용시설/NNG+’/SL+에/JKB
포함됨에	포함되/VV+ㅁ/ETN+에/JKB
따라,	따르/VV+아/EC+,/SP
‘정부청사관리규정’(대통령령)	‘/SL+정부청사관리규정’/NNG+(/SS+대통령령/NNG+)/SS
에	에/JKB
따라	따르/VV+아/EC
건물과	건물/NNG+과/JC
그	그/MM
대지를	대지/NNG+를/JKO
포함한	포함하/VV+ㄴ/ETM
전체가	전체/NNG+가/JKS
금연구역으로	금연구역/NNG+으로/JKB
지정된다	지정되/VV+ㄴ다/EF

관공서가	관공서/NNG+가/JKS
국민들에게	국민/NNG+들/XSN+에게/JKB
갖는	갖/VV+는/ETM
상징성과	상징성/NNG+과/JC
남녀노소	남녀노소/NNG
불특정	불특정/NNG
다수가	다수/NNG+가/JKS
공적	공적/NNG
필요에	필요/NNG+에/JKB
따라	따르/VV+아/EC
이용하는	이용하/VV+는/ETM
공공	공공/NNG
건물이라는	건물/NNG+이/VCP+라는/ETM
점을	점/NNG+을/JKO
고려,	고려/NNG+,/SP
실내보다	실내/NNG+보다/JKB
옥외에	옥외/NNG+에/JKB
흡연실을	흡연실/NNG+을/JKO
설치하도록	설치하/VV+도록/EC
권고할	권고하/VV+ㄹ/ETM
방침이다	방침/NNG+이/VCP+다/EC

상기	상기/NNG
공중이용시설의	공중이용시설/NNG+의/JKG
소유자·점유자·관리자는	소유자/NNG+·/SP+점유자/NNG+·/SP+관리자/NNG+는/JX
시설	시설/NNG
이용자가	이용자/NNG+가/JKS
잘	잘/MAG
볼	보/VV+ㄹ/ETM
수	수/NNB
있도록	있/VA+도록/EC
건물	건물/NNG
출입구에	출입구/NNG+에/JKB
아래	아래/NNG
