뜨거운	뜨겁/VA+ㄴ/ETM
여름철,	여름철/NNG+,/SP
감기환자	감기환자/NNG
‘비상’	‘/SL+비상/NNG+’/SN

19일	19/SN+일/NNB
질병관리본부가	질병관리본부/NNG+가/JKS
최근	최근/NNG
많이	많이/MAG
발생하고	발생하/VV+고/EC
있는	있/VX+는/ETM
감기환자는	감기환자/NNG+는/JX
주로	주로/MAG
파라인플루엔자바이러스(PIV)	파라인플루엔자바이러스/NNG+(/SS+PIV/SL+)/SS
감염에	감염/NNG+에/JKB
의한	의하/VV+ㄴ/ETM
것으로	것/NNB+으로/JKB
손씻기,	손/NNG+씻/VV+기/ETN+,/SP
감염된	감염되/VV+ㄴ/ETM
사람과	사람/NNG+과/JKB
접촉하지	접촉하/VV+지/EC
않기	않/VX+기/ETN
등	등/NNB
개인위생수칙을	개인위생수칙/NNG+을/JKO
철저히	철저히/MAG
준수하고	준수하/VV+고/EC
건강관리에	건강관리/NNG+에/JKB
주의할	주의하/VV+ㄹ/ETM
것을	것/NNB+을/JKO
당부했다	당부하/VV+였/EP+다/EC

이번	이번/NNG
달	달/NNG
인플루엔자	인플루엔자/NNG
임상감시	임상감시/NNG
결과,	결과/NNG+,/SP
인플루엔자	인플루엔자/NNG
의사환자(ILI)	의사환자/NNG+(/SS+ILI/SL+)/SS
분율은	분율/NNG+은/JX
1	1/SN

8로	8/SN+로/JKB
지속적으로	지속적/NNG+으로/JKB
유행기준	유행기준/NNG
이하로	이하/NNG+로/JKB
감소	감소/NNG
추세다	추세/NNG+이/VCP+다/EF

하지만	하지만/MAJ
인플루엔자	인플루엔자/NNG
및	및/MAG
호흡기바이러스	호흡기바이러스/NNG
실험실감시(KINRESS)	실험실감시/NNG+(/SS+KINRESS/SL+)/SS
결과,	결과/NNG+,/SP
2012년	2012/SN+년/NNB
25주	25/SN+주/NNB
(2012	(/SS+2012/SN

6	6/SN

17~6	17/SN+~/SO+6/SN

23)부터	23/SN+)/SS+부터/JX
파라인플루엔자바이러스	파라인플루엔자바이러스/NNG
(PIV)	(/SS+PIV/SL+)/SS
검출률이	검출률/NNG+이/JKS
증가하기	증가하/VV+기/ETN
시작해	시작하/VV+여/EC
지난	지나/VV+ㄴ/ETM
1일부터	1/SN+일/NNB+부터/JX
7일에는	7/SN+일/NNB+에/JKB+는/JX
지난	지나/VV+ㄴ/ETM
4년간	4/SN+년/NNB+간/XSN
연평균	연평균/NNG
검출률보다	검출률/NNG+보다/JKB
10배나	10/SN+배/NNG+나/JX
높은	높/VA+은/ETM
14%	14/SN+%/SW
상태가	상태/NNG+가/JKS
지속되고	지속되/VV+고/EC
있어	있/VX+어/EC
주의가	주의/NNG+가/JKS
요구된다는	요구되/VV+ㄴ다는/ETM
것	것/NNB

파라인플루엔자바이러스(PIV)는	파라인플루엔자바이러스/NNG+(/SS+PIV/SL+)/SS+는/JX
영유아나	영유아/NNG+나/JC
어린이에서	어린이/NNG+에서/JKB
호흡기계	호흡기계/NNG
질환을	질환/NNG+을/JKO
유발하는	유발하/VV+는/ETM
일반적인	일반적/NNG+이/VCP+ㄴ/ETM
호흡기	호흡기/NNG
바이러스로,	바이러스/NNG+로/JKB+,/SP
대부분	대부분/NNG
열을	열/NNG+을/JKO
동반한	동반하/VV+ㄴ/ETM
코감기,	코감기/NNG+,/SP
인후염	인후염/NNG
그리고	그리고/MAJ
기관지염의	기관지염/NNG+의/JKG
증상을	증상/NNG+을/JKO
보인다	보일/VV+ㄴ다/EF

특히,	특히/MAG+,/SP
영유아의	영유아/NNG+의/JKG
경우	경우/NNG
급성후두기관지염이	급성후두기관지염/NNG+이/JKS
발생하며,	발생하/VV+며/EC+,/SP
지속될	지속되/VV+ㄹ/ETM
경우	경우/NNG
폐렴	폐렴/NNG
등의	등/NNB+의/JKG
하기도감염증을	하기도감염증/NNG+을/JKO
유발할	유발하/VV+ㄹ/ETM
수	수/NNB
있다	있/VA+다/EC

이에	이/NP+에/JKB
본부는	본부/NNG+는/JX
올바른	올바르/VA+ㄴ/ETM
손씻기를	손/NNG+씻/VV+기/ETN+를/JKO
생활화	생활화/NNG
감기에	감기/NNG+에/JKB
걸린	걸리/VV+ㄴ/ETM
사람과	사람/NNG+과/JC
아이가	아이/NNG+가/JKS
접촉하지	접촉하/VV+지/EC
않게	않/VX+게/EC
할	하/VX+ㄹ/ETM
것	것/NNB
아이가	아이/NNG+가/JKS
사람이	사람/NNG+이/JKS
많은	많/VA+은/ETM
환경에	환경/NNG+에/JKB
노출되지	노출되/VV+지/EC
않도록	않/VX+도록/EC
할	하/VX+ㄹ/ETM
것	것/NNB
아이의	아이/NNG+의/JKG
장난감과	장난감/NNG+과/JC
이불을	이불/NNG+을/JKO
자주	자주/MAG
세척할	세척하/VV+ㄹ/ETM
것	것/NNB
유아용	유아/NNG+용/XSN
젖꼭지나	젖꼭지/NNG+나/JC
식기	식기/NNG
등	등/NNB
개인적	개인적/NNG
물품들은	물품/NNG+들/XSN+은/JX
같이	같이/MAG
사용하지	사용하/VV+지/EC
않을	않/VX+을/ETM
것	것/NNB
등의	등/NNB+의/JKG
예방수칙을	예방수칙/NNG+을/JKO
당부했다	당부하/VV+였/EP+다/EC
