“2급장애인도	“/SL+2/SN+급장애인/NNG+도/JX
활동지원	활동지원/NNG
신청하세요”	신청하/VA+세요/EF+”/SN

오는	오/VV+는/ETM
2013년	2013/SN+년/NNB
1월	1/SN+월/NNB
1일부터	1/SN+일/NNB+부터/JX
장애인	장애인/NNG
활동지원	활동지원/NNG
신청자격	신청자격/NNG
및	및/MAG
급여	급여/NNG
확대	확대/NNG
등이	등/NNB+이/JKS
시행된다	시행되/VV+ㄴ다/EF

보건복지부(이하	보건복지부/NNG+(/SS+이하/NNG
복지부)는	복지부/NNG+)/SS+는/JX
이	이/NP
같은	같/VA+은/ETM
내용을	내용/NNG+을/JKO
담은	담/VV+은/ETM
‘장애인활동	‘/SL+장애인활동/NNG
지원에	지원/NNG+에/JKB
관한	관하/VV+ㄴ/ETM
법률	법률/NNG
시행령	시행령/NNG
개정안’이	개정안/NNG+’/SL+이/JKS
18일	18/SN+일/NNB
국무회의	국무회의/NNG
심의를	심의/NNG+를/JKO
마쳐	마치/VV+어/EC
공포될	공포되/VV+ㄹ/ETM
예정이라고	예정/NNG+이/VCP+라고/EC
밝혔다	밝히/VV+었/EP+다/EC

이번	이번/NNG
시행으로	시행/NNG+으로/JKB
장애	장애/NNG
1급으로	1/SN+급/NNG+으로/JKB
제한돼	제한되/VV+어/EC
있던	있/VX+던/ETM
신청	신청/NNG
자격이	자격/NNG+이/JKS
장애	장애/NNG
2급까지로	2/SN+급/NNG+까지/JX+로/JKB
확대된다	확대되/VV+ㄴ다/EF

2급	2/SN+급/NNG
장애인	장애인/NNG
23만명을	23/SN+만/NR+명/NNB+을/JKO
대상으로	대상/NNG+으로/JKB
오는	오/VV+는/ETM
21일부터	21/SN+일/NNB+부터/JX
신청을	신청/NNG+을/JKO
받아	받/VV+아/EC
수급자격	수급자격/NNG
인정조사를	인정조사/NNG+를/JKO
거쳐	거치/VV+어/EC
조속히	조속히/MAG
서비스를	서비스/NNG+를/JKO
제공할	제공하/VV+ㄹ/ETM
예정이다	예정/NNG+이/VCP+다/EC

또한	또한/MAG
18세	18/SN+세/NNB
미만	미만/NNG
장애아동의	장애아동/NNG+의/JKG
성장·발달을	성장/NNG+·/SP+발달/NNG+을/JKO
