턱없이	턱없이/MAG
부족한	부족하/VA+ㄴ/ETM
국립재활원	국립재활원/NNP
의료인력	의료인력/NNG

국립재활원	국립재활원/NNP
의료인력이	의료인력/NNG+이/JKS
부족해	부족하/VA+여/EC
대책	대책/NNG
마련이	마련/NNG+이/JKS
필요하다는	필요하/VA+다는/ETM
지적이다	지적/NNG+이/VCP+다/EC

23일	23/SN+일/NNB
국회	국회/NNG
보건복지위원회	보건복지위원회/NNG
소속	소속/NNG
류지영	류지영/NNP
의원(새누리당)은	의원/NNG+(/SS+새누리당/NNP+)/SS+은/JX
국립재활원의	국립재활원/NNP+의/JKG
의료인력	의료인력/NNG
중	중/NNB
결원	결원/NNG
의사는	의사/NNG+는/JX
정원	정원/NNG
22명중	22/SN+명중/NNB
7명(31	7/SN+명/NNB+(/SS+31/SN

8%),	8/SN+%/SW+)/SS+,/SP
간호사는	간호사/NNG+는/JX
정원	정원/NNG
89명	89/SN+명/NNB
중	중/NNB
4명(4	4/SN+명/NNB+(/SS+4/SN

5%),	5/SN+%/SW+)/SS+,/SP
의료기술직은	의료기술직/NNG+은/JX
정원	정원/NNG
83명	83/SN+명/NNB
중	중/NNB
7명(8	7/SN+명/NNB+(/SS+8/SN

4%)이	4/SN+%/SW+)/SS+이/JKS
결원	결원/NNG
상태라고	상태/NNG+이/VCP+라고/EC
밝혔다	밝히/VV+었/EP+다/EC

특히	특히/MAG
일부	일부/NNG
진료과의	진료/NNG+과/JKB+의/JKG
경우,	경우/NNG+,/SP
채용을	채용/NNG+을/JKO
위해	위하/VV+여/EC
수회	수회/NNG
채용공고를	채용공고/NNG+를/JKO
했으나	하/VV+였/EP+으나/EC
응시자가	응시자/NNG+가/JKS
없는	없/VA+는/ETM
형편에	형편/NNG+에/JKB
처했다	처하/VV+였/EP+다/EC

이렇다보니	이렇/VA+다/EC+보/VX+니/EC
포괄적인	포괄적/NNG+이/VCP+ㄴ/ETM
재활서비스	재활서비스/NNG
팀	팀/NNG
구성이	구성/NNG+이/JKS
어려워	어렵/VA+어/EC
환자의	환자/NNG+의/JKG
재활진료	재활진료/NNG
서비스	서비스/NNG
질	질/NNG
저하	저하/NNG
및	및/MAG
조기	조기/NNG
사회복귀가	사회복귀/NNG+가/JKS
지연될	지연되/VV+ㄹ/ETM
우려가	우려/NNG+가/JKS
있다	있/VA+다/EC

또한	또한/MAG
의사인력	의사인력/NNG
부족을	부족/NNG+을/JKO
공중보건의	공중보건의/NNG
및	및/MAG
촉탁의로	촉탁의/NNG+로/JKB
대체하해	대체하하/VV+여/EC
진료공백을	진료공백/NNG+을/JKO
최소화해	최소화하/VV+여/EC
운영	운영/NNG
중이나	중/NNB+이나/JC
청각재활과,	청각재활과/NNG+,/SP
시각재활과의	시각재활과/NNG+의/JKG
지속적인	지속적/NNG+이/VCP+ㄴ/ETM
재활진료	재활진료/NNG
및	및/MAG
재활프로그램	재활프로그램/NNG
개발을	개발/NNG+을/JKO
책임감	책임감/NNG
있게	있/VA+게/EC
추진하지	추진하/VV+지/EC
못한다는	못하/VX+ㄴ다는/ETM
것	것/NNB

영상의학과	영상의학과/NNG
또한	또한/MAG
질병진단	질병진단/NNG
및	및/MAG
재활치료에	재활치료/NNG+에/JKB
필수적인	필수적/NNG+이/VCP+ㄴ/ETM
진단검사의	진단검사/NNG+의/JKG
지원이	지원/NNG+이/JKS
원활하지	원활하/VA+지/EC
못해	못하/VX+여/EC
진료의	진료/NNG+의/JKG
질	질/NNG
저하될	저하되/VV+ㄹ/ETM
우려가	우려/NNG+가/JKS
있다고	있/VA+다고/EC
류	리/VV+유/EF
의원은	의원/NNG+은/JX
설명했다	설명하/VV+었/EP+다/EC

류	류/NNP
의원은	의원/NNG+은/JX
“	“/SL
보수	보수/NNG
등	등/NNB
의사	의사/NNG
처우개선	처우개선/NNG
문제는	문제/NNG+는/JX
복지부	복지부/NNG
전	전/MM
국공립병원에	국공립병원/NNG+에/JKB
공통사항”이라며	공통사항”/NNG+이/VCP+라며/EC
“향후,	“/SL+향후/NNG+,/SP
의과대학	의과대학/NNG
등에	등/NNB+에/JKB
집중	집중/NNG
홍보해	홍보하/VV+여/EC
결원	결원/NNG
의사가	의사/NNG+가/JKS
충원	충원/NNG
될	되/VV+ㄹ/ETM
수	수/NNB
있도록	있/VA+도록/EC
최선의	최선/NNG+의/JKG
노력을	노력/NNG+을/JKO
다해야	다하/VV+여야/EC
함은	하/VX+ㅁ/ETN+은/JX
물론	물론/MAG
기존의	기존/NNG+의/JKG
대안이	대안/NNG+이/JKC
아닌	아니/VCN+ㄴ/ETM
특단의	특단/NNG+의/JKG
대책이	대책/NNG+이/JKS
필요할	필요하/VA+ㄹ/ETM
것”이라고	것/NNB+”/SL+이/VCP+라고/EC
강조했다	강조하/VV+였/EP+다/EC
