중앙장애아동지원센터	중앙장애아동지원센터/NNG
설치	설치/NNG
언제되나	언제되/VV+나/EF

장애아동복지지원법	장애아동복지지원법/NNG
제정에	제정/NNG+에/JKB
따라	따르/VV+아/EC
장애아동에게	장애아동/NNG+에게/JKB
적절한	적절하/VA+ㄴ/ETM
복지지원을	복지지원/NNG+을/JKO
제공할	제공하/VV+ㄹ/ETM
장애아동지원센터가	장애아동지원센터/NNG+가/JKS
늦어도	늦/VA+어도/EC
내년	내년/NNG
상반기	상반기/NNG
안으로	안/NNG+으로/JKB
운영될	운영되/VV+ㄹ/ETM
것으로	것/NNB+으로/JKB
보인다	보일/VV+ㄴ다/EF

보건복지부(이하	보건복지부/NNG+(/SS+이하/NNG
복지부)는	복지부/NNG+)/SS+는/JX
중앙장애아동지원센터는	중앙장애아동지원/NNP+센터/NNG+는/JX
올	올/NNG
하반기에	하반기/NNG+에/JKB
시범사업을	시범사업/NNG+을/JKO
거쳐,	거치/VV+어/EC+,/SP
법이	법/NNG+이/JKS
시행되는	시행되/VV+는/ETM
다음해	다음해/NNG
상반기에	상반기/NNG+에/JKB
운영될	운영되/VV+ㄹ/ETM
예정이라고	예정/NNG+이/VCP+라고/EC
24일	24/SN+일/NNB
밝혔다	밝히/VV+었/EP+다/EC

장애아동복지지원법은	장애아동복지지원법/NNG+은/JX
지난해	지난해/NNG
6월	6/SN+월/NNB
국회를	국회/NNG+를/JKO
통과하며	통과하/VV+며/EC
장애아동에게	장애아동/NNG+에게/JKB
적절한	적절하/VA+ㄴ/ETM
복지지원을	복지지원/NNG+을/JKO
제공하기	제공하/VV+기/ETN
위해	위하/VV+여/EC
제정됐으며,	제정되/VV+었/EP+으며/EC+,/SP
오는	오/VV+는/ETM
8월5일부터	8/SN+월/NNB+5/SN+일/NNB+부터/JX
법의	법/NNG+의/JKG
효력이	효력/NNG+이/JKS
발휘하게	발휘하/VV+게/EC
된다	되/VV+ㄴ다/EF

이에	이/NP+에/JKB
따라	따르/VV+아/EC
복지부장관은	복지부장관/NNG+은/JX
중앙장애아동지원센터,	중앙장애아동지원센터/NNG+,/SP
시장·군수·구청장은	시장/NNG+·/SP+군수/NNG+·/SP+구청장/NNG+은/JX
지역장애아동지원센터를	지역장애아동지원센터/NNG+를/JKO
설치·운영할	설치/NNG+·/SP+운영하/VV+ㄹ/ETM
수	수/NNB
있다	있/VA+다/EC

먼저	먼저/MAG
'중앙장애아동지원센터'는	'/SS+중앙장애아동지원센터/NNG+'/SS+는/JX
△장애아동의	△/SL+장애아동의/NNG
복지지원에	복지지원/NNG+에/JKB
관한	관하/VV+ㄴ/ETM
조사·연구	조사/NNG+·/SP+연구/NNG
△지역장애아동지원센터에	△/SN+지역장애아동지원센터/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
평가	평가/NNG
및	및/MAG
운영	운영/NNG
지원	지원/NNG
△장애아동의	△/SN+장애아동/NNG+의/JKG
복지지원	복지지원/NNG
정책에	정책/NNG+에/JKB
관한	관하/VV+ㄴ/ETM
정보	정보/NNG
및	및/MAG
자료	자료/NNG
제공	제공/NNG
△장애아동의	△/SN+장애아동/NNG+의/JKG
장애유형별	장애유형별/NNG
지원	지원/NNG
프로그램의	프로그램/NNG+의/JKG
개발	개발/NNG
등의	등/NNB+의/JKG
업무를	업무/NNG+를/JKO
수행하게	수행하/VV+게/EC
된다	되/VV+ㄴ다/EF

'지역장애아동지원센터'는	'/SS+지역장애아동지원센터/NNG+'/SS+는/JX
△장애아동의	△/SL+장애아동/NNG+의/JKG
조기발견을	조기발견/NNG+을/JKO
위한	위하/VV+ㄴ/ETM
홍보	홍보/NNG
△장애아동의	△장애아동/NNG+의/JKG
복지지원	복지지원/NNG
사업에	사업/NNG+에/JKB
관한	관하/VV+ㄴ/ETM
정보	정보/NNG
및	및/MAG
자료	자료/NNG
제공	제공/NNG
△장애아동과	△/SN+장애아동/NNG+과/JC
그	그/MM
가족에	가족/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
복지지워	복지지워/NNP
제공기관의	제공기관/NNG+의/JKG
연계	연계/NNG
△장애아동의	△/SN+장애아동/NNG+의/JKG
사례관리	사례관리/NNG
△장애아동	△/SL+장애아동/NNG
및	및/MAG
그	그/MM
가족을	가족/NNG+을/JKO
지원하는	지원하/VV+는/ETM
가족상담	가족상담/NNG
및	및/MAG
교육	교육/NNG
실시	실시/NNG
등의	등/NNB+의/JKG
업무를	업무/NNG+를/JKO
수행한다	수행하/VV+ㄴ다/EC

이를	이/NP+를/JKO
위해	위하/VV+여/EC
복지부는	복지부/NNG+는/JX
내년도	내년도/NNG
예산	예산/NNG
5억원을	5/SN+억/NR+원/NNB+을/JKO
편성해	편성하/VV+여/EC
기획재정부에	기획재정부/NNG+에/JKB
제출했으며,	제출하/VV+였/EP+으며/EC+,/SP
원할한	원할하/VA+ㄴ/ETM
센터	센터/NNG
운영을	운영/NNG+을/JKO
위해	위하/VV+여/EC
5억원의	5/SN+억/NR+원/NNB+의/JKG
사업비를	사업비/NNG+를/JKO
들여	들이/VV+어/EC
오는	오/VV+는/ETM
하반기	하반기/NNG
중앙1개소,	중앙/NNG+1/SN+개소/NNB+,/SP
지역2개소	지역/NNG+2/SN+개소/NNB
등	등/NNB
총	총/MM
3개소의	3/SN+개소/NNB+의/JKG
센터	센터/NNG
시범사업을	시범사업/NNG+을/JKO
연말까지	연말/NNG+까지/JX
운영할	운영하/VV+ㄹ/ETM
예정이다	예정/NNG+이/VCP+다/EC

또한	또한/MAG
센터	센터/NNG
시범운영의	시범운영/NNG+의/JKG
효율적	효율적/NNG
시행을	시행/NNG+을/JKO
위해	위하/VV+여/EC
세부	세부/NNG
운영	운영/NNG
방안	방안/NNG
및	및/MAG
매뉴얼	매뉴얼/NNG
등	등/NNB
개발을	개발/NNG+을/JKO
위해	위하/VV+여/EC
진행	진행/NNG
중인	중/NNB+이/VCP+ㄴ/ETM
연구용역을	연구용역/NNG+을/JKO
오는	오/VV+는/ETM
8월까지	8/SN+월/NNB+까지/JX
완료하고,	완료하/VV+고/EC+,/SP
구체적	구체적/NNG
방안을	방안/NNG+을/JKO
도출	도출/NNG
후	후/NNG
수업을	수업/NNG+을/JKO
추진할	추진하/VV+ㄹ/ETM
계획이다	계획/NNG+이/VCP+다/EC

복지부	복지부/NNG
관계자는	관계자/NNG+는/JX
“시범사업을	“/SN+시범사업/NNG+을/JKO
하기위해	하/VV+기/ETN+위하/VV+여/EC
다음달	다음달/NNG
쯤	쯤/XSN
센터를	센터/NNG+를/JKO
위탁할	위탁하/VV+ㄹ/ETM
기관	기관/NNG
공모를	공모/NNG+를/JKO
나설	나서/VV+ㄹ/ETM
예정이며,	예정/NNG+이/VCP+며/EC+,/SP
연말까지의	연말/NNG+까지/JX+의/JKG
시범사업을	시범사업/NNG+을/JKO
통해	통하/VV+여/EC
내년	내년/NNG
상반기	상반기/NNG
쯤에는	쯤/XSN+에/JKB+는/JX
장애아동을	장애아동/NNG+을/JKO
위한	위하/VV+ㄴ/ETM
중앙센터가	중앙센터/NNG+가/JKS
문을	문/NNG+을/JKO
열수	열/VV+ㄹ/ETM+수/NNB
있도록	있/VA+도록/EC
하겠다”면서	하/VX+겠/EP+다”면서/EC
