통계로	통계/NNG+로/JKB
본	보/VV+ㄴ/ETM
10년	10/SN+년/NNB
간	간/XSN
장애인	장애인/NNG
삶의	삶/NNG+의/JKG
변화	변화/NNG

[창간	[/SS+창간/NNG
10주년	10/SN+주년/NNB
특집]에이블뉴스가	특집/NNG+]/SS+에이블뉴스/NNG+가/JKS
장애인	장애인/NNG
언론으로써	언론/NNG+으로써/JKB
함께	함께/MAG
한	하/VV+ㄴ/ETM
지	지/NNB
어는	얼/VV+는/ETM
덧	덧/NNG
10년을	10/SN+년/NNB+을/JKO
맞이했다	맞이하/VV+였/EP+다/EC

그동안	그동안/NNG
에이블뉴스는	에이블뉴스/NNP+는/JX
장애인이	장애인/NNG+이/JKS
부르면	부르/VV+면/EC
어디든	어디/NP+든/JX
발	발/NNG
빠르게	빠르/VA+게/EC
달려가	달려가/VV+아/EC
목소리에	목소리/NNG+에/JKB
귀를	귀/NNG+를/JKO
기울였다	기울이/VV+었/EP+다/EF

10년간	10/SN+년/NNB+간/XSN
변화된	변화되/VV+ㄴ/ETM
장애인들의	장애인/NNG+들/XSN+의/JKG
삶을	삶/NNG+을/JKO
각종	각종/NNG
통계를	통계/NNG+를/JKO
통해	통하/VV+여/EC
비교해	비교하/VV+여/EC
봤다	보/VX+았/EP+다/EF

2002년부터	2002/SN+년/NNB+부터/JX
2010년까지	2010/SN+년/NNB+까지/JX
등록장애인	등록장애/NNG+이/VCP+ㄴ/ETM
수와	수/NNG+와/JC
우리나라	우리나라/NNG
총인구	총인구/NNG
대비	대비/NNG
장애인구	장애인구/NNG
비율	비율/NNG

10년간	10/SN+년/NNB+간/XSN
등록장애인은	등록장애인/NNG+은/JX
2배	2/SN+배/NNG
가량	가량/XSN
증가했다	증가하/VV+였/EP+다/EC

2002년	2002/SN+년/NNB
129만	129/SN+만/NR
4	4/SN

254명에	254/SN+명/NNB+에/JKB
불과했지만	불과하/VA+었/EP+지만/EC
2011년	2011/SN+년/NNB
251만	251/SN+만/NR
9,241명을	9,241/SN+명/NNB+을/JKO
기록,	기록/NNG+,/SP
122만	122/SN+만/NR
4,987명이	4,987/SN+명/NNB+이/JKS
많아졌다	많아지/VV+었/EP+다/EC

등록장애인은	등록장애인/NNG+은/JX
2000년	2000/SN+년/NNB
1차	1/SN+차/NNB
장애범주	장애범주/NNG
확대	확대/NNG
이후	이후/NNG
2006년까지	2006/SN+년/NNB+까지/JX
매년	매년/MAG
10%대의	10/SN+%/SW+대/XSN+의/JKG
증가율을	증가율/NNG+을/JKO
나타냈다	나타내/VV+었/EP+다/EF

200만명	200/SN+만/NR+명/NNB
대에	대/NNB+에/JKB
진입한	진입하/VV+ㄴ/ETM
2007년(210만	2007/SN+년/NNB+(/SS+210/SN+만/NR
4889명)부터	4889/SN+명/NNB+)/SS+부터/JX
2009년(242만9547명)까지	2009/SN+년/NNB+(/SS+242/SN+만/NR+9547/SN+명/NNB+)/SS+까지/JX
6%대를	6/SN+%/SW+대/XSN+를/JKO
유지,	유지/NNG+,/SP
이전	이전/NNG
보다	보다/MAG
약간	약간/MAG
감소한	감소하/VV+ㄴ/ETM
증가추이를	증가추이/NNG+를/JKO
보였다	보이/VV+었/EP+다/EF

2010년에는	2010/SN+년/NNB+에/JKB+는/JX
251만7312명으로	251/SN+만/NR+7312/SN+명/NNB+으로/JKB
‘250만명	‘/SL+250/SN+만/NR+명/NNB
대’에	대’/NNG+에/JKB
진입했고,	진입하/VV+였/EP+고/EC+,/SP
2011년에는	2011/SN+년/NNB+에/JKB+는/JX
전년보다	전년/NNG+보다/JKB
1,929명이	1,929/SN+명/NNB+이/JKS
늘어나는데	늘어나/VV+는/ETM+데/NNB
그쳐	그치/VV+어/EC
‘제자리걸음’	‘/SL+제자리걸음/NNG+’/SL
수준이다	수준/NNG+이/VCP+다/EC

우리나라	우리나라/NNG
총인구	총인구/NNG
대비	대비/NNG
장애인구	장애인구/NNG
비율도	비율/NNG+도/JX
2배	2/SN+배/NNG
가량	가량/XSN
늘어났다	늘어나/VV+았/EP+다/EC

2002년	2002/SN+년/NNB
당시	당시/NNG
2	2/SN

7%(1,294,254명)였던	7/SN+%/SW+(/SS+1,294,254/SN+명/NNB+)/SS+이/VCP+었/EP+던/ETM
반면	반면/NNG
2010년(2,517,312명)	2010/SN+년/NNB+(/SS+2,517,312/SN+명/NNB+)/SS
5%를	5/SN+%/SW+를/JKO
기록했다	기록하/VV+였/EP+다/EC

이는	이/NP+는/JX
1·2차	1/SN+·/SP+2/SN+차/NNB
장애범주	장애범주/NNG
확대,	확대/NNG+,/SP
후천적	후천적/NNG
장애	장애/NNG
등으로	등/NNB+으로/JKB
등록장애인인	등록장애인/NNG+이/VCP+ㄴ/ETM
지속적으로	지속적/NNG+으로/JKB
증가했기	증가하/VV+였/EP+기/ETN
때문인	때문/NNB+이/VCP+ㄴ/ETM
것을	것/NNB+을/JKO
풀이된다	풀이되/VV+ㄴ다/EF

장애인	장애인/NNG
복지시설(생활시설,	복지시설/NNG+(/SS+생활시설/NNG+,/SP
직업재활시설,	직업재활시설/NNG+,/SP
지역사회재활시설)도	지역사회재활시설/NNG+)/SS+도/JX
증가하기는	증가하/VV+기/ETN+는/JX
마찬가지였다	마찬가지/NNG+이/VCP+었/EP+다/EF

이중	이/MM+중/NNB
장애인	장애인/NNG
지역사회재활시설의	지역사회재활시설/NNG+의/JKG
경우	경우/NNG
2002년	2002/SN+년/NNB
336곳에	336/SN+곳/NNG+에/JKB
불과했던	불과하/VA+었/EP+던/ETM
것이	것/NNB+이/JKS
2005년	2005/SN+년/NNB
1,049곳으로	1,049/SN+곳/NNG+으로/JKB
대폭	대폭/MAG
늘어난	늘어나/VV+ㄴ/ETM
뒤	뒤/NNG
2010년	2010/SN+년/NNB
1,726곳을	1,726/SN+곳/NNG+을/JKO
기록했다	기록하/VV+였/EP+다/EC

10년	10/SN+년/NNB
동안	동안/NNG
무려	무려/MAG
5배	5/SN+배/NNG
이상이	이상/NNG+이/JKS
늘어난	늘어나/VV+ㄴ/ETM
수치다	수치/VV+다/EC

2002년부터	2002/SN+년/NNB+부터/JX
2012년(1월~10월)까지	2012/SN+년/NNB+(/SS+1/SN+월/NNB+~/SO+10/SN+월/NNB+)/SS+까지/JX
'장애'를	'/SS+장애/NNG+'/SS+를/JKO
이류로	이류/NNG+로/JKB
차별받았다고	차별/NNG+받/VV+았/EP+다고/EC
진정한	진정하/VA+ㄴ/ETM
사건	사건/NNG
접수율	접수율/NNG

D	D/SL

B	B/SL
‘장애’를	‘/SL+장애/NNG+’/SL+를/JKO
이유로	이유/NNG+로/JKB
차별받았다고	차별/NNG+받/VV+았/EP+다고/EC
국가인권위원회에	국가인권위원회/NNG+에/JKB
진정한	진정하/VA+ㄴ/ETM
사건도	사건/NNG+도/JX
늘어났다	늘어나/VV+았/EP+다/EC

2002년	2002/SN+년/NNB
당시	당시/NNG
20건에	20/SN+건/NNB+에/JKB
불과했던	불과하/VA+었/EP+던/ETM
진정사건	진정사건/NNG
수는	수/NNG+는/JX
2008년	2008/SN+년/NNB
4월	4/SN+월/NNB
장애인차별금지법이	장애인차별금지법/NNG+이/JKS
시행된	시행되/VV+ㄴ/ETM
이후	이후/NNG
가파르게	가파르/VA+게/EC
증가했다	증가하/VV+였/EP+다/EC

2012년(1월~10월)과	2012/SN+년/NNB+(/SS+1/SN+월/NNB+~/SO+10/SN+월/NNB+)/SS+과/JKB
비교해보면	비교하/VV+여/EC+보/VX+면/EC
1,132건으로	1,132/SN+건/NNB+으로/JKB
무려	무려/MAG
56	56/SN

6배	6/SN+배/NNG
증가했다	증가하/VV+였/EP+다/EC

장애인차별금지법	장애인차별금지법/NNG
시행	시행/NNG
전	전/MM
최대	최대/NNG
진정사건	진정사건/NNG
수는	수/NNG+는/JX
2007년	2007/SN+년/NNB
256건이었지만,	256/SN+건/NNB+이/VCP+었/EP+지만/EC+,/SP
2008년	2008/SN+년/NNB
640건으로	640/SN+건/NNB+으로/JKB
2배	2/SN+배/NNG
이상	이상/NNG
급증했다	급증하/VV+였/EP+다/EF

특히	특히/MAG
2010년은	2010/SN+년/NNB+은/JX
1,649건을	1,649/SN+건/NNB+을/JKO
기록,	기록/NNG+,/SP
10년	10/SN+년/NNB
동안	동안/NNG
최대	최대/NNG
진정	진정/NNG
건수를	건수/NNG+를/JKO
보였다	보이/VV+었/EP+다/EF

장애인실태	장애인실태/NNG
조사에	조사/NNG+에/JKB
따르면	따르/VV+면/EC
장애인가구	장애인가구/NNG
월평균소득은	월평균소득/NNG+은/JX
매년	매년/MAG
증가하고	증가하/VV+고/EC
