시설장애인	시설장애인/NNG
절반	절반/NNG
"생활	"/SS+생활/NNG
어려워도	어렵/VA+어도/EC
자립하고	자립하/VV+고/EC
싶다"	싶/VX+다/EF+"/SS

(서울=연합뉴스)	(/SS+서울/NNP+=/SW+연합뉴스/NNP+)/SS
조민정	조민정/NNP
기자	기자/NNG
=	=/SW
장애인	장애인/NNG
시설	시설/NNG
거주자	거주자/NNG
중	중/NNB
절반은	절반/NNG+은/JX
생활에	생활/NNG+에/JKB
어려움이	어려움/NNG+이/JKS
있더라도	있/VA+더라도/EC
외부	외부/NNG
자립생활을	자립생활/NNG+을/JKO
원하는	원하/VV+는/ETM
것으로	것/NNB+으로/JKB
나타났다	나타나/VV+았/EP+다/EC

18일	18/SN+일/NNB
국가인권위원회가	국가인권위원회/NNG+가/JKS
발표한	발표하/VV+ㄴ/ETM
'시설	'/SS+시설/NNG
거주	거주/NNG
장애인	장애인/NNG
현황	현황/NNG
및	및/MAG
자립생활	자립생활/NNG
욕구	욕구/NNG
실태조사'에	실태조사/NNG+'/SS+에/JKB
따르면	따르/VV+면/EC
조사대상	조사대상/NNG
장애인	장애인/NNG
중	중/NNB
50	50/SN

6％은	6/SN+％/SL+은/JX
'자립하면	'/SS+자립하/VV+면/EC
24시간	24/SN+시간/NNB
활동보조	활동보조/NNG
서비스를	서비스/NNG+를/JKO
받을	받/VV+을/ETM
수	수/NNB
없고	없/VA+고/EC
생활비가	생활비/NNG+가/JKS
넉넉하지	넉넉하/VA+지/EC
않을	않/VX+을/ETM
수	수/NNB
있다'는	있/VA+다/EF+'/SS+는/JX
등의	등/NNB+의/JKG
설명을	설명/NNG+을/JKO
들은	듣/VV+은/ETM
후에도	후/NNG+에/JKB+도/JX
자립을	자립/NNG+을/JKO
희망했다	희망하/VV+였/EP+다/EC

이	이/MM
조사는	조사/NNG+는/JX
지난	지나/VV+ㄴ/ETM
8~10월	8/SN+~/SO+10/SN+월/NNB
장애인생활시설,	장애인생활시설/NNG+,/SP
단기보호시설,	단기보호시설/NNG+,/SP
공동생활가정	공동생활가정/NNG
등	등/NNB
1천144개소	1/SN+천/NR+144/SN+개소/NNB
시설	시설/NNG
거주	거주/NNG
및	및/MAG
입소신청자	입소신청자/NNG
중	중/NNB
지역과	지역/NNG+과/JC
장애유형을	장애유형/NNG+을/JKO
고려해	고려하/VV+여/EC
무작위로	무작위/NNG+로/JKB
선정한	선정하/VV+ㄴ/ETM
601명을	601/SN+명/NNB+을/JKO
대상으로	대상/NNG+으로/JKB
이뤄졌다	이루어지/VV+었/EP+다/EF

정착	정착/NNG
초기	초기/NNG
가장	가장/MAG
필요한	필요하/VA+ㄴ/ETM
지원을	지원/NNG+을/JKO
묻자	묻/VV+자/EC
주거(28	주/VX+거/EF+(/SS+28/SN

8％),	8/SN+％/SL+)/SS+,/SP
생활비(21	생활비/NNG+(/SS+21/SN

7％),	7/SN+％/SL+)/SS+,/SP
활동보조인	활동보조인/NNG
등	등/NNB
생활지원(14	생활지원/NNG+(/SS+14/SN

7％),	7/SN+％/SL+)/SS+,/SP
취업(14	취업/NNG+(/SS+14/SN

0％)	0/SN+％/SL+)/SS
