‘청각장애인	‘/SL+청각장애인/NNG
표지’	표지’/NNP
면허시험장서	면허시험장/NNG+서/JKB
발급	발급/NNG

청각장애인	청각장애인/NNG
표지를	표지/NNG+를/JKO
오는	오/VV+는/ETM
9월부터	9/SN+월/NNB+부터/JX
운전면허시험장을	운전면허시험장/NNG+을/JKO
통해	통하/VV+여/EC
발급	발급/NNG
받을	받/VV+을/ETM
수	수/NNB
있게	있/VA+게/EC
된다	되/VV+ㄴ다/EF

장애	장애/NNG
관련	관련/NNG
14개의	14/SN+개/NNB+의/JKG
단체	단체/NNG
실무책임자로	실무책임자/NNG+로/JKB
구성된	구성되/VV+ㄴ/ETM
‘정책솔루션(사무국:	‘/SL+정책솔루션/NNG+(/SS+사무국/NNG+:/SP
한국장애인단체총연맹)’은	한국/NNP+장애인단체총연맹/NNG+)/SS+’/SL+은/JX
지난	지나/VV+ㄴ/ETM
7월	7/SN+월/NNB
초	초/NNB
경찰청에	경찰청/NNG+에/JKB
청각장애인	청각장애인/NNG
표지	표지/NNG
발급기관을	발급기관/NNG+을/JKO
지정해	지정하/VV+여/EC
줄	주/VX+ㄹ/ETM
것을	것/NNB+을/JKO
건의했다	건의하/VV+였/EP+다/EC

이에	이/NP+에/JKB
경찰청은	경찰청/NNG+은/JX
공문을	공문/NNG+을/JKO
통해	통하/VV+여/EC
9월부터	9/SN+월/NNB+부터/JX
운전면허증	운전면허증/NNG
교부단계에서	교부단계/NNG+에서/JKB
표지를	표지/NNG+를/JKO
교부받을	교부/NNG+받/VV+을/ETM
수	수/NNB
있도록	있/VA+도록/EC
도로교통공단에서	도로교통공단/NNG+에서/JKB
제작을	제작/NNG+을/JKO
추진	추진/NNG
중이며,	중/NNB+이/VCP+며/EC+,/SP
운전면허시험장	운전면허시험장/NNG
홈페이지를	홈페이지/NNG+를/JKO
통해	통하/VV+여/EC
홍보하겠다고	홍보하/VV+겠/EP+다고/EC
밝혔다	밝히/VV+었/EP+다/EC

청각장애인은	청각장애인/NNG+은/JX
