활동지원	활동지원/NNG
갱신에	갱신/NNG+에/JKB
떨고	떨/VV+고/EC
있는	있/VX+는/ETM
‘장애인들’	‘/SL+장애인/NNG+들/XSN+’/SN

오는	오/VV+는/ETM
11월까지	11/SN+월/NNB+까지/JX
약	약/MM
3만명의	3/SN+만/NR+명/NNB+의/JKG
장애인활동지원	장애인활동지원/NNG
이용자가	이용자/NNG+가/JKS
수급	수급/NNG
자격을	자격/NNG+을/JKO
갱신해야	갱신하/VV+여야/EC
하는	하/VX+는/ETM
가운데	가운데/NNG
장애인단체들이	장애인단체/NNG+들/XSN+이/JKS
갱신기간	갱신기간/NNG
연장,	연장/NNG+,/SP
서비스	서비스/NNG
등급기준	등급기준/NNG
점수	점수/NNG
하향,	하향/NNG+,/SP
기본급여	기본급여/NNG
인상	인상/NNG
등을	등/NNB+을/JKO
촉구했다	촉구하/VV+였/EP+다/EC

전국장애인차별철폐연대와	전/MM+국장애인차별철폐연대/NNG+와/JC
한국장애인자립생활센터협의회는	한국/NNP+장애인자립생활센터협의회/NNG+는/JX
22일	22/SN+일/NNB
오전	오전/NNG
10시	10/SN+시/NNB
30분께	30/SN+분/NNB+께/XSN
보건복지부	보건복지부/NNG
앞에서	앞/NNG+에서/JKB
‘장애인활동지원	‘/SN+장애인활동지원/NNG
긴급대책	긴급대책/NNG
촉구	촉구/NNG
기자회견’을	기자회견/NNG+’/SL+을/JKO
가졌다	가지/VV+었/EP+다/EC

이들	이/NP+들/XSN
단체에	단체/NNG+에/JKB
따르면	따르/VV+면/EC
장애인활동지원법	장애인활동지원법/NNG
규정에	규정/NNG+에/JKB
의해	의하/VV+여/EC
장애인활동지원	장애인활동지원/NNG
서비스를	서비스/NNG+를/JKO
이용하는	이용하/VV+는/ETM
장애인은	장애인/NNG+은/JX
2년	2/SN+년/NNB
또는	또는/MAG
3년마다	3/SN+년/NNB+마다/JX
서비스	서비스/NNG
수급	수급/NNG
자격을	자격/NNG+을/JKO
재판정	재판정/NNG
받도록	받/VV+도록/EC
돼	되/VV+어/EC
있다	있/VX+다/EC

이에	이/NP+에/JKB
오는	오/VV+는/ETM
11월말까지	11/SN+월말/NNB+까지/JX
약	약/MM
3만명에	3/SN+만/NR+명/NNB+에/JKB
달하는	달하/VV+는/ETM
서비스	서비스/NNG
이용자가	이용자/NNG+가/JKS
서비스	서비스/NNG
필요도에	필요도/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
재조사를	재조사/NNG+를/JKO
받아	받/VV+아/EC
수급	수급/NNG
자격을	자격/NNG+을/JKO
갱신해야	갱신하/VV+여야/EC
한다	하/VX+ㄴ다/EF

장애인활동지원제도는	장애인활동지원제도/NNG+는/JX
장애로	장애/NNG+로/JKB
인해	인하/VV+여/EC
거동이	거동/NNG+이/JKS
불편한	불편하/VA+ㄴ/ETM
중증장애인의	중증장애인/NNG+의/JKG
일상생활과	일상생활/NNG+과/JC
자립생활	자립생활/NNG
지원하는	지원하/VV+는/ETM
것으로	것/NNB+으로/JKB
현재	현재/MAG
3만6000여명이	3/SN+만/NR+6000/SN+여/XSN+명/NNB+이/JKS
이	이/MM
제도를	제도/NNG+를/JKO
이용하고	이용하/VV+고/EC
있다	있/VX+다/EC

문제는	문제/NNG+는/JX
복지부의	복지부/NNG+의/JKG
최근	최근/NNG
문건에	문건/NNG+에/JKB
이중	이/MM+중/NNB
1/3에	1/SN+//SP+3/SN+에/JKB
해당하는	해당하/VV+는/ETM
1만명의	1/SN+만/NR+명/NNB+의/JKG
서비스	서비스/NNG
이용자	이용자/NNG
등급이	등급/NNG+이/JKS
하향되거나	하향되/VV+거나/EC
탈락될	탈락되/VV+ㄹ/ETM
것으로	것/NNB+으로/JKB
예측된	예측되/VV+ㄴ/ETM
내용이	내용/NNG+이/JKS
있다는	있/VA+다는/ETM
것	것/NNB

전장연	전장연/NNP
한	한/MM
관계자는	관계자/NNG+는/JX
“복지부가	“/SL+복지부/NNG+가/JKS
장애인활동지원	장애인활동지원/NNG
서비스	서비스/NNG
이용자에	이용자/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
갱신여부를	갱신여부/NNG+를/JKO
모의실험	모의실험/NNG
한	한/MM
결과	결과/NNG
3만명	3/SN+만/NR+명/NNB
중	중/NNB
1/3의	1/SN+//SP+3/SN+의/JKG
서비스	서비스/NNG
이용자	이용자/NNG
등급이	등급/NNG+이/JKS
하향되거나	하향되/VV+거나/EC
탈락하는	탈락하/VV+는/ETM
것으로	것/NNB+으로/JKB
나타난	나타나/VV+ㄴ/ETM
것으로	것/NNB+으로/JKB
알고	알/VV+고/EC
있다”	있/VX+다/EC+”/SL
밝혔다	밝히/VV+었/EP+다/EC

이에	이/NP+에/JKB
따라	따르/VV+아/EC
이들	이/NP+들/XSN
단체는	단체/NNG+는/JX
탈락자와	탈락자/NNG+와/JKB
피해자가	피해자/NNG+가/JKS
발생하지	발생하/VV+지/EC
않도록	않/VX+도록/EC
수급자격	수급자격/NNG
갱신기간을	갱신기간/NNG+을/JKO
내년	내년/NNG
5월	5/SN+월/NNB
말까지로	말/NNB+까지/JX+로/JKB
일제	일제/NNG
연장해	연장하/VV+여/EC
줄	주/VX+ㄹ/ETM
것을	것/NNB+을/JKO
촉구했다	촉구하/VV+였/EP+다/EC

또한	또한/MAG
활동지원(1~4)등급	활동지원/NNG+(/SS+1/SN+~/SO+4/SN+)/SS+등급/NNG
인정점수를	인정점수/NNG+를/JKO
등급별로	등급/NNG+별/XSN+로/JKB
50점씩	50/SN+점/NNB+씩/XSN
하양하고	하양하/VV+고/EC
기본급여를	기본급여/NNG+를/JKO
현행	현행/NNG
2배로	2/SN+배/NNG+로/JKB
인상해	인상하/VV+여/EC
207시간(1등급),	207/SN+시간/NNB+(/SS+1/SN+등급/NNG+)/SS+,/SP
166시간(2등급),	166/SN+시간/NNB+(/SS+2/SN+등급/NNG+)/SS+,/SP
125시간(3등급),	125/SN+시간/NNB+(/SS+3/SN+등급/NNG+)/SS+,/SP
84시간(4등급)을	84/SN+시간/NNB+(/SS+4/SN+등급/NNG+)/SS+을/JKO
제공해	제공하/VV+여/EC
줄	주/VX+ㄹ/ETM
것을	것/NNB+을/JKO
주문했다	주문하/VV+였/EP+다/EF

이외에도	이외/NNG+에/JKB+도/JX
추가급여	추가급여/NNG
2배	2/SN+배/NNG
확대,	확대/NNG+,/SP
본인부담금	본인부담금/NNG
폐지,	폐지/NNG+,/SP
수가인상	수가인상/NNG
및	및/MAG
활동보조인	활동보조/NNG+이/VCP+ㄴ/ETM
임금	임금/NNG
인상,	인상/NNG+,/SP
바우처제도	바우처제도/NNP
개선,	개선/NNG+,/SP
활동보조인	활동보조/NNG+이/VCP+ㄴ/ETM
처우개선,	처우개선/NNG+,/SP
예산확대와	예산확대/NNG+와/JC
이를	이/NP+를/JKO
위한	위하/VV+ㄴ/ETM
장애인활동지원법	장애인활동지원법/NNG
개정을	개정/NNG+을/JKO
요구했다	요구하/VV+었/EP+다/EC

전국장애인야학협의회	전/MM+국장애인야학협의회/NNG
박명애	박명애/NNP
공동대표는	공동대표/NNG+는/JX
“장애인활동지원	“/SN+장애인활동지원/NNG
대상자를	대상자/NNG+를/JKO
확대해도	확대하/VV+여도/EC
모자라는데	모자라/VV+는데/EC
재	재/NNG
조사하겠다고	조사하/VV+겠/EP+다고/EC
한다”며	하/VV+ㄴ다”며/EC
“장애인의	“/SL+장애인/NNG+의/JKG
목숨을	목숨/NNG+을/JKO
갖고	갖/VV+고/EC
장난치지는	장난치지/NNG+는/JX
말라”고	마르/VV+아/EC+”/SN+고/EC
토로했다	토로하/VV+였/EP+다/EF

전국장애인차별철폐연대	전/MM+국장애인차별철폐연대/NNG
박경석	박경석/NNP
상임공동대표는	상임공동대표/NNG+는/JX
“오는	“/SL+오/VV+는/ETM
10월	10/SN+월/NNB
우리나라에서	우리나라/NNG+에서/JKB
아태장애인의	아태장애인/NNG+의/JKG
새로운	새롭/VA+ㄴ/ETM
10년을	10/SN+년/NNB+을/JKO
위한	위하/VV+ㄴ/ETM
유엔에스캅정부간고위급회의가	유엔에스캅/NNP+정부간고위급회의/NNG+가/JKS
열린다”며	열리/VV+ㄴ/ETM+다”/VV+며/EC
“장애인의	“/SL+장애인/NNG+의/JKG
생명줄을	생명줄/NNG+을/JKO
죄고	죄/VV+고/EC
있으면서	있/VX+으면서/EC
각국의	각국/NNG+의/JKG
장관을	장관/NNG+을/JKO
불러놓고	부르/VV+어/EC+놓/VX+고/EC
장애인	장애인/NNG
복지를	복지/NNG+를/JKO
생색내려한다”고	생색내/VV+려/EC+하/VX+ㄴ다/EC+”/VX+고/EC
비판했다	비판하/VV+였/EP+다/EF

한편	한편/MAG
기자회견	기자회견/NNG
후	후/NNG
전국장애인차별철폐연대	전/MM+국장애인차별철폐연대/NNG
박경석	박경석/NNP
상임공동대표와	상임공동대표/NNG+와/JC
남병준	남병준/NNP
정책실장,	정책실장/NNG+,/SP
경기장애인차별쳘폐연대	경기장애인차/NNG+별/XSN+쳘/SN+폐연대/NNG
이형숙	이형숙/NNP
공동대표는	공동대표/NNG+는/JX
복지부	복지부/NNG
장애인정책국	장애인정책국/NNG
송재찬	송재찬/NNP
국장	국장/NNG
등과	등/NNB+과/JKB
약	약/MM
1시간	1/SN+시간/NNB
동안	동안/NNG
장애인활동지원	장애인활동지원/NNG
대책을	대책/NNG+을/JKO
위한	위하/VV+ㄴ/ETM
면담을	면담/NNG+을/JKO
가졌다	가지/VV+었/EP+다/EC
