‘가을철	‘/SL+가을철/NNG
발열성	발열성/NNG
질환’	질환/NNG+’/SL
감염	감염/NNG
주의	주의/NNG
당부	당부/NNG

질병관리본부(본부장	질병관리본부/NNG+(/SS+본부/NNG+장/XSN
전병율)는	전/MM+병율/NNG+)/SS+는/JX
가을철	가을철/NNG
발열성	발열성/NNG
질환(쯔쯔가무시증,	질환/NNG+(/SS+쯔쯔/NNP+가무시증/NNG+,/SP
신증후군출혈열,	신증후군출혈열/NNG+,/SP
렙토스피라증)	렙토스피라증/NNG+)/SS
환자가	환자/NNG+가/JKS
본격적으로	본격적/NNG+으로/JKB
발생하는	발생하/VV+는/ETM
시기(9~11월)를	시기/NNG+(/SS+9/SN+~/SO+11/SN+월/NNB+)/SS+를/JKO
맞아	맞/VV+아/EC
벌초나	벌초/NNG+나/JC
등산,	등산/NNG+,/SP
농촌체험	농촌체험/NNG
등의	등/NNB+의/JKG
야외	야외/NNG
활동으로	활동/NNG+으로/JKB
인한	인하/VV+ㄴ/ETM
감염	감염/NNG
주의를	주의/NNG+를/JKO
당부했다	당부하/VV+였/EP+다/EC

쯔쯔가무시증(리케치아)은	쯔쯔/NNP+가무시증/NNG+(/SS+리케치아/NNP+)/SS+은/JX
2003년	2003/SN+년/NNB
1,415명에	1,415/SN+명/NNB+에/JKB
비해	비하/VV+여/EC
2011년	2011/SN+년/NNB
5,151명으로	5,151/SN+명/NNB+으로/JKB
4배	4/SN+배/NNG
가량	가량/XSN
증가	증가/NNG
발생했다	발생하/VV+였/EP+다/EC

이유로는	이유/NNG+로/JKB+는/JX
진드기	진드기/NNG
및	및/MAG
설치류의	설치류/NNG+의/JKG
서식처	서식처/NNG
확대,	확대/NNG+,/SP
야외활동이	야외활동/NNG+이/JKS
많아짐에	많아지/VV+ㅁ/ETN+에/JKB
따라	따르/VV+아/EC
접촉빈도	접촉빈/NNG+도/JX
증가로	증가/NNG+로/JKB
환자	환자/NNG
발생이	발생/NNG+이/JKS
증가하는	증가하/VV+는/ETM
것으로	것/NNB+으로/JKB
나타났다	나타나/VV+았/EP+다/EC

또한	또한/MAG
신증후군출혈열(바이러스)는	신/XPN+증후군출혈열/NNG+(/SS+바이러스/NNG+)/SS+는/JX
매년	매년/MAG
300명	300/SN+명/NNB
이상,	이상/NNG+,/SP
렙토스피라증(세균)은	렙/SL+토스피라증/NNG+(/SS+세균/NNG+)/SS+은/JX
100명	100/SN+명/NNB
내외로	내외/NNG+로/JKB
지속	지속/NNG
발생하고	발생하/VV+고/EC
있다	있/VX+다/EC

쯔쯔가무시증	쯔/SL+쯔가무시증/NNG
등	등/NNB
총	총/MM
3개	3/SN+개/NNB
질병	질병/NNG
모두	모두/MAG
가을철에	가을철/NNG+에/JKB
들어가면서	들어가/VV+면서/EC
집중	집중/NNG
발생하는	발생하/VV+는/ETM
감염병으로,	감염병/NNG+으로/JKB+,/SP
대게	대게/NNG
30대	30/SN+대/NNB
이상에서	이상/NNG+에서/JKB
발생하는	발생하/VV+는/ETM
것을	것/NNB+을/JKO
확인할	확인하/VV+ㄹ/ETM
수	수/NNB
있다	있/VA+다/EC

가을철	가을철/NNG
발열성	발열성/NNG
질환을	질환/NNG+을/JKO
예방하기	예방하/VV+기/ETN
위해서는	위하/VV+여서/EC+는/JX
감염된	감염되/VV+ㄴ/ETM
털진드기나,	털진드기/VV+나/EC+,/SP
설치류(쥐과)의	설치류/NNG+(/SS+쥐과/NNG+)/SS+의/JKG
배설물에	배설물/NNG+에/JKB
접촉하지	접촉하/VV+지/EC
않도록	않/VX+도록/EC
해야	하/VX+여야/EC
한다	하/VX+ㄴ다/EF

쯔쯔가무시증은	쯔/SL+쯔가무시증/NNG+은/JX
감염된	감염되/VV+ㄴ/ETM
진드기	진드기/NNG
유충에	유충/NNG+에/JKB
물려서	물리/VV+어서/EC
감염되는	감염되/VV+는/ETM
경우가	경우/NNG+가/JKS
많으며,	많/VA+으며/EC+,/SP
렙토스피라증은	렙토스피라증/NNG+은/JX
감염된	감염되/VV+ㄴ/ETM
동물의	동물/NNG+의/JKG
