"활동지원	"/SS+활동지원/NNG
본인부담금	본인부담금/NNG
15%→10%로	15/SN+%→/SW+10/SN+%/SW+로/JKB
하향"	하향/NNG+"/SS

장애인활동지원	장애인활동지원/NNG
본인부담금	본인부담금/NNG
한도를	한도/NNG+를/JKO
10%로	10/SN+%/SW+로/JKB
줄이는	줄이/VV+는/ETM
내용을	내용/NNG+을/JKO
담은	담/VV+은/ETM
법률안이	법률안/NNG+이/JKS
국회에	국회/NNG+에/JKB
제출됐다	제출되/VV+었/EP+다/EF

국회	국회/NNG
보건복지위원회	보건복지위원회/NNG
소속	소속/NNG
김정록	김정록/NNP
의원(새누리당)은	의원/NNG+(/SS+새누리당/NNP+)/SS+은/JX
지난	지나/VV+ㄴ/ETM
5일	5/SN+일/NNB
장애인활동지원급여의	장애인활동지원급여/NNG+의/JKG
본인부담금을	본인부담금/NNG+을/JKO
15%에서	15/SN+%/SW+에서/JKB
10%로	10/SN+%/SW+로/JKB
하향조정한	하향/NNG+조정하/VV+ㄴ/ETM
내용을	내용/NNG+을/JKO
담은	담/VV+은/ETM
‘장애인활동지원에	‘/SN+장애인활동지원/NNG+에/JKB
관한	관하/VV+ㄴ/ETM
법률	법률/NNG
일부개정법률안’을	일부개정법률안/NNG+’/SL+을/JKO
발의했다,현행법은	발의하/VV+였/EP+다/EC+,/SP+현행법/NNG+은/JX
활동지원급여	활동지원급여/NNG
비용의	비용/NNG+의/JKG
15%	15/SN+%/SW
한도에서	한도/NNG+에서/JKB
소득	소득/NNG
및	및/MAG
재산	재산/NNG
등	등/NNB
생활수준에	생활수준/NNG+에/JKB
따라	따르/VV+아/EC
수급자	수급/NNG+자/XSN
본인이	본인/NNG+이/JKS
부담하도록	부담하/VV+도록/EC
하고	하/VX+고/EC
규정하고	규정하/VV+고/EC
있는데,	있/VX+는데/EC+,/SP
이로	이/NP+로/JKB
인해	인하/VV+여/EC
급여량이	급여량/NNG+이/JKS
늘어날수록	늘어나/VV+ㄹ수록/EC
본인부담금의	본인부담금/NNG+의/JKG
증가폭이	증가폭/NNG+이/JKS
커져	커지/VV+어/EC
장애인의	장애인/NNG+의/JKG
경제적	경제적/NNG
부담을	부담/NNG+을/JKO
가중시키고	가중/NNG+시키/XSV+고/EC
있는	있/VX+는/ETM
실정이다	실정/NNG+이/VCP+다/EC

특히	특히/MAG
경제적으로	경제적/NNG+으로/JKB
자립도가	자립도/NNG+가/JKS
매우	매우/MAG
취약한	취약하/VA+ㄴ/ETM
중증장애인의	중증장애인/NNG+의/JKG
경우,	경우/NNG+,/SP
활동지원급여를	활동지원급여/NNG+를/JKO
필요로	필요/NNG+로/JKB
하는	하/VV+는/ETM
시간이	시간/NNG+이/JKS
보다	보다/MAG
많이	많이/MAG
필요할	필요하/VA+ㄹ/ETM
수밖에	수/NNB+밖에/JX
없기	없/VA+기/ETN
때문에	때문/NNB+에/JKB
본인부담금의	본인부담금/NNG+의/JKG
비율을	비율/NNG+을/JKO
하향조정할	하향/NNG+조정하/VV+ㄹ/ETM
필요가	필요/NNG+가/JKS
있다는	있/VA+다는/ETM
것	것/NNB

김정록	김정록/NNP
의원은	의원/NNG+은/JX
“장애인활동지원급여의	“/SL+장애인활동지원급여/NNG+의/JKG
본인부담금을	본인부담금/NNG+을/JKO
15%에서	15/SN+%/SW+에서/JKB
10%로	10/SN+%/SW+로/JKB
하향조정해	하향/NNG+조정하/VV+여/EC
장애인활동지원제도가	장애인활동지원제도/NNG+가/JKS
보다	보다/MAG
실질적으로	실질적/NNG+으로/JKB
장애인의	장애인/NNG+의/JKG
자립을	자립/NNG+을/JKO
지원할	지원하/VV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
제도로	제도/NNG+로/JKB
정착될	정착되/VV+ㄹ/ETM
수	수/NNB
있도록	있/VA+도록/EC
하려는	하/VX+려는/ETM
것”이라고	것/NNB+”/SL+이/VCP+라고/EC
말했다	말하/VV+였/EP+다/EC
