강원재활병원,	강원재활병원/NNP+,/SP
장애편의	장애편/NNG+의/JKG
문제투성이	문제투성/NNG+이/JKS

강원도가	강원도/NNP+가/JKS
의료서비스	의료서비스/NNG
질	질/NNG
향상을	향상/NNG+을/JKO
위해	위하/VV+여/EC
강원병원에	강원병원/NNP+에/JKB
위탁운영을	위탁운영/NNG+을/JKO
맡긴	맡기/VV+ㄴ/ETM
강원도재활병원(이하	강원도재활병원/NNP+(/SS+이하/NNG
재활병원)이	재활병원/NNG+)/SS+이/JKS
지난달	지난달/NNG
31일	31/SN+일/NNB
준공개원식을	준공개원식/NNG+을/JKO
갖고	갖/VV+고/EC
본격	본격/NNG
운영에	운영/NNG+에/JKB
들어갔다	들어가/VV+았/EP+다/EC

재활병원은	재활병원/NNG+은/JX
357억원(국비135,	357/SN+억/NR+원/NNB+(/SS+국비/NNG+135/SN+,/SP
복권기금151,	복권기금/NNG+151/SN+,/SP
도비71)이	도비/NNG+71/SN+)/SS+이/JKS
투입됐으며,	투입되/VV+었/EP+으며/EC+,/SP
연면적	연면적/NNG
1만3421㎡(지하1층,	1/SN+만/NR+3421/SN+㎡/SW+(/SS+지하/NNG+1/SN+층/NNG+,/SP
지상5층)의	지상/NNG+5/SN+층/NNG+)/SS+의/JKG
건물을	건물/NNG+을/JKO
신축하고	신축하/VV+고/EC
3·4·5층	3/SN+·/SP+4/SN+·/SP+5/SN+층/NNG
병상규모로	병상규모/NNG+로/JKB
병실	병실/NNG
39개	39/SN+개/NNB
159병상을	159/SN+병상/NNG+을/JKO
운영하고	운영하/VV+고/EC
있다	있/VX+다/EC

진료과목은	진료과목/NNG+은/JX
재활의학과,	재활의학과/NNG+,/SP
내과,	내과/NNG+,/SP
신경과,	신경/NNG+과/JC+,/SP
가정의학과	가정의학과/NNG
등이다	등/NNB+이/VCP+다/EC

특히	특히/MAG
강원도는	강원도/NNP+는/JX
재활병원을	재활병원/NNG+을/JKO
무장애	무장애/VV+어/EC
공간으로	공간/NNG+으로/JKB
만들기	만들/VV+기/ETN
위해	위하/VV+여/EC
2009년	2009/SN+년/NNB
8월	8/SN+월/NNB
장애물	장애물/NNG
없는	없/VA+는/ETM
생활환경	생활환경/NNG
(Barrier	(/SS+Barrier/SL
Free)	Free/SL+)/SS
예비인증	예비인증/NNG
1등급(최우수)을	1/SN+등급/NNG+(/SS+최우수/NNG+)/SS+을/JKO
받았다	받/VV+았/EP+다/EC

예비인증은	예비인증/NNG+은/JX
본인증	본인증/NNG
전에	전/NNG+에/JKB
사업계획서	사업계획서/NNG
또는	또는/MAG
설계도면	설계도면/NNG
등을	등/NNB+을/JKO
참고해	참고하/VV+여/EC
주어지며,	주어지/VV+며/EC+,/SP
본인증은	본인증/NNG+은/JX
공사	공사/NNG
준공	준공/NNG
혹은	혹은/MAG
사용승인	사용승/NNG+이/VCP+ㄴ/ETM
후	후/NNG
평가를	평가/NNG+를/JKO
통해	통하/VV+여/EC
최우수등급,	최우수등급/NNG+,/SP
2등급,	2/SN+등급/NNG+,/SP
3등급으로	3/SN+등급/NNG+으로/JKB
나뉘어	나뉘/VV+어/EC
부여된다	부여되/VV+ㄴ다/EF

그렇다면	그렇/VA+다면/EC
과연	과연/MAG
재활병원은	재활병원/NNG+은/JX
중증장애인들이	중증장애인/NNG+들/XSN+이/JKS
이용하기에	이용하/VV+기/ETN+에/JKB
불편이	불편/NNG+이/JKS
없을까?	없/VA+을까/EF+?/SF
이를	이/NP+를/JKO
점검하기	점검하/VV+기/ETN
위해	위하/VV+여/EC
에이블뉴스가	에이블뉴스/NNP+가/JKS
재활병원을	재활병원/NNG+을/JKO
찾았다	찾/VV+았/EP+다/EC

먼저	먼저/MAG
재활병원	재활병원/NNG
입구의	입구/NNG+의/JKG
인도	인도/NNG
및	및/MAG
횡단보도에	횡단보도/NNG+에/JKB
설치된	설치되/VV+ㄴ/ETM
시멘트	시멘트/NNG
점형점자블록은	점형점자블록/NNG+은/JX
신축이라는	신축/NNG+이/VCP+라는/ETM
의미가	의미/NNG+가/JKS
무색할	무색하/VA+ㄹ/ETM
만큼	만큼/NNB
깨어져	깨어지/VV+어/EC
있어	있/VX+어/EC
제구실을	제구실/NNG+을/JKO
전혀	전혀/MAG
못했다	못하/VV+였/EP+다/EC

이	이/MM
때문에	때문/NNB+에/JKB
시각장애인의	시각장애인/NNG+의/JKG
보행에	보행/NNG+에/JKB
불편이	불편/NNG+이/JKS
예상됐다	예상되/VV+었/EP+다/EF

재활병원	재활병원/NNG
입구	입구/NNG
횡단보도에	횡단보도/NNG+에/JKB
설치된	설치되/VV+ㄴ/ETM
볼라드는	볼라들/VV+는/ETM
법적인	법적/NNG+이/VCP+ㄴ/ETM
규격도	규격/NNG+도/JX
