"국가	"/SS+국가/NNG
암검진	암검지/VV+ㄴ/ETM
권고	권고/NNG
이행률…대장암·간암	이행률/NNG+…/SE+대장암/NNG+·/SP+간암/NNG
'미흡'"	'/SS+미흡/NNG+'"/SS

(서울=연합뉴스)	(/SS+서울/NNP+=/SW+연합뉴스/NNP+)/SS
김길원	김길원/NNP
기자	기자/NNG
=	=/SW
우리나라	우리나라/NNG
성인	성인/NNG
10명	10/SN+명/NNB
중	중/NNB
6명은	6/SN+명/NNB+은/JX
국가가	국가/NNG+가/JKS
권고하는	권고하/VV+는/ETM
암	암/NNG
검진	검진/NNG
주기를	주/VV+기/ETN+를/JKO
잘	잘/MAG
지키고	지키/VV+고/EC
있지만,	있/VX+지만/EC+,/SP
대장암과	대장암/NNG+과/JC
간암의	간암/NNG+의/JKG
수검률은	수검률/NNG+은/JX
크게	크/VA+게/EC
떨어지는	떨어지/VV+는/ETM
것으로	것/NNB+으로/JKB
나타났다	나타나/VV+았/EP+다/EC

국립암센터(원장	국립암센터/NNG+(/SS+원장/NNG
이진수)는	이진수/NNG+)/SS+는/JX
만	만/MM
30세	30/SN+세/NNB
이상	이상/NNG
남녀	남녀/NNG
4천140명을	4/SN+천/NR+140/SN+명/NNB+을/JKO
대상으로	대상/NNG+으로/JKB
올해	올해/NNG
'암검진	'/SS+암검진/NNP
권고안	권고안/NNG
이행	이행/NNG
수검률'을	수검률/NNG+'/SS+을/JKO
조사한	조사하/VV+ㄴ/ETM
결과	결과/NNG
조사가	조사/NNG+가/JKS
시작된	시작되/VV+ㄴ/ETM
2004년의	2004/SN+년/NNB+의/JKG
38	38/SN

8%보다	8/SN+%/SW+보다/JKB
24	24/SN

6%	6/SN+%/SW
포인트	포인트/NNG
증가한	증가하/VV+ㄴ/ETM
63	63/SN

4%로	4/SN+%/SW+로/JKB
집계됐다고	집계되/VV+었/EP+다고/EC
14일	14/SN+일/NNB
밝혔다	밝히/VV+었/EP+다/EC

암검진	암검질/VA+ㄴ/ETM
권고안	권고안/NNG
이행	이행/NNG
수검률은	수검률/NNG+은/JX
암	암/NNG
검진이	검진/NNG+이/JKS
필요한	필요하/VA+ㄴ/ETM
대상연령	대상연령/NNG
가운데	가운데/NNG
국가암검진	국가암검진/NNG
프로그램이	프로그램/NNG+이/JKS
권고하는	권고하/VV+는/ETM
검진주기에	검진주기/NNG+에/JKB
따라	따르/VV+아/EC
암	암/NNG
검진을	검진/NNG+을/JKO
받은	받/VV+은/ETM
수검자	수검자/NNG
수를	수/NNG+를/JKO
백분율로	백분율/NNG+로/JKB
나타낸	나타내/VV+ㄴ/ETM
것을	것/NNB+을/JKO
말한다	말하/VV+ㄴ다/EF

올해	올해/NNG
수검률을	수검률/NNG+을/JKO
암	암/NNG
종류별로	종류별/NNG+로/JKB
보면	보/VV+면/EC
유방암	유방암/NNG
71	71/SN

0%,	0/SN+%/SW+,/SP
위암	위암/NNG
70	70/SN

9%,	9/SN+%/SW+,/SP
자궁경부암	자궁경부암/NNG
