알면	알/VV+면/EC
도움되는	도움/NNG+되/XSV+는/ETM
‘2013년	‘/SL+2013/SN+년/NNB
달라지는	달라지/VV+는/ETM
제도’	제도’/NNG

기획재정부는	기획재정부/NNG+는/JX
2013년	2013/SN+년/NNB
부터	부터/JX
달라지는	달라지/VV+는/ETM
제도와	제도/NNG+와/JC
법규사항을	법규사항/NNG+을/JKO
정리한	정리하/VV+ㄴ/ETM
'2013년	'/SS+2013/SN+년/NNB
이렇게	이렇/VA+게/EC
달라집니다'	달라지/VV+ㅂ니다/EF+'/SS
자료를	자료/NNG+를/JKO
홈페이지(http://www	홈페이지/NNG+(/SS+http/SL+:///SP+www/SL

mosf	mosf/SL

go	go/SL

kr)에	kr/SL+)/SS+에/JKB
게재했다	게재하/VV+였/EP+다/EF

이	이/MM
자료에	자료/NNG+에/JKB
따르면	따르/VV+면/EC
2013년부터	2013/SN+년/NNB+부터/JX
각	각/MM
부처	부처/NNG
등	등/NNB
행정기관의	행정기관/NNG+의/JKG
주요제도들이	주요제도/NNG+들/XSN+이/JKS
변경·개선된다	변경/NNG+·/SP+개선되/VV+ㄴ다/EF

이	이/MM
중	중/NNB
장애인과	장애인/NNG+과/JKB
관련	관련/NNG
된	되/VV+ㄴ/ETM
정보를	정보/NNG+를/JKO
포함,	포함/NNG+,/SP
실질적으로	실질적/NNG+으로/JKB
생활에	생활/NNG+에/JKB
밀접한	밀접하/VA+ㄴ/ETM
영향을	영향/NNG+을/JKO
미치는	미치/VV+는/ETM
제도가	제도/NNG+가/JKS
상당수	상당수/NNG
포함돼	포함되/VV+어/EC
있다	있/VX+다/EF

단,	단/NNG+,/SP
보건복지부의	보건복지부/NNG+의/JKG
변경	변경/NNG
제도들은	제도/NNG+들/XSN+은/JX
이미	이미/MAG
소개된	소개되/VV+ㄴ/ETM
바	바/NNB
있어	있/VA+어/EC
제외한다	제외하/VV+ㄴ다/EF

달라지는	달라지/VV+는/ETM
제도	제도/NNG
중	중/NNB
알고	알/VV+고/EC
있으면	있/VX+으면/EC
가계에	가계/NNG+에/JKB
도움이	도움/NNG+이/JKC
되는	되/VV+는/ETM
주요제도에	주요제도/NNG+에/JKB
대해	대하/VV+여/EC
정리해본다	정리하/VV+여/EC+보/VX+ㄴ다/EF

청각·언어장애인	청각/NNG+·/SP+언어장애인/NNG
위한	위하/VV+ㄴ/ETM
'107	'/SS+107/SN
손말이음'	손말/NNG+잇/VV+ㅁ/ETN+'/SS
개통=청각·언어장애인이	개통/NNG+=/SW+청각/NNG+·/SP+언어장애인/NNG+이/JKS
전화를	전화/NNG+를/JKO
통해	통하/VV+여/EC
일상생활에	일상생활/NNG+에/JKB
필요한	필요하/VA+ㄴ/ETM
의사소통을	의사소통/NNG+을/JKO
할	하/VV+ㄹ/ETM
수	수/NNB
있도록	있/VA+도록/EC
도와주는	도와주/VV+는/ETM
통신중계서비스가	통신중계서비스/NNG+가/JKS
2013년	2013/SN+년/NNB
1월부터	1/SN+월/NNB+부터/JX
'107손말이음'으로	'/SS+107/SN+손말/NNB+이/VCP+음/ETN+'/SS+으로/JKB
새롭게	새롭/VA+게/EC
변신한다	변신하/VV+ㄴ다/EF

지금까지	지금/NNG+까지/JX
장애인과	장애인/NNG+과/JC
비장애인이	비장애인/NNG+이/JKS
통신중계서비스를	통신중계서비스/NNG+를/JKO
이용하기	이용하/VV+기/ETN
위해서는	위하/VV+여서/EC+는/JX
통화종류(음성,	통화종류/NNG+(/SS+음성/NNG+,/SP
영상,	영상/NNG+,/SP
SMS)와	SMS/SL+)/SS+와/JC
통신사별로	통신사/NNG+별/XSN+로/JKB
서로	서로/MAG
다른	다르/VA+ㄴ/ETM
번호를	번호/NNG+를/JKO
사용해야	사용하/VV+여야/EC
하는	하/VX+는/ETM
불편함이	불편하/VA+ㅁ/ETN+이/JKS
있었다	있/VA+었/EP+다/EF

앞으로는	앞/NNG+으로/JKB+는/JX
'107'	'/SS+107/SN+'/SS
단일화된	단일화되/VV+ㄴ/ETM
번호로	번호/NNG+로/JKB
이용할	이용하/VV+ㄹ/ETM
수	수/NNB
있다	있/VA+다/EC

성폭력	성폭력/NNG
피해	피해/NNG
아동·장애인	아동/NNG+·/SP+장애인/NNG
위한	위하/VV+ㄴ/ETM
진술조력인	진술조력/NNG+이/VCP+ㄴ/ETM
제도	제도/NNG
도입=	도입/NNG+=/SW
법무부는	법무부/NNG+는/JX
의사소통이나	의사소통/NNG+이나/JC
표현이	표현/NNG+이/JKS
어려운	어렵/VA+ㄴ/ETM
성폭력	성폭력/NNG
피해	피해/NNG
아동·장애인의	아동/NNG+·/SP+장애인/NNG+의/JKG
의사소통을	의사소통/NNG+을/JKO
보조하는	보조하/VV+는/ETM
진술조력인을	진술조력인/NNG+을/JKO
2013년	2013/SN+년/NNB
7월부터	7/SN+월/NNB+부터/JX
양성한다	양성하/VV+ㄴ다/EF

양성된	양성되/VV+ㄴ/ETM
진술조력인은	진술조력인/NNG+은/JX
2014년	2014/SN+년/NNB
1월부터	1/SN+월/NNB+부터/JX
조력이	조력/NNG+이/JKS
필요한	필요하/VA+ㄴ/ETM
아동,	아동/NNG+,/SP
장애인을	장애인/NNG+을/JKO
위해	위하/VV+여/EC
수사나	수사/NNG+나/JC
재판과정에	재판과정/NNG+에/JKB
참여하게	참여하/VV+게/EC
된다	되/VV+ㄴ다/EF

성폭력	성폭력/NNG
피해자	피해자/NNG
및	및/MAG
가족	가족/NNG
지원	지원/NNG
확대=지난	확대/NNG+=/SW+지나/VV+ㄴ/ETM
10월	10/SN+월/NNB
25일부터	25/SN+일/NNB+부터/JX
성폭력	성폭력/NNG
피해자와	피해자/NNG+와/JC
가족은	가족/NNG+은/JX
