"중앙일보,	"/SS+중앙일보/NNP+,/SP
저상버스	저상버스/NNG
왜곡보도	왜곡보도/NNG
했다"	하/VV+였/EP+다/EF+"/SS
발끈	발끈/MAG

장애인단체들이	장애인단체/NNG+들/XSN+이/JKS
중앙일보의	중앙일보/NNP+의/JKG
저상버스	저상버스/NNG
관련	관련/NNG
보도에	보도/NNG+에/JKB
대해	대하/VV+여/EC
'왜곡보도'라며	'/SS+왜곡보도/NNG+'/SS+이/VCP+라며/EC
반발하고	반발하/VV+고/EC
나섰다	나서/VV+었/EP+다/EF

전국장애인차별철폐연대,	전/MM+국장애인차별철폐연대/NNG+,/SP
장애인이동권연대	장애인이동권연대/NNG
등	등/NNB
4개	4/SN+개/NNB
장애인단체는	장애인단체/NNG+는/JX
12일	12/SN+일/NNB
서울시	서울시/NNP
중구	중구/NNG
순화동에	순화동/NNP+에/JKB
위치한	위치하/VV+ㄴ/ETM
중앙일보	중앙일보/NNP
건물	건물/NNG
앞에서	앞/NNG+에서/JKB
‘저상버스	‘/SN+저상버스/NNG
도입	도입/NNG
관련	관련/NNG
왜곡보도	왜곡보도/NNG
중앙일보	중앙일보/NNP
규탄	규탄/NNG
기자회견’을	기자회견/NNG+’/SL+을/JKO
갖고	갖/VV+고/EC
"사실과	"/SS+사실/NNG+과/JC
전혀	전혀/MAG
다른	다르/VA+ㄴ/ETM
현실	현실/NNG
왜곡"이라고	왜곡/NNG+"/SS+이라고/JKQ
목소리를	목소리/NNG+를/JKO
높였다	높이/VV+었/EP+다/EF

문제가	문제/NNG+가/JKC
되고	되/VV+고/EC
있는	있/VX+는/ETM
기사는	기사/NNG+는/JX
중앙일보가	중앙일보/NNP+가/JKS
지난	지나/VV+ㄴ/ETM
6일	6/SN+일/NNB
보도한	보도하/VV+ㄴ/ETM
'장애인에게	'/SS+장애인/NNG+에게/JKB
불편하네요…장애인	불편하/VA+네/EF+요/JX+…/SE+장애인/NNG
위한	위하/VV+ㄴ/ETM
저상버스"라는	저상버스/NNG+"/SS+이/VCP+라는/ETM
제목의	제목/NNG+의/JKG
르포기사다	르포기/NNG+사다/JKB

이	이/MM
기사에는	기사/NNG+에/JKB+는/JX
9년	9/SN+년/NNB
만에	만/NNB+에/JKB
버스	버스/NNG
타기에	타/VV+기/ETN+에/JKB
도전한	도전하/VV+ㄴ/ETM
척수장애인의	척수장애인/NNG+의/JKG
어려움을	어려움/NNG+을/JKO
전하며,	전하/VV+며/EC+,/SP
국토해양부가	국토해양부/NNP+가/JKS
밝히고	밝히/VV+고/EC
있는	있/VX+는/ETM
2016년까지	2016/SN+년/NNB+까지/JX
시내버스의	시내버스/NNG+의/JKG
41	41/SN

5%를	5/SN+%/SW+를/JKO
저상버스로	저상버스/NNG+로/JKB
교체한다는	교체하/VV+ㄴ다는/ETM
계획에	계획/NNG+에/JKB
대해	대하/VV+여/EC
'저상버스	'/SS+저상버스/NNG
보다는	보다/JKB+는/JX
더	더/MAG
효율적인	효율적/NNG+이/VCP+ㄴ/ETM
장애인콜택시를	장애인콜택시/NNG+를/JKO
도입해야	도입하/VV+여야/EC
한다'는	하/VX+ㄴ다/EF+'/SS+는/JX
내용이	내용/NNG+이/JKS
들어	들/VV+어/EC
있다	있/VX+다/EC

<하단	</SS+하단/NNG
기사전문	기사전문/NNG
참조>이에	참조/NNG+>/SS+이/NP+에/JKB
대해	대하/VV+여/EC
이들	이/NP+들/XSN
단체는	단체/NNG+는/JX
저상버스	저상버스/NNG
도입	도입/NNG
문제를	문제/NNG+를/JKO
장애인단체와	장애인단체/NNG+와/JC
정부	정부/NNG
간의	간/NNB+의/JKG
논란으로	논란/NNG+으로/JKB
비유해	비유하/VV+여/EC
보도	보도/NNG
취재원이었던	취재원/NNG+이/VCP+었/EP+던/ETM
김데니	김데니/NNP
전	전/MM
한국장애인단체총연맹	한국/NNP+장애인단체총연맹/NNG
정책위원의	정책위원/NNG+의/JKG
입장	입장/NNG
왜곡	왜곡/NNG
저상버스보다	저상버스/NNG+보다/JKB
장애인콜택시가	장애인콜택시/NNG+가/JKS
더	더/MAG
저렴하기	저렴하/VA+기/ETN
때문에	때문/NNB+에/JKB
장애인콜택시	장애인콜택시/NNG
도입이	도입/NNG+이/JKS
더	더/MAG
효율적이라는	효율적/NNG+이/VCP+라는/ETM
주장들은	주장/NNG+들/XSN+은/JX
사실과	사실/NNG+과/JKB
다르다고	다르/VA+다고/EC
반박했다	반박하/VV+였/EP+다/EC

전국장애인차별철폐연대	전/MM+국장애인차별철폐연대/NNG
박경석	박경석/NNP
공동대표는	공동대표/NNG+는/JX
“중앙일보가	“/SL+중앙일보/NNP+가/JKS
저상버스	저상버스/NNG
교체	교체/NNG
계획을	계획/NNG+을/JKO
강행하고	강행하/VV+고/EC
있다는	있/VX+다는/ETM
식으로	식/NNB+으로/JKB
보도하고	보도하/VV+고/EC
있는데,	있/VX+는데/EC+,/SP
이러한	이러하/VA+ㄴ/ETM
행위는	행위/NNG+는/JX
교통약자이동편의증진법	교통약자이동편의증진법/NNG
입법	입법/NNG
취지를	취지/NNG+를/JKO
무시하고,	무시하/VV+고/EC+,/SP
교통약자	교통약자/NNG
이동권에	이동/NNG+권/XSN+에/JKB
대한	대하/VV+ㄴ/ETM
무지를	무지/NNG+를/JKO
드러내는	드러내/VV+는/ETM
것”이라며	것/NNB+”/SL+이/VCP+라며/EC
“취재원으로	“/SL+취재원/NNG+으로/JKB
택한	택하/VV+ㄴ/ETM
김데니	김데니/NNP
씨는	씨/NNB+는/JX
두	두/MM
달	달/NNB
전	전/NNG
장총을	장총/NNG+을/JKO
그만뒀음에도	그만두/VV+었/EP+음/ETN+에/JKB+도/JX
불구하고	불구하/VV+고/EC
장총	장총/NNP
정책위원으로	정책위원/NNG+으로/JKB
소개하며,	소개하/VV+며/EC+,/SP
마치	마치/MAG
대표적인	대표적/NNG+이/VCP+ㄴ/ETM
장애인단체의	장애인단체/NNG+의/JKG
입장인	입장/NNG+이/VCP+ㄴ/ETM
것처럼	것/NNB+처럼/JKB
교묘하게	교묘하/VA+게/EC
속여	속이/VV+어/EC
보도했다”고	보도하/VV+였/EP+다/EC+”/VV+고/EC
꼬집었다	꼬집/VV+었/EP+다/EF

이어	이어/MAG
박	박/NNP
대표는	대표/NNG+는/JX
“기사에서	“/SL+기사/NNG+에서/JKB
김	김/NNP
씨가	씨/NNB+가/JKS
'대다수의	'/SS+대다수/NNG+의/JKG
장애인은	장애인/NNG+은/JX
버스	버스/NNG
대신	대신/NNG
지하철이나	지하철/NNG+이나/JC
콜택시를	콜택시/NNG+를/JKO
이용	이용/NNG
한다'는	하/VV+ㄴ다/EF+'/SS+는/JX
말은	말/NNG+은/JX
대다수의	대다수/NNG+의/JKG
장애인이	장애인/NNG+이/JKS
버스	버스/NNG
대신	대신/NNG
다른	다른/MM
이동수단을	이동수단/NNG+을/JKO
이용하는	이용하/VV+는/ETM
이유는	이유/NNG+는/JX
탈	타/VV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
버스가	버스/NNG+가/JKS
오지	오/VV+지/EC
않는	않/VX+는/ETM
다는	다/NNB+는/JX
현실을	현실/NNG+을/JKO
설명하기	설명하/VV+기/ETN
위한	위하/VV+ㄴ/ETM
것"이라며	것/NNB+"/SS+이/VCP+라며/EC
"마치	"/SS+마치/MAG
버스를	버스/NNG+를/JKO
충분히	충분히/MAG
탈	타/VV+ㄹ/ETM
수	수/NNB
있음에도	있/VA+음/ETN+에/JKB+도/JX
지하철이나	지하철/NNG+이나/JC
콜택시를	콜택시/NNG+를/JKO
이용한다는	이용하/VV+ㄴ다는/ETM
식으로	식/NNB+으로/JKB
김	김/NNP
씨의	씨/NNB+의/JKG
입장을	입장/NNG+을/JKO
왜곡했다"고	왜곡하/VV+였/EP+다/EF+"/SS+고/JKQ
비판했다	비판하/VV+였/EP+다/EF

특히	특히/MAG
박	박/NNP
대표는	대표/NNG+는/JX
“기사에서	“/SL+기사/NNG+에서/JKB
강승필	강승필/NNP
교수(서울대	교수/NNG+(/SS+서울대/NNP
지구환경시스템공학부)가	지구환경시스템공학부/NNG+)/SS+가/JKS
‘저상버스보다	‘/SN+저상버스/NNG+보다/JKB
저렴하고	저렴하/VA+고/EC
이용하기	이용하/VV+기/ETN
편한	편하/VA+ㄴ/ETM
콜택시를	콜택시/NNG+를/JKO
장애인에게	장애인/NNG+에게/JKB
보급하는	보급하/VV+는/ETM
게	것/NNB+이/JKS
더	더/MAG
효율적’이라고	효율적’/NNG+이/VCP+라고/EC
얘기한	얘기하/VV+ㄴ/ETM
것은	것/NNB+은/JX
대중교통의	대중교통/NNG+의/JKG
사회적	사회적/NNG
의미와	의미/NNG+와/JC
교통약자	교통약자/NNG
이동권을	이동/NNG+권/XSN+을/JKO
고려하지	고려하/VV+지/EC
않은	않/VX+은/ETM
발언”이라면서	발언”/NNG+이/VCP+라면서/EC
“이러한	“/SL+이러하/VA+ㄴ/ETM
말은	말/NNG+은/JX
효율적인	효율적/NNG+이/VCP+ㄴ/ETM
논리를	논리/NNG+를/JKO
설명하며	설명하/VV+며/EC
비장애인과	비장애인/NNG+과/JC
장애인의	장애인/NNG+의/JKG
일상적인	일상적/NNG+이/VCP+ㄴ/ETM
만남을	만남/NNG+을/JKO
차단하고,	차단하/VV+고/EC+,/SP
장애인	장애인/NNG
이동권을	이동/NNG+권/XSN+을/JKO
침해했다”고	침해하/VV+였/EP+다/EC+”/SN+고/EC
주장했다	주장하/VV+였/EP+다/EC

이같은	이/NP+같/VA+은/ETM
말은	말/NNG+은/JX
장애인	장애인/NNG
콜택시가	콜택시/NNG+가/JKS
탑승이나	탑승/NNG+이나/JC
이동편의	이동편/NNG+의/JKG
면에서	면/NNG+에서/JKB
저상버스	저상버스/NNG
이용	이용/NNG
보다	보다/MAG
편한	편하/VA+ㄴ/ETM
점이	점/NNG+이/JKS
있지만,	있/VA+지만/EC+,/SP
장애인	장애인/NNG
수요에	수요/NNG+에/JKB
비해	비하/VV+여/EC
이용자가	이용자/NNG+가/JKS
많아	많/VA+아/EC
원하는	원하/VV+는/ETM
시간에	시간/NNG+에/JKB
이용하기	이용하/VV+기/ETN
어렵고	어렵/VA+고/EC
콜택시가	콜택시/NNG+가/JKS
올	오/VV+ㄹ/ETM
때까지	때/NNG+까지/JX
대기시간이	대기시간/NNG+이/JKS
길어	길/VA+어/EC
장애인	장애인/NNG
이용자의	이용자/NNG+의/JKG
불만이	불만/NNG+이/JKS
끊임없이	끊임없이/MAG
나오고	나오/VV+고/EC
있는	있/VX+는/ETM
현실에	현실/NNG+에/JKB
배치된다는	배치되/VV+ㄴ다는/ETM
것	것/NNB

장애인차별추진연대	장애인차별추진연대/NNG
박김영희	박김영희/NNP
사무처장도	사무처장/NNG+도/JX
“장애인에게는	“/SL+장애인/NNG+에게/JKB+는/JX
저상버스를	저상버스/NNG+를/JKO
타고	타/VV+고/EC
싶을	싶/VX+을/ETM
때,	때/NNG+,/SP
장애인콜택시를	장애인콜택시/NNG+를/JKO
타고	타/VV+고/EC
싶을	싶/VX+을/ETM
때	때/NNG
등	등/NNB
우리가	우리/NP+가/JKS
원할	원하/VV+ㄹ/ETM
때	때/NNG
이동하는	이동하/VV+는/ETM
수단의	수단/NNG+의/JKG
선택,	선택/NNG+,/SP
결정권이	결정권/NNG+이/JKS
없다”면서	없/VA+다”면서/EC
“장애인의	“/SL+장애인/NNG+의/JKG
요구와	요구/NNG+와/JC
권리인	권리/NNG+이/VCP+ㄴ/ETM
이동의	이동/NNG+의/JKG
선택,	선택/NNG+,/SP
결정권이	결정권/NNG+이/JKS
존중	존중/NNG
