문제	문제/NNG
많은	많/VA+은/ETM
활동지원제도,	활동지원제도/NNG+,/SP
‘이대론	‘/SL+이대론/MAG
안된다’	안되/VV+ㄴ다/EC+’/SN

장애인활동지원제도가	장애인활동지원제도/NNG+가/JKS
시행된지	시행되/VV+ㄴ/ETM+지/NNB
1년이	1/SN+년/NNB+이/JKS
지난	지나/VV+ㄴ/ETM
가운데	가운데/NNG
장애인단체가	장애인단체/NNG+가/JKS
터무니없이	터무니없이/MAG
부족한	부족하/VA+ㄴ/ETM
서비스와	서비스/NNG+와/JC
제도	제도/NNG
개선을	개선/NNG+을/JKO
목적으로	목적/NNG+으로/JKB
‘장애인활동지원	‘/SN+장애인활동지원/NNG
제도개선을	제도개선/NNG+을/JKO
위한	위하/VV+ㄴ/ETM
공동투쟁단’을	공동투쟁/NNG+단/XSN+’/SL+을/JKO
구성,	구성/NNG+,/SP
정부와의	정부/NNG+와/JKB+의/JKG
투쟁을	투쟁/NNG+을/JKO
선포했다	선포하/VV+였/EP+다/EF

전국장애인차별철폐연대	전/MM+국장애인차별철폐연대/NNG
등	등/NNB
5개단체로	5/SN+개/NNB+단체/NNG+로/JKB
꾸려진	꾸리/VV+어/EC+지/VX+ㄴ/ETM
장애인활동지원제도개선을	장애인활동지원제도개선/NNG+을/JKO
위한	위하/VV+ㄴ/ETM
공동투쟁단(이하	공동투쟁단/NNG+(/SS+이하/NNG
투쟁단)은	투쟁/NNG+단/XSN+)/SS+은/JX
16일	16/SN+일/NNB
보건복지부	보건복지부/NNG
앞에서	앞/NNG+에서/JKB
첫	첫/MM
공식	공식/NNG
기자회견을	기자회견/NNG+을/JKO
갖고,	갖/VV+고/EC+,/SP
활동지원제도에	활동지원제도/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
긴급대책	긴급대책/NNG
마련과	마련/NNG+과/JC
중장기적	중장기적/NNG
제도개선	제도개선/NNG
대책을	대책/NNG+을/JKO
강력하게	강력하/VA+게/EC
촉구했다	촉구하/VV+였/EP+다/EC

지난해	지난해/NNG
제정된	제정되/VV+ㄴ/ETM
장애인활동지원법에서는	장애인활동지원법/NNG+에서/JKB+는/JX
서비스	서비스/NNG
수급자격의	수급자격/NNG+의/JKG
유효기간을	유효기간/NNG+을/JKO
2년	2/SN+년/NNB
내지	내지/MAG
3년으로	3/SN+년/NNB+으로/JKB
규정하고	규정하/VV+고/EC
있다	있/VX+다/EC

이에	이/NP+에/JKB
4만여명의	4/SN+만/NR+여/XSN+명/NNB+의/JKG
장애인	장애인/NNG
이용자	이용자/NNG
중에서	중/NNB+에서/JKB
무려	무려/MAG
약3만명의	약/MM+3/SN+만/NR+명/NNB+의/JKG
장애인이	장애인/NNG+이/JKS
수급자격	수급자격/NNG
재판정을	재판정/NNG+을/JKO
받아야	받/VV+아야/EC
하는	하/VX+는/ETM
상황이다	상황/NNG+이/VCP+다/EC

하지만	하지만/MAJ
현행	현행/NNG
서비스	서비스/NNG
등급기준은	등급기준/NNG+은/JX
예산의	예산/NNG+의/JKG
논리로	논리/NNG+로/JKB
인해	인하/VV+여/EC
너무	너무/MAG
엄격하게	엄격하/VA+게/EC
정해져	정하/VV+여/EC+지/VX+어/EC
있어	있/VX+어/EC
재조사를	재조사/NNG+를/JKO
실시할	실시하/VV+ㄹ/ETM
경우	경우/NNG
서비스	서비스/NNG
삭감	삭감/NNG
또는	또는/MAG
수급자격	수급자격/NNG
탈락자가	탈락자/NNG+가/JKS
상당히	상당히/MAG
발생할	발생하/VV+ㄹ/ETM
것으로	것/NNB+으로/JKB
예상되는	예상되/VV+는/ETM
상황이며,	상황/NNG+이/VCP+며/EC+,/SP
이미	이미/MAG
30점	30/SN+점/NNB
40점	40/SN+점/NNB
정도의	정도/NNG+의/JKG
대폭적	대폭적/NNG
점수	점수/NNG
삭감이라는	삭감/NNG+이/VCP+라는/ETM
괴담이	괴담/NNG+이/JKS
장애인을	장애인/NNG+을/JKO
공포로	공포/NNG+로/JKB
몰아넣고	몰아넣/VV+고/EC
있다	있/VX+다/EC

또한	또한/MAG
복지부는	복지부/NNG+는/JX
인정조사표	인정조사표/NNG
개정을	개정/NNG+을/JKO
추진하고	추진하/VV+고/EC
있지만,	있/VX+지만/EC+,/SP
이는	이/NP+는/JX
서비스	서비스/NNG
하락사태를	하락사태/NNG+를/JKO
막는	막/VV+는/ETM
것은	것/NNB+은/JX
무관하며,	무관하/VA+며/EC+,/SP
문항이	문항/NNG+이/JKS
개정될	개정되/VV+ㄹ/ETM
것이	것/NNB+이/JKC
아니라	아니/VCN+라/EC
판정의	판정/NNG+의/JKG
기준이	기준/NNG+이/JKS
바뀌어야	바뀌/VV+어야/EC
한다는	하/VX+ㄴ다는/ETM
등	등/NNB
긴급대책	긴급대책/NNG
마련이	마련/NNG+이/JKS
필요하다는	필요하/VA+다는/ETM
것	것/NNB

이날	이날/NNG
투쟁단은	투쟁/NNG+단/XSN+은/JX
인정점수기준	인정점수기준/NNG
하향	하향/NNG
조정	조정/NNG
기본급여	기본급여/NNG
서비스시간	서비스시간/NNG
확대	확대/NNG
비현실적	비현실적/NNG
추가급여	추가급여/NNG
기준	기준/NNG
개정	개정/NNG
본인부담금	본인부담금/NNG
폐지	폐지/NNG
활동보조인	활동보조/NNG+이/VCP+ㄴ/ETM
처우개선	처우개선/NNG
바우처제도	바우처제도/NNP
개선	개선/NNG
활동보조인	활동보조/NNG+이/VCP+ㄴ/ETM
권리보장	권리보장/NNG
예산	예산/NNG
대폭	대폭/MAG
인상	인상/NNG
장애인활동지원법	장애인활동지원법/NNG
개정	개정/NNG
등을	등/NNB+을/JKO
요구했다	요구하/VV+었/EP+다/EC

이들은	이/NP+들/XSN+은/JX
“인정조사점수	“/SN+인정조사점수/NNG
380점	380/SN+점/NNB
이상의	이상/NNG+의/JKG
최중증장애인에게	최/XPN+중증장애인/NNG+에게/JKB
겨우	겨우/MAG
한달	한/MM+달/NNB
103시간을	103/SN+시간/NNB+을/JKO
제공하는	제공하/VV+는/ETM
현재의	현재/NNG+의/JKG
등급기준이	등급기준/NNG+이/JKS
변하지	변하/VV+지/EC
않는	않/VX+는/ETM
한	한/NNG
문항개정은	문항개정/NNG+은/JX
동문서답일	동문서답/NNG+이/VCP+ㄹ/ETM
뿐”이라며	뿐/NNB+”/SL+이/VCP+라며/EC
“장애인활동지원제도는	“장애인활동지원제도/NNG+는/JX
양적으로도	양적/NNG+으로/JKB+도/JX
터무니없이	터무니없이/MAG
부족하고,	부족하/VA+고/EC+,/SP
서비스	서비스/NNG
집행과정에서도	집행과정/NNG+에서/JKB+도/JX
많은	많/VA+은/ETM
문제점을	문제점/NNG+을/JKO
가지고	가지/VV+고/EC
있다”고	있/VX+다/EC+”/VV+고/EC
지적했다	지적하/VV+였/EP+다/EF

이어	이어/MAG
