'장애인주거지원법	'/SS+장애인주거지원법/NNG
제정'	제정/NNG+'/SS
토론회	토론회/NNG
개최	개최/NNG

한국장애인주거지원연대가	한국/NNP+장애인주거지원연대/NNG+가/JKS
오는	오/VV+는/ETM
4월	4/SN+월/NNB
6일	6/SN+일/NNB
오후	오후/NNG
2시	2/SN+시/NNB
이룸센터에서	이룸센터/NNP+에서/JKB
‘독립적	‘/SN+독립적/NNG
장애인주거지원법	장애인주거지원법/NNG
제정	제정/NNG
필요성’	필요성/NNG+’/SL
토론회를	토론회/NNG+를/JKO
개최한다	개최하/VV+ㄴ다/EF

이날	이날/NNG
한국장애인주거지원연대	한국/NNP+장애인주거지원연대/NNG
강현석	강현석/NNP
전북지부장이	전북/NNP+지부/NNG+장/XSN+이/JKS
발제자로	발제/NNG+자/XSN+로/JKB
나서	나서/VV+어/EC
서울,	서울/NNP+,/SP
인천,	인천/NNP+,/SP
대전	대전/NNP
등	등/NNB
6개	6/SN+개/NNB
지역을	지역/NNG+을/JKO
대상으로	대상/NNG+으로/JKB
주거실태조사를	주거실태조사/NNG+를/JKO
벌인	벌이/VV+ㄴ/ETM
결과를	결과/NNG+를/JKO
발표하며	발표하/VV+며/EC
‘장애인주거지원법(가칭)’의	‘/SN+장애인주거지원법/NNG+(/SS+가칭/NNG+)/SS+’/SL+의/JKG
필요성을	필요성/NNG+을/JKO
피력할	피력하/VV+ㄹ/ETM
예정이다	예정/NNG+이/VCP+다/EC

또한	또한/MAG
좌장은	좌장/NNG+은/JX
한국장애인주거지원연대	한국/NNP+장애인주거지원연대/NNG
김동희	김동희/NNP
대표가	대표/NNG+가/JKS
맡고	맡/VV+고/EC
한국자립생활대학	한국자립생활대학/NNP
전정식	전정식/NNP
학장과	학장/NNG+과/JC
경기도장애인자립생활센터총연합회	경기도/NNP+장애인자립생활센터/NNG+총/XPN+연합회/NNG
한동식	한동식/NNG
상임대표,	상임대표/NNG+,/SP
(사)주거권실현을위한국민연합	(/SS+사/NNG+)/SS+주거권실현/NNG+을/JKO+위하/VV+ㄴ/ETM+국민연합/NNP
유영우	유영우/NNG
상임이사가	상임이사/NNG+가/JKS
토론자로	토론자/NNG+로/JKB
나선다	나서/VV+ㄴ다/EF

이	이/MM
밖에도	밖/NNG+에/JKB+도/JX
뇌병변장애	뇌병변장애/NNG
2급의	2/SN+급/NNG+의/JKG
김규형	김규형/NNP
씨가	씨/NNB+가/JKS
장애인	장애인/NNG
당사자	당사자/NNG
사례발표자로	사례발표자/NNG+로/JKB
참석해	참석하/VV+여/EC
장애인주거지원법	장애인주거지원법/NNG
제정의	제정/NNG+의/JKG
당위성에	당위성/NNG+에/JKB
힘을	힘/NNG+을/JKO
보탤	보태/VV+ㄹ/ETM
예정이다	예정/NNG+이/VCP+다/EC
