장애인주거	장애인주거/NNG
지원	지원/NNG
제도	제도/NNG
산만…통제시스템	산만/NNG+…/SE+통제시스템/NNG
절실	절실/NNG

장애인을	장애인/NNG+을/JKO
위한	위하/VV+ㄴ/ETM
주거정책이	주거정책/NNG+이/JKS
오히려	오히려/MAG
장애인을	장애인/NNG+을/JKO
외면하고	외면하/VV+고/EC
있어,	있/VX+어/EC+,/SP
장애계가	장애/NNG+계/XSN+가/JKS
장애인	장애인/NNG
당사자의	당사자/NNG+의/JKG
눈높이에서의	눈높이/NNG+에서/JKB+의/JKG
정책이	정책/NNG+이/JKS
필요하다고	필요하/VA+다고/EC
입을	입/NNG+을/JKO
모았다	모으/VV+았/EP+다/EC

한국장애인주거지원연대는	한국/NNP+장애인주거지원연대/NNG+는/JX
6일	6/SN+일/NNB
이룸센터에서	이룸센터/NNG+에서/JKB
‘독립적	‘/SN+독립적/NNG
장애인	장애인/NNG
주거지원법	주거지원법/NNG
제정	제정/NNG
필요성에	필요성/NNG+에/JKB
관한	관하/VV+ㄴ/ETM
토론회’를	토론회/NNG+’/SL+를/JKO
개최해	개최하/VV+여/EC
‘장애인주거지원법(가칭)’의	‘/SN+장애인주거지원법/NNG+(/SS+가칭/NNG+)/SS+’/SL+의/JKG
필요성에	필요성/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
의견을	의견/NNG+을/JKO
수렴했다	수렴하/VV+였/EP+다/EF

이날	이날/NNG
발제자로	발제/NNG+자/XSN+로/JKB
나선	나서/VV+ㄴ/ETM
한국장애인주거지원연대	한국/NNP+장애인주거지원연대/NNG
강현석	강현석/NNP
전북지부장은	전북/NNP+지부/NNG+장/XSN+은/JX
서울,	서울/NNP+,/SP
인천	인천/NNP
등	등/NNB
6개	6/SN+개/NNB
지역을	지역/NNG+을/JKO
대상으로	대상/NNG+으로/JKB
주거실태조사를	주거실태조사/NNG+를/JKO
벌인	벌이/VV+ㄴ/ETM
결과,	결과/NNG+,/SP
절반이	절반/NNG+이/JKS
넘는	넘/VV+는/ETM
장애인들이	장애인/NNG+들/XSN+이/JKS
열악한	열악하/VA+ㄴ/ETM
주거환경에	주거환경/NNG+에/JKB
놓여있다고	놓이/VV+어/EC+있/VX+다고/EC
발표했다	발표하/VV+였/EP+다/EC

이후	이후/NNG
진행된	진행되/VV+ㄴ/ETM
토론에서	토론/NNG+에서/JKB
토론자들은	토론자/NNG+들/XSN+은/JX
현재의	현재/NNG+의/JKG
장애인	장애인/NNG
주거	주거/NNG
정책에	정책/NNG+에/JKB
대해	대하/VV+여/EC
지적하며,	지적하/VV+며/EC+,/SP
실질적으로	실질적/NNG+으로/JKB
장애인이	장애인/NNG+이/JKS
보장받는	보장/NNG+받/VV+는/ETM
주거정책이	주거정책/NNG+이/JKS
이뤄져야	이루어지/VV+어야/EC
함을	하/VX+ㅁ/ETN+을/JKO
강조했다	강조하/VV+였/EP+다/EC

먼저	먼저/MAG
한국자립생활대학	한국자립생활대학/NNP
전정식	전/MM+정식/NNG
학장은	학장/NNG+은/JX
장애인	장애인/NNG
주거정책과	주거정책/NNG+과/JKB
관련해	관련하/VV+여/EC
지역단위의	지역단위/NNG+의/JKG
장애인주거지원을	장애인주거지원/NNG+을/JKO
위한	위하/VV+ㄴ/ETM
관제탑의	관제탑/NNG+의/JKG
필요성을	필요성/NNG+을/JKO
피력했다	피력하/VV+었/EP+다/EC

전	전/MM
학장은	학장/NNG+은/JX
“많은	“/SN+많/VA+은/ETM
중증장애인들이	중증장애인/NNG+들/XSN+이/JKS
지역사회로의	지역사회/NNG+로/JKB+의/JKG
탈출을	탈출/NNG+을/JKO
꿈꾸지만	꿈꾸/VV+지만/EC
불편한	불편하/VA+ㄴ/ETM
주거정책	주거정책/NNG
때문에	때문/NNB+에/JKB
다시	다시/MAG
생활	생활/NNG
시설이나	시설/NNG+이나/JC
골방으로	골방/NNG+으로/JKB
돌아간다	돌아가/VV+ㄴ다/EC

제도들은	제도/NNG+들/XSN+은/JX
산만하게	산만하/VA+게/EC
흩어져있고	흩어지/VV+어/EC+있/VX+고/EC
이를	이/NP+를/JKO
체계적으로	체계적/NNG+으로/JKB
관장해	관장하/VV+여/EC
주거	주거/NNG
요구에	요구/NNG+에/JKB
대응할	대응하/VV+ㄹ/ETM
통제시스템이	통제시스템/NNG+이/JKS
없기	없/VA+기/ETN
때문”이라고	때문/NNB+”/SL+이/VCP+라고/EC
지적했다	지적하/VV+였/EP+다/EF

이어	이어/MAG
전	전/MM
학장은	학장/NNG+은/JX
“장애인주거정책과	“/SN+장애인주거정책/NNG+과/JKB
관련해	관련하/VV+여/EC
지역단위의	지역단위/NNG+의/JKG
장애인자립생활주거지원센터의	장애인자립생활주거지원센터/NNG+의/JKG
제도화가	제도화/NNG+가/JKS
필요하다”면서	필요하/VA+다/EC+”/VV+면서/EC
“가장	“/SL+가장/MAG
중요한	중요하/VA+ㄴ/ETM
것은	것/NNB+은/JX
운영	운영/NNG
주체가	주체/NNG+가/JKS
장애인당사자여야	장애인당사자/NNG+이/VCP+어야/EC
한다”고	하/VX+ㄴ다”고/EC
강조했다	강조하/VV+였/EP+다/EC

경기도장애인자립생활센터총연합회	경기도/NNP+장애인자립생활센터/NNG+총/XPN+연합회/NNG
한동식	한동식/NNG
대표는	대표/NNG+는/JX
가장	가장/MAG
먼저	먼저/MAG
시급하게	시급하/VA+게/EC
다뤄져야	다루/VV+어/EC+지/VX+어야/EC
할	하/VX+ㄹ/ETM
부분은	부분/NNG+은/JX
정부	정부/NNG
각	각/MM
부처	부처/NNG
간의	간/NNB+의/JKG
조율과	조율/NNG+과/JC
타협에	타협/NNG+에/JKB
의한	의하/VV+ㄴ/ETM
장애인	장애인/NNG
주거지원을	주거지원/NNG+을/JKO
위한	위하/VV+ㄴ/ETM
다양한	다양하/VA+ㄴ/ETM
법령의	법령/NNG+의/JKG
정비임을	정비/NNG+이/VCP+ㅁ/ETN+을/JKO
제시했다	제시하/VV+였/EP+다/EC

현재	현재/MAG
장애인복지법	장애인복지법/NNG
등	등/NNB
다양한	다양하/VA+ㄴ/ETM
주거지원	주거지원/NNG
관련	관련/NNG
법령들이	법령/NNG+들/XSN+이/JKS
준비돼	준비되/VV+어/EC
있음에도	있/VX+음/ETN+에/JKB+도/JX
장애인들이	장애인/NNG+들/XSN+이/JKS
실질적으로	실질적/NNG+으로/JKB
법과	법/NNG+과/JC
제도들에	제도/NNG+들/XSN+에/JKB
의해	의하/VV+여/EC
주거공간을	주거공간/NNG+을/JKO
제공받을	제공/NNG+받/VV+을/ETM
수	수/NNB
있는	있/VA+는/ETM
경우는	경우/NNG+는/JX
극히	극히/MAG
일부에	일부/NNG+에/JKB
불과하기	불과하/VA+기/ETN
때문이라는	때문/NNB+이/VCP+라는/ETM
것	것/NNB

한	한/MM
대표는	대표/NNG+는/JX
“보건복지부	“/SN+보건복지부/NNG
장애인	장애인/NNG
실태조사에	실태조사/NNG+에/JKB
주거에	주거/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
부분을	부분/NNG+을/JKO
강화해	강화하/VV+여/EC
주거에	주거/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
욕구	욕구/NNG
파악하고,	파악하/VV+고/EC+,/SP
장애인	장애인/NNG
주거정책에	주거정책/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
장기적	장기적/NNG
로드맵을	로드맵/NNG+을/JKO
비롯해	비롯하/VV+여/EC
중앙정부와	중앙정부/NNG+와/JC
지방정부간	지방정부/NNG+간/NNB
역할분담	역할분담/NNG
방안	방안/NNG
등이	등/NNB+이/JKS
수립돼야	수립되/VV+어야/EC
한다”면서	하/VX+ㄴ다/EC+”/VV+면서/EC
“조사	“/SL+조사/NNG
자료	자료/NNG
등을	등/NNB+을/JKO
통해	통하/VV+여/EC
현재	현재/MAG
공급되고	공급되/VV+고/EC
있는	있/VX+는/ETM
국민	국민/NNG
임대주택의	임대주택/NNG+의/JKG
주거비가	주거비/NNG+가/JKS
장애인들이	장애인/NNG+들/XSN+이/JKS
부담하기	부담하/VV+기/ETN
어려운	어렵/VA+ㄴ/ETM
수준은	수준/NNG+은/JX
아닌지,	아니/VCN+ㄴ지/EC+,/SP
이러한	이러하/VA+ㄴ/ETM
주거비	주거비/NNG
부담이	부담/NNG+이/JKS
임대주택	임대주택/NNG
입주를	입주/NNG+를/JKO
어렵게	어렵/VA+게/EC
만드는	만들/VV+는/ETM
것은	것/NNB+은/JX
아닌지	아니/VCN+ㄴ지/EC
검토해야	검토하/VV+여야/EC
한다”고	하/VX+ㄴ다”고/EC
강조했다	강조하/VV+였/EP+다/EC

자신의	자신/NNG+의/JKG
주거실태를	주거실태/NNG+를/JKO
발표하는	발표하/VV+는/ETM
김규형씨	김규형/NNP+씨/NNB

특히	특히/MAG
이날	이날/NNG
토론회에는	토론회/NNG+에/JKB+는/JX
장애인	장애인/NNG
당사자인	당사자/NNG+이/VCP+ㄴ/ETM
뇌병변장애	뇌병변장애/NNG
2급	2/SN+급/NNG
김규형씨가	김규형/NNP+씨/NNB+가/JKS
자신의	자신/NNG+의/JKG
열악한	열악하/VA+ㄴ/ETM
주거생활을	주거생활/NNG+을/JKO
낱낱이	낱낱이/MAG
고발했다	고발하/VV+였/EP+다/EC

전주에	전주/NNP+에/JKB
거주하고	거주하/VV+고/EC
있는	있/VX+는/ETM
