“태풍·폭우도	“/SL+태풍/NNG+·/SP+폭우/NNG+도/JX
반	반/NNG
시설	시설/NNG
의지를	의지/NNG+를/JKO
막을	막/VV+을/ETM
순	수/NNB+ㄴ/JX
없다”	없/VA+다”/EC

지난	지나/VV+ㄴ/ETM
8월	8/SN+월/NNB
13일	13/SN+일/NNB
반시설과	반시설/NNG+과/JC
장애인자립생활보장법	장애인자립생활보장법/NNG
제정을	제정/NNG+을/JKO
촉구하기	촉구하/VV+기/ETN
위해	위하/VV+여/EC
9명의	9/SN+명/NNB+의/JKG
장애인이	장애인/NNG+이/JKS
‘국토대장정’을	‘/SL+국토대장정’/NNG+을/JKO
시작했다	시작하/VV+였/EP+다/EF

이들은	이/NP+들/XSN+은/JX
23일간	23/SN+일/NNB+간/XSN
부산을	부산/NNP+을/JKO
시작으로	시작/NNG+으로/JKB
창원,	창원/NNP+,/SP
울산,	울산/NNP+,/SP
대구,	대구/NNP+,/SP
대전,	대전/NNP+,/SP
인천	인천/NNP
등을	등/NNB+을/JKO
거쳐	거치/VV+어/EC
오는	오/VV+는/ETM
9월	9/SN+월/NNB
4일	4/SN+일/NNB
서울에	서울/NNP+에/JKB
입성하게	입성하/VV+게/EC
된다	되/VV+ㄴ다/EF

전국을	전국/NNG+을/JKO
돌며	돌/VV+며/EC
장애인	장애인/NNG
시설의	시설/NNG+의/JKG
문제점과	문제점/NNG+과/JC
인권침해·유린	인권침해/NNG+·/SP+유린/NNG
등의	등/NNB+의/JKG
현실과	현실/NNG+과/JC
장애인	장애인/NNG
자립생활	자립생활/NNG
지원을	지원/NNG+을/JKO
위한	위하/VV+ㄴ/ETM
‘장애인자립생활보장법	‘/SL+장애인자립생활보장법/NNG
제정’의	제정/NNG+’/SL+의/JKG
필요성을	필요성/NNG+을/JKO
알릴	알리/VV+ㄹ/ETM
예정이다	예정/NNG+이/VCP+다/EC

국토대장정을	국토대장정/NNG+을/JKO
공동주관한	공동주관하/VV+ㄴ/ETM
한국장애인연맹(DPI)의	한국/NNP+장애인연맹/NNG+(/SS+DPI/SL+)/SS+의/JKG
자료협조를	자료협조/NNG+를/JKO
받아	받/VV+아/EC
긴	길/VA+ㄴ/ETM
여정의	여정/NNG+의/JKG
이야기를	이야기/NNG+를/JKO
연재한다	연재하/VV+ㄴ다/EF

<편집자주>	</SS+편집자주/NNG+>/SS
국토대장정에	국토대장정/NNG+에/JKB
참여하고	참여하/VV+고/EC
있는	있/VX+는/ETM
대원들이	대원/NNG+들/XSN+이/JKS
잠깐의	잠깐/NNG+의/JKG
휴식을	휴식/NNG+을/JKO
취하고	취하/VV+고/EC
있다	있/VX+다/EC

ⓒ한국DPI	ⓒ/SL+한국/NNP+DPI/SL
8월	8/SN+월/NNB
30일,	30/SN+일/NNB+,/SP
작성자:	작성자/NNG+:/SP
이권희(서울장애인인권포럼	이권희/NNP+(/SS+서울/NNP+장애인인권포럼/NNG
대표)	대표/NNG+)/SS
대원태풍이	대원태풍/NNG+이/JKS
올	오/VV+ㄹ/ETM
것으로	것/NNB+으로/JKB
예상되어	예상되/VV+어/EC
과연	과연/MAG
출발할	출발하/VV+ㄹ/ETM
수	수/NNB
있을지	있/VA+을지/EC
여부가	여부/NNG+가/JKS
초미의	초미/NNG+의/JKG
관심사였다	관심사/NNG+이/VCP+었/EP+다/EF

그	그/MM
때문인지	때문/NNB+이/VCP+ㄴ지/EC
몰라도	모르/VV+아도/EC
대원들이	대원/NNG+들/XSN+이/JKS
생각보다	생각/NNG+보다/JKB
일찍	일찍/MAG
일어났다	일어나/VV+았/EP+다/EF

오전	오전/NNG
6시	6/SN+시/NNB
언저리에	언저리/NNG+에/JKB
모두	모두/MAG
기상하여	기상하/VV+여/EC
여느	여느/MM
때처럼	때/NNG+처럼/JKB
씻은	씻/VV+은/ETM
후	후/NNG
개인	개인/NNG
짐들을	짐/NNG+들/XSN+을/JKO
챙겼다	챙기/VV+었/EP+다/EF

수원을	수원/NNP+을/JKO
향해	향하/VV+여/EC
행군을	행군/NNG+을/JKO
하고자	하/VV+고자/EC
한다면	하/VX+ㄴ다면/EC
조금이라도	조금/NNG+이라도/JX
일찍	일찍/MAG
출발하여	출발하/VV+여/EC
태풍	태풍/NNG
앞을	앞/NNG+을/JKO
달리는	달리/VV+는/ETM
것이	것/NNB+이/JKS
나을	나/VV+아을/ETM
듯	듯/NNB
했다	하/VV+였/EP+다/EC

행군출정	행군출정/NNG
전에	전/NNG+에/JKB
비가	비/NNG+가/JKS
오고	오/VV+고/EC
있어	있/VX+어/EC
체온조절이	체온조절/NNG+이/JKS
중요하고,	중요하/VA+고/EC+,/SP
태풍이	태풍/NNG+이/JKS
언제	언제/MAG
우리를	우리/NP+를/JKO
앞질러	앞지르/VV+어/EC
갈지	가/VX+ㄹ지/EC
모르니	모르/VV+니/EC
최대한	최대한/NNG
속도전을	속도전/NNG+을/JKO
할	하/VV+ㄹ/ETM
것이라는	것/NNB+이/VCP+라는/ETM
얘길	얘길/NNG
들었다	듣/VV+었/EP+다/EF

그만큼	그만큼/MAG
기상조건이	기상조건/NNG+이/JKS
악화될	악화되/VV+ㄹ/ETM
것을	것/NNB+을/JKO
대비하여	대비하/VV+여/EC
최대한	최대한/NNG
빠른	빠르/VA+ㄴ/ETM
시간에	시간/NNG+에/JKB
수원에	수원/NNP+에/JKB
입성하고자	입성하/VV+고자/EC
함이였겠다는	하/VX+ㅁ/ETN+이이/VCP+었겠/EP+다는/ETM
생각이	생각/NNG+이/JKS
들었다	들/VV+었/EP+다/EF

대원들의	대원/NNG+들/XSN+의/JKG
각오가	각오/NNG+가/JKS
새로워졌고,	새롭/VA+어/EC+지/VX+었/EP+고/EC+,/SP
평소보다	평소/NNG+보다/JKB
행군속도는	행군속도/NNG+는/JX
매우	매우/MAG
빨랐다	빠르/VA+았/EP+다/EC

못해도	못하/VA+여도/EC
최소	최소/NNG
시속	시속/NNG
12킬로미터는	12/SN+킬/NNB+로미터는/JX
넘어	넘/VV+어/EC
보였다	보이/VV+었/EP+다/EF

시간이	시간/NNG+이/JKS
지날수록	지나/VV+ㄹ수록/EC
조금씩	조금씩/MAG
빗줄기가	빗줄기/NNG+가/JKS
굵어졌고	굵/VA+어/EC+지/VX+었/EP+고/EC
앞을	앞/NNG+을/JKO
제대로	제대로/MAG
바라보면서	바라보/VV+면서/EC
달리기	달리/VV+기/ETN
힘들	힘들/VA+ㄹ/ETM
정도였다	정도/NNG+이/VCP+었/EP+다/EF

문제는	문제/NNG+는/JX
급격한	급격하/VA+ㄴ/ETM
체온저하였다	체온저하/NNG+이/VCP+었/EP+다/EF

대전에서	대전/NNP+에서/JKB
수원까지	수원/NNP+까지/JX
구간대원으로	구간대원/NNG+으로/JKB
참여한	참여하/VV+ㄴ/ETM
권인자	권인자/NNP
대원의	대원/NNG+의/JKG
B-500	B/SL+-/SO+500/SN
전동휠체어가	전동휠체어/NNG+가/JKS
방전되었다	방전되/VV+었/EP+다/EC

밤새	밤새/NNG
충전하는	충전하/VV+는/ETM
과정에서	과정/NNG+에서/JKB
잭의	잭/NNP+의/JKG
연결에	연결/NNG+에/JKB
문제가	문제/NNG+가/JKS
있었던	있/VA+었/EP+던/ETM
것	것/NNB
같다	같/VA+다/EC

어쩔	어쩌/VV+ㄹ/ETM
수	수/NNB
없었다	없/VA+었/EP+다/EF

바로	바로/MAG
스텝차량에	스텝차량/NNG+에/JKB
전동휠체어를	전동휠체어/NNG+를/JKO
탄	타/VV+ㄴ/ETM
채로	채/NNB+로/JKB
실렸고,	실리/VV+었/EP+고/EC+,/SP
다른	다른/MM
대원들은	대원/NNG+들/XSN+은/JX
계속	계속/MAG
전진하였다	전진하/VV+였/EP+다/EF

점심식사와	점심식사/NNG+와/JC
휴식을	휴식/NNG+을/JKO
취한	취하/VV+ㄴ/ETM
뒤	뒤/NNG
오후	오후/NNG
행군을	행군/NNG+을/JKO
시작하였는데	시작하/VV+였/EP+는데/EC
30분	30/SN+분/NNB
정도	정도/NNG
후에	후/NNG+에/JKB
최선두에서	최선두/NNG+에서/JKB
대열을	대열/NNG+을/JKO
이끄는	이끌/VV+는/ETM
이강천	이강천/NNP
대원의	대원/NNG+의/JKG
휠체어에	휠체어/NNG+에/JKB
이상이	이상/NNG+이/JKS
생겼고,	생기/VV+었/EP+고/EC+,/SP
결국	결국/NNG
대열	대열/NNG
밖으로	밖/NNG+으로/JKB
벗어났다	벗어나/VV+았/EP+다/EC

문경희	문경희/NNP
대원이	대원/NNG+이/JKS
그	그/MM
자리를	자리/NNG+를/JKO
대신하면서	대신하/VV+면서/EC
행군은	행군/NNG+은/JX
계속되었다	계속되/VV+었/EP+다/EC

더	더/MAG
이상의	이상/NNG+의/JKG
전동휠체어와	전동휠체어/NNG+와/JC
대원을	대원/NNG+을/JKO
실을만한	싣/VV+을/ETM+만하/VX+ㄴ/ETM
차량이	차량/NNG+이/JKS
없는	없/VA+는/ETM
관계로	관계/NNG+로/JKB
이영석	이영석/NNP
대장이	대장/NNG+이/JKS
운전하던	운전하/VV+던/ETM
선두차량은	선두차량/NNG+은/JX
권인자	권인자/NNP
대원을	대원/NNG+을/JKO
실은	싣/VV+은/ETM
채	채/NNB
빠른	빠르/VA+ㄴ/ETM
속도로	속도/NNG+로/JKB
최종목적지를	최종목적지/NNG+를/JKO
향해	향하/VV+여/EC
내달렸는데	내달리/VV+었/EP+는데/EC
이는	이/NP+는/JX
권인자	권인자/NNG
대원을	대원/NNG+을/JKO
내린	내리/VV+ㄴ/ETM
후	후/NNG
다시	다시/MAG
돌아와서	돌아오/VV+아서/EC
이강천	이강천/NNP
대원을	대원/NNG+을/JKO
실어	싣/VV+어/EC
나를	나/NP+를/JKO
작정이었던	작정/NNG+이/VCP+었/EP+던/ETM
것이다	것/NNB+이/VCP+다/EC

그러나	그러나/MAJ
얼마	얼마/NNG
지나지	지나/VV+지/EC
않아	않/VX+아/EC
문경희	문경희/NNP
대원이	대원/NNG+이/JKS
휴식공간을	휴식공간/NNG+을/JKO
찾아	찾/VV+아/EC
잠시	잠시/MAG
멈추었고	멈추/VV+었/EP+고/EC
곧이어	곧이어/MAG
이강천	이강천/NNP
대원이	대원/NNG+이/JKS
합류하였다	합류하/VV+였/EP+다/EF

다행히	다행히/MAG
배터리	배터리/NNG
방전이	방전/NNG+이/JKS
아니라	아니/VCN+라/EC
