반시설	반시설/NNG
국토대장정	국토대장정/NNG
23일간	23/SN+일/NNB+간/XSN
일정	일정/NNG
마감	마감/NNG

‘제2기	‘/SL+제/XPN+2/SN+기/NNG
반시설과	반시설/NNG+과/JC
장애인자립생활보장법	장애인자립생활보장법/NNG
제정	제정/NNG
촉구를	촉구/NNG+를/JKO
위한	위하/VV+ㄴ/ETM
국토대장정’에	국토대장정’/NNG+에/JKB
나섰던	나서/VV+었/EP+던/ETM
장애인	장애인/NNG
9명이	9/SN+명/NNB+이/JKS
23일간의	23/SN+일/NNB+간/XSN+의/JKG
긴	길/VA+ㄴ/ETM
여정을	여정/NNG+을/JKO
마치고	마치/VV+고/EC
서울에	서울/NNP+에/JKB
입성했다	입성하/VV+였/EP+다/EF

이들은	이/NP+들/XSN+은/JX
지난	지나/VV+ㄴ/ETM
8월	8/SN+월/NNB
12일	12/SN+일/NNB
부산에서	부산/NNP+에서/JKB
출정식을	출정식/NNG+을/JKO
갖고	갖/VV+고/EC
23일간	23/SN+일/NNB+간/XSN
창원,	창원/NNP+,/SP
울산,	울산/NNP+,/SP
대전,	대전/NNP+,/SP
평택,	평택/NNP+,/SP
수원,	수원/NNP+,/SP
인천	인천/NNP
등을	등/NNB+을/JKO
거쳐	거치/VV+어/EC
약	약/MM
400km의	400/SN+km/SL+의/JKG
거리를	거리/NNG+를/JKO
완주했다	완주하/VV+였/EP+다/EC

이에	이/NP+에/JKB
한국DPI와	한국/NNP+DPI/SL+와/JC
한국장애인자립생활센터총연합회는	한국장애인자립생활센터총연합회/NNP+는/JX
3일	3/SN+일/NNB
오후	오후/NNG
이룸센터에서	이룸센터/NNG+에서/JKB
‘반시설과	‘/SN+반시설/NNG+과/JC
장애인자립생활보장법	장애인자립생활보장법/NNG
제정	제정/NNG
촉구	촉구/NNG
결의대회	결의대회/NNG
및	및/MAG
국토대장정	국토대장정/NNG
해단식’을	해단/NNG+식/XSN+’/SL+을/JKO
가졌다	가지/VV+었/EP+다/EC

국토대장정을	국토대장정/NNG+을/JKO
마치고	마치/VV+고/EC
돌아	돌/VV+아/EC
온	오/VV+ㄴ/ETM
이권희	이권희/NNP
씨는	씨/NNB+는/JX
“울산의	“/SL+울산/NNG+의/JKG
메아리복지원에서	메아리복지/NNG+원/XSN+에서/JKB
발생한	발생하/VV+ㄴ/ETM
동성	동성/NNG
간의	간/NNB+의/JKG
성폭력	성폭력/NNG
이야기를	이야기/NNG+를/JKO
들었을	듣/VV+었/EP+을/ETM
때	때/NNG
가히	가히/MAG
입에	입/NNG+에/JKB
담을	담/VV+을/ETM
수	수/NNB
없을	없/VA+을/ETM
만큼	만큼/NNB
충격적이는데,	충격적/NNG+이/VCP+는데/EC+,/SP
메아리복지원	메아리복지/NNG+원/XSN
측도	측/NNB+도/JX
성폭력	성폭력/NNG
사실을	사실/NNG+을/JKO
인정했지만	인정하/VV+였/EP+지만/EC
아무	아무/MM
조치를	조치/NNG+를/JKO
취하지	취하/VV+지/EC
않은	않/VX+은/ETM
것에	것/NNB+에/JKB
더욱	더욱/MAG
화가	화/NNG+가/JKS
났다”면서	나/VV+았/EP+다/EC+”/VV+면서/EC
“이번에	“/SL+이번/NNG+에/JKB
울산시청	울산/NNP+시청/NNG
관계자들과의	관계자/NNG+들/XSN+과/JKB+의/JKG
면담을	면담/NNG+을/JKO
했지만,	하/VV+였/EP+지만/EC+,/SP
‘중증장애인은	‘/SL+중증장애인/NNG+은/JX
시설에	시설/NNG+에/JKB
수용되는	수용되/VV+는/ETM
게	것/NNB+이/JKS
맞다’는	맞/VV+다/EC+’/SL+는/JX
식의	식/NNB+의/JKG
말만	말/NNG+만/JX
듣고	듣/VV+고/EC
나왔다	나오/VV+았/EP+다/EF

장애인	장애인/NNG
복지의	복지/NNG+의/JKG
패러다임을	패러다임/NNG+을/JKO
인식하지	인식하/VV+지/EC
못하고	못하/VX+고/EC
있었다”고	있/VX+었/EP+다/EC+”/VX+고/EC
지적했다	지적하/VV+였/EP+다/EF

이어	이어/MAG
“메아리복지원	“/SL+메아리복지/NNG+원/XSN
사건에	사건/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
관심은	관심/NNG+은/JX
여기서	여기/NP+서/JKB
