'동대문구	'/SS+동대문구/NNP
중증장애인자립생활지원조례'	중/XPN+증장애인자립생활지원조례/NNG+'/SS
제정	제정/NNG

동대문구	동대문구/NNP
장애인들의	장애인/NNG+들/XSN+의/JKG
염원이었던	염원/NNG+이/VCP+었/EP+던/ETM
중증장애인자립생활지원조례가	중증장애인자립생활지원조례/NNG+가/JKS
지난	지나/VV+ㄴ/ETM
6일	6/SN+일/NNB
동대문구의회에서	동대문구의회/NNP+에서/JKB
만장일치로	만장일치/NNG+로/JKB
통과돼	통과되/VV+어/EC
제정됐다	제정되/VV+었/EP+다/EF

새날동대문장애인자립생활센터(이하	새날동대문장애인자립생활센터/NNG+(/SS+이하/NNG
세날센터)는	세날센터/NNG+)/SS+는/JX
조례	조례/NNG
제정을	제정/NNG+을/JKO
위해	위하/VV+여/EC
한국장애인자립생활센터총연합회	한국장애인자립생활센터총연합회/NNP
등	등/NNB
장애계는	장애/NNG+계/XSN+는/JX
물론,	물론/MAG+,/SP
정계,	정계/NNG+,/SP
학계,	학계/NNG+,/SP
법조계	법조계/NNG
등과	등/NNB+과/JKB
함께	함께/MAG
대국민	대/XPN+국민/NNG
홍보전,	홍보전/NNG+,/SP
서명	서명/NNG
캠페인	캠페인/NNG
등	등/NNB
각고의	각고/NNG+의/JKG
노력을	노력/NNG+을/JKO
해온	하/VV+여/EC+오/VX+ㄴ/ETM
바	바/NNB
있다	있/VA+다/EC

특히	특히/MAG
조례에는	조례/NNG+에/JKB+는/JX
시설에서	시설/NNG+에서/JKB
퇴소한	퇴소하/VV+ㄴ/ETM
장애인에게	장애인/NNG+에게/JKB
일정	일정/NNG
기간	기간/NNG
거주할	거주하/VV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
자립생활	자립생활/NNG
체험홈	체험홈/NNG
운영과	운영/NNG+과/JC
장애인이	장애인/NNG+이/JKS
거주하는	거주하/VV+는/ETM
주택에	주택/NNG+에/JKB
편의시설	편의시설/NNG
설치	설치/NNG
등을	등/NNB+을/JKO
지원할	지원하/VV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
조항이	조항/NNG+이/JKS
포함된	포함되/VV+ㄴ/ETM
것이	것/NNB+이/JKS
특징이다	특징/NNG+이/VCP+다/EC

새날센터	새날센터/NNG
관계자는	관계자/NNG+는/JX
“부모나	“/SN+부모/NNG+나/JC
가족의	가족/NNG+의/JKG
책임으로만	책임/NNG+으로/JKB+만/JX
치부됐던	치부되/VV+었/EP+던/ETM
장애인에	장애인/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
부양의	부양/NNG+의/JKG
의무를	의무/NNG+를/JKO
지역이	지역/NNG+이/JKS
함께	함께/MAG
고민하고	고민하/VV+고/EC
자립생활이	자립생활/NNG+이/JKS
가능할	가능하/VA+ㄹ/ETM
수	수/NNB
있도록	있/VA+도록/EC
행정적,	행정적/NNG+,/SP
재정적	재정적/NNG
지원의	지원/NNG+의/JKG
근거가	근거/NNG+가/JKS
마련된	마련되/VV+ㄴ/ETM
것만으로도	것/NNB+만/JX+으로/JKB+도/JX
충분하다”며	충분하/VA+다/EC+”/VV+며/EC
“시혜와	“/SL+시혜/NNG+와/JC
동정의	동정/NNG+의/JKG
대상이	대상/NNG+이/JKC
아닌	아니/VCN+ㄴ/ETM
보편적	보편적/NNG
복지에	복지/NNG+에/JKB
의해	의하/VV+여/EC
지역사회의	지역사회/NNG+의/JKG
구성원으로	구성원/NNG+으로/JKB
화합할	화합하/VV+ㄹ/ETM
수	수/NNB
있게	있/VA+게/EC
되길	되/VV+기/ETN+ㄹ/JKO
바란다”고	바란다”/VV+고/EC
말했다	말하/VV+였/EP+다/EC
