한자연,	한자연/NNG+,/SP
‘IL센터	‘IL/SL+센터/NNG
운영기준안’	운영기준안/NNG+’/SL
마련	마련/NNG

장애인자립생활센터의	장애인자립생활센터/NNG+의/JKG
합리적인	합리적/NNG+이/VCP+ㄴ/ETM
운영을	운영/NNG+을/JKO
위한	위하/VV+ㄴ/ETM
기준안이	기준안/NNG+이/JKS
마련돼	마련되/VV+어/EC
눈길을	눈길/NNG+을/JKO
끈다	끌/VV+ㄴ다/EC

한국장애인자립생활센터연합회는	한국/NNP+장애인자립생활센터연합회/NNG+는/JX
지난	지나/VV+ㄴ/ETM
6일	6/SN+일/NNB
여의도	여의도/NNP
이룸센터에서	이룸센터/NNG+에서/JKB
‘장애인자립생활센터	‘/SN+장애인자립생활센터/NNG
운영기준	운영기준/NNG
및	및/MAG
지원기준(안)’	지원기준/NNG+(/SS+안/NNG+)/SS+’/SL
토론회를	토론회/NNG+를/JKO
열고	열/VV+고/EC
그동안	그동안/NNG
설문조사를	설문조사/NNG+를/JKO
실시해	실시하/VV+여/EC
연구된	연구되/VV+ㄴ/ETM
기준안을	기준안/NNG+을/JKO
발표했다	발표하/VV+였/EP+다/EC

이번에	이번/NNG+에/JKB
발표된	발표되/VV+ㄴ/ETM
기준안은	기준안/NNG+은/JX
전국의	전국/NNG+의/JKG
장애인자립생활센터	장애인자립생활센터/NNG
중	중/NNB
총	총/MM
68개를	68/SN+개/NNB+를/JKO
대상으로	대상/NNG+으로/JKB
설문조사한	설문/NNG+조사하/VV+ㄴ/ETM
결과로	결과/NNG+로/JKB
지난	지나/VV+ㄴ/ETM
6월부터	6/SN+월/NNB+부터/JX
8월까지	8/SN+월/NNB+까지/JX
각	각/MM
소장	소장/NNG
1인과	1/SN+인/NNG+과/JC
팀장급	팀장급/NNG
이상	이상/NNG
중간관리자	중간관리자/NNG
1인을	1/SN+인/NNG+을/JKO
대상으로	대상/NNG+으로/JKB
실시됐다	실시되/VV+었/EP+다/EF

조사내용에는	조사내용/NNG+에/JKB+는/JX
센터	센터/NNG
운영기준과	운영기준/NNG+과/JKB
관련해	관련하/VV+여/EC
조직,	조직/NNG+,/SP
인력,	인력/NNG+,/SP
