험난했던	험난하/VA+였/EP+던/ETM
추풍령	추풍령/NNP
고개	고개/NNG
넘어	넘/VV+어/EC
옥천	옥천/NNP
도착	도착/NNG

지난	지나/VV+ㄴ/ETM
13일	13/SN+일/NNB
반시설과	반시설/NNG+과/JC
장애인자립생활보장법	장애인자립생활보장법/NNG
제정을	제정/NNG+을/JKO
촉구하기	촉구하/VV+기/ETN
위해	위하/VV+여/EC
9명의	9/SN+명/NNB+의/JKG
장애인이	장애인/NNG+이/JKS
‘국토대장정’을	‘/SL+국토대장정’/NNG+을/JKO
시작했다	시작하/VV+였/EP+다/EF

이들은	이/NP+들/XSN+은/JX
23일간	23/SN+일/NNB+간/XSN
부산을	부산/NNP+을/JKO
시작으로	시작/NNG+으로/JKB
창원,	창원/NNP+,/SP
울산,	울산/NNP+,/SP
대구,	대구/NNP+,/SP
대전,	대전/NNP+,/SP
인천	인천/NNP
등을	등/NNB+을/JKO
거쳐	거치/VV+어/EC
오는	오/VV+는/ETM
9월	9/SN+월/NNB
4일	4/SN+일/NNB
서울에	서울/NNP+에/JKB
입성하게	입성하/VV+게/EC
된다	되/VV+ㄴ다/EF

전국을	전국/NNG+을/JKO
돌며	돌/VV+며/EC
장애인	장애인/NNG
시설의	시설/NNG+의/JKG
문제점과	문제점/NNG+과/JC
인권침해·유린	인권침해/NNG+·/SP+유린/NNG
등의	등/NNB+의/JKG
현실과	현실/NNG+과/JC
장애인	장애인/NNG
자립생활	자립생활/NNG
지원을	지원/NNG+을/JKO
위한	위하/VV+ㄴ/ETM
‘장애인자립생활보장법	‘/SL+장애인자립생활보장법/NNG
제정’의	제정/NNG+’/SL+의/JKG
필요성을	필요성/NNG+을/JKO
알릴	알리/VV+ㄹ/ETM
예정이다	예정/NNG+이/VCP+다/EC

국토대장정을	국토대장정/NNG+을/JKO
공동주관한	공동주관하/VV+ㄴ/ETM
한국장애인연맹(DPI)의	한국/NNP+장애인연맹/NNG+(/SS+DPI/SL+)/SS+의/JKG
자료협조를	자료협조/NNG+를/JKO
받아	받/VV+아/EC
긴	길/VA+ㄴ/ETM
여정의	여정/NNG+의/JKG
이야기를	이야기/NNG+를/JKO
연재한다	연재하/VV+ㄴ다/EF

<편집자주>	</SS+편집자주/NNG+>/SS
23일	23/SN+일/NNB
영동에서	영동/NNP+에서/JKB
옥천	옥천/NNP
입성을	입성/NNG+을/JKO
위해	위하/VV+여/EC
달려가고	달려가/VV+고/EC
있는	있/VX+는/ETM
국토대장정	국토대장정/NNG
대원들	대원/NNG+들/XSN

ⓒ한국DPI	ⓒ/SL+한국/NNP+DPI/SL
8월	8/SN+월/NNB
23일,	23/SN+일/NNB+,/SP
작성자:	작성자/NNG+:/SP
이권희	이권희/NNP
(서울장애인인권포럼	(/SS+서울/NNP+장애인인권포럼/NNG
대표)	대표/NNG+)/SS
대원오전	대원오전/NNG
6시가	6/SN+시/NNB+가/JKS
조금	조금/MAG
넘자	넘/VV+자/EC
대원들이	대원/NNG+들/XSN+이/JKS
모두	모두/MAG
잠자리에서	잠자리/NNG+에서/JKB
일어났다	일어나/VV+았/EP+다/EF

일상처럼	일상/NNG+처럼/JKB
가볍게	가볍/VA+게/EC
세면을	세면/NNG+을/JKO
한	하/VV+ㄴ/ETM
후	후/NNG
개인	개인/NNG
짐들을	짐/NNG+들/XSN+을/JKO
챙겨	챙기/VV+어/EC
스텝차량에	스텝차량/NNG+에/JKB
옮겨	옮기/VV+어/EC
실었다	싣/VV+었/EP+다/EC

아침은	아침/NNG+은/JX
어제	어제/MAG
먹다	먹/VV+다/EC
남은	남/VV+은/ETM
올갱이국과	올갱이국/NNG+과/JC
컵라면으로	컵/NNG+이/VCP+라면/EC+으로/JKB
대신했다	대신하/VV+였/EP+다/EC

아침	아침/NNG
일찍	일찍/MAG
시작하는	시작하/VV+는/ETM
행군에	행군/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
부담감	부담감/NNG
때문인지	때문/NNB+이/VCP+ㄴ지/EC
다들	다/NNG+들/XSN
한	한/MM
그릇씩만	그릇/NNG+씩/XSN+만/JX
먹고,	먹/VV+고/EC+,/SP
숙소를	숙소/NNG+를/JKO
배려해준	배려하/VV+여/EC+주/VX+ㄴ/ETM
교회	교회/NNG
측을	측/NNB+을/JKO
생각해	생각하/VV+여/EC
청소도	청소/NNG+도/JX
신경	신경/NNG
썼다	쓰/VV+었/EP+다/EC

대원들을	대원/NNG+들/XSN+을/JKO
배려해	배려하/VV+여/EC
준	주/VX+ㄴ/ETM
영동교회	영동교회/NNP
장로님과	장로/NNP+님/XSN+과/JC
집사님께	집사/NNG+님/XSN+께/JKB
인사를	인사/NNG+를/JKO
건넨	건네/VV+ㄴ/ETM
후	후/NNG
바로	바로/MAG
목적지를	목적지/NNG+를/JKO
향해	향하/VV+여/EC
출발했다	출발하/VV+었/EP+다/EC

어제처럼	어제/NNG+처럼/JKB
폭우는	폭우/NNG+는/JX
아니지만	아니/VCN+지만/EC
부슬비가	부슬비/NNG+가/JKS
내리기	내리/VV+기/ETN
시작했고,	시작하/VV+였/EP+고/EC+,/SP
그	그/MM
빗줄기는	빗줄기/NNG+는/JX
하루	하루/NNG
종일	종일/NNG
계속됐다	계속되/VV+었/EP+다/EF

출발한	출발하/VV+ㄴ/ETM
지	지/NNB
1분도	1/SN+분/NNB+도/JX
채	채/MAG
되지	되/VV+지/EC
않은	않/VX+은/ETM
거리에	거리/NNG+에/JKB
급경사가	급경사/NNG+가/JKS
기다리고	기다리/VV+고/EC
있었다	있/VX+었/EP+다/EF

핸드싸이클을	핸드싸이클/NNG+을/JKO
비롯한	비롯하/VV+ㄴ/ETM
모든	모든/MM
대원이	대원/NNG+이/JKS
최선을	최선/NNG+을/JKO
다해	다하/VV+여/EC
고개를	고개/NNG+를/JKO
넘는데	넘/VV+는/ETM+데/NNB
성공했다	성공하/VV+였/EP+다/EC

평범한	평범하/VA+ㄴ/ETM
길이	길/NNG+이/JKS
기다리고	기다리/VV+고/EC
있는	있/VX+는/ETM
듯	듯/NNB
하더니	하/VV+더니/EC
얼마	얼마/NNG
지나지	지나/VV+지/EC
않아	않/VX+아/EC
그	그/MM
길이가	길이/NNG+가/JKS
1	1/SN

5킬로미터는	5/SN+킬로미터/NNB+는/JX
족히	족히/MAG
넘어	넘/VV+어/EC
보이는	보이/VV+는/ETM
고개가	고개/NNG+가/JKS
기다리고	기다리/VV+고/EC
있었다	있/VX+었/EP+다/EF

전동휠체어는	전동휠체어/NNG+는/JX
일정한	일정하/VA+ㄴ/ETM
속도를	속도/NNG+를/JKO
유지할	유지하/VV+ㄹ/ETM
수	수/NNB
있으나	있/VA+으나/EC
핸드싸이클은	핸드싸이클/NNG+은/JX
가속도를	가속도/NNG+를/JKO
이용해야	이용하/VV+여야/EC
오르막길을	오르막길/NNG+을/JKO
무난히	무난히/MAG
오를	오르/VV+ㄹ/ETM
수	수/NNB
있어	있/VA+어/EC
핸드싸이클을	핸드싸이클/NNG+을/JKO
이용하는	이용하/VV+는/ETM
대원들이	대원/NNG+들/XSN+이/JKS
속도를	속도/NNG+를/JKO
내기	내/VV+기/ETN
시작했다	시작하/VV+였/EP+다/EF

전동휠체어를	전동휠체어/NNG+를/JKO
이용하는	이용하/VV+는/ETM
대원들도	대원/NNG+들/XSN+도/JX
바로	바로/MAG
뒤따라	뒤따르/VV+아/EC
붙었다	붙/VV+었/EP+다/EC

그렇게	그렇/VA+게/EC
조금씩	조금씩/MAG
정상을	정상/NNG+을/JKO
향해	향하/VV+여/EC
전진,	전진/NNG+,/SP
약	약/MM
30분간의	30/SN+분/NNB+간/XSN+의/JKG
노력	노력/NNG
끝에	끝/NNG+에/JKB
모든	모든/MM
대원들이	대원/NNG+들/XSN+이/JKS
정상을	정상/NNG+을/JKO
넘었다	넘/VV+었/EP+다/EF

이제	이제/MAG
더	더/MAG
이상	이상/NNG
힘든	힘들/VA+ㄴ/ETM
고개는	고개/NNG+는/JX
없을	없/VA+을/ETM
것으로	것/NNB+으로/JKB
생각했지만	생각하/VV+였/EP+지만/EC
얼마	얼마/NNG
지나지	지나/VV+지/EC
않아	않/VX+아/EC
또	또/MAG
장거리의	장거리/NNG+의/JKG
고갯길이	고갯길/NNG+이/JKS
나타났다	나타나/VV+았/EP+다/EC

그렇게	그렇/VA+게/EC
20킬로미터를	20/SN+킬로미터/NNB+를/JKO
행군했는데	행군하/VV+였/EP+는데/EC
시간이	시간/NNG+이/JKS
오전	오전/NNG
11시	11/SN+시/NNB
30분이었다	30/SN+분/NNB+이/VCP+었/EP+다/EF

옥천장애인자립생활센터의	옥천/NNP+장애인자립생활센터/NNG+의/JKG
구간대원	구간대원/NNG
3명이	3/SN+명/NNB+이/JKS
합류했는데도	합류하/VV+였/EP+는데/EC+도/JX
불구하고	불구하/VV+고/EC
1시간	1/SN+시간/NNB
30분만에	30/SN+분만/NNB+에/JKB
오르막길을	오르막길/NNG+을/JKO
달렸다	달리/VV+었/EP+다/EF

평균	평균/NNG
행군속도가	행군속도/NNG+가/JKS
10킬로미터	10/SN+킬로미터/NNB
