아태장애인	아태장애인/NNG
자립생활	자립생활/NNG
선언문	선언문/NNG
채택	채택/NNG

2012아태장애인자립생활(AP	2012/SN+아태장애인자립생활/NNG+(/SS+AP/SL
NIL)대회	NIL/SL+)/SS+대회/NNG
12개	12/SN+개/NNB
회원국은	회원국/NNG+은/JX
26일	26/SN+일/NNB
오후	오후/NNG
인천	인천/NNP
송도컨벤시아에서	송도컨벤시아/NNP+에서/JKB
자립생활	자립생활/NNG
선언문을	선언문/NNG+을/JKO
채택해	채택하/VV+여/EC
발표했다	발표하/VV+였/EP+다/EC

이들은	이/NP+들/XSN+은/JX
자립생활	자립생활/NNG
선언문을	선언문/NNG+을/JKO
통해	통하/VV+여/EC
"장애인은	"/SS+장애인/NNG+은/JX
시혜와	시혜/NNG+와/JC
동정의	동정/NNG+의/JKG
대상에서	대상/NNG+에서/JKB
벗어나	벗어나/VV+아/EC
권리에	권리/NNG+에/JKB
기반한	기반/NNG+하/XSV+ㄴ/ETM
지역사회	지역사회/NNG
내에서의	내/NNB+에서/JKB+의/JKG
통합과	통합/NNG+과/JC
참여를	참여/NNG+를/JKO
삶의	삶/NNG+의/JKG
진정한	진정하/VA+ㄴ/ETM
가치로	가치/NNG+로/JKB
인정한다"고	인정하/VV+ㄴ다/EF+"/SS+고/JKQ
밝혔다	밝히/VV+었/EP+다/EC

또한	또한/MAG
가정이나	가정/NNG+이나/JC
시설에서	시설/NNG+에서/JKB
자기	자기/NP
결정권을	결정권/NNG+을/JKO
인정받지	인정받/VV+지/EC
못하고	못하/VX+고/EC
부담을	부담/NNG+을/JKO
주는	주/VV+는/ETM
존재에서	존재/NNG+에서/JKB
벗어나	벗어나/VV+아/EC
당당히	당당히/MAG
필요한	필요하/VA+ㄴ/ETM
서비스와	서비스/NNG+와/JC
환경을	환경/NNG+을/JKO
요구하며,	요구하/VV+며/EC+,/SP
자립생활을	자립생활/NNG+을/JKO
영위해	영위하/VV+여/EC
나갈	나가/VX+ㄹ/ETM
것이라고	것/NNB+이/VCP+라고/EC
선언했다	선언하/VV+였/EP+다/EF

이어	이어/MAG
자립생활에	자립생활/NNG+에/JKB
필요한	필요하/VA+ㄴ/ETM
주거와	주거/NNG+와/JC
소득보장을	소득보장/NNG+을/JKO
사회에	사회/NNG+에/JKB
요구하며,	요구하/VV+며/EC+,/SP
참여와	참여/NNG+와/JC
기여로써	기여/NNG+로써/JKB
장애인의	장애인/NNG+의/JKG
가치를	가치/NNG+를/JKO
인정해줄	인정하/VV+여/EC+주/VX+ㄹ/ETM
것을	것/NNB+을/JKO
요구했다	요구하/VV+었/EP+다/EC

특히	특히/MAG
장애인의	장애인/NNG+의/JKG
삶에	삶/NNG+에/JKB
영향을	영향/NNG+을/JKO
미치는	미치/VV+는/ETM
정책결정에	정책결정/NNG+에/JKB
있어	있/VA+어/EC
장애인의	장애인/NNG+의/JKG
결정권을	결정권/NNG+을/JKO
인정하고,	인정하/VV+고/EC+,/SP
장애인의	장애인/NNG+의/JKG
정책결정	정책결정/NNG
참여를	참여/NNG+를/JKO
촉구했다	촉구하/VV+였/EP+다/EC

이외에도	이외/NNG+에/JKB+도/JX
"각국은	"/SS+각국/NNG+은/JX
장애인	장애인/NNG
판정에서	판정/NNG+에서/JKB
의학적	의학적/NNG
판단만을	판단/NNG+만/JX+을/JKO
중시할	중시하/VV+ㄹ/ETM
것일	것/NNB+이/VCP+ㄹ/ETM
아니라	아니/VCN+라/EC
사회적	사회적/NNG
관점에서	관점/NNG+에서/JKB
개인이	개인/NNG+이/JKS
주체적으로	주체적/NNG+으로/JKB
자립생활을	자립생활/NNG+을/JKO
영위할	영위하/VV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
질를	지르/VV+ㄹ/ETM
판단기준으로	판단기준/NNG+으로/JKB
삼아야	삼/VV+아야/EC
할것"이라고	하/VX+ㄹ/ETM+것/NNB+"/SS+이라고/JKQ
지적했다	지적하/VV+였/EP+다/EF

한편	한편/MAG
이들은	이/NP+들/XSN+은/JX
자립생활의	자립생활/NNG+의/JKG
지속과	지속/NNG+과/JC
증진,	증진/NNG+,/SP
자립생활	자립생활/NNG
철학의	철학/NNG+의/JKG
확산을	확산/NNG+을/JKO
보장하기	보장하/VV+기/ETN
위한	위하/VV+ㄴ/ETM
인천자립생활행동계획도	인천/NNP+자립생활행동계획/NNG+도/JX
채택,	채택/NNG+,/SP
아태지역	아태/NNP+지역/NNG
국가들이	국가/NNG+들/XSN+이/JKS
행동계획에	행동계획/NNG+에/JKB
동참할	동참하/VV+ㄹ/ETM
것을	것/NNB+을/JKO
촉구했다	촉구하/VV+였/EP+다/EC

이들	이/NP+들/XSN
행동계획에는	행동계획/NNG+에/JKB+는/JX
장애인자립생활센터와	장애인자립생활센터/NNG+와/JC
인권옹호센터	인권옹호센터/NNG
등의	등/NNB+의/JKG
운영	운영/NNG
지원,	지원/NNG+,/SP
자립생활	자립생활/NNG
철학을	철학/NNG+을/JKO
진전시키기	진전/NNG+시키/XSV+기/ETN
위한	위하/VV+ㄴ/ETM
대중매체	대중매체/NNG
활용	활용/NNG
등	등/NNB
총	총/MM
12가지	12/SN+가지/NNB
내용이	내용/NNG+이/JKS
담겨있다	담기/VV+어/EC+있/VX+다/EF

2012아태장애인자립생활대회	2012/SN+아태장애인자립생활대회/NNG
기념촬영	기념촬영/NNG
모습	모습/NNG

ⓒ한국장애인연맹	ⓒ/SL+한국/NNP+장애인연맹/NNG
