장애인들,	장애인/NNG+들/XSN+,/SP
"활동지원	"/SS+활동지원/NNG
예산	예산/NNG
확보"	확보/NNG+"/SS
촉구	촉구/NNG

전국장애인차별철폐연대와	전/MM+국장애인차별철폐연대/NNG+와/JC
야당	야당/NNG
국회의원들이	국회의원/NNG+들/XSN+이/JKS
3일	3/SN+일/NNB
오전	오전/NNG
국회	국회/NNG
정론관에서	정론관/NNG+에서/JKB
기자회견을	기자회견/NNG+을/JKO
갖고	갖/VV+고/EC
‘장애인활동지원	‘/SN+장애인활동지원/NNG
예산	예산/NNG
확보’를	확보/NNG+’/SL+를/JKO
촉구하고	촉구하/VV+고/EC
나섰다	나서/VV+었/EP+다/EF

이는	이/NP+는/JX
지난달	지난달/NNG
20일	20/SN+일/NNB
국회	국회/NNG
보건복지위원회	보건복지위원회/NNG
전체회의에서	전체회의/NNG+에서/JKB
2012년	2012/SN+년/NNB
예산보다	예산/NNG+보다/JKB
1500억원	1500/SN+억/NR+원/NNB
증액돼	증액되/VV+어/EC
예산결산특별위원회에	예산결산특별위원회/NNG+에/JKB
상정된	상정되/VV+ㄴ/ETM
2013년	2013/SN+년/NNB
활동지원	활동지원/NNG
예산안(4700억원)이	예산안/NNG+(/SS+4700/SN+억/NR+원/NNB+)/SS+이/JKS
원안대로	원안/NNG+대로/JX
통과되길	통과되/VV+기/ETN+ㄹ/JKO
바라는	바라/VV+는/ETM
마음에서다	마음/NNG+에서/JKB+다/JX

이날	이날/NNG
진보정의당	진보정의당/NNP
박원석	박원석/NNP
국회의원은	국회의원/NNG+은/JX
“고	“/SN+고/NNG
김주영씨는	김주영/NNP+씨/NNB+는/JX
24시간	24/SN+시간/NNB
활동지원이	활동지원/NNG+이/JKS
시행됐다면	시행되/VV+었/EP+다면/EC
안타까운	안타깝/VA+ㄴ/ETM
사고는	사고/NNG+는/JX
없었을	없/VA+었/EP+을/ETM
것”이라고	것/NNB+”/SL+이/VCP+라고/EC
토로했다	토로하/VV+였/EP+다/EF

이어	이어/MAG
“정부의	“/SN+정부/NNG+의/JKG
활동보조는	활동보조/NNG+는/JX
반쪽	반쪽/NNG
제도로	제도/NNG+로/JKB
최중증장애만	최/XPN+중증장애/NNG+만/JX
하루에	하루/NNG+에/JKB
6시간	6/SN+시간/NNB
사용하는데	사용하/VV+는/ETM+데/NNB
그치고	그치/VV+고/EC
있다	있/VX+다/EC

그렇다보니	그렇/VA+다/EC+보/VX+니/EC
신청한	신청하/VV+ㄴ/ETM
사람이	사람/NNG+이/JKS
없어	없/VA+어/EC
불용액이	불용액/NNG+이/JKS
발생하고	발생하/VV+고/EC
있다	있/VX+다/EC

선진국들은	선진국/NNG+들/XSN+은/JX
이미	이미/MAG
제한	제한/NNG
없이	없이/MAG
