"서울	"/SS+서울/NNP
입성	입성/NNG
D-2,	D/SL+-/SO+2/SN+,/SP
더욱	더욱/MAG
고삐	고삐/NNG
당기자"	당기자/NNG+"/SS

지난	지나/VV+ㄴ/ETM
8월	8/SN+월/NNB
13일	13/SN+일/NNB
반시설과	반시설/NNG+과/JC
장애인자립생활보장법	장애인자립생활보장법/NNG
제정을	제정/NNG+을/JKO
촉구하기	촉구하/VV+기/ETN
위해	위하/VV+여/EC
9명의	9/SN+명/NNB+의/JKG
장애인이	장애인/NNG+이/JKS
‘국토대장정’을	‘/SL+국토대장정’/NNG+을/JKO
시작했다	시작하/VV+였/EP+다/EF

이들은	이/NP+들/XSN+은/JX
23일간	23/SN+일/NNB+간/XSN
부산을	부산/NNP+을/JKO
시작으로	시작/NNG+으로/JKB
창원,	창원/NNP+,/SP
울산,	울산/NNP+,/SP
대구,	대구/NNP+,/SP
대전,	대전/NNP+,/SP
인천	인천/NNP
등을	등/NNB+을/JKO
거쳐	거치/VV+어/EC
오는	오/VV+는/ETM
9월	9/SN+월/NNB
4일	4/SN+일/NNB
서울에	서울/NNP+에/JKB
입성하게	입성하/VV+게/EC
된다	되/VV+ㄴ다/EF

전국을	전국/NNG+을/JKO
돌며	돌/VV+며/EC
장애인	장애인/NNG
시설의	시설/NNG+의/JKG
문제점과	문제점/NNG+과/JC
인권침해·유린	인권침해/NNG+·/SP+유린/NNG
등의	등/NNB+의/JKG
현실과	현실/NNG+과/JC
장애인	장애인/NNG
자립생활	자립생활/NNG
지원을	지원/NNG+을/JKO
위한	위하/VV+ㄴ/ETM
‘장애인자립생활보장법	‘/SL+장애인자립생활보장법/NNG
제정’의	제정/NNG+’/SL+의/JKG
필요성을	필요성/NNG+을/JKO
알릴	알리/VV+ㄹ/ETM
예정이다	예정/NNG+이/VCP+다/EC

국토대장정을	국토대장정/NNG+을/JKO
공동주관한	공동주관하/VV+ㄴ/ETM
한국장애인연맹(DPI)의	한국/NNP+장애인연맹/NNG+(/SS+DPI/SL+)/SS+의/JKG
자료협조를	자료협조/NNG+를/JKO
받아	받/VV+아/EC
긴	길/VA+ㄴ/ETM
여정의	여정/NNG+의/JKG
이야기를	이야기/NNG+를/JKO
연재한다	연재하/VV+ㄴ다/EF

<편집자주>	</SS+편집자주/NNG+>/SS
지난	지나/VV+ㄴ/ETM
2일	2/SN+일/NNB
국토대장정	국토대장정/NNG
대원들이	대원/NNG+들/XSN+이/JKS
인천을	인천/NNP+을/JKO
향해	향하/VV+여/EC
행군하는	행군하/VV+는/ETM
모습	모습/NNG

ⓒ한국DPI	ⓒ/SL+한국/NNP+DPI/SL
9월	9/SN+월/NNB
1일,	1/SN+일/NNB+,/SP
작성자:	작성자/NNG+:/SP
이권희(서울장애인인권포럼	이권희/NNP+(/SS+서울/NNP+장애인인권포럼/NNG
대표)	대표/NNG+)/SS
대원김밥으로	대원김밥/NNG+으로/JKB
아침을	아침/NNG+을/JKO
해결한	해결하/VV+ㄴ/ETM
다음	다음/NNG
15명의	15/SN+명/NNB+의/JKG
경자연	경자연/NNP
구간대원과	구간대원/NNG+과/JC
서울지역	서울/NNP+지역/NNG
구간대원	구간대원/NNG
1명,	1/SN+명/NNB+,/SP
스텝	스텝/NNG
겸	겸/NNB
활동보조인	활동보조/NNG+이/VCP+ㄴ/ETM
1인	1/SN+인/NNG
등	등/NNB
총	총/MM
17명의	17/SN+명/NNB+의/JKG
추가대원이	추가대원/NNG+이/JKS
대열에	대열/NNG+에/JKB
합류한	합류하/VV+ㄴ/ETM
채	채/NNB
오늘의	오늘/NNG+의/JKG
목적지인	목적지/NNG+이/VCP+ㄴ/ETM
안산을	안산/NNP+을/JKO
향해	향하/VV+여/EC
행군을	행군/NNG+을/JKO
시작했다	시작하/VV+였/EP+다/EF

토요일이기도	토요일/NNG+이/VCP+기/ETN+도/JX
하고	하/VX+고/EC
아침	아침/NNG
이른	이르/VA+ㄴ/ETM
시간이라	시간/NNG+이/VCP+라/EC
거리가	거리/NNG+가/JKS
한산할	한산하/VA+ㄹ/ETM
것으로	것/NNB+으로/JKB
예상했으나,	예상하/VV+였/EP+으나/EC+,/SP
의외로	의외로/MAG
많았고,	많/VA+았/EP+고/EC+,/SP
버스를	버스/NNG+를/JKO
이용하기	이용하/VV+기/ETN
위해	위하/VV+여/EC
정류장에도	정류장/NNG+에/JKB+도/JX
시민들이	시민/NNG+들/XSN+이/JKS
많이	많이/MAG
있었다	있/VA+었/EP+다/EF

모두들	모두/NNG+들/XSN
신기해하면서도	신기하/VA+여/EC+하/VX+면서/EC+도/JX
가끔씩	가끔/MAG+씩/XSN
응원을	응원/NNG+을/JKO
보태주는	보태/VV+어/EC+주/VX+는/ETM
시민들이	시민/NNG+들/XSN+이/JKS
적잖이	적잖이/MAG
많았다	많/VA+았/EP+다/EC

그러나	그러나/MAJ
대열은	대열/NNG+은/JX
얼마가지	얼마/NNG+가/VV+지/EC
못해	못하/VX+여/EC
뭔가	뭐/NP+이/VCP+ㄴ가/EC
이상하다는	이상하/VA+다는/ETM
느낌을	느낌/NNG+을/JKO
받았는데	받/VV+았/EP+는데/EC
속도가	속도/NNG+가/JKS
너무	너무/MAG
나지	나/VV+지/EC
않는	않/VX+는/ETM
것이었다	것/NNB+이/VCP+었/EP+다/EF

길이	길/NNG+이/JKS
그렇게	그렇/VA+게/EC
험하지도	험하/VA+지/EC+도/JX
않는데도	않/VX+는데/EC+도/JX
불구하고	불구하/VV+고/EC
속도가	속도/NNG+가/JKS
느려지는	느려지/VV+는/ETM
것은	것/NNB+은/JX
밤새	밤새/NNG
충전에	충전/NNG+에/JKB
문제가	문제/NNG+가/JKS
생겨서	생기/VV+어서/EC
오전에	오전/NNG+에/JKB
방전되는	방전되/VV+는/ETM
경우와	경우/NNG+와/JC
완충은	완충/NNG+은/JX
되었으나	되/VV+었/EP+으나/EC
전동휠체어	전동휠체어/NNG
기종이	기종/NNG+이/JKS
좋지	좋/VA+지/EC
않아	않/VX+아/EC
기본속도가	기본속도/NNG+가/JKS
너무	너무/MAG
느린	느리/VA+ㄴ/ETM
경우였다	경우/NNG+이/VCP+었/EP+다/EF

나중에	나중/NNG+에/JKB
알게	알/VV+게/EC
된	되/VV+ㄴ/ETM
사실인데	사실/NNG+이/VCP+ㄴ데/EC
대열	대열/NNG
중에	중/NNB+에/JKB
모업체	모/MM+업체/NNG
A기종이	A/SL+기종/NNG+이/JKS
있었기	있/VA+었/EP+기/ETN
때문이었다	때문/NNB+이/VCP+었/EP+다/EF

본대원들만	본대원/NNG+들/XSN+만/JX
행군할	행군하/VV+ㄹ/ETM
경우	경우/NNG
1시간당	1/SN+시간/NNB+당/XSN
약	약/MM
12~13킬로미터	12/SN+~/SO+13/SN+킬/NNB+로미터/JKB
행군이	행군/NNG+이/JKS
가능하였으나,	가능하/VA+였/EP+으나/EC+,/SP
