美	美/SL
활동보조업무	활동보조업무/NNG
국내보다	국내/NNG+보다/JKB
세분화·전문적	세분화/NNG+·/SP+전문/NNG+적/XSN

'2012	'/SS+2012/SN
장애청년드림팀	장애청년드림팀/NNG
6대륙에	6/SN+대륙/NNG+에/JKB
도전하다'의	도전하/VV+다/EF+'/SS+의/JKG
북미대륙	북미/NNP+대륙/NNG
연수에	연수/NNG+에/JKB
나서는	나서/VV+는/ETM
‘Indy팀’이	‘Indy/SL+팀/NNG+’/SN+이/JKS
최근	최근/NNG
서울	서울/NNP
양재동에서	양재동/NNP+에서/JKB
중증장애인자립생활지원연구소	중증장애인자립생활지원연구소/NNG
고관철	고관철/NNG
소장과	소장/NNG+과/JC
만남을	만남/NNG+을/JKO
가졌다	가지/VV+었/EP+다/EC

고	고/MM
소장은	소장/NNG+은/JX
오는	오/VV+는/ETM
7월	7/SN+월/NNB
중순경에	중순/NNG+경/XSN+에/JKB
캔자스	캔자스/NNP
주립대학교	주립대학교/NNG
교환교수로	교환교수/NNG+로/JKB
약	약/MM
6개월	6/SN+개월/NNB
동안	동안/NNG
체류할	체류하/VV+ㄹ/ETM
예정이다	예정/NNG+이/VCP+다/EC

인사를	인사/NNG+를/JKO
나눈	나누/VV+ㄴ/ETM
뒤	뒤/NNG
Indy팀은	Indy/SL+팀/NNG+은/JX
8월	8/SN+월/NNB
26일부터	26/SN+일/NNB+부터/JX
9월	9/SN+월/NNB
4일까지	4/SN+일/NNB+까지/JX
'미국	'/SS+미국/NNP
장애인자립생활센터	장애인자립생활센터/NNG
체험'이라는	체험/NNG+'/SS+이/VCP+라는/ETM
주제로	주제/NNG+로/JKB
떠나는	떠나/VV+는/ETM
미국	미국/NNP
연수에	연수/NNG+에/JKB
대해	대하/VV+여/EC
간략히	간략히/MAG
소개했다	소개하/VV+였/EP+다/EC

이어	이어/MAG
미국	미국/NNP
장애인자립생활센터와	장애인자립생활센터/NNG+와/JC
국내는	국내/NNG+는/JX
어떻게	어떻/VA+게/EC
다른지	다르/VA+ㄴ지/EC
질문했다	질문하/VV+였/EP+다/EF

고	고/MM
소장은	소장/NNG+은/JX
"미국에는	"/SS+미국/NNP+에/JKB+는/JX
600여개보다	600/SN+여/XSN+개/NNB+보다/JKB
훨씬	훨씬/MAG
많은	많/VA+은/ETM
수의	수/NNG+의/JKG
자립생활센터가	자립생활센터/NNG+가/JKS
있는	있/VA+는/ETM
것으로	것/NNB+으로/JKB
추정되며	추정되/VV+며/EC
크게	크/VA+게/EC
두개의	두/MM+개/NNB+의/JKG
연합체로	연합체/NNG+로/JKB
양분되는데,	양분되/VV+는데/EC+,/SP
하나는	하나/NNG+는/JX
전미자립생활협의회(이하	전미자립생활협의회/NNP+(/SS+이하/NNG
NCIL)와	NCIL/SL+)/SS+와/JC
비도시지역	비/XPN+도시지역/NNG
자립생활을	자립생활/NNG+을/JKO
위한	위하/VV+ㄴ/ETM
공동계획(이하	공동계획/NNG+(/SS+이하/NNG
APRIL)이	APRIL/SL+)/SS+이/JKS
있다"면서	있/VA+다/EF+"/SS+면서/EC
"전자는	"/SS+전자/NNG+는/JX
도시지역을	도시지역/NNG+을/JKO
기반으로	기반/NNG+으로/JKB
한	하/VV+ㄴ/ETM
센터연합체이고	센터연합체/NNG+이/VCP+고/EC
후자는	후자/NNG+는/JX
도시가	도시/NNG+가/JKC
아닌	아니/VCN+ㄴ/ETM
시골지역의	시골지역/NNG+의/JKG
센터연합체다	센터연합체/NNG+이/VCP+다/EF

두	두/MM
연합체에	연합체/NNG+에/JKB
소속되지	소속되/VV+지/EC
않은	않/VX+은/ETM
무소속	무소속/NNG
자립생활센터도	자립생활센터/NNG+도/JX
다소	다소/MAG
있을	있/VA+을/ETM
것"이라고	것/NNB+"/SS+이라고/JKQ
설명했다	설명하/VV+었/EP+다/EC

또한	또한/MAG
"우리나라는	"/SS+우리나라/NNG+는/JX
대도시	대도시/NNG
위주로	위주/NNG+로/JKB
자립생활센터로	자립생활센터/NNG+로/JKB
구성되어	구성되/VV+어/EC
있으며	있/VX+으며/EC
시골지역에서는	시골지역/NNG+에서/JKB+는/JX
초창기	초창기/NNG
수준이다	수준/NNG+이/VCP+다/EC

대도시	대도시/NNG
위주로	위주/NNG+로/JKB
장애인들의	장애인/NNG+들/XSN+의/JKG
생활공간이	생활공간/NNG+이/JKC
형성되어	형성되/VV+어/EC
있다	있/VX+다/EC

미국도	미국/NNP+도/JX
대도시	대도시/NNG
위주로	위주/NNG+로/JKB
자립생활센터가	자립생활센터/NNG+가/JKS
설립되었고	설립되/VV+었/EP+고/EC
일본도	일본/NNP+도/JX
마찬가지이다	마찬가지/NNG+이/VCP+다/EC

그러나	그러나/MAJ
점차	점차/MAG
도시지역이	도시지역/NNG+이/JKS
아닌	아니/VCN+ㄴ/ETM
다른	다른/MM
지역에서도	지역/NNG+에서/JKB+도/JX
점차	점차/MAG
자립생활운동이	자립생활운동/NNG+이/JKS
퍼져	퍼지/VV+어/EC
나가	나가/VX+아/EC
시골지역까지도	시골지역/NNG+까지도/JX
장애인들의	장애인/NNG+들/XSN+의/JKG
권익을	권익/NNG+을/JKO
찾고	찾/VV+고/EC
있는	있/VX+는/ETM
중이며	중/NNB+이/VCP+며/EC
우리보다	우리/NP+보다/JKB
더	더/MAG
나은	낫/VA+은/ETM
편"이라고	편/NNB+"/SS+이라고/JKQ
덧붙였다	덧붙이/VV+었/EP+다/EF

'Indy'팀은	'/SS+Indy/SL+'/SS+팀/NNG+은/JX
일부	일부/NNG
국내	국내/NNG
자립생활센터의	자립생활센터/NNG+의/JKG
재정난에	재정난/NNG+에/JKB
대해	대하/VV+여/EC
언급하면서	언급하/VV+면서/EC
미국은	미국/NNP+은/JX
상황이	상황/NNG+이/JKS
어떤지	어떻/VA+ㄴ지/EC
물었다	묻/VV+었/EP+다/EF

고	고/MM
소장은	소장/NNG+은/JX
"미국은	"/SS+미국/NNP+은/JX
국내보다	국내/NNG+보다/JKB
연방정부,	연방정부/NNG+,/SP
주나	주/NNG+나/JC
자치정부의	자치정부/NNG+의/JKG
지원,	지원/NNG+,/SP
법인,	법인/NNG+,/SP
재단,	재단/NNG+,/SP
기업체,	기업체/NNG+,/SP
개인들의	개인/NNG+들/XSN+의/JKG
후원이	후원/NNG+이/JKS
많은	많/VA+은/ETM
편이라	편/NNB+이/VCP+라/EC
재정	재정/NNG
상황은	상황/NNG+은/JX
더	더/MAG
나은	낫/VA+은/ETM
것을	것/NNB+을/JKO
사실이지만,	사실/NNG+이/VCP+지만/EC+,/SP
그들도	그/NP+들/XSN+도/JX
수익이	수익/NNG+이/JKS
