앞으로	앞/NNG+으로/JKB
갈길	갈긷/VV
먼	멀/VA+ㄴ/ETM
'장애인활동지원제도'	'/SS+장애인활동지원제도/NNG+'/SS

이제	이제/MAG
장애인에게	장애인/NNG+에게/JKB
일상생활이란	일상생활/NNG+이란/JX
‘활동보조인’을	‘/SN+활동보조인/NNG+’/SL+을/JKO
빼놓고	빼놓/VV+고/EC
말할	말하/VV+ㄹ/ETM
수	수/NNB
없게	없/VA+게/EC
됐다	되/VV+었/EP+다/EC

최근	최근/NNG
보건복지부가	보건복지부/NNG+가/JKS
발표한	발표하/VV+ㄴ/ETM
'2011년	'/SS+2011/SN+년/NNB
장애인실태조사'를	장애인실태조사/NNG+'/SS+를/JKO
보더라도	보/VV+더라도/EC
알	알/VV+ㄹ/ETM
수	수/NNB
있다	있/VA+다/EF

실태조사	실태조사/NNG
결과	결과/NNG
일상생활에서	일상생활/NNG+에서/JKB
장애인	장애인/NNG
활동보조인	활동보조인/NNG
등이	등/NNB+이/JKS
도움을	도움/NNG+을/JKO
주는	주/VV+는/ETM
비율이	비율/NNG+이/JKS
2008년	2008/SN+년/NNB
3%에서	3/SN+%/SW+에서/JKB
지난해	지난해/NNG
10	10/SN

8%로	8/SN+%/SW+로/JKB
3배	3/SN+배/NNG
이상	이상/NNG
증가했다	증가하/VV+였/EP+다/EC

이는	이/NP+는/JX
자립생활	자립생활/NNG
및	및/MAG
가족의	가족/NNG+의/JKG
부양부담	부양부담/NNG
경감을	경감/NNG+을/JKO
위해	위하/VV+여/EC
도입된	도입되/VV+ㄴ/ETM
‘활동보조서비스’가	‘/SN+활동보조서비스/NNG+’/SL+가/JKS
‘활동지원제도’로	‘/SN+활동지원제도’/NNG+로/JKB
인해	인하/VV+여/EC
대폭	대폭/MAG
확대된	확대되/VV+ㄴ/ETM
것이라고	것/NNB+이/VCP+라고/EC
보고	보/VV+고/EC
있다	있/VX+다/EC

필요성이	필요성/NNG+이/JKS
두드러지는	두드러지/VV+는/ETM
만큼	만큼/NNB
장애인	장애인/NNG
당사자의	당사자/NNG+의/JKG
요구들도	요구/NNG+들/XSN+도/JX
끊임없이	끊임없이/MAG
나오고	나오/VV+고/EC
있다	있/VX+다/EC

뿐만	뿐/NNB+만/JX
아니라	아니/VCN+라/EC
장애인단체에서도	장애인단체/NNG+에서/JKB+도/JX
토론회	토론회/NNG
등을	등/NNB+을/JKO
통해	통하/VV+여/EC
문제점을	문제점/NNG+을/JKO
지적하며,	지적하/VV+며/EC+,/SP
개선의	개선/NNG+의/JKG
목소리를	목소리/NNG+를/JKO
높여왔다	높이/VV+어/EC+오/VX+았/EP+다/EF

한국장애인단체총연합회가	한국장애인단체총연합회/NNP+가/JKS
30일	30/SN+일/NNB
이룸센터	이룸센터/NNG
이룸홀에서	이룸홀/NNP+에서/JKB
‘활동지원제도!	‘/SN+활동지원제도/NNG+!/SF
한	한/MM
목소리를	목소리/NNG+를/JKO
담다!’	담/VV+다/EF+!/SF+’/SL
주제	주제/NNG
아래	아래/NNG
‘활동보조	‘/SN+활동보조/NNG
이용	이용/NNG
장애인과	장애인/NNG+과/JC
활동보조인	활동보조/NNG+이/VCP+ㄴ/ETM
초청	초청/NNG
간담회’를	간담회’/NNG+를/JKO
개최했다	개최하/VV+였/EP+다/EC

이날	이날/NNG
국민연금공단	국민연금공단/NNG
장애인지원실의	장애인지원실/NNG+의/JKG
김재영	김재영/NNP
연구위원이	연구위원/NNG+이/JKS
참석해	참석하/VV+여/EC
현	현/MM
‘활동지원제도’에	‘활동지원제도’/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
문제점들을	문제점/NNG+들/XSN+을/JKO
지적하며,	지적하/VV+며/EC+,/SP
보완	보완/NNG
방향에	방향/NNG+에/JKB
대해	대하/VV+여/EC
설명했다	설명하/VV+었/EP+다/EC

■대상	■/SW+대상/NNG
확대=현재	확대/NNG+=/SW+현재/MAG
활동지원제도는	활동지원제도/NNG+는/JX
만	만/MM
6세	6/SN+세/NNB
이상	이상/NNG
만	만/MM
65세	65/SN+세/NNB
미만의	미만/NNG+의/JKG
장애인복지법상	장애인복지법/NNG+상/XSN
1급	1/SN+급/NNG
장애인만을	장애인/NNG+만/JX+을/JKO
대상으로	대상/NNG+으로/JKB
한다	하/VV+ㄴ다/EF

김재영	김재영/NNP
연구위원은	연구위원/NNG+은/JX
“현재	“/SL+현재/MAG
활동보조는	활동보조/NNG+는/JX
1급	1/SN+급/NNG
장애인이	장애인/NNG+이/JKS
등급인정조사를	등급인정조사/NNG+를/JKO
받고,	받/VV+고/EC+,/SP
서비스	서비스/NNG
결정	결정/NNG
및	및/MAG
제공하는	제공하/VV+는/ETM
형태로	형태/NNG+로/JKB
진행되고	진행되/VV+고/EC
있다”면서	있/VX+다/EC+”/VV+면서/EC
“장애인에게	“/SL+장애인/NNG+에게/JKB
활동보조는	활동보조/NNG+는/JX
기본권이고	기본권/NNG+이/VCP+고/EC
보편적으로	보편적/NNG+으로/JKB
인정되어야	인정되/VV+어야/EC
할	하/VX+ㄹ/ETM
부분임에도	부분/NNG+이/VCP+ㅁ에도/EC
불구하고,	불구하/VV+고/EC+,/SP
1급으로	1/SN+급/NNG+으로/JKB
정하는	정하/VV+는/ETM
건	것/NNB+ㄴ/JX
옳지	옳/VA+지/EC
않다”고	않/VX+다/EC+”/VV+고/EC
지적했다	지적하/VV+였/EP+다/EF

이어	이어/MAG
“판정기준에	“/SL+판정기준/NNG+에/JKB
장애	장애/NNG
특성,	특성/NNG+,/SP
인정조사표가	인정조사표/NNG+가/JKS
구성되어	구성되/VV+어/EC
있지만	있/VX+지만/EC
발달장애의	발달장애/NNG+의/JKG
경우	경우/NNG
그	그/MM
기준에서	기준/NNG+에서/JKB
다른	다르/VA+ㄴ/ETM
장애에	장애/NNG+에/JKB
비해	비하/VV+여/EC
불이익	불이익/NNG
받고	받/VV+고/EC
있다”며	있/VX+다/EC+”/VV+며/EC
“이러한	“/SW+이러하/VA+ㄴ/ETM
상황들을	상황/NNG+들/XSN+을/JKO
고려해서	고려하/VV+여서/EC
보완할	보완하/VV+ㄹ/ETM
필요	필요/NNG
있다고	있/VA+다고/EC
생각한다”고	생각하/VV+ㄴ다”고/EC
설명했다	설명하/VV+었/EP+다/EC

■급여량	■/SW+급여량/NNG
확대	확대/NNG
및	및/MAG
추가시간	추가시간/NNG
필요	필요/NNG
=김	=/SW+김/NNP
연구위원에	연구위원/NNG+에/JKB
따르면	따르/VV+면/EC
활동보조에서	활동보조/NNG+에서/JKB
추가급여는	추가급여/NNG+는/JX
최중증가구만	최/XPN+중증가구/NNG+만/JX
해당되고,	해당되/VV+고/EC+,/SP
현재	현재/MAG
장애아동의	장애아동/NNG+의/JKG
경우	경우/NNG
성인의	성인/NNG+의/JKG
50%에	50/SN+%/SW+에/JKB
해당되는	해당되/VV+는/ETM
급여량을	급여량/NNG+을/JKO
지원하고	지원하/VV+고/EC
있다	있/VX+다/EC

김	김/NNP
위원은	위원/NNG+은/JX
“장애아동은	“/SL+장애아동/NNG+은/JX
특수학교나	특수학교/NNG+나/JC
특수학급에서	특수학급/NNG+에서/JKB
교육적	교육적/NNG
서비스와	서비스/NNG+와/JC
재활치료를	재활치료/NNG+를/JKO
받는	받/VV+는/ETM
등	등/NNB
여러	여러/MM
곳에서	곳/NNG+에서/JKB
서비스를	서비스/NNG+를/JKO
받고	받/VV+고/EC
있다”며	있/VX+다/EC+”/VV+며/EC
“혼자	“/SW+혼자/NNG
이동이	이동/NNG+이/JKS
불가능해	불가능하/VA+여/EC
부모에게	부모/NNG+에게/JKB
도움을	도움/NNG+을/JKO
받아야	받/VV+아야/EC
하는	하/VX+는/ETM
상황	상황/NNG
등을	등/NNB+을/JKO
고려해서	고려하/VV+여서/EC
아동을	아동/NNG+을/JKO
성인의	성인/NNG+의/JKG
50%로	50/SN+%/SW+로/JKB
제한하는	제한하/VV+는/ETM
것보다	것/NNB+보다/JKB
유연성	유연성/NNG
있게	있/VA+게/EC
해야	하/VX+여야/EC
보다	보다/MAG
나은	낫/VA+은/ETM
서비스가	서비스/NNG+가/JKC
될	되/VV+ㄹ/ETM
것”이라고	것/NNB+”/SL+이/VCP+라고/EC
강조했다	강조하/VV+였/EP+다/EC

또한	또한/MAG
김	김/NNP
위원은	위원/NNG+은/JX
긴급한	긴급하/VA+ㄴ/ETM
지원을	지원/NNG+을/JKO
받아야	받/VV+아야/EC
하는	하/VX+는/ETM
상황을	상황/NNG+을/JKO
대비해	대비하/VV+여/EC
추가시간(급여)을	추가시간/NNG+(/SS+급여/NNG+)/SS+을/JKO
배정할	배정하/VV+ㄹ/ETM
필요성이	필요성/NNG+이/JKS
있다고	있/VA+다고/EC
언급했다	언급하/VV+였/EP+다/EF

김	김/NNP
위원은	위원/NNG+은/JX
“가족이	“/SL+가족/NNG+이/JKS
급히	급히/MAG
병원에	병원/NNG+에/JKB
입원하거나	입원하/VV+거나/EC
긴급한	긴급하/VA+ㄴ/ETM
상황이	상황/NNG+이/JKS
발생하기	발생하/VV+기/ETN
마련이다	마련/NNB+이/VCP+다/EC

이러한	이러하/VA+ㄴ/ETM
상황에서	상황/NNG+에서/JKB
추가시간	추가시간/NNG
배정할	배정하/VV+ㄹ/ETM
필요성	필요성/NNG
있어	있/VA+어/EC
추가급여	추가급여/NNG
유무에	유무/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
고려도	고려/NNG+도/JX
필요하다”고	필요하/VA+다/EC+”/VV+고/EC
덧붙였다	덧붙이/VV+었/EP+다/EF

■활동보조인	■/SW+활동보조/NNG+이/VCP+ㄴ/ETM
처우	처우/NNG
개선=특히	개선/NNG+=/SW+특히/MAG
김	김/NNP
위원은	위원/NNG+은/JX
장애인	장애인/NNG
당사자가	당사자/NNG+가/JKS
활동보조인으로부터	활동보조인/NNG+으로부터/JKB
양적인	양적/NNG+이/VCP+ㄴ/ETM
서비스	서비스/NNG
받기	받/VV+기/ETN
위해서	위하/VV+여서/EC
활동보조인의	활동보조인/NNG+의/JKG
처우와	처우/NNG+와/JC
임금이	임금/NNG+이/JKS
보장되어야	보장되/VV+어야/EC
한다고	하/VX+ㄴ다고/EC
목소리를	목소리/NNG+를/JKO
높였다	높이/VV+었/EP+다/EF

김	김/NNP
위원은	위원/NNG+은/JX
“현재	“/SL+현재/MAG
활동보조인은	활동보조인/NNG+은/JX
시간당	시간/NNG+당/XSN
6300원을	6300/SN+원/NNB+을/JKO
받고	받/VV+고/EC
있다	있/VX+다/EC

이건	이그것/NP+ㄴ/JX
아르바이트	아르바이트/NNG
수준에	수준/NNG+에/JKB
불과한	불과하/VA+ㄴ/ETM
임금이다	임금/NNG+이/VCP+다/EC

이	이/NP
또한	또한/MAG
일정하지	일정하/VA+지/EC
않다”며	않/VX+다/EC+”/VV+며/EC
“활동보조인의	“/SN+활동보조인/NNG+의/JKG
경우	경우/NNG
노동의	노동/NNG+의/JKG
기본권	기본권/NNG
보장도	보장/NNG+도/JX
받을	받/VV+을/ETM
수	수/NNB
없고,	없/VA+고/EC+,/SP
아르바이트	아르바이트/NNG
형식으로	형식/NNG+으로/JKB
서비스가	서비스/NNG+가/JKS
제공되는	제공되/VV+는/ETM
측면이	측면/NNG+이/JKS
강하다”고	강하/VA+다”고/EC
지적했다	지적하/VV+였/EP+다/EF

김	김/NNP
위원은	위원/NNG+은/JX
또한	또한/MAG
“중증장애인에게	“/SL+중증장애인/NNG+에게/JKB
질	질/NNG
높은	높/VA+은/ETM
서비스를	서비스/NNG+를/JKO
하기	하/VV+기/ETN
위해서는	위하/VV+여서/EC+는/JX
활동보조인에	활동보조인/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
질도	질/NNG+도/JX
같이	같이/MAG
보장되어야	보장되/VV+어야/EC
할	하/VX+ㄹ/ETM
문제”라고	문제”/NNG+이/VCP+라고/EC
덧붙였다	덧붙이/VV+었/EP+다/EF

■활동보조인	■/SW+활동보조/NNG+이/VCP+ㄴ/ETM
전문성	전문/NNG+성/XSN
강화=김	강화/NNP+=/SW+김/NNP
위원에	위원/NNG+에/JKB
따르면	따르/VV+면/EC
현재	현재/MAG
활동보조인이	활동보조인/NNG+이/JKC
되기	되/VV+기/ETN
위해서	위하/VV+여서/EC
받아야하는	받/VV+아야/EC+하/VX+는/ETM
교육시간은	교육시간/NNG+은/JX
40시간이다	40/SN+시간/NNB+이/VCP+다/EC

우리나라에	우리나라/NNG+에/JKB
교육을	교육/NNG+을/JKO
할	하/VV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
기관이	기관/NNG+이/JKS
5곳	5/SN+곳/NNG
있지만,	있/VA+지만/EC+,/SP
기술	기술/NNG
중심의	중심/NNG+의/JKG
실습	실습/NNG
위주	위주/NNG
교육을	교육/NNG+을/JKO
하는	하/VV+는/ETM
곳은	곳/NNG+은/JX
전무한	전무하/VA+ㄴ/ETM
상황이다	상황/NNG+이/VCP+다/EC

김	김/NNP
위원은	위원/NNG+은/JX
“활동보조인의	“/SL+활동보조인/NNG+의/JKG
교육이	교육/NNG+이/JKS
서비스의	서비스/NNG+의/JKG
질과도	질/NNG+과/JKB+도/JX
연결되기	연결되/VV+기/ETN
때문에	때문/NNB+에/JKB
교육과	교육/NNG+과/JC
실습에	실습/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
내용을	내용/NNG+을/JKO
타	타/MM
기관에	기관/NNG+에/JKB
위탁해서	위탁하/VV+여서/EC
활동보조인의	활동보조인/NNG+의/JKG
전문성을	전문/NNG+성/XSN+을/JKO
강화할	강화하/VV+ㄹ/ETM
필요성이	필요성/NNG+이/JKS
있다”고	있/VA+다”고/EC
강조했다	강조하/VV+였/EP+다/EC
