하지장애인을	하지장애인/NNG+을/JKO
위한	위하/VV+ㄴ/ETM
‘세그웨이’	‘/SL+세그웨이/NNG+’/SN

나라를	나라/NNG+를/JKO
위해	위하/VV+여/EC
싸우다	싸우/VV+다/EC
부상을	부상/NNG+을/JKO
당한	당하/VV+ㄴ/ETM
군인들에게	군인/NNG+들/XSN+에게/JKB
무료로	무료/NNG+로/JKB
세그웨이를	세그웨이/NNG+를/JKO
제공해	제공하/VV+여/EC
주는	주/VX+는/ETM
단체가	단체/NNG+가/JKS
있어	있/VA+어/EC
미국민들의	미국/NNP+민들/XSN+의/JKG
마음을	마음/NNG+을/JKO
훈훈하게	훈훈하/VA+게/EC
하고	하/VX+고/EC
있다	있/VX+다/EC

다리를	다리/NNG+를/JKO
잃은	잃/VV+은/ETM
상의	상/NNG+의/JKG
군인들은	군인/NNG+들/XSN+은/JX
휠체어에	휠체어/NNG+에/JKB
앉기에도	앉/VV+기/ETN+에/JKB+도/JX
그렇다고	그렇/VA+다고/EC
서서	서/VV+어서/EC
다니기에도	다니/VV+기/ETN+에/JKB+도/JX
불편하다	불편하/VA+다/EC

휠체어네	휠체어/NNG+네/XSN
앉으면	앉/VV+으면/EC
다른	다른/MM
사람들이	사람/NNG+들/XSN+이/JKS
내려다	내리/VV+어다/EC
보는	보/VX+는/ETM
시선이	시선/NNG+이/JKS
싫고	싫/VA+고/EC
서서	서/VV+어서/EC
걸어다니려면	걷/VV+어/EC+다니/VV+려면/EC
의족이	의족/NNG+이/JKS
다리	다리/NNG
끝에	끝/NNG+에/JKB
주는	주/VV+는/ETM
통증이	통증/NNG+이/JKS
만만치	만만하/VA+지/EC
않다	않/VX+다/EC

이럴	이렇/VA+ㄹ/ETM
경우	경우/NNG
세그웨이를	세그웨이/NNG+를/JKO
사용하는	사용하/VV+는/ETM
것이	것/NNB+이/JKS
최상이다	최상/NNG+이/VCP+다/EC

세그웨이는	세그웨이/NNP+는/JX
서서	서/VV+어서/EC
타는	타/VV+는/ETM
스쿠터로	스쿠터/NNG+로/JKB
자이로	자이/NNG+로/JKB
스코프를	스코프/NNG+를/JKO
사용해	사용하/VV+여/EC
넘어지지	넘어지/VV+지/EC
않는	않/VX+는/ETM
특징을	특징/NNG+을/JKO
가지고	가지/VV+고/EC
있다	있/VX+다/EC

특히	특히/MAG
워싱턴	워싱턴/NNP
디시	디시/NNG
관광에서	관광/NNG+에서/JKB
걸어야	걷/VV+어야/EC
되는	되/VV+는/ETM
일이	일/NNG+이/JKS
많아	많/VA+아/EC
세그	세그/NNG
웨이를	웨이/NNG+를/JKO
사용한다	사용하/VV+ㄴ다/EC

그러나	그러나/MAJ
세그웨이는	세그웨이/NNP+는/JX
6천달러에	6/SN+천/NR+달러/NNB+에/JKB
달하는	달하/VV+는/ETM
고가	고가/NNG
제품이고	제품/NNG+이/VCP+고/EC
보험처리가	보험처리/NNG+가/JKC
되지는	되/VV+지/EC+는/JX
않는	않/VX+는/ETM
관계로	관계/NNG+로/JKB
장애인들이	장애인/NNG+들/XSN+이/JKS
사용하기가	사용하/VV+기/ETN+가/JKS
쉽지가	쉽/VA+지/EC+가/JX
않다	않/VX+다/EC

그런	그런/MM
상의	상/NNG+의/JKG
군인들을	군인/NNG+들/XSN+을/JKO
위해	위하/VV+여/EC
세그	세그/NNG
포	포/NNG
벳이	벳/NNG+이/JKS
발벗고	발/NNG+벗/VV+고/EC
나섰다	나서/VV+었/EP+다/EF

백퍼센트	백/NR+퍼센트/NNB
자원	자원/NNG
기금으로	기금/NNG+으로/JKB
운영되는	운영되/VV+는/ETM
자선	자선/NNG
단체	단체/NNG
세그	세그/NNG
포	포/NNG
벳은	벳/NNG+은/JX
창립된	창립되/VV+ㄴ/ETM
2001년	2001/SN+년/NNB
이후	이후/NNG
지금까지	지금/NNG+까지/JX
다리	다리/NNG
절단	절단/NNG
장애인	장애인/NNG
천명에게	천명/NNG+에게/JKB
세그웨이를	세그웨이/NNG+를/JKO
무상으로	무상/NNG+으로/JKB
제공해	제공하/VV+여/EC
왔다	오/VX+았/EP+다/EF

특히	특히/MAG
이	이/MM
단체의	단체/NNG+의/JKG
세그	세거/NNG
웨이는	웨이/NNG+는/JX
주문	주문/NNG
제작형으로	제작형/NNG+으로/JKB
서기가	서기/NNG+가/JKS
불편한	불편하/VA+ㄴ/ETM
상의	상/NNG+의/JKG
군인들에게는	군인/NNG+들/XSN+에게/JKB+는/JX
앉아서	앉/VV+아서/EC
탈	타/VV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
장치까지	장치/NNG+까지/JX
마련해	마련하/VV+여/EC
주기도	주/VX+기/ETN+도/JX
한다	하/VX+ㄴ다/EF

세그웨이를	세그웨이/NNP+를/JKO
기증받아	기증/NNG+받/VV+아/EC
사용하고	사용하/VV+고/EC
있는	있/VX+는/ETM
크리스	크리스/NNP
스타우트(아프가니스탄에서	스타우트/NNG+(/SS+아프가니스탄/NNP+에서/JKB
부상)는	부상/NNG+)/SS+는/JX
‘세그웨이는	‘/SN+세그웨이/NNP+는/JX
이	이/MM
지점에서	지점/NNG+에서/JKB
저지점으로	저지점/NNG+으로/JKB
옮겨	옮기/VV+어/EC
주는	주/VX+는/ETM
단순한	단순하/VA+ㄴ/ETM
도구만은	도구/NNG+만은/JX
아니라’며	아니/VCN+라/EC+’/VV+며/EC
자기의	자기/NP+의/JKG
삶	삶/NNG
자체를	자체/NNG+를/JKO
바꾸어	바꾸/VV+어/EC
준	주/VX+ㄴ/ETM
기기라고	기기/NNG+이/VCP+라고/EC
자랑했다	자랑하/VV+였/EP+다/EC

그는	그/NP+는/JX
아울러	아울러/MAG
상처로	상처/NNG+로/JKB
인해	인하/VV+여/EC
폐쇄적인	폐쇄적/NNG+이/VCP+ㄴ/ETM
자기의	자기/NP+의/JKG
삶을	삶/NNG+을/JKO
밖으로	밖/NNG+으로/JKB
나오도록	나오/VV+도록/EC
이끌어	이끌/VV+어/EC
준	주/VX+ㄴ/ETM
세그	세그/MM
포	포/NNG
벳에	벳/NNG+에/JKB
진심으로	진심/NNG+으로/JKB
감사한다고	감사하/VV+ㄴ다고/EC
말했다	말하/VV+였/EP+다/EC

그는	그/NP+는/JX
무엇보다도	무엇/NP+보다/JKB+도/JX
앉아	앉/VV+아/EC
있을	있/VX+을/ETM
때보다	때/NNG+보다/JKB
8인치를	8/SN+인치/NNB+를/JKO
올려	올리/VV+어/EC
사람들과	사람/NNG+들/XSN+과/JKB
눈	눈/NNG
높이를	높이/NNG+를/JKO
맞추어	맞추/VV+어/EC
대화하는	대화하/VV+는/ETM
것은	것/NNB+은/JX
정말로	정말로/MAG
대단한	대단하/VA+ㄴ/ETM
일이라며	일/NNG+이/VCP+라며/EC
기쁨을	기쁨/NNG+을/JKO
감추지	감추/VV+지/EC
못했다	못하/VX+였/EP+다/EC

이제	이제/MAG
피시를	피시/NNG+를/JKO
비롯한	비롯하/VV+ㄴ/ETM
많은	많/VA+은/ETM
단체와	단체/NNG+와/JC
개인이	개인/NNG+이/JKS
물건을	물건/NNG+을/JKO
팔아	팔/VV+아/EC
이익금을	이익금/NNG+을/JKO
세그	세그/NNG
포	포/NNG
벳에	벳/NNG+에/JKB
기증하거나	기증하/VV+거나/EC
개인적으로	개인적/NNG+으로/JKB
기부를	기부/NNG+를/JKO
하고	하/VV+고/EC
있다	있/VX+다/EC

현재	현재/MAG
미국에는	미국/NNP+에/JKB+는/JX
백여만개의	백여만/NNP+개/NNB+의/JKG
자선	자선/NNG
단체가	단체/NNG+가/JKS
있고	있/VA+고/EC
그중에서	그중/NNG+에서/JKB
5만개	5/SN+만/NR+개/NNB
미만이	미만/NNG+이/JKS
겨우	겨우/MAG
자선	자선/NNG
단체	단체/NNG
기준을	기준/NNG+을/JKO
지키고	지키/VV+고/EC
있다	있/VX+다/EC

그	그/MM
중에	중/NNB+에/JKB
2천개의	2/SN+천/NR+개/NNB+의/JKG
우수한	우수하/VA+ㄴ/ETM
단체를	단체/NNG+를/JKO
뽑아	뽑/VV+아/EC
미국에서	미국/NNP+에서/JKB
‘실’	‘/SN+실/NNB+’/SN
이라는	이/VCP+라는/ETM
상을	상/NNG+을/JKO
수상하고	수상하/VV+고/EC
있다	있/VX+다/EC

세그	세그/NNG
포	포/NNG
벳이	벳/NNG+이/JKS
그	그/MM
중의	중/NNB+의/JKG
하나가	하나/NR+가/JKC
된다는	되/VV+ㄴ다는/ETM
점만	점/NNG+만/JX
보더라도	보/VV+더라도/EC
얼마나	얼마나/MAG
성실하게	성실하/VA+게/EC
임무를	임무/NNG+를/JKO
수행해	수행하/VV+여/EC
왔는지를	오/VX+았/EP+는지/EC+를/JKO
짐작할	짐작하/VV+ㄹ/ETM
수가	수/NNB+가/JKS
있다	있/VA+다/EC

‘미국	‘/SN+미국/NNP
전쟁	전쟁/NNG
영웅들을	영웅/NNG+들/XSN+을/JKO
다시	다시/MAG
움직이게	움직이/VV+게/EC
하자’	하/VX+자/EC+’/SL
이	이/MM
표어를	표어/NNG+를/JKO
홈페이지	홈페이지/NNG
제일	제일/NNG
상단에	상단/NNG+에/JKB
걸어	걷/VV+어/EC
놓고	놓/VX+고/EC
오늘도	오늘/NNG+도/JX
세그	세그/NNG
포	포/NNG
벳은	벳/NNG+은/JX
한명이라도	한/MM+명/NNB+이라도/JX
더	더/MAG
혜택을	혜택/NNG+을/JKO
받게	받/VV+게/EC
하기	하/VX+기/ETN
위해	위하/VV+여/EC
동분서주하고	동분서주하/VV+고/EC
있다	있/VX+다/EC

앉아서	앉/VV+아서/EC
타는	타/VV+는/ETM
세그웨이(출처:	세그웨이/NNG+(/SS+출처/NNG+:/SP
암스	암스/NNG
블로그	블로그/NNG
사진	사진/NNG
캡처)	캡처/NNG+)/SS

ⓒ샘	ⓒ/SL+샘/NNG
세그웨이로	세그웨이/NNG+로/JKB
가족과	가족/NNG+과/JKB
함께	함께/MAG
즐거운	즐겁/VA+ㄴ/ETM
시간을	시간/NNG+을/JKO
보내는	보내/VV+는/ETM
상의	상/NNG+의/JKG
