“국내	“/SN+국/NNG+내/NNB
자립생활센터	자립생활센터/NNG
재원	재원/NNG
마련	마련/NNG
어려워”	어렵/VA+어/EC+”/SN

한국장애인재활협회와	한국/NNP+장애인재활협회/NNG+와/JC
신한금융그룹이	신한금융그룹/NNP+이/JKS
주최하는	주최하/VV+는/ETM
'2012	'/SS+2012/SN
장애청년드림팀	장애청년드림팀/NNG
6대륙에	6/SN+대륙/NNG+에/JKB
도전하다'의	도전하/VV+다/EF+'/SS+의/JKG
북미대륙	북미/NNP+대륙/NNG
연수에	연수/NNG+에/JKB
나서는	나서/VV+는/ETM
‘Indy팀’이	‘Indy/SL+팀/NNG+’/SN+이/JKS
서울	서울/NNP
중구	중구/NNG
약수동에서	약수동/NNP+에서/JKB
길벗장애인자립생활센터	길벗장애인자립생활센터/NNG
김성은	김성은/NNP
소장과의	소장/NNG+과/JKB+의/JKG
만남을	만남/NNG+을/JKO
가졌다	가지/VV+었/EP+다/EC

인사를	인사/NNG+를/JKO
나눈	나누/VV+ㄴ/ETM
뒤	뒤/NNG
Indy팀은	Indy/SL+팀/NNG+은/JX
오는	오/VV+는/ETM
8월	8/SN+월/NNB
26일부터	26/SN+일/NNB+부터/JX
9월	9/SN+월/NNB
4일까지	4/SN+일/NNB+까지/JX
'미국	'/SS+미국/NNP
장애인자립생활센터	장애인자립생활센터/NNG
체험'이라는	체험/NNG+'/SS+이/VCP+라는/ETM
주제로	주제/NNG+로/JKB
떠나는	떠나/VV+는/ETM
미국	미국/NNP
연수에	연수/NNG+에/JKB
대해	대하/VV+여/EC
간단히	간단히/MAG
소개했다	소개하/VV+였/EP+다/EC

이어	이어/MAG
연수를	연수/NNG+를/JKO
통해	통하/VV+여/EC
어떤	어떤/MM
점을	점/NNG+을/JKO
조사하고,	조사하/VV+고/EC+,/SP
알아봐야	알아보/VV+아야/EC
하는	하/VX+는/ETM
지에	지/XSN+에/JKB
대한	대하/VV+ㄴ/ETM
질문도	질문/NNG+도/JX
덧붙였다	덧붙이/VV+었/EP+다/EF

김	김/NNP
소장은	소장/NNG+은/JX
"현재	"/SS+현재/MAG
국내자립생활센터에	국내자립생활센터/NNG+에/JKB
있어서	있/VA+어서/EC
가장	가장/MAG
큰	크/VA+ㄴ/ETM
문제점은	문제점/NNG+은/JX
재정에	재정/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
것이다"라고	것/NNB+이/VCP+다/EF+"/SS+라고/JKQ
말문을	말문/NNG+을/JKO
열었고	열/VV+었/EP+고/EC
"국내에도	"/SS+국내/NNG+에/JKB+도/JX
장애관련	장애관련/NNG
단체에	단체/NNG+에/JKB
후원금과	후원금/NNG+과/JC
지원금이	지원금/NNG+이/JKS
많이	많이/MAG
있으나	있/VA+으나/EC
주로	주로/MAG
복지관과	복지/NNG+관/XSN+과/JC
시설에	시설/NNG+에/JKB
집중되어	집중되/VV+어/EC
자립생활센터에	자립생활센터/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
후원	후원/NNG
