‘종로구	‘/SL+종로구/NNP
중증장애인	중증장애인/NNG
지원조례’	지원조례/NNG+’/SL
전면	전면/NNG
개정	개정/NNG
촉구	촉구/NNG

서울장애인차별철폐연대와	서울/NNP+장애인차별철폐연대/NNG+와/JC
노들장애인자립생활센터,	노들장애인자립생활센터/NNG+,/SP
노들장애인야학이	노들장애인야학/NNG+이/JKS
‘서울시	‘/SL+서울시/NNP
종로구	종로구/NNP
중증장애인	중증장애인/NNG
지원조례(이하	지원조례/NNG+(/SS+이하/NNG
중증장애인	중증장애인/NNG
지원조례)’의	지원조례/NNG+)/SS+’/SL+의/JKG
전면	전면/NNG
개정을	개정/NNG+을/JKO
촉구했다	촉구하/VV+였/EP+다/EC

이들	이/NP+들/XSN
단체는	단체/NNG+는/JX
11일	11/SN+일/NNB
오전	오전/NNG
종로구청	종로구청/NNP
앞에서	앞/NNG+에서/JKB
종로구	종로구/NNP
장애인에게	장애인/NNG+에게/JKB
자립생활	자립생활/NNG
지원이	지원/NNG+이/JKC
되었더	되/VV+었/EP+더/EC
‘라면’	‘/VV+라면/EC+’/SW
먹기	먹/VV+기/ETN
대회를	대회/NNG+를/JKO
갖고,	갖/VV+고/EC+,/SP
종로구	종로구/NNP
장애인들의	장애인/NNG+들/XSN+의/JKG
자립생활	자립생활/NNG
보장을	보장/NNG+을/JKO
주문했다	주문하/VV+였/EP+다/EF

이들	이/NP+들/XSN
단체에	단체/NNG+에/JKB
따르면	따르/VV+면/EC
종로구는	종로구/NNP+는/JX
지난해	지난해/NNG
7월	7/SN+월/NNB
장애인당사사자들의	장애인당사사자/NNG+들/XSN+의/JKG
논의나	논의/NNG+나/JC
협의	협의/NNG
없이	없이/MAG
구	구/XPN
차원의	차원/NNG+의/JKG
‘중증장애인	‘/SL+중증장애인/NNG
지원조례’를	지원조례’/NNG+를/JKO
제정했다	제정하/VV+였/EP+다/EC

지원조례는	지원조례/NNG+는/JX
‘중증장애인의	‘/SL+중증장애인/NNG+의/JKG
자립생활	자립생활/NNG
보장’과	보장’/NNG+과/JC
‘중증장애인생산품	‘/SL+중증장애인생산품/NNG
운선구매’	운선구매/NNG+’/SN
내용을	내용/NNG+을/JKO
함께	함께/MAG
담고	담/VV+고/EC
있다	있/VX+다/EC

이들	이/NP+들/XSN
단체는	단체/NNG+는/JX
중증장애인	중증장애인/NNG
지원조례를	지원조례/NNG+를/JKO
‘중증장애인	‘/SL+중증장애/NNG+이/VCP+ㄴ/ETM
자립생활	자립생활/NNG
지원조례’와	지원조례/NNG+’/SL+와/JC
‘중증장애인생산품	‘/SL+중증장애인생산품/NNG
우선구매	우선구매/NNG
촉진조례’로	촉진조례/NNG+’/SL+로/JKB
분리해	분리하/VV+여/EC
제정해야	제정하/VV+여야/EC
한다고	하/VX+ㄴ다고/EC
주장하고	주장하/VV+고/EC
있다	있/VX+다/EC

분리	분리/NNG
제정을	제정/NNG+을/JKO
통해	통하/VV+여/EC
장애인의	장애인/NNG+의/JKG
자립생활	자립생활/NNG
지원에	지원/NNG+에/JKB
필요한	필요하/VA+ㄴ/ETM
실질적인	실질적/NNG+이/VCP+ㄴ/ETM
내용들을	내용/NNG+들/XSN+을/JKO
담아갈	담아가/VV+ㄹ/ETM
수	수/NNB
있어야	있/VA+어야/EC
한다는	하/VX+ㄴ다는/ETM
것	것/NNB

이들	이/NP+들/XSN
단체는	단체/NNG+는/JX
“중증장애인	“/SN+중증장애인/NNG
지원조례는	지원조례/NNG+는/JX
성격이	성격/NNG+이/JKS
다른	다르/VA+ㄴ/ETM
내용을	내용/NNG+을/JKO
함께	함께/MAG
포함하고	포함하/VV+고/EC
있어	있/VX+어/EC
장애인의	장애인/NNG+의/JKG
실질적인	실질적/NNG+이/VCP+ㄴ/ETM
자립생활	자립생활/NNG
권리를	권리/NNG+를/JKO
보장하기에는	보장하/VV+기/ETN+에/JKB+는/JX
미진한	미진하/VA+ㄴ/ETM
조례”라고	조례”/NNG+이/VCP+라고/EC
강조했다	강조하/VV+였/EP+다/EC

