"서로	"/SS+서로/MAG
격려하며	격려하/VV+며/EC
반시설	반시설/NNG
구호	구호/NNG
힘차게	힘차/VA+게/EC
외쳐"	외치/VV+어/EC+"/SS

지난	지나/VV+ㄴ/ETM
13일	13/SN+일/NNB
반시설과	반시설/NNG+과/JC
장애인자립생활보장법	장애인자립생활보장법/NNG
제정을	제정/NNG+을/JKO
촉구하기	촉구하/VV+기/ETN
위해	위하/VV+여/EC
9명의	9/SN+명/NNB+의/JKG
장애인이	장애인/NNG+이/JKS
‘국토대장정’을	‘/SL+국토대장정’/NNG+을/JKO
시작했다	시작하/VV+였/EP+다/EF

이들은	이/NP+들/XSN+은/JX
23일간	23/SN+일/NNB+간/XSN
부산을	부산/NNP+을/JKO
시작으로	시작/NNG+으로/JKB
창원,	창원/NNP+,/SP
울산,	울산/NNP+,/SP
대구,	대구/NNP+,/SP
대전,	대전/NNP+,/SP
인천	인천/NNP
등을	등/NNB+을/JKO
거쳐	거치/VV+어/EC
오는	오/VV+는/ETM
9월	9/SN+월/NNB
4일	4/SN+일/NNB
서울에	서울/NNP+에/JKB
입성하게	입성하/VV+게/EC
된다	되/VV+ㄴ다/EF

전국을	전국/NNG+을/JKO
돌며	돌/VV+며/EC
장애인	장애인/NNG
시설의	시설/NNG+의/JKG
문제점과	문제점/NNG+과/JC
인권침해·유린	인권침해/NNG+·/SP+유린/NNG
등의	등/NNB+의/JKG
현실과	현실/NNG+과/JC
장애인	장애인/NNG
자립생활	자립생활/NNG
지원을	지원/NNG+을/JKO
위한	위하/VV+ㄴ/ETM
‘장애인자립생활보장법	‘/SL+장애인자립생활보장법/NNG
제정’의	제정/NNG+’/SL+의/JKG
필요성을	필요성/NNG+을/JKO
알릴	알리/VV+ㄹ/ETM
예정이다	예정/NNG+이/VCP+다/EC

국토대장정을	국토대장정/NNG+을/JKO
공동주관한	공동주관하/VV+ㄴ/ETM
한국장애인연맹(DPI)의	한국/NNP+장애인연맹/NNG+(/SS+DPI/SL+)/SS+의/JKG
자료협조를	자료협조/NNG+를/JKO
받아	받/VV+아/EC
긴	길/VA+ㄴ/ETM
여정의	여정/NNG+의/JKG
이야기를	이야기/NNG+를/JKO
연재한다	연재하/VV+ㄴ다/EF

<편집자주>	</SS+편집자주/NNG+>/SS
국토대장정	국토대장정/NNG
대원들은	대원/NNG+들/XSN+은/JX
14일	14/SN+일/NNB
김해시청	김해시청/NNP
앞에	앞/NNG+에/JKB
도착했다	도착하/VV+였/EP+다/EC

ⓒ한국DPI	ⓒ/SL+한국/NNP+DPI/SL
8월	8/SN+월/NNB
14일,	14/SN+일/NNB+,/SP
작성자:	작성자/NNG+:/SP
이권희	이권희/NNP
(서울장애인인권포럼	(/SS+서울/NNP+장애인인권포럼/NNG
대표)	대표/NNG+)/SS
대원	대원/NNG
이번	이번/NNG
국토대장정에	국토대장정/NNG+에/JKB
참여한	참여하/VV+ㄴ/ETM
대원들의	대원/NNG+들/XSN+의/JKG
각오와	각오/NNG+와/JC
결의는	결의/NNG+는/JX
힘든	힘들/VA+ㄴ/ETM
행군	행군/NNG
속에서도	속/NNG+에서/JKB+도/JX
얼마나	얼마나/MAG
일찍	일찍/MAG
기상하는가를	기상하/VV+는가/EC+를/JKO
보면	보/VV+면/EC
알	알/VV+ㄹ/ETM
수	수/NNB
있는데	있/VA+는데/EC
25킬로미터를	25/SN+킬로미터/NNB+를/JKO
행군한	행군하/VA+ㄴ/ETM
첫날의	첫날/NNG+의/JKG
피로가	피로/NNG+가/JKS
만만치	만만하/VA+지/EC
않을	않/VX+을/ETM
테지만	터/NNB+이/VCP+지만/EC
둘째	둘째/NR
날인	날/NNG+이/VCP+ㄴ/ETM
오늘은	오늘/NNG+은/JX
어제보다	어제/NNG+보다/JKB
더	더/MAG
이른	이르/VA+ㄴ/ETM
오전	오전/NNG
5시에	5/SN+시/NNB+에/JKB
대부분	대부분/NNG
기상하였다	기상하/VV+였/EP+다/EF

화장실이	화장실/NNG+이/JKS
좁아	좁/VA+아/EC
세면부터	세면/NNG+부터/JX
하는	하/VV+는/ETM
대원들이	대원/NNG+들/XSN+이/JKS
있는가하면	있/VA+는가/EC+하/VV+면/EC
순서를	순서/NNG+를/JKO
기다리며	기다리/VV+며/EC
이부자리를	이부자리/NNG+를/JKO
정리하는	정리하/VV+는/ETM
대원들로	대원/NNG+들/XSN+로/JKB
새벽부터	새벽/NNG+부터/JX
북적였다	북적/NNG+이/VCP+었/EP+다/EF

30분	30/SN+분/NNB
정도의	정도/NNG+의/JKG
식사시간과	식사시간/NNG+과/JC
기념촬영을	기념촬영/NNG+을/JKO
끝으로	끝/NNG+으로/JKB
28킬로미터의	28/SN+킬로미터/NNB+의/JKG
행군에	행군/NNG+에/JKB
돌입하였으나	돌입하/VV+였/EP+으나/EC
첫	첫/MM
번째	번째/NNB
난관이	난관/NNG+이/JKS
우리를	우리/NP+를/JKO
기다리고	기다리/VV+고/EC
있었다	있/VX+었/EP+다/EF

행군의	행군/NNG+의/JKG
안전을	안전/NNG+을/JKO
보장하기	보장하/VV+기/ETN
위해	위하/VV+여/EC
에스코트를	에스코트/NNG+를/JKO
담당한	담당하/VV+ㄴ/ETM
경찰	경찰/NNG
측이	측/NNB+이/JKS
원래	원래/NNG
예정되어	예정되/VV+어/EC
있던	있/VX+던/ETM
경로(주최	경로/NNP+(/SS+주최/NNG
측이	측/NNB+이/JKS
실사한	실사하/VV+ㄴ/ETM
경로)보다	경로/NNG+)/SS+보다/JKB
약	약/MM
5킬로미터	5/SN+킬/NNB+로미터/JKB
단축되는	단축되/VV+는/ETM
경로가	경로/NNG+가/JKS
있는데,	있/VA+는데/EC+,/SP
약간의	약간/NNG+의/JKG
문제는	문제/NNG+는/JX
숙소인	숙소/NNG+이/VCP+ㄴ/ETM
김해시장애인복지관을	김해시/NNP+장애인복지관/NNG+을/JKO
나오자마자	나오/VV+자마자/EC
50여	50/SN+여/XSN
미터	미터/NNB
전방에	전방/NNG+에/JKB
있는	있/VA+는/ETM
자그마한	자그마하/VA+ㄴ/ETM
고개하나를	고개/NNG+하나/NR+를/JKO
넘어야	넘/VV+어야/EC
한다는	하/VX+ㄴ다는/ETM
제안이었다	제안/NNG+이/VCP+었/EP+다/EF

이권희	이권희/NNP
대원의	대원/NNG+의/JKG
핸드싸이클이	핸드싸이클/NNG+이/JKS
약간	약간/MAG
힘들	힘들/VA+ㄹ/ETM
것이	것/NNB+이/JKS
예상은	예상/NNG+은/JX
되었으나	되/VV+었/EP+으나/EC
자그마한	자그마하/VA+ㄴ/ETM
고개라	고개/NNG+이/VCP+라/EC
하여	하/VV+여/EC
쉽게	쉽/VA+게/EC
수용하였는데,	수용하/VV+였/EP+는데/EC+,/SP
문제는	문제/NNG+는/JX
여기서	여기/NP+서/JKB
부터였다	부터/NNG+이/VCP+었/EP+다/EF

일단	일단/MAG
자그마한	자그마하/VA+ㄴ/ETM
고개가	고개/NNG+가/JKC
아니라	아니/VCN+라/EC
상당한	상당하/VA+ㄴ/ETM
경사와	경사/NNG+와/JC
길이의	길이/NNG+의/JKG
대단한	대단하/VA+ㄴ/ETM
고개였고,	고개/NNG+이/VCP+었/EP+고/EC+,/SP
그런	그런/MM
고개가	고개/NNG+가/JKS
한	한/MM
개가	개/NNB+가/JKC
아니라	아니/VCN+라/EC
총	총/MM
3개였으니	3/SN+개/NNB+이/VCP+었/EP+으니/EC
말	말/NNG
그대로	그대로/MAG
산을	산/NNG+을/JKO
넘는	넘/VV+는/ETM
것이었다	것/NNB+이/VCP+었/EP+다/EF

