"새누리당,	"/SS+새누리당/NNP+,/SP
장애인	장애인/NNG
생존권	생존권/NNG
외면	외면/NNG
말라"	말/VV+라/EF+"/SS

“새누리당은	“/SL+새누리당/NNP+은/JX
장애인	장애인/NNG
생존권을	생존권/NNG+을/JKO
외면하지	외면하/VV+지/EC
말라	말/VX+라/EC

”전국장애인차별철폐연대(이하	”/SL+전/MM+국장애인차별철폐연대/NNG+(/SS+이하/NNG
전장연)는	전장연/NNP+)/SS+는/JX
13일	13/SN+일/NNB
여의도	여의도/NNP
새누리당	새누리당/NNP
당사	당사/NNG
앞에서	앞/NNG+에서/JKB
기자회견을	기자회견/NNG+을/JKO
갖고,	갖/VV+고/EC+,/SP
이	이/NP
같이	같이/MAG
비판했다	비판하/VV+였/EP+다/EC

현재	현재/MAG
국회	국회/NNG
예산결산특별위원회에	예산결산특별위원회/NNG+에/JKB
계류	계류/NNG
중인	중/NNB+이/VCP+ㄴ/ETM
내년	내년/NNG
‘장애인활동지원제도’	‘/SL+장애인활동지원제도’/NNG
예산에	예산/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
심의가	심의/NNG+가/JKS
이뤄지지	이루어지/VV+지/EC
않고	않/VX+고/EC
있는	있/VX+는/ETM
상태에서	상태/NNG+에서/JKB
새누리당이	새누리당/NNP+이/JKS
‘가부’의	‘/SL+가부/XSN+’/SL+의/JKG
입장을	입장/NNG+을/JKO
명확히	명확히/MAG
밝히길	밝히/VV+기/ETN+ㄹ/JKO
회피하고	회피하/VV+고/EC
있다는	있/VX+다는/ETM
이유다	이유/NNG+이/VCP+다/EF

여기에는	여기/NP+에/JKB+는/JX
새누리당	새누리당/NNP
박근혜	박근혜/NNP
대선	대선/NNG
후보가	후보/NNG+가/JKS
장애인복지공약으로	장애인복지공약/NNG+으로/JKB
‘하루	‘하루/MAG
24시간	24/SN+시간/NNB
활동지원	활동지원/NNG
보장’을	보장’/NNG+을/JKO
밝혔음에도	밝히/VV+었/EP+음/ETN+에/JKB+도/JX
당에서	당/NNG+에서/JKB
명확한	명확하/VA+ㄴ/ETM
입장표명을	입장표명/NNG+을/JKO
하지	하/VV+지/EC
않고	않/VX+고/EC
있는	있/VX+는/ETM
것은	것/NNB+은/JX
나중에	나중/NNG+에/JKB
딴말	딴말/MAG
하려는	하/VV+려는/ETM
의도가	의도/NNG+가/JKS
깔려	깔리/VV+어/EC
있는	있/VX+는/ETM
것	것/NNB
