건보공단·근로복지공단	건보공단/NNG+·/SP+근로복지공단/NNG
갈등	갈등/NNG
산재근로자	산재근로자/NNG
피해	피해/NNG

산재요양	산재요양/NNG
종결	종결/NNG
후	후/NNG
후유증상에	후유증상/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
진료비를	진료비/NNG+를/JKO
국민건강보험공단(이하	국민건강보험공단/NNG+(/SS+이하/NNG
건보공단)과	건보공단/NNG+)/SS+과/JC
근로복지공단	근로복지공단/NNG
중	중/NNB
누가	누구/NP+가/JKS
부담할	부담하/VV+ㄹ/ETM
것인지에	것/NNB+이/VCP+ㄴ지/EC+에/JKB
대한	대하/VV+ㄴ/ETM
기관간의	기관/NNG+간/NNB+의/JKG
갈등으로	갈등/NNG+으로/JKB
인해	인하/VV+여/EC
애꿎은	애꿎/VA+은/ETM
산재근로자들만	산재근로자/NNG+들/XSN+만/JX
피해를	피해/NNG+를/JKO
보고	보/VV+고/EC
있어	있/VX+어/EC
제도개선이	제도개선/NNG+이/JKS
시급한	시급하/VA+ㄴ/ETM
것으로	것/NNB+으로/JKB
지적됐다	지적되/VV+었/EP+다/EF

국회	국회/NNG
보건복지위원회	보건복지위원회/NNG
김용익(민주통합당)	김용익/NNP+(/SS+민주통합당/NNP+)/SS
의원은	의원/NNG+은/JX
“건보공단으로부터	“/SL+건보공단/NNG+으로부터/JKB
제출받은	제출/NNG+받/VV+은/ETM
자료에	자료/NNG+에/JKB
따르면,	따르/VV+면/EC+,/SP
지난	지나/VV+ㄴ/ETM
5년간	5/SN+년/NNB+간/XSN
산재신청포기	산재신청포기/NNG
사유로	사유/NNG+로/JKB
건보공단이	건보공단/NNG+이/JKS
근로자에게	근로자/NNG+에게/JKB
치료비를	치료비/NNG+를/JKO
징수한	징수하/VV+ㄴ/ETM
건수가	건수/NNG+가/JKS
총	총/MM
2만여	2/SN+만/NR+여/XSN
건으로	건/NNB+으로/JKB
매년	매년/MAG
1000건	1000/SN+건/NNB
이상씩	이상/NNG+씩/XSN
증가하고	증가하/VV+고/EC
있다”고	있/VX+다/EC+”/VV+고/EC
9일	9/SN+일/NNB
밝혔다	밝히/VV+었/EP+다/EC

실제	실제/NNG
산재신청포기	산재신청포기/NNG
건수는	건수/NNG+는/JX
2008년	2008/SN+년/NNB
2141건,	2141/SN+건/NNB+,/SP
2009년	2009/SN+년/NNB
2282건,	2282/SN+건/NNB+,/SP
2010년	2010/SN+년/NNB
3822건,	3822/SN+건/NNB+,/SP
2011년	2011/SN+년/NNB
5390건,	5390/SN+건/NNB+,/SP
2012년	2012/SN+년/NNB
6545건으로	6545/SN+건/NNB+으로/JKB
나타났다	나타나/VV+았/EP+다/EC

김	김/NNP
의원은	의원/NNG+은/JX
“이중에는	“/SL+이/NNG+중/NNB+에/JKB+는/JX
스스로	스스로/MAG
산재신청을	산재신청/NNG+을/JKO
포기한	포기하/VV+ㄴ/ETM
경우도	경우/NNG+도/JX
있겠지만,	있/VA+겠/EP+지만/EC+,/SP
건보공단과	건보공단/NNG+과/JC
근로복지공단의	근로복지공단/NNG+의/JKG
업무	업무/NNG
떠넘기기로	떠넘기/VV+기/ETN+로/JKB
인한	인하/VV+ㄴ/ETM
피해자도	피해자/NNG+도/JX
다수	다수/NNG
포함돼	포함되/VV+어/EC
있을	있/VX+을/ETM
것으로	것/NNB+으로/JKB
추정된다”고	추정되/VV+ㄴ다/EC+”/SN+고/EC
설명했다	설명하/VV+었/EP+다/EC

김	김/NNP
의원에	의원/NNG+에/JKB
따르면	따르/VV+면/EC
산재	산재/NNG
후유증	후유증/NNG
진료비용	진료비용/NNG
분담에	분담/NNG+에/JKB
대해	대하/VV+여/EC
건보공단은	건보공단/NNG+은/JX
산재치료	산재치료/NNG
종결	종결/NNG
후	후/NNG
건강보험으로	건강보험/NNG+으로/JKB
진료한	진료/NNG+하/XSV+ㄴ/ETM
후유증	후유증/NNG
진료비에	진료비/NNG+에/JKB
대해서는	대하/VV+여서/EC+는/JX
건보공단이	건보공단/NNG+이/JKS
지급해야	지급하/VV+여야/EC
한다는	하/VX+ㄴ다는/ETM
입장이지만,	입장/NNG+이/VCP+지만/EC+,/SP
근로복지공단은	근로복지공단/NNG+은/JX
진료비는	진료비/NNG+는/JX
건강보험에서	건강보험/NNG+에서/JKB
부담하는	부담하/VV+는/ETM
것이	것/NNB+이/JKS
맞다는	맞/VV+다는/ETM
입장이다	입장/NNG+이/VCP+다/EC

김	김/NNP
의원은	의원/NNG+은/JX
“산재요양	“/SL+산재요양/NNG
후	후/NNG
진료비에	진료비/NNG+에/JKB
대해	대하/VV+여/EC
건보공단과	건보공단/NNG+과/JC
근로복지공단의	근로복지공단/NNG+의/JKG
입장차이가	입장차이/NNG+가/JKS
발생해	발생하/VV+여/EC
진료비	진료비/NNG
지급이	지급/NNG+이/JKS
늦어지면	늦어지/VV+면/EC
진료비는	진료비/NNG+는/JX
애꿎은	애꿎/VA+은/ETM
국민이	국민/NNG+이/JKS
부담해야	부담하/VV+여야/EC
할	하/VX+ㄹ/ETM
상황”이라며	상황/NNG+”/SN+이/VCP+라며/EC
“국가기관의	“/SN+국가기관/NNG+의/JKG
이해다툼으로	이해다툼/NNG+으로/JKB
중간에서	중간/NNG+에서/JKB
불이익을	불이익/NNG+을/JKO
당하는	당하/VV+는/ETM
일이	일/NNG+이/JKS
더	더/MAG
이상	이상/NNG
발생해서는	발생하/VV+여서/EC+는/JX
안	안/MAG
될	되/VV+ㄹ/ETM
것”이라고	것/NNB+”/SL+이/VCP+라고/EC
주장했다	주장하/VV+였/EP+다/EC

더불어	더불/VV+어/EC
“환자에게	“/SL+환자/NNG+에게/JKB
피해가	피해/NNG+가/JKS
가지	가/VV+지/EC
않도록	않/VX+도록/EC
건보공단이	건보공단/NNG+이/JKS
우선	우선/MAG
치료비를	치료비/NNG+를/JKO
지급한	지급하/VV+ㄴ/ETM
후	후/NNG
근로복지공단에	근로복지공단/NNG+에/JKB
청구하는	청구하/VV+는/ETM
방안을	방안/NNG+을/JKO
강구해야	강구하/VV+여야/EC
할	하/VX+ㄹ/ETM
것”이라고	것/NNB+”/SL+이/VCP+라고/EC
강조했다	강조하/VV+였/EP+다/EC
