영화관	영화관/NNG
등	등/NNB
공연장	공연장/NNG
장애인	장애인/NNG
편의제공	편의제공/NNG
의무화	의무화/NNG

앞으로	앞/NNG+으로/JKB
영화관을	영화관/NNG+을/JKO
비롯해	비롯하/VV+여/EC
좌석	좌석/NNG
수가	수/NNG+가/JKS
1천석	1/SN+천/NR+석/NNB
이상인	이상/NNG+이/VCP+ㄴ/ETM
공연장은	공연장/NNG+은/JX
장애인에게	장애인/NNG+에게/JKB
안내서비스	안내서비스/NNG
등의	등/NNB+의/JKG
편의를	편의/NNG+를/JKO
제공해야한다	제공하/VV+여야/EC+하/VX+ㄴ다/EF

보건복지부는	보건복지부/NNG+는/JX
이	이/NP
같은	같/VA+은/ETM
내용의	내용/NNG+의/JKG
‘장애인·노인·임산부	‘/SL+장애인/NNG+·/SP+노인/NNG+·/SP+임산부/NNG
등의	등/NNB+의/JKG
편의증진보장에	편의증진보장/NNG+에/JKB
관한	관하/VV+ㄴ/ETM
법률	법률/NNG
시행령	시행령/NNG
일부개정령안’이	일부개정령안/NNG+’/SL+이/JKS
14일	14/SN+일/NNB
국무회의를	국무회의/NNG+를/JKO
통과했다고	통과하/VV+였/EP+다고/EC
밝혔다	밝히/VV+었/EP+다/EC

개정안은	개정안/NNG+은/JX
장애인으로부터	장애인/NNG+으로부터/JKB
안내서비스	안내서비스/NNG
등	등/NNB
편의제공을	편의제공/NNG+을/JKO
요청받고	요청/NNG+받/VV+고/EC
정당한	정당하/VA+ㄴ/ETM
사유	사유/NNG
없이	없이/MAG
이에	이/NP+에/JKB
따르지	따르/VV+지/EC
아니한	아니하/VX+ㄴ/ETM
공공건물	공공건물/NNG
및	및/MAG
공중이용시설의	공중이용시설/NNG+의/JKG
시설주로서	시설주/NNG+로서/JKB
시정명령을	시정명령/NNG+을/JKO
이행하지	이행하/VV+지/EC
아니한	아니하/VX+ㄴ/ETM
자에	자/NNB+에/JKB
대해	대하/VV+여/EC
과태료를	과태료/NNG+를/JKO
부과하도록	부과하/VV+도록/EC
개정된	개정되/VV+ㄴ/ETM
‘장애인·노인·임산부	‘/SL+장애인/NNG+·/SP+노인/NNG+·/SP+임산부/NNG
등의	등/NNB+의/JKG
편의증진	편의증진/NNG
보장에	보장/NNG+에/JKB
관한	관하/VV+ㄴ/ETM
법률’의	법률/NNG+’/SL+의/JKG
오는	오/VV+는/ETM
24일	24/SN+일/NNB
시행에	시행/NNG+에/JKB
따른	따르/VV+ㄴ/ETM
후속	후속/NNG
조치	조치/NNG
차원으로	차원/NNG+으로/JKB
마련됐다	마련되/VV+었/EP+다/EF

그동안	그동안/NNG
장애인이	장애인/NNG+이/JKS
읍·면·동사무소	읍/NNG+·/SP+면/NNG+·/SP+동사무소/NNG
등	등/NNB
공공기관,	공공기관/NNG+,/SP
학교,	학교/NNG+,/SP
종합병원의	종합병원/NNG+의/JKG
시설주에게	시설주/NNG+에게/JKB
안내서비스나	안내서비스/NNG+나/JC
수화통역	수화통역/NNG
편의제공	편의제공/NNG
등을	등/NNB+을/JKO
요청했을	요청하/VV+였/EP+을/ETM
때	때/NNG
이를	이/NP+를/JKO
응하지	응하/VV+지/EC
않을	않/VX+을/ETM
경우	경우/NNG
법적으로	법적/NNG+으로/JKB
제재할	제재하/VV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
수단이	수단/NNG+이/JKS
없었다	없/VA+었/EP+다/EF

