“저조한	“/SN+저조하/VA+ㄴ/ETM
중도장애인	중도장애인/NNG
사회복귀율	사회복귀율/NNG
높여야”	높열/VV+야/EC+”/SN

국회	국회/NNG
보건복지위원회	보건복지위원회/NNG
김희국	김희국/NNP
의원(새누리당)이	의원/NNG+(/SS+새누리당/NNP+)/SS+이/JKS
선진국에	선진국/NNG+에/JKB
비해	비하/VV+여/EC
저조한	저조하/VA+ㄴ/ETM
중도장애인	중도장애인/NNG
사회복귀율을	사회복귀율/NNG+을/JKO
높이기	높이/VV+기/ETN
위한	위하/VV+ㄴ/ETM
방안으로	방안/NNG+으로/JKB
사회복귀	사회복귀/NNG
훈련	훈련/NNG
담당	담당/NNG
기관	기관/NNG
양성과	양성/NNG+과/JC
지역	지역/NNG
장애인복지관	장애인복지관/NNG
활용을	활용/NNG+을/JKO
제시했다	제시하/VV+였/EP+다/EC

22일	22/SN+일/NNB
김	김/NNP
의원에	의원/NNG+에/JKB
따르면	따르/VV+면/EC
우리나라의	우리나라/NNG+의/JKG
경우	경우/NNG
중도장애인의	중도장애인/NNG+의/JKG
총	총/XPN
입원기간이	입원기간/NNG+이/JKS
미국,	미국/NNP+,/SP
호주	호주/NNP
등의	등/NNB+의/JKG
선진국에	선진국/NNG+에/JKB
비해	비하/VV+여/EC
길어	길/VA+어/EC
최대	최대/NNG
15배	15/SN+배/NNG
이상	이상/NNG
차이가	차이/NNG+가/JKS
난다	나/VV+ㄴ다/EF

척추손상의	척추손상/NNG+의/JKG
경우	경우/NNG
50~60일	50/SN+~/SO+60/SN+일/NNB
동안	동안/NNG
병원에	병원/NNG+에/JKB
입원하는	입원하/VV+는/ETM
반면	반면/NNG
우리나라는	우리나라/NNG+는/JX
12개월~31개월까지	12/SN+개월/NNB+~/SO+31/SN+개월/NNB+까지/JX
병원에	병원/NNG+에/JKB
입원하고	입원하/VV+고/EC
있다	있/VX+다/EC

미국,	미국/NNP+,/SP
호주	호주/NNP
등의	등/NNB+의/JKG
경우	경우/NNG
뇌졸증	뇌졸증/NNG
환자의	환자/NNG+의/JKG
67~78%는	67/SN+~/SO+78/SN+%/SW+는/JX
사회복귀를	사회복귀/NNG+를/JKO
실현하고	실현하/VV+고/EC
있지만,	있/VX+지만/EC+,/SP
우리나라는	우리나라/NNG+는/JX
뇌졸중	뇌졸중/NNG
환자	환자/NNG
중	중/NNB
22	22/SN

4%만	4/SN+%/SW+만/JX
사회복귀를	사회복귀/NNG+를/JKO
하고	하/VV+고/EC
있다	있/VX+다/EC

김	김/NNP
의원은	의원/NNG+은/JX
이로	이/NP+로/JKB
인해	인하/VV+여/EC
중도장애인의	중도장애인/NNG+의/JKG
경제적	경제적/NNG
부담,	부담/NNG+,/SP
건강보험	건강보험/NNG
재정에도	재정/NNG+에/JKB+도/JX
부담이	부담/NNG+이/JKS
가중된다고	가중되/VV+ㄴ다고/EC
꼬집었다	꼬집/VV+었/EP+다/EF

중도장애인이	중도장애인/NNG+이/JKS
병원에	병원/NNG+에/JKB
장기	장기/NNG
안주하면서	안주하/VV+면서/EC
가정에는	가정/NNG+에/JKB+는/JX
수입이	수입/NNG+이/JKS
없지만	없/VA+지만/EC
병원비	병원/NNG+비/XSN
지출은	지출/NNG+은/JX
계속되어	계속되/VV+어/EC
경제적	경제적/NNG
부담을	부담/NNG+을/JKO
가중시키고,	가중/NNG+시키/XSV+고/EC+,/SP
재활병원이나	재활병원/NNG+이나/JC
요양병원을	요양병원/NNG+을/JKO
통한	통하/VV+ㄴ/ETM
끝없는	끝없/VA+는/ETM
치료는	치료/NNG+는/JX
건강보험	건강보험/NNG
재정에도	재정/NNG+에/JKB+도/JX
부담이	부담/NNG+이/JKC
된다는	되/VV+ㄴ다는/ETM
것	것/NNB

이에	이/NP+에/JKB
따라	따르/VV+아/EC
김	김/NNP
의원은	의원/NNG+은/JX
“중도장애인의	“/SL+중도장애인/NNG+의/JKG
사회복귀를	사회복귀/NNG+를/JKO
위해	위하/VV+여/EC
운전교육,	운전교육/NNG+,/SP
가정방문	가정방문/NNG
및	및/MAG
주택개조	주택개조/NNG
지원,	지원/NNG+,/SP
요리,	요리/NNG+,/SP
컴퓨터	컴퓨터/NNG
사용방법	사용방법/NNG
교육,	교육/NNG+,/SP
사회적응훈련	사회적응훈련/NNG
등	등/NNB
개인별	개인별/NNG
맞춤	맞춤/NNG
서비스	서비스/NNG
제공이	제공/NNG+이/JKS
필요하지만	필요하/VA+지만/EC
국내에는	국내/NNG+에/JKB+는/JX
이러한	이러하/VA+ㄴ/ETM
기능을	기능/NNG+을/JKO
담당할	담당하/VV+ㄹ/ETM
기관이	기관/NNG+이/JKS
국립재활원	국립재활원/NNP
외에는	외/NNB+에/JKB+는/JX
전무한	전무하/VA+ㄴ/ETM
상황”이라면서	상황/NNG+”/SN+이/VCP+라면서/EC
“국립재활원이	“/SL+국립재활원/NNP+이/JKS
전국적으로	전국적/NNG+으로/JKB
중도장애인	중도장애인/NNG
사회복귀	사회복귀/NNG
지원	지원/NNG
사업을	사업/NNG+을/JKO
담당할	담당하/VV+ㄹ/ETM
기관을	기관/NNG+을/JKO
선정해	선정하/VV+여/EC
전폭적인	전폭적/NNG+이/VCP+ㄴ/ETM
지원을	지원/NNG+을/JKO
해야	하/VV+여야/EC
한다”고	하/VX+ㄴ다”고/EC
강조했다	강조하/VV+였/EP+다/EC

김	김/NNP
의원은	의원/NNG+은/JX
또한	또한/MAG
“전국의	“/SL+전국/NNG+의/JKG
195개소의	195/SN+개소/NNB+의/JKG
장애인복지관과	장애인복지관/NNG+과/JC
중도장애인	중도장애인/NNG
사회복귀	사회복귀/NNG
지원	지원/NNG
기관	기관/NNG
간의	간/NNB+의/JKG
연계를	연계/NNG+를/JKO
통한	통하/VV+ㄴ/ETM
정보교환,	정보교환/NNG+,/SP
지원의	지원/NNG+의/JKG
일관성을	일관성/NNG+을/JKO
유지할	유지하/VV+ㄹ/ETM
필요가	필요/NNG+가/JKS
있다”고	있/VA+다/EC+”/VX+고/EC
덧붙였다	덧붙이/VV+었/EP+다/EF
