많이	많이/MAG
낸	내/VV+ㄴ/ETM
진료비,	진료비/NNG+,/SP
건강보험에서	건강보험/NNG+에서/JKB
돌려받으세요	돌려받/VV+으시/EP+어요/EF

보건복지부와	보건복지부/NNG+와/JC
국민건강보험공단은	국민건강보험공단/NNG+은/JX
2011년도	2011/SN+년/NNB+도/JX
건강보험료	건강보험료/NNG
정산이	정산/NNG+이/JKS
완료돼	완료되/VV+어/EC
개인별	개인별/NNG
본인부담상한제	본인부담상한제/NNG
상한액이	상한액/NNG+이/JKS
확정됨에	확정되/VV+ㅁ/ETN+에/JKB
따라,	따르/VV+아/EC+,/SP
2011년에	2011/SN+년/NNB+에/JKB
요양기관에서	요양기관/NNG+에서/JKB
사용한	사용하/VV+ㄴ/ETM
진료비	진료비/NNG
중	중/NNB
본인부담상한제	본인부담상한제/NNG
상한액을	상한액/NNG+을/JKO
초과한	초과하/VV+ㄴ/ETM
금액에	금액/NNG+에/JKB
대해	대하/VV+여/EC
오는	오/VV+는/ETM
13일부터	13/SN+일/NNB+부터/JX
환급을	환급/NNG+을/JKO
실시한다	실시하/VV+ㄴ다/EF

대상자는	대상자/NNG+는/JX
28만명,	28/SN+만/NR+명/NNB+,/SP
적용금액은	적용금액/NNG+은/JX
5386억원에	5386/SN+억/NR+원/NNB+에/JKB
달하는	달하/VV+는/ETM
것으로	것/NNB+으로/JKB
나타났다	나타나/VV+았/EP+다/EC

이	이/MM
중	중/NNB
본인부담상한제의	본인부담상한제/NNG+의/JKG
사전적용	사전적/NNG+용/XSN
및	및/MAG
건강보험료	건강보험료/NNG
정산	정산/NNG
이전에	이전/NNG+에/JKB
적용	적용/NNG
받는	받/VV+는/ETM
대상자	대상자/NNG
13만7000명에게	13/SN+만/NR+7000/SN+명/NNB+에게/JKB
이미	이미/MAG
3173억원이	3173/SN+억/NR+원/NNB+이/JKS
지급됐고,	지급되/VV+었/EP+고/EC+,/SP
건강보험료	건강보험료/NNG
정산이	정산/NNG+이/JKS
완료돼	완료되/VV+어/EC
본인부담상한액	본인부담상한액/NNG
기준보험료가	기준보험료/NNG+가/JKS
결정됨에	결정되/VV+ㅁ/ETN+에/JKB
따라,	따르/VV+아/EC+,/SP
사후환급에	사후환급/NNG+에/JKB
해당되는	해당되/VV+는/ETM
환급대상자	환급대상자/NNG
23만명에게	23/SN+만/NR+명/NNB+에게/JKB
2213억원이	2213/SN+억/NR+원/NNB+이/JKS
환급될	환급되/VV+ㄹ/ETM
예정이다	예정/NNG+이/VCP+다/EC

본인부담상한제는	본인부담상한제/NNG+는/JX
고액·중증질환자의	고액/NNG+·/SP+중증질환자/NNG+의/JKG
경우	경우/NNG
본인부담으로	본인부담/NNG+으로/JKB
인한	인하/VV+ㄴ/ETM
과도한	과도하/VA+ㄴ/ETM
가계부담을	가계부담/NNG+을/JKO
해소하기	해소하/VV+기/ETN
위해	위하/VV+여/EC
마련된	마련되/VV+ㄴ/ETM
것으로,	것/NNB+으로/JKB+,/SP
1년간	1/SN+년/NNB+간/XSN
요양기관을	요양기관/NNG+을/JKO
이용하고	이용하/VV+고/EC
지불한	지불하/VV+ㄴ/ETM
건강보험	건강보험/NNG
급여의	급여/NNG+의/JKG
본인부담금	본인부담금/NNG
총액이	총액/NNG+이/JKS
200~400만원을	200/SN+~/SO+400/SN+만/NR+원/NNB+을/JKO
초과하는	초과하/VV+는/ETM
경우	경우/NNG
초과금액을	초과금액/NNG+을/JKO
건강보험에서	건강보험/NNG+에서/JKB
지급하는	지급하/VV+는/ETM
제도다	제도/NNG+이/VCP+다/EC

본인부담	본인부담/NNG
상한제는	상한/NNG+제/XSN+는/JX
사전급여와	사전급여/NNG+와/JC
사후환급으로	사후환급/NNG+으로/JKB
구분해	구분하/VV+여/EC
지급된다	지급되/VV+ㄴ다/EF

사전급여는	사전급여/NNG+는/JX
동일	동일/NNG
요양기관에서	요양기관/NNG+에서/JKB
연간	연간/NNG
입원	입원/NNG
본인부담액이	본인부담액/NNG+이/JKS
400만원을	400/SN+만/NR+원/NNB+을/JKO
초과할	초과하/VV+ㄹ/ETM
경우,	경우/NNG+,/SP
요양기관이	요양기관/NNG+이/JKS
초과금액을	초과금액/NNG+을/JKO
환자에게	환자/NNG+에게/JKB
받지	받/VV+지/EC
않고	않/VX+고/EC
공단에	공단/NNG+에/JKB
청구해	청구하/VV+여/EC
지급	지급/NNG
받고,	받/VV+고/EC+,/SP
사후환급은	사후환급/NNG+은/JX
개인별	개인별/NNG
상한액기준보험료	상한액기준보험료/NNG
결정(건강보험료정산)	결정/NNG+(/SS+건강보험료정산/NNG+)/SS
전?후로	전/NNG+?/SF+후/NNG+로/JKB
나누어	나누/VV+어/EC
공단에서	공단/NNG+에서/JKB
수진자에게	수진자/NNG+에게/JKB
직접	직접/MAG
지급한다	지급하/VV+ㄴ다/EF

건보공단은	건보공단/NNG+은/JX
환급	환급/NNG
대상자에게	대상자/NNG+에게/JKB
11일부터	11/SN+일/NNB+부터/JX
안내문을	안내문/NNG+을/JKO
발송	발송/NNG
할	하/VV+ㄹ/ETM
계획이며,	계획/NNG+이/VCP+며/EC+,/SP
안내문을	안내문/NNG+을/JKO
받은	받/VV+은/ETM
가입자는	가입자/NNG+는/JX
우편·인터넷·전화	우편/NNG+·/SP+인터넷/NNG+·/SP+전화/NNG
등을	등/NNB+을/JKO
통해	통하/VV+여/EC
건강보험공단에	건강보험공단/NNG+에/JKB
신청하면	신청하/VV+면/EC
된다	되/VV+ㄴ다/EF
