복지부,	복지부/NNG+,/SP
활동지원	활동지원/NNG
대책	대책/NNG
수용	수용/NNG
즉답	즉답/NNG
회피	회피/NNG

장애인활동지원	장애인활동지원/NNG
긴급대책	긴급대책/NNG
마련을	마련/NNG+을/JKO
촉구하고	촉구하/VV+고/EC
있는	있/VX+는/ETM
장애인단체의	장애인단체/NNG+의/JKG
요구안	요구안/NNG
수용여부에	수용여부/NNG+에/JKB
대해	대하/VV+여/EC
보건복지부가	보건복지부/NNG+가/JKS
즉답을	즉답/NNG+을/JKO
회피했다	회피하/VV+였/EP+다/EC

전국장애인차별철폐연대	전/MM+국장애인차별철폐연대/NNG
박경석	박경석/NNP
상임공동대표와	상임공동대표/NNG+와/JC
남병준	남병준/NNP
정책실장	정책실장/NNG
등	등/NNB
3명의	3/SN+명/NNB+의/JKG
대표단은	대표단/NNG+은/JX
22일	22/SN+일/NNB
오전	오전/NNG
1시간	1/SN+시간/NNB
동안	동안/NNG
장애인정책국	장애인정책국/NNG
송재찬	송재찬/NNP
국장	국장/NNG
등과	등/NNB+과/JC
장애인활동지원	장애인활동지원/NNG
긴급대책	긴급대책/NNG
마련을	마련/NNG+을/JKO
위한	위하/VV+ㄴ/ETM
면담을	면담/NNG+을/JKO
가졌다	가지/VV+었/EP+다/EC

이번	이번/NNG
면담은	면담/NNG+은/JX
오는	오/VV+는/ETM
9월부터	9/SN+월/NNB+부터/JX
11월말까지	11/SN+월말/NNB+까지/JX
약	약/MM
3만명의	3/SN+만/NR+명/NNB+의/JKG
장애인활동지원	장애인활동지원/NNG
서비스	서비스/NNG
이용자가	이용자/NNG+가/JKS
서비스	서비스/NNG
필요도에	필요도/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
재조사를	재조사/NNG+를/JKO
받아	받/VV+아/EC
수급	수급/NNG
자격을	자격/NNG+을/JKO
갱신해야	갱신하/VV+여야/EC
하는	하/VX+는/ETM
가운데	가운데/NNG
복지부	복지부/NNG
모의실험	모의실험/NNG
결과	결과/NNG
1만명이	1/SN+만/NR+명/NNB+이/JKS
대상에서	대상/NNG+에서/JKB
탈락하거나	탈락하/VV+거나/EC
