서울시민복지기준	서울/NNP+시민복지기준/NNG
완성할	완성하/VV+ㄹ/ETM
‘원탁의	‘/SN+원탁/NNG+의/JKG
시민’	시민/NNG+’/SL
모집	모집/NNG

서울시가	서울시/NNP+가/JKS
서울시민이면	서울/NNP+시민/NNG+이/VCP+면/EC
누구나	누구/NP+나/JX
누려야	누리/VV+어야/EC
할	하/VX+ㄹ/ETM
서울시	서울시/NNP
복지의	복지/NNG+의/JKG
최저·적정선인	최저/NNG+·/SP+적정선/NNG+이/VCP+ㄴ/ETM
'서울시민복지기준'을	'/SS+서울/NNP+시민복지기준/NNG+'/SS+을/JKO
완성할	완성하/VV+ㄹ/ETM
시민	시민/NNG
1천명을	1/SN+천/NR+명/NNB+을/JKO
모집한다	모집하/VV+ㄴ다/EF

서울시는	서울시/NNP+는/JX
오는	오/VV+는/ETM
8월9일	8/SN+월/NNB+9/SN+일/NNB
올림픽공원	올림픽공원/NNG
내	내/NNB
'올림픽펜싱경기장'(SK핸드볼경기장)에서	'/SS+올림픽펜싱경기장/NNG+'(/SS+SK/SL+핸드볼경기장/NNG+)/SS+에서/JKB
1000명의	1000/SN+명/NNB+의/JKG
시민이	시민/NNG+이/JKS
한자리에	한자리/NNG+에/JKB
모이는	모이/VV+는/ETM
‘1000인의	‘/SL+1000/SN+인/NNG+의/JKG
원탁회의’를	원탁회의’/NNG+를/JKO
열어	열/VV+어/EC
'서울시민복지기준'	'/SS+서울시민복지기준/NNP+'/SS
에	에/JKB
대한	대하/VV+ㄴ/ETM
최종적인	최종적/NNG+이/VCP+ㄴ/ETM
시민의견	시민의견/NNG
수렴을	수렴/NNG+을/JKO
거친	거치/VV+ㄴ/ETM
후	후/NNG
최종안을	최종안/NNG+을/JKO
확정,	확정/NNG+,/SP
9월말	9/SN+월말/NNB
발표할	발표하/VV+ㄹ/ETM
계획이다	계획/NNG+이/VCP+다/EC

시가	시가/NNG
이번	이번/NNG
복지기준선	복지기준선/NNG
마련에	마련/NNG+에/JKB
