"무의미한	"/SS+무의미하/VA+ㄴ/ETM
연명치료	연명치료/NNG
중단	중단/NNG
제도화	제도화/NNG
추진"	추진/NNG+"/SS

(서울=연합뉴스)	(/SS+서울/NNP+=/SW+연합뉴스/NNP+)/SS
신호경	신호경/NNP
기자	기자/NNG
=	=/SW
국가생명윤리심의위원회가	국가생명윤리심의위원회/NNG+가/JKS
무의미한	무의미하/VA+ㄴ/ETM
연명치료	연명치료/NNG
중단을	중단/NNG+을/JKO
제도로	제도/NNG+로/JKB
보장하는	보장하/VV+는/ETM
방안을	방안/NNG+을/JKO
추진한다	추진하/VV+ㄴ다/EF

다만	다만/MAG
추정	추정/NNG
또는	또는/MAG
대리인을	대리인/NNG+을/JKO
통한	통하/VV+ㄴ/ETM
연명치료	연명치료/NNG
중단	중단/NNG
등	등/NNB
쟁점에	쟁점/NNG+에/JKB
대해서는	대하/VV+여서/EC+는/JX
대국민	대/XPN+국민/NNG
인식	인식/NNG
조사·연구와	조사/NNG+·/SP+연구/NNG+와/JC
공론화	공론/NNG+화/XSN
과정을	과정/NNG+을/JKO
거쳐	거치/VV+어/EC
신중하게	신중하/VA+게/EC
방향을	방향/NNG+을/JKO
결정할	결정하/VV+ㄹ/ETM
방침이다	방침/NNG+이/VCP+다/EC

2일	2/SN+일/NNB
보건복지부에	보건복지부/NNG+에/JKB
따르면	따르/VV+면/EC
이날	이날/NNG
열린	열리/VV+ㄴ/ETM
'2012년도	'/SS+2012/SN+년/NNB+도/JX
제2차	제/XPN+2/SN+차/NNB
국가생명윤리심의위원회'에서	국가생명윤리심의위원회/NNG+'/SS+에서/JKB
9명의	9/SN+명/NNB+의/JKG
위원은	위원/NNG+은/JX
무의미한	무의미하/VA+ㄴ/ETM
연명치료	연명치료/NNG
중단	중단/NNG
관련	관련/NNG
안건을	안건/NNG+을/JKO
심의하고	심의하/VV+고/EC
이같이	이같이/MAG
의견을	의견/NNG+을/JKO
모았다	모으/VV+았/EP+다/EC

위원회는	위원회/NNG+는/JX
무의미한	무의미하/VA+ㄴ/ETM
연명치료	연명치료/NNG
중단	중단/NNG
제도화를	제도화/NNG+를/JKO
적극	적극/NNG
추진하되,	추진하/VV+되/EC+,/SP
구체적	구체적/NNG
추진	추진/NNG
방안은	방안/NNG+은/JX
위원회	위원회/NNG
산하	산하/NNG
전문위원회	전문위원회/NNG
또는	또는/MAG
한시적	한시적/NNG
특별위원회를	특별위원회/NNG+를/JKO
구성해	구성하/VV+여/EC
논의하기로	논의하/VV+기/ETN+로/JKB
했다	하/VV+였/EP+다/EC

직접	직접/MAG
의사를	의사/NNG+를/JKO
밝히기	밝히/VV+기/ETN
어려운	어렵/VA+ㄴ/ETM
말기환자	말기환자/NNG
등에	등/NNB+에/JKB
대한	대하/VV+ㄴ/ETM
연명치료	연명치료/NNG
중단	중단/NNG
의지	의지/NNG
추정,	추정/NNG+,/SP
미성년자나	미성년자/NNG+나/JC
지적장애인	지적장애인/NNG
등을	등/NNB+을/JKO
대신한	대신하/VV+ㄴ/ETM
의사표시	의사표시/NNG
인정	인정/NNG
여부	여부/NNG
등	등/NNB
주로	주로/MAG
논란이	논란/NNG+이/JKC
되는	되/VV+는/ETM
사안의	사안/NNG+의/JKG
경우	경우/NNG
의료	의료/NNG
현장의	현장/NNG+의/JKG
현실과	현실/NNG+과/JC
국민의	국민/NNG+의/JKG
평균적	평균적/NNG
인식을	인식/NNG+을/JKO
조사·연구한	조사/NNG+·/SP+연구하/VV+ㄴ/ETM
뒤	뒤/NNG
공론화를	공론화/NNG+를/JKO
추진한다	추진하/VV+ㄴ다/EF

이날	이날/NNG
회의에서는	회의/NNG+에서/JKB+는/JX
또	또/MAG
다른	다른/MM
안건으로	안건/NNG+으로/JKB
유전자검사에	유전자검사/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
합리적	합리적/NNG
규제	규제/NNG
방안도	방안/NNG+도/JX
논의됐다	논의되/VV+었/EP+다/EF

위원회는	위원회/NNG+는/JX
유전자검사	유전자검사/NNG
관련	관련/NNG
네거티브	네거티브/NNG
규제	규제/NNG
방식(원칙적	방식/NNG+(/SS+원칙적/NNG
허용-예외적	허용/NNG+-/SO+예외적/NNG
금지)을	금지/NNG+)/SS+을/JKO
유지하되,	유지하/VV+되/EC+,/SP
질병치료	질병치료/NNG
목적을	목적/NNG+을/JKO
제외한	제외하/VV+ㄴ/ETM
미성년자	미성년자/NNG
유전자검사의	유전자검사/NNG+의/JKG
경우	경우/NNG
따로	따로/MAG
구체적	구체적/NNG
규제	규제/NNG
방안을	방안/NNG+을/JKO
마련하기로	마련하/VV+기/ETN+로/JKB
했다	하/VV+였/EP+다/EC

그러나	그러나/MAJ
배아·태아	배아/NNG+·/SP+태아/NNG
대상	대상/NNG
유전자검사에는	유전자검사/NNG+에/JKB+는/JX
현행	현행/NNG
포지티브	포지티브/NNG
규제(원칙적	규제/NNG+(/SS+원칙적/NNG
금지-예외적	금지/NNG+-/SO+예외적/NNG
허용)를	허용/NNG+)/SS+를/JKO
계속	계속/MAG
적용하고,	적용하/VV+고/EC+,/SP
다만	다만/MAG
전문가(단체)와	전문가/NNG+(/SS+단체/NNG+)/SS+와/JC
희귀	희귀/NNG
유전질환자들의	유전질환자/NNG+들/XSN+의/JKG
의견을	의견/NNG+을/JKO
수렴할	수렴하/VV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
절차를	절차/NNG+를/JKO
만들	만들/VV+ㄹ/ETM
예정이다	예정/NNG+이/VCP+다/EC

원칙적으로	원칙적/NNG+으로/JKB
질병관련	질병관련/NNG
유전자검사	유전자검사/NNG
시행을	시행/NNG+을/JKO
의료기관에만	의료기관/NNG+에/JKB+만/JX
허용한	허용하/VV+ㄴ/ETM
현행	현행/NNG
규정도	규정/NNG+도/JX
유지된다	유지되/VV+ㄴ다/EF

아울러	아울러/MAG
위원회는	위원회/NNG+는/JX
최근	최근/NNG
우리	우리/NP
국민의	국민/NNG+의/JKG
검체(유전자	검체/NNG+(/SS+유전자/NNG
정보가	정보/NNG+가/JKS
들어있는	들/VV+어/EC+있/VX+는/ETM
시료)가	시료/NNG+)/SS+가/JKS
해외로	해외/NNG+로/JKB
반출되는	반출되/VV+는/ETM
사례가	사례/NNG+가/JKS
늘어나는데	늘어나/VV+는/ETM+데/NNB
대해	대하/VV+여/EC
가이드라인	가이드라인/NNG
등	등/NNB
규제방안을	규제방안/NNG+을/JKO
마련하기로	마련하/VV+기/ETN+로/JKB
했다	하/VV+였/EP+다/EC

shk999@yna	shk/SL+999/SN+@/SW+yna/SL

co	co/SL

kr<저	kr/SL+</SS+저/MM
작	작/NNG
권	권/NNP
자(c)연	자/NP+(/SS+c/SL+)/SS+연/NNG
합	합/NNG
뉴	뉴/NNG
스	스/NNG

무	무/NNG
단	단/MM
전	전/NNG
재-재	재/NNG+-/SO+재/NNG
배	배/NNG
포	포/NNG
금	금/VV
지	짓/VV

>	>/SS
