사회적약자	사회적약자/NNG
관점의	관점/NNG+의/JKG
‘유니버설	‘/SL+유니버설/NNP
디자인’	디자인/NNG+’/SL
추진	추진/NNG

서울시가	서울시/NNP+가/JKS
사회적	사회적/NNG
약자의	약자/NNG+의/JKG
인권	인권/NNG
증진을	증진/NNG+을/JKO
위해	위하/VV+여/EC
다양한	다양하/VA+ㄴ/ETM
사용자	사용자/NNG
관점	관점/NNG
및	및/MAG
이용행태를	이용행태/NNG+를/JKO
반영한	반영하/VV+ㄴ/ETM
유니버설	유니버설/NNP
디자인	디자인/NNG
프로젝트를	프로젝트/NNG+를/JKO
추진한다고	추진하/VV+ㄴ다고/EC
3일	3/SN+일/NNB
밝혔다	밝히/VV+었/EP+다/EC

유니버설	유니버설/NNP
디자인이	디자인/NNG+이/JKS
성별·연령·국적·문화적	성별/NNG+·/SP+연령/NNG+·/SP+국적/NNG+·/SP+문화적/NNG
배경·장애	배경/NNG+·/SP+장애/NNG
유무와	유무/NNG+와/JKB
관계없이	관계없이/MAG
모든	모든/MM
사람들이	사람/NNG+들/XSN+이/JKS
제품,	제품/NNG+,/SP
건축,	건축/NNG+,/SP
환경,	환경/NNG+,/SP
서비스	서비스/NNG
등을	등/NNB+을/JKO
보다	보다/MAG
편하고	편하/VA+고/EC
안전하게	안전하/VA+게/EC
이용할	이용하/VV+ㄹ/ETM
수	수/NNB
있도록	있/VA+도록/EC
설계하는	설계하/VV+는/ETM
디자인이다	디자인/NNG+이/VCP+다/EC

이미	이미/MAG
선진국에서는	선진국/NNG+에서/JKB+는/JX
사회	사회/NNG
전	전/MM
분야에	분야/NNG+에/JKB
정부차원의	정부차원/NNG+의/JKG
적극적인	적극적/NNG+이/VCP+ㄴ/ETM
유니버설	유니버설/NNP
디자인이	디자인/NNG+이/JKS
도입,	도입/NNG+,/SP
정책화되고	정책/NNG+화/XSN+되/XSV+고/EC
있는	있/VX+는/ETM
추세임에도	추세/NNG+이/VCP+ㅁ에도/EC
우리나라는	우리나라/NNG+는/JX
관련	관련/NNG
법령에	법령/NNG+에/JKB
최소한의	최소한/NNG+의/JKG
기준만을	기준/NNG+만/JX+을/JKO
규정하고	규정하/VV+고/EC
있는	있/VX+는/ETM
현실이다	현실/NNG+이/VCP+다/EC

이에	이/NP+에/JKB
시는	시/NNG+는/JX
노인·장애인·여성·어린이	노인/NNG+·/SP+장애인/NNG+·/SP+여성/NNG+·/SP+어린이/NNG
등	등/NNB
다양한	다양하/VA+ㄴ/ETM
계층의	계층/NNG+의/JKG
요구를	요구/NNG+를/JKO
반영,	반영/NNG+,/SP
감성을	감성/NNG+을/JKO
배려하는	배려하/VV+는/ETM
유니버설	유니버설/NNP
디자인	디자인/NNG
프로젝트를	프로젝트/NNG+를/JKO
추진해	추진하/VV+여/EC
취약계층을	취약계층/NNG+을/JKO
지원하고	지원하/VV+고/EC
시민의	시민/NNG+의/JKG
삶을	삶/NNG+을/JKO
질을	질/NNG+을/JKO
향상시킬	향상/NNG+시키/XSV+ㄹ/ETM
계획이다	계획/NNG+이/VCP+다/EC

먼저	먼저/MAG
시는	시/NNG+는/JX
복지시설이	복지시설/NNG+이/JKS
법적	법적/NNG
최소	최소/NNG
시설기준만	시설기준/NNG+만/JX
충족하고	충족하/VV+고/EC
있는	있/VX+는/ETM
문제점을	문제점/NNG+을/JKO
해결키	해결하/VV+기/ETN
위해	위하/VV+여/EC
유형별	유형/NNG+별/XSN
이용자	이용자/NNG
행태와	행태/NNG+와/JC
특성을	특성/NNG+을/JKO
반영한	반영하/VV+ㄴ/ETM
‘복지시설	‘/SL+복지시설/NNG
유니버설	유니버설/NNP
디자인	디자인/NNG
가이드라인’을	가이드라인’/NNG+을/JKO
다양한	다양하/VA+ㄴ/ETM
분야로	분야/NNG+로/JKB
지속적으로	지속적/NNG+으로/JKB
확대	확대/NNG
개발한다	개발하/VV+ㄴ다/EF

올해에는	올해/NNG+에/JKB+는/JX
장애인,	장애인/NNG+,/SP
노숙인	노숙/NNG+이/VCP+ㄴ/ETM
관련	관련/NNG
가이드라인	가이드라인/NNG
6종을	6/SN+종/NNG+을/JKO
개발할	개발하/VV+ㄹ/ETM
예정으로,	예정/NNG+으로/JKB+,/SP
가이드라인에는	가이드라인/NNG+에/JKB+는/JX
이용자의	이용자/NNG+의/JKG
특성에	특성/NNG+에/JKB
따른	따르/VV+ㄴ/ETM
신체,	신체/NNG+,/SP
행동,	행동/NNG+,/SP
상황별	상황/NNG+별/XSN
차이	차이/NNG
등이	등/NNB+이/JKS
배려되고	배려되/VV+고/EC
사용자	사용자/NNG
모두가	모두/NNG+가/JKS
존중받는	존중/NNG+받/VV+는/ETM
사용자	사용자/NNG
친화적인	친화/NNG+적/XSN+이/VCP+ㄴ/ETM
서울형	서울/NNP+형/XSN
복지시설	복지시설/NNG
환경디자인을	환경디자인/NNG+을/JKO
실현한다	실현하/VV+ㄴ다/EF

이미	이미/MAG
개발된	개발되/VV+ㄴ/ETM
12종의	12/SN+종/NNG+의/JKG
가이드라인을	가이드라인/NNG+을/JKO
적용해	적용하/VV+여/EC
복지시설에	복지시설/NNG+에/JKB
실제	실제/NNG
적용하는	적용하/VV+는/ETM
‘유니버설	‘/SL+유니버설/NNP
디자인	디자인/NNG
컨설팅’사업을	컨설팅/NNG+’/SN+사업/NNG+을/JKO
시행할	시행하/VV+ㄹ/ETM
계획이다	계획/NNG+이/VCP+다/EC

또한	또한/MAG
시는	시/NNG+는/JX
학교	학교/NNG
기능보강사업과	기능보강사업/NNG+과/JKB
연계해	연계하/VV+여/EC
교실·복도·학교	교실/NNG+·/SP+복도/NNG+·/SP+학교/NNG
사인물	사인/NNG+물/XSN
색채	색채/NNG
및	및/MAG
디자인	디자인/NNG
개선으로	개선/NNG+으로/JKB
교과교실의	교과교실/NNG+의/JKG
특성에	특성/NNG+에/JKB
맞는	맞/VV+는/ETM
기능을	기능/NNG+을/JKO
갖추고	갖추/VV+고/EC
학생들의	학생/NNG+들/XSN+의/JKG
창의성	창의성/NNG
향상을	향상/NNG+을/JKO
위한	위하/VV+ㄴ/ETM
‘학교환경	‘/SL+학교환경/NNG
컬러컨설팅’을	컬러컨설팅/NNG+’/SL+을/JKO
지난해	지난해/NNG
이후	이후/NNG
매년	매년/MAG
3개소씩	3/SN+개소/NNB+씩/XSN
추진하고	추진하/VV+고/EC
있다	있/VX+다/EC

학교환경	학교환경/NNG
컬러컨설팅은	컬러컨설팅/NNG+은/JX
영어실,	영어/NNP+실/XSN+,/SP
미술실	미술/NNG+실/XSN
등	등/NNB
공간특성을	공간특성/NNG+을/JKO
고려한	고려하/VV+ㄴ/ETM
기능적	기능적/NNG
색채계획으로	색채계획/NNG+으로/JKB
학습	학습/NNG
환경에	환경/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
학생·교사	학생/NNG+·/SP+교사/NNG
만족도	만족도/NNG
상승	상승/NNG
및	및/MAG
안전사고가	안전사고/NNG+가/JKS
잦은	잦/VA+은/ETM
복도,	복도/NNG+,/SP
계단실과	계단실/NNG+과/JC
식욕을	식욕/NNG+을/JKO
저해하는	저해하/VV+는/ETM
급식실	급식/NNG+실/XSN
등에	등/NNB+에/JKB
색채심리를	색채심리/NNG+를/JKO
고려했다	고려하/VV+였/EP+다/EC

아울러,	아울러/MAG+,/SP
혹한기	혹한/NNG+기/XSN
시설	시설/NNG
입소를	입소/NNG+를/JKO
꺼리는	꺼리/VV+는/ETM
거리생활	거리생활/NNG
노숙인의	노숙인/NNG+의/JKG
동사를	동사/NNG+를/JKO
예방할	예방하/VV+ㄹ/ETM
최소한의	최소한/NNG+의/JKG
안전장치를	안전장치/NNG+를/JKO
마련하기	마련하/VV+기/ETN
위해	위하/VV+여/EC
저렴하고	저렴하/VA+고/EC
이동	이동/NNG
가능한	가능하/VA+ㄴ/ETM
노숙인	노숙/NNG+이/VCP+ㄴ/ETM
쉘터를	쉘터/NNG+를/JKO
개발하고,	개발하/VV+고/EC+,/SP
관련	관련/NNG
거리노숙인	거리노숙/NNG+이/VCP+ㄴ/ETM
보호단체와	보호단체/NNG+와/JC
유기적인	유기적/NNG+이/VCP+ㄴ/ETM
네트워크를	네트워크/NNG+를/JKO
통해	통하/VV+여/EC
보급해	보급하/VV+여/EC
사회문제	사회문제/NNG
해결을	해결/NNG+을/JKO
위한	위하/VV+ㄴ/ETM
디자인을	디자인/NNG+을/JKO
실현할	실현하/VV+ㄹ/ETM
예정이다	예정/NNG+이/VCP+다/EC

노숙인	노숙/NNG+이/VCP+ㄴ/ETM
